"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1154" "GO:0009765" 1.80088555022352e-08 0.999999998750096 11 33 "photosynthesis, light harvesting" "BP"
"841" "GO:0006810" 2.92277078841711e-07 0.999999921306655 26 242 "transport" "BP"
"510" "GO:0005215" 1.21687676096748e-06 0.999999711176879 20 169 "transporter activity" "MF"
"1691" "GO:0042626" 2.37594822955869e-05 0.999997954335599 7 29 "ATPase activity, coupled to transmembrane movement of substances" "MF"
"1820" "GO:0046983" 8.89698868853198e-05 0.99997421968628 17 158 "protein dimerization activity" "MF"
"1353" "GO:0016788" 0.000407058209160351 0.99992063854285 9 66 "hydrolase activity, acting on ester bonds" "MF"
"1920" "GO:0055085" 0.000904161576544766 0.999625352097753 22 322 "transmembrane transport" "BP"
"1252" "GO:0016020" 0.00105562365197929 0.999447089098294 38 664 "membrane" "CC"
"1477" "GO:0020037" 0.00143681833272539 0.999499358447341 15 176 "heme binding" "MF"
"1921" "GO:0055114" 0.00157521051680547 0.999122683909322 43 782 "oxidation-reduction process" "BP"
"1143" "GO:0009664" 0.00188055224722685 0.999844381678515 4 15 "plant-type cell wall organization" "BP"
"873" "GO:0006950" 0.00209237390150432 0.999592830630392 7 50 "response to stress" "BP"
"1457" "GO:0019752" 0.00213198728294943 0.999812531178415 4 17 "carboxylic acid metabolic process" "BP"
"616" "GO:0005975" 0.00246429457305933 0.998992432306232 18 262 "carbohydrate metabolic process" "BP"
"281" "GO:0004351" 0.00294727818608241 0.99996832171932 2 3 "glutamate decarboxylase activity" "MF"
"775" "GO:0006536" 0.00294727818608241 0.99996832171932 2 3 "glutamate metabolic process" "BP"
"1316" "GO:0016630" 0.00312363687235486 0.999965402758662 2 3 "protochlorophyllide reductase activity" "MF"
"356" "GO:0004553" 0.00324921708596096 0.998981049649688 11 130 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1483" "GO:0030001" 0.0034073238181065 0.999270909068575 7 55 "metal ion transport" "BP"
"1451" "GO:0019538" 0.00390931521353749 0.999581388490864 4 20 "protein metabolic process" "BP"
"123" "GO:0003824" 0.00443207085927694 0.997486167613146 37 710 "catalytic activity" "MF"
"1365" "GO:0016831" 0.00506838141555002 0.999657601232882 3 11 "carboxy-lyase activity" "MF"
"858" "GO:0006869" 0.00584626742859602 0.999607830961059 3 9 "lipid transport" "BP"
"1384" "GO:0016887" 0.00662300095773527 0.998175737034605 8 89 "ATPase activity" "MF"
"179" "GO:0003968" 0.00837624766731105 0.999747352004765 2 5 "RNA-directed RNA polymerase activity" "MF"
"508" "GO:0005199" 0.00864992417073388 0.999770835642752 2 4 "structural constituent of cell wall" "MF"
"1463" "GO:0019825" 0.00988973176646002 0.99971884259857 2 4 "oxygen binding" "MF"
"1149" "GO:0009725" 0.0135532132142788 0.998574946447888 3 17 "response to hormone" "BP"
"958" "GO:0008289" 0.0145810095000493 0.996924974280262 5 42 "lipid binding" "MF"
"532" "GO:0005507" 0.0152632368959996 0.997485276554472 4 27 "copper ion binding" "MF"
"931" "GO:0008171" 0.0167476391882667 0.998128323606757 3 15 "O-methyltransferase activity" "MF"
"420" "GO:0004672" 0.0168949655906859 0.989713337271913 34 730 "protein kinase activity" "MF"
"752" "GO:0006468" 0.0168949655906859 0.989713337271913 34 730 "protein phosphorylation" "BP"
