"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1330" "GO:0016705" 2.25955152806363e-09 0.999999999601643 23 130 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1821" "GO:0046983" 2.61592637639669e-09 0.999999999296035 38 163 "protein dimerization activity" "MF"
"532" "GO:0005506" 2.60845498945483e-07 0.999999932950086 25 170 "iron ion binding" "MF"
"1478" "GO:0020037" 3.31219750008285e-06 0.999998962067089 27 182 "heme binding" "MF"
"1921" "GO:0055085" 1.12400783717623e-05 0.9999967996888 20 320 "transmembrane transport" "BP"
"829" "GO:0006754" 1.18326984988017e-05 0.999999987145562 2 5 "ATP biosynthetic process" "BP"
"1922" "GO:0055114" 1.39035278762076e-05 0.999993113278619 62 794 "oxidation-reduction process" "BP"
"766" "GO:0006508" 3.95862983301262e-05 0.999987339800895 21 264 "proteolysis" "BP"
"511" "GO:0005215" 8.22661542284972e-05 0.999976166354387 17 168 "transporter activity" "MF"
"421" "GO:0004672" 8.93824049187627e-05 0.99996520072481 26 727 "protein kinase activity" "MF"
"753" "GO:0006468" 8.93824049187627e-05 0.99996520072481 26 727 "protein phosphorylation" "BP"
"931" "GO:0008152" 9.4744636931274e-05 0.999961809651222 28 489 "metabolic process" "BP"
"357" "GO:0004553" 0.000188063836874032 0.999961924719331 10 130 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"617" "GO:0005975" 0.000280049556560376 0.999908501970963 17 265 "carbohydrate metabolic process" "BP"
"24" "GO:0000165" 0.000755376511602625 0.999908555052965 7 14 "MAPK cascade" "BP"
"79" "GO:0000977" 0.000755376511602625 0.999908555052965 7 14 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"1780" "GO:0045944" 0.000857448140248085 0.999889687035303 7 15 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"1342" "GO:0016758" 0.000939389324439561 0.999749405568737 11 113 "transferase activity, transferring hexosyl groups" "MF"
"1193" "GO:0010333" 0.000956572573861853 0.999896553294912 6 13 "terpene synthase activity" "MF"
"1918" "GO:0052861" 0.00167233017378094 0.999999301617557 1 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"1292" "GO:0016491" 0.00168694875464986 0.999161172293638 30 440 "oxidoreductase activity" "MF"
"1530" "GO:0030599" 0.00170982166008737 0.999802115094674 5 20 "pectinesterase activity" "MF"
"1684" "GO:0042545" 0.00170982166008737 0.999802115094674 5 20 "cell wall modification" "BP"
"241" "GO:0004134" 0.00185801495854641 0.999999137839492 1 2 "4-alpha-glucanotransferase activity" "MF"
"1648" "GO:0035091" 0.0024387091788333 0.999885778141523 3 8 "phosphatidylinositol binding" "MF"
"1801" "GO:0046577" 0.0025061776030308 0.999997908139441 1 3 "long-chain-alcohol oxidase activity" "MF"
"537" "GO:0005524" 0.0025682429913251 0.99852288563585 42 1463 "ATP binding" "MF"
"230" "GO:0004097" 0.00263437344506174 0.999997688528406 1 3 "catechol oxidase activity" "MF"
"1783" "GO:0046148" 0.00263437344506174 0.999997688528406 1 3 "pigment biosynthetic process" "BP"
"123" "GO:0003824" 0.00286828369963943 0.998463606014102 33 706 "catalytic activity" "MF"
"1365" "GO:0016829" 0.00387159683043242 0.999351365111681 6 20 "lyase activity" "MF"
"1728" "GO:0043531" 0.00448028605965185 0.999102463314234 6 93 "ADP binding" "MF"
"260" "GO:0004190" 0.00542115680496819 0.998887799471005 6 64 "aspartic-type endopeptidase activity" "MF"
"1481" "GO:0022891" 0.00612594290607622 0.999492625708518 3 28 "substrate-specific transmembrane transporter activity" "MF"
"1572" "GO:0031461" 0.00689256602552063 0.999979202435323 1 8 "cullin-RING ubiquitin ligase complex" "CC"
"1301" "GO:0016571" 0.00832609071357013 0.99996876998639 1 10 "histone methylation" "BP"
"205" "GO:0004030" 0.00918252381896142 0.999978864426867 1 2 "aldehyde dehydrogenase [NAD(P)+] activity" "MF"
"641" "GO:0006081" 0.00918252381896142 0.999978864426867 1 2 "cellular aldehyde metabolic process" "BP"
"1507" "GO:0030170" 0.00953915100852011 0.998136370989196 5 71 "pyridoxal phosphate binding" "MF"
"499" "GO:0004970" 0.00996914413754726 0.999954373813264 1 12 "ionotropic glutamate receptor activity" "MF"
"994" "GO:0008483" 0.0100947992001531 0.999548588459717 2 17 "transaminase activity" "MF"
"413" "GO:0004655" 0.0113267844627756 1 1 1 "porphobilinogen synthase activity" "MF"
"276" "GO:0004335" 0.0127168716463145 0.999959390672147 1 2 "galactokinase activity" "MF"
"546" "GO:0005618" 0.0144776650629441 0.997014161704375 5 32 "cell wall" "CC"
"1515" "GO:0030247" 0.0146370077742866 0.997883596781981 4 13 "polysaccharide binding" "MF"
"856" "GO:0006857" 0.0159590798901346 0.999067294414968 2 24 "oligopeptide transport" "BP"
"943" "GO:0008234" 0.0181751545862093 0.996067228095026 5 29 "cysteine-type peptidase activity" "MF"
"914" "GO:0008033" 0.0189302995727259 0.995245979869878 6 28 "tRNA processing" "BP"
"1218" "GO:0015299" 0.0205433903348977 0.997436099114624 3 19 "solute:proton antiporter activity" "MF"
"1149" "GO:0009694" 0.0215106256777414 0.999796311911412 1 8 "jasmonic acid metabolic process" "BP"
"1161" "GO:0009864" 0.0215106256777414 0.999796311911412 1 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1968" "GO:0080123" 0.0215106256777414 0.999796311911412 1 8 "jasmonate-amino synthetase activity" "MF"
"595" "GO:0005819" 0.0224286551172085 0.998608483898489 2 9 "spindle" "CC"
"1586" "GO:0032147" 0.0224286551172085 0.998608483898489 2 9 "activation of protein kinase activity" "BP"
"1923" "GO:0060236" 0.0224286551172085 0.998608483898489 2 9 "regulation of mitotic spindle organization" "BP"
"1385" "GO:0016887" 0.0227812069595765 0.994427609269868 5 89 "ATPase activity" "MF"
"1802" "GO:0046621" 0.0243815636388675 1 1 1 "negative regulation of organ growth" "BP"
"1480" "GO:0022857" 0.0244569307534062 0.995147196931838 4 51 "transmembrane transporter activity" "MF"
"515" "GO:0005249" 0.0264211486828559 0.998320247121111 2 7 "voltage-gated potassium channel activity" "MF"
"1810" "GO:0046856" 0.0271548816892981 0.998182747703409 2 8 "phosphatidylinositol dephosphorylation" "BP"
"136" "GO:0003856" 0.0276490266472428 0.999806570062802 1 2 "3-dehydroquinate synthase activity" "MF"
"1013" "GO:0008654" 0.0308243810289668 0.997683102567377 2 10 "phospholipid biosynthetic process" "BP"
"476" "GO:0004830" 0.0308498177015938 0.999758797813891 1 2 "tryptophan-tRNA ligase activity" "MF"
"743" "GO:0006436" 0.0308498177015938 0.999758797813891 1 2 "tryptophanyl-tRNA aminoacylation" "BP"
