"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 3.65599347370719e-06 0.999999036179144 20 723 "protein kinase activity" "MF"
"752" "GO:0006468" 3.65599347370719e-06 0.999999036179144 20 723 "protein phosphorylation" "BP"
"536" "GO:0005524" 2.16787032164492e-05 0.999991457535782 32 1455 "ATP binding" "MF"
"257" "GO:0004177" 3.2761403385815e-05 0.999998564774809 5 14 "aminopeptidase activity" "MF"
"765" "GO:0006508" 6.09706508685315e-05 0.999986962246919 12 254 "proteolysis" "BP"
"942" "GO:0008235" 0.000190201660617181 0.99999297233129 4 9 "metalloexopeptidase activity" "MF"
"1819" "GO:0046983" 0.000421092607744513 0.999871885453771 15 147 "protein dimerization activity" "MF"
"1450" "GO:0019538" 0.000470820000206773 0.999972072552296 4 19 "protein metabolic process" "BP"
"491" "GO:0004867" 0.000508315485631623 0.99993725646181 7 17 "serine-type endopeptidase inhibitor activity" "MF"
"1575" "GO:0031668" 0.00147030110455145 0.999999461079141 1 2 "cellular response to extracellular stimulus" "BP"
"448" "GO:0004794" 0.00149337844403891 0.999999444022499 1 2 "L-threonine ammonia-lyase activity" "MF"
"1919" "GO:0055085" 0.00162071028831433 0.999560260021387 10 316 "transmembrane transport" "BP"
"1137" "GO:0009611" 0.00196822973462108 0.999770695552167 5 18 "response to wounding" "BP"
"929" "GO:0008152" 0.00205092549882946 0.99924777056766 15 482 "metabolic process" "BP"
"1499" "GO:0030145" 0.00251400409047263 0.999774984633076 4 15 "manganese ion binding" "MF"
"1505" "GO:0030170" 0.00324533190283502 0.999637710525736 4 70 "pyridoxal phosphate binding" "MF"
"1328" "GO:0016705" 0.00327860136910583 0.999381970918607 6 119 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1808" "GO:0046856" 0.00536441516255582 0.999987685632084 1 7 "phosphatidylinositol dephosphorylation" "BP"
"874" "GO:0006952" 0.00568631167460427 0.998941342483324 6 23 "defense response" "BP"
"1360" "GO:0016817" 0.00644577892589468 0.999981843316517 1 8 "hydrolase activity, acting on acid anhydrides" "MF"
"194" "GO:0004000" 0.00662871677284488 1 1 1 "adenosine deaminase activity" "MF"
"1533" "GO:0030785" 0.00672014512175283 0.999988711993405 1 2 "[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity" "MF"
"1563" "GO:0031347" 0.0072764713816206 0.999428754600014 3 12 "regulation of defense response" "BP"
"531" "GO:0005506" 0.00943824854984215 0.997196866377447 8 159 "iron ion binding" "MF"
"1057" "GO:0009029" 0.0102195497734208 1 1 1 "tetraacyldisaccharide 4'-kinase activity" "MF"
"232" "GO:0004107" 0.0124273669004478 0.999961285749098 1 2 "chorismate synthase activity" "MF"
"243" "GO:0004143" 0.0125848947886016 0.999932036950684 1 7 "diacylglycerol kinase activity" "MF"
"906" "GO:0007205" 0.0125848947886016 0.999932036950684 1 7 "protein kinase C-activating G-protein coupled receptor signaling pathway" "BP"
"1076" "GO:0009097" 0.0140055547779564 0.999934437133881 1 3 "isoleucine biosynthetic process" "BP"
"1147" "GO:0009694" 0.0143560929239779 0.999909664094048 1 8 "jasmonic acid metabolic process" "BP"
"1159" "GO:0009864" 0.0143560929239779 0.999909664094048 1 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1966" "GO:0080123" 0.0143560929239779 0.999909664094048 1 8 "jasmonate-amino synthetase activity" "MF"
"1094" "GO:0009245" 0.0163363920287842 0.999299837035241 2 5 "lipid A biosynthetic process" "BP"
"1017" "GO:0008696" 0.0178298567968678 1 1 1 "4-amino-4-deoxychorismate lyase activity" "MF"
"1802" "GO:0046656" 0.0178298567968678 1 1 1 "folic acid biosynthetic process" "BP"
"1947" "GO:0071446" 0.0197860964599294 0.999060367946691 2 5 "cellular response to salicylic acid stimulus" "BP"
"1986" "GO:2000031" 0.0197860964599294 0.999060367946691 2 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"213" "GO:0004048" 0.0215460911260988 0.999883087119842 1 2 "anthranilate phosphoribosyltransferase activity" "MF"
"1191" "GO:0010333" 0.02156734678249 0.997457520021063 3 12 "terpene synthase activity" "MF"
"534" "GO:0005515" 0.0216616399991711 0.985715433219747 46 2437 "protein binding" "MF"
"20" "GO:0000155" 0.0232397527664724 0.999742968762628 1 19 "phosphorelay sensor kinase activity" "MF"
"422" "GO:0004674" 0.0235038774374081 0.996732503162119 3 42 "protein serine/threonine kinase activity" "MF"
"282" "GO:0004352" 0.0255669903604814 0.999780371593012 1 3 "glutamate dehydrogenase (NAD+) activity" "MF"
"1275" "GO:0016301" 0.0255945036771334 0.998023944578226 2 46 "kinase activity" "MF"
"1319" "GO:0016639" 0.0262827175493084 0.999738999383597 1 4 "oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor" "MF"
"479" "GO:0004842" 0.0263295424247348 0.994583480918734 4 83 "ubiquitin-protein transferase activity" "MF"
"928" "GO:0008146" 0.0296583524557919 0.996044317068114 3 12 "sulfotransferase activity" "MF"
"1297" "GO:0016567" 0.030113290443507 0.993558043667374 4 77 "protein ubiquitination" "BP"
"23" "GO:0000162" 0.0330617404386661 0.999540208272668 1 6 "tryptophan biosynthetic process" "BP"
"190" "GO:0003995" 0.0335490253600793 0.999503021876521 1 8 "acyl-CoA dehydrogenase activity" "MF"
"1353" "GO:0016790" 0.0356012381064187 0.999572193697112 1 3 "thiolester hydrolase activity" "MF"
"768" "GO:0006520" 0.0384544782297067 0.996388667126484 2 27 "cellular amino acid metabolic process" "BP"
"1256" "GO:0016049" 0.038575900493547 0.99932306945292 1 10 "cell growth" "BP"
"1848" "GO:0048544" 0.0414405943279309 0.995975269716261 2 24 "recognition of pollen" "BP"
"1363" "GO:0016829" 0.0425193830666968 0.992983763121442 3 19 "lyase activity" "MF"
"1007" "GO:0008641" 0.0451669596520117 0.999060401939335 1 11 "small protein activating enzyme activity" "MF"
"1383" "GO:0016887" 0.0453817521436696 0.991676556987098 3 88 "ATPase activity" "MF"
"1359" "GO:0016813" 0.0457061359802508 0.999204079108114 1 4 "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines" "MF"
"1216" "GO:0015299" 0.0470136505281817 0.998945878590782 1 17 "solute:proton antiporter activity" "MF"
"864" "GO:0006887" 0.0474794898356529 0.995096124155407 2 20 "exocytosis" "BP"
"16" "GO:0000145" 0.0488104550842229 0.994802166919062 2 25 "exocyst" "CC"
"913" "GO:0008033" 0.0495000434958435 0.991094010522361 3 25 "tRNA processing" "BP"
"510" "GO:0005215" 0.0514894700707791 0.982187976671724 6 163 "transporter activity" "MF"
"1022" "GO:0008757" 0.0523445594529697 1 1 1 "S-adenosylmethionine-dependent methyltransferase activity" "MF"
"566" "GO:0005737" 0.0563290277085182 0.975174666987117 9 233 "cytoplasm" "CC"
"316" "GO:0004422" 0.0600503796799488 1 1 1 "hypoxanthine phosphoribosyltransferase activity" "MF"
"419" "GO:0004671" 0.0607699911799485 1 1 1 "protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity" "MF"
