"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1153" "GO:0009765" 7.62901390200141e-07 0.99999989933652 14 34 "photosynthesis, light harvesting" "BP"
"1325" "GO:0016705" 9.27308552708659e-07 0.999999836065787 15 121 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"420" "GO:0004672" 3.39183147675674e-06 0.999998862743018 28 720 "protein kinase activity" "MF"
"752" "GO:0006468" 3.39183147675674e-06 0.999998862743018 28 720 "protein phosphorylation" "BP"
"510" "GO:0005215" 4.14731991568411e-05 0.9999896948145 15 161 "transporter activity" "MF"
"1919" "GO:0055085" 8.28770590913541e-05 0.999975489851637 17 315 "transmembrane transport" "BP"
"1474" "GO:0020037" 0.000111035146218703 0.999963434886847 20 170 "heme binding" "MF"
"1349" "GO:0016788" 0.00015578088200076 0.999970446108753 10 64 "hydrolase activity, acting on ester bonds" "MF"
"1454" "GO:0019752" 0.000163095506246265 0.999989240729845 5 17 "carboxylic acid metabolic process" "BP"
"1818" "GO:0046983" 0.000190353609508535 0.999931827911426 22 144 "protein dimerization activity" "MF"
"531" "GO:0005506" 0.000228750102005576 0.999930551930877 16 160 "iron ion binding" "MF"
"536" "GO:0005524" 0.000289549055765514 0.999846035097339 47 1457 "ATP binding" "MF"
"875" "GO:0006952" 0.000320114444713319 0.999935381548672 12 27 "defense response" "BP"
"616" "GO:0005975" 0.000372027075724299 0.999890370227752 14 257 "carbohydrate metabolic process" "BP"
"1248" "GO:0016020" 0.000409230058212755 0.999788433920886 42 653 "membrane" "CC"
"1448" "GO:0019538" 0.000538433491057157 0.99995255254415 5 19 "protein metabolic process" "BP"
"930" "GO:0008152" 0.000801317249899166 0.999653523013766 24 481 "metabolic process" "BP"
"1334" "GO:0016747" 0.00117989148959178 0.999788625534155 7 63 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"856" "GO:0006857" 0.00130476642180711 0.999938333081626 3 24 "oligopeptide transport" "BP"
"1530" "GO:0030688" 0.00130694557687516 1 1 1 "preribosome, small subunit precursor" "CC"
"159" "GO:0003913" 0.00139652524738443 1 1 1 "DNA photolyase activity" "MF"
"323" "GO:0004451" 0.00141710542442328 1 1 1 "isocitrate lyase activity" "MF"
"943" "GO:0008235" 0.00204481989389763 0.99985499097657 4 9 "metalloexopeptidase activity" "MF"
"1985" "GO:2000028" 0.00249212435512976 0.999998448387009 1 2 "regulation of photoperiodism, flowering" "BP"
"977" "GO:0008410" 0.00263377973197088 1 1 1 "CoA-transferase activity" "MF"
"491" "GO:0004867" 0.00303476045489751 0.999372596361201 9 19 "serine-type endopeptidase inhibitor activity" "MF"
"765" "GO:0006508" 0.00343031682024748 0.99877457044682 13 253 "proteolysis" "BP"
"1476" "GO:0022857" 0.00361259818895917 0.999326218361322 6 52 "transmembrane transporter activity" "MF"
