"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1818" "GO:0046983" 5.30950545158376e-08 0.999999986960104 27 148 "protein dimerization activity" "MF"
"420" "GO:0004672" 6.43920481835342e-08 0.999999981209912 34 716 "protein kinase activity" "MF"
"752" "GO:0006468" 6.43920481835342e-08 0.999999981209912 34 716 "protein phosphorylation" "BP"
"929" "GO:0008152" 2.71693923761315e-06 0.999999072795447 30 480 "metabolic process" "BP"
"536" "GO:0005524" 5.12957751598674e-06 0.999997709543748 54 1450 "ATP binding" "MF"
"1336" "GO:0016747" 3.14991871143827e-05 0.999996267910201 8 61 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1918" "GO:0055085" 3.20772347208359e-05 0.999990520250187 19 315 "transmembrane transport" "BP"
"1012" "GO:0008661" 0.000240336117397651 0.999999278966482 2 3 "1-deoxy-D-xylulose-5-phosphate synthase activity" "MF"
"1449" "GO:0019538" 0.000282040104860816 0.999978489583452 5 19 "protein metabolic process" "BP"
"1335" "GO:0016746" 0.00100000780787245 0.999924653798153 4 24 "transferase activity, transferring acyl groups" "MF"
"1339" "GO:0016758" 0.00125721138461082 0.999704172167629 9 108 "transferase activity, transferring hexosyl groups" "MF"
"1327" "GO:0016705" 0.00191394731499592 0.999565758811791 8 116 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"510" "GO:0005215" 0.0020590033710693 0.999349571703644 12 162 "transporter activity" "MF"
"616" "GO:0005975" 0.00303370130237131 0.998933377089918 13 257 "carbohydrate metabolic process" "BP"
"342" "GO:0004506" 0.0038209707109146 0.999895928312773 3 4 "squalene monooxygenase activity" "MF"
"1475" "GO:0020037" 0.00388768500719854 0.99860805430025 13 164 "heme binding" "MF"
"1808" "GO:0046872" 0.00408597371004526 0.998081422647836 22 324 "metal ion binding" "MF"
"1148" "GO:0009725" 0.00462799692361574 0.99966877786261 3 18 "response to hormone" "BP"
"356" "GO:0004553" 0.00510326490809603 0.9987795889001 7 126 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"531" "GO:0005506" 0.0052575750509457 0.998230086310026 11 156 "iron ion binding" "MF"
"1258" "GO:0016114" 0.00548384676759098 0.999855791143546 2 6 "terpenoid biosynthetic process" "BP"
"900" "GO:0007094" 0.00674249618203471 0.99981835638086 2 5 "mitotic spindle assembly checkpoint" "BP"
"1863" "GO:0050660" 0.00710376504459739 0.998029041551873 8 79 "flavin adenine dinucleotide binding" "MF"
"1377" "GO:0016874" 0.0077651148905922 0.999703633744492 2 14 "ligase activity" "MF"
"1626" "GO:0033925" 0.0089136032819742 1 1 1 "mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity" "MF"
"1139" "GO:0009638" 0.00963826234729692 1 1 1 "phototropism" "BP"
"1381" "GO:0016884" 0.00963826234729692 1 1 1 "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" "MF"
"323" "GO:0004451" 0.00964667921785358 1 1 1 "isocitrate lyase activity" "MF"
"1026" "GO:0008763" 0.0099279761013566 1 1 1 "UDP-N-acetylmuramate-L-alanine ligase activity" "MF"
"765" "GO:0006508" 0.0102189355999226 0.996005922773973 12 252 "proteolysis" "BP"
"967" "GO:0008356" 0.0111960726858642 1 1 1 "asymmetric cell division" "BP"
"1166" "GO:0009956" 0.0111960726858642 1 1 1 "radial pattern formation" "BP"
"1841" "GO:0048366" 0.0111960726858642 1 1 1 "leaf development" "BP"
"413" "GO:0004657" 0.0117036802472469 1 1 1 "proline dehydrogenase activity" "MF"
"786" "GO:0006562" 0.0117036802472469 1 1 1 "proline catabolic process" "BP"
"913" "GO:0008033" 0.0132298773404768 0.997394389627983 5 26 "tRNA processing" "BP"
"21" "GO:0000159" 0.0210005435876734 0.998662002688224 2 13 "protein phosphatase type 2A complex" "CC"
"1340" "GO:0016760" 0.0218061749694268 0.998530753741702 2 18 "cellulose synthase (UDP-forming) activity" "MF"
"36" "GO:0000234" 0.0231789396380548 0.999864416259934 1 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"812" "GO:0006656" 0.0231789396380548 0.999864416259934 1 2 "phosphatidylcholine biosynthetic process" "BP"
"1382" "GO:0016887" 0.0253082436644927 0.993646992989379 5 88 "ATPase activity" "MF"
"1096" "GO:0009252" 0.0254096586495243 0.999836877950737 1 2 "peptidoglycan biosynthetic process" "BP"
"221" "GO:0004072" 0.0254713341300286 0.999781753565995 1 3 "aspartate kinase activity" "MF"
"1807" "GO:0046856" 0.0257303210148242 0.998328225899089 2 8 "phosphatidylinositol dephosphorylation" "BP"
"97" "GO:0003676" 0.0262638594549638 0.983572509109889 33 618 "nucleic acid binding" "MF"
"903" "GO:0007165" 0.0270809065248383 0.993053303396181 5 103 "signal transduction" "BP"
"841" "GO:0006810" 0.0270938110982519 0.986412920802134 16 238 "transport" "BP"
"191" "GO:0003997" 0.0273109279238265 0.999748881039231 1 3 "acyl-CoA oxidase activity" "MF"
"854" "GO:0006855" 0.0294618815490306 0.995530464145789 3 41 "drug transmembrane transport" "BP"
"1212" "GO:0015238" 0.0294618815490306 0.995530464145789 3 41 "drug transmembrane transporter activity" "MF"
"1214" "GO:0015297" 0.0294618815490306 0.995530464145789 3 41 "antiporter activity" "MF"
"1369" "GO:0016846" 0.0315472562574086 0.999747766237123 1 2 "carbon-sulfur lyase activity" "MF"
"1226" "GO:0015743" 0.0317583823939405 0.999659746534561 1 3 "malate transport" "BP"
"1689" "GO:0042626" 0.0340976769681747 0.994633478250222 3 29 "ATPase activity, coupled to transmembrane movement of substances" "MF"
"229" "GO:0004096" 0.0353113169353761 0.999578674145352 1 3 "catalase activity" "MF"
"190" "GO:0003995" 0.035442517496873 0.997186091528582 2 9 "acyl-CoA dehydrogenase activity" "MF"
"1477" "GO:0022857" 0.0359342077704682 0.991976987218956 4 51 "transmembrane transporter activity" "MF"
"408" "GO:0004650" 0.0363167080120616 0.996782350400714 2 18 "polygalacturonase activity" "MF"
"1466" "GO:0019888" 0.0370740712104541 0.99676342904165 2 14 "protein phosphatase regulator activity" "MF"
"931" "GO:0008171" 0.0382535677404256 0.994182808433318 3 14 "O-methyltransferase activity" "MF"
"123" "GO:0003824" 0.0384035052887026 0.976520092567247 26 694 "catalytic activity" "MF"
"1961" "GO:0080019" 0.0395795086586267 0.999469628911275 1 3 "fatty-acyl-CoA reductase (alcohol-forming) activity" "MF"
"1481" "GO:0030001" 0.0397653816975562 0.98747012704328 6 53 "metal ion transport" "BP"
"908" "GO:0007275" 0.040839426920276 0.990717066295205 4 34 "multicellular organism development" "BP"
"213" "GO:0004048" 0.0438688543748522 0.999509145655988 1 2 "anthranilate phosphoribosyltransferase activity" "MF"
"808" "GO:0006635" 0.0446055664235537 0.999191425095893 1 5 "fatty acid beta-oxidation" "BP"
"1250" "GO:0016020" 0.045405941100211 0.970861174836908 30 653 "membrane" "CC"
"977" "GO:0008417" 0.0462326102429021 0.999274120848321 1 3 "fucosyltransferase activity" "MF"
"1462" "GO:0019829" 0.0462540435531476 0.999094187374372 1 6 "cation-transporting ATPase activity" "MF"
"24" "GO:0000165" 0.048093752226582 0.99235433324 3 11 "MAPK cascade" "BP"
"79" "GO:0000977" 0.048093752226582 0.99235433324 3 11 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"995" "GO:0008519" 0.0490359290794826 0.999081447933815 1 4 "ammonium transmembrane transporter activity" "MF"
"1225" "GO:0015696" 0.0490359290794826 0.999081447933815 1 4 "ammonium transport" "BP"
"1957" "GO:0072488" 0.0490359290794826 0.999081447933815 1 4 "ammonium transmembrane transport" "BP"
"623" "GO:0005992" 0.0496664808387018 0.994835904715666 2 16 "trehalose biosynthetic process" "BP"
"1777" "GO:0045944" 0.0505105585541882 0.991652568647612 3 12 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"1513" "GO:0030259" 0.0524114115938526 0.998880043892993 1 5 "lipid glycosylation" "BP"
"1509" "GO:0030244" 0.0575070637958477 0.993301601338765 2 24 "cellulose biosynthetic process" "BP"
"1165" "GO:0009916" 0.0575331299849973 0.999149708007741 1 2 "alternative oxidase activity" "MF"
"1847" "GO:0048544" 0.0603707727577427 0.992795409415108 2 23 "recognition of pollen" "BP"
"952" "GO:0008271" 0.0631846976302963 0.998250344345779 1 7 "secondary active sulfate transmembrane transporter activity" "MF"
"953" "GO:0008272" 0.0631846976302963 0.998250344345779 1 7 "sulfate transport" "BP"
"1208" "GO:0015116" 0.0631846976302963 0.998250344345779 1 7 "sulfate transmembrane transporter activity" "MF"
"1142" "GO:0009664" 0.0655534033851488 0.987470061666044 3 15 "plant-type cell wall organization" "BP"
"226" "GO:0004084" 0.0665459355301452 0.998481872478564 1 3 "branched-chain-amino-acid transaminase activity" "MF"
"1069" "GO:0009081" 0.0665459355301452 0.998481872478564 1 3 "branched-chain amino acid metabolic process" "BP"
"41" "GO:0000272" 0.0692566712026464 0.997892791660034 1 7 "polysaccharide catabolic process" "BP"
"1264" "GO:0016161" 0.0692566712026464 0.997892791660034 1 7 "beta-amylase activity" "MF"
"545" "GO:0005618" 0.0694831198885421 0.985443887258947 3 30 "cell wall" "CC"
"1022" "GO:0008757" 0.0741116892680802 1 1 1 "S-adenosylmethionine-dependent methyltransferase activity" "MF"
"1197" "GO:0010997" 0.0783147787025848 0.997369120419471 1 6 "anaphase-promoting complex binding" "MF"
"1969" "GO:0097027" 0.0783147787025848 0.997369120419471 1 6 "ubiquitin-protein transferase activator activity" "MF"
"1980" "GO:1904668" 0.0783147787025848 0.997369120419471 1 6 "positive regulation of ubiquitin protein ligase activity" "BP"
"1113" "GO:0009415" 0.0806076729043673 1 1 1 "response to water" "BP"
"138" "GO:0003860" 0.0819249967257966 0.989872969629612 2 8 "3-hydroxyisobutyryl-CoA hydrolase activity" "MF"
"1802" "GO:0046658" 0.0828219311633007 1 1 1 "anchored component of plasma membrane" "CC"
"1900" "GO:0051716" 0.0828219311633007 1 1 1 "cellular response to stimulus" "BP"
"502" "GO:0005089" 0.0855070932645478 0.996701159838258 1 8 "Rho guanyl-nucleotide exchange factor activity" "MF"
"638" "GO:0006073" 0.0858195760947954 0.988418566411809 2 11 "cellular glucan metabolic process" "BP"
"1194" "GO:0010411" 0.0858195760947954 0.988418566411809 2 11 "xyloglucan metabolic process" "BP"
"1341" "GO:0016762" 0.0858195760947954 0.988418566411809 2 11 "xyloglucan:xyloglucosyl transferase activity" "MF"
"1682" "GO:0042546" 0.0858195760947954 0.988418566411809 2 11 "cell wall biogenesis" "BP"
"1190" "GO:0010333" 0.0867577649317928 0.988400811728598 2 10 "terpene synthase activity" "MF"
"1063" "GO:0009058" 0.0879899709723642 0.973347488949797 4 78 "biosynthetic process" "BP"
"1832" "GO:0048046" 0.0892138676006504 0.987531527301163 2 12 "apoplast" "CC"
"1351" "GO:0016788" 0.0901028966145968 0.968293600412696 5 65 "hydrolase activity, acting on ester bonds" "MF"
"23" "GO:0000162" 0.0901862449572677 0.996493855705155 1 6 "tryptophan biosynthetic process" "BP"
"1089" "GO:0009228" 0.0940762222102244 0.996551390436804 1 4 "thiamine biosynthetic process" "BP"
"1478" "GO:0022891" 0.0944690891750153 0.98531648636571 2 28 "substrate-specific transmembrane transporter activity" "MF"
"1010" "GO:0008652" 0.0946898303493777 0.995939658175388 1 8 "cellular amino acid biosynthetic process" "BP"
"534" "GO:0005515" 0.106382094841115 0.916304681475581 70 2427 "protein binding" "MF"
"260" "GO:0004190" 0.106516062595782 0.972518233233266 3 61 "aspartic-type endopeptidase activity" "MF"
"1919" "GO:0055114" 0.107511603650631 0.923358571921558 34 765 "oxidation-reduction process" "BP"
"263" "GO:0004252" 0.109451222799126 0.964315730564845 4 74 "serine-type endopeptidase activity" "MF"
"134" "GO:0003854" 0.110505112484538 0.994690983260084 1 6 "3-beta-hydroxy-delta5-steroid dehydrogenase activity" "MF"
"1289" "GO:0016491" 0.114178573278002 0.927149555793202 19 430 "oxidoreductase activity" "MF"
"1620" "GO:0033588" 0.116751329685928 0.994633930310897 1 4 "Elongator holoenzyme complex" "CC"
