"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 4.1137896337312e-06 0.999998500034856 32 717 "protein kinase activity" "MF"
"752" "GO:0006468" 4.1137896337312e-06 0.999998500034856 32 717 "protein phosphorylation" "BP"
"1327" "GO:0016705" 9.80398042790783e-05 0.999979993918031 11 118 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1918" "GO:0055085" 9.83656998960175e-05 0.999968290273938 19 316 "transmembrane transport" "BP"
"1919" "GO:0055114" 0.000172920210027289 0.999909445858944 50 770 "oxidation-reduction process" "BP"
"929" "GO:0008152" 0.000202171922018986 0.999916209932305 27 482 "metabolic process" "BP"
"536" "GO:0005524" 0.000257937935430209 0.999859770989207 52 1453 "ATP binding" "MF"
"1439" "GO:0019419" 0.000649218796650288 0.999996779269265 2 3 "sulfate reduction" "BP"
"531" "GO:0005506" 0.00175447648284241 0.999427695500437 13 158 "iron ion binding" "MF"
"534" "GO:0005515" 0.00291333551722581 0.998027274032194 87 2431 "protein binding" "MF"
"913" "GO:0008033" 0.00326696555156933 0.999444808989436 6 26 "tRNA processing" "BP"
"1818" "GO:0046983" 0.00365350739616976 0.998474183128125 18 149 "protein dimerization activity" "MF"
"1725" "GO:0043531" 0.00407342849366557 0.999073814112253 7 93 "ADP binding" "MF"
"1323" "GO:0016671" 0.00424334626594588 0.999772413553217 3 7 "oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor" "MF"
"342" "GO:0004506" 0.00429745313483098 0.999877691145641 3 4 "squalene monooxygenase activity" "MF"
"854" "GO:0006855" 0.00520437613637303 0.999351186813078 4 41 "drug transmembrane transport" "BP"
"1212" "GO:0015238" 0.00520437613637303 0.999351186813078 4 41 "drug transmembrane transporter activity" "MF"
"1214" "GO:0015297" 0.00520437613637303 0.999351186813078 4 41 "antiporter activity" "MF"
"1274" "GO:0016301" 0.00617019773251493 0.999187329244802 4 46 "kinase activity" "MF"
"1215" "GO:0015299" 0.00796981738394807 0.999305394473413 3 18 "solute:proton antiporter activity" "MF"
"1063" "GO:0009058" 0.00838027489529699 0.998100873598995 6 78 "biosynthetic process" "BP"
"1377" "GO:0016874" 0.00884773452254622 0.999638564294789 2 14 "ligase activity" "MF"
"1162" "GO:0009902" 0.00983358913516798 1 1 1 "chloroplast relocation" "BP"
"1626" "GO:0033925" 0.00983575391078334 1 1 1 "mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity" "MF"
"1381" "GO:0016884" 0.00994635940047283 1 1 1 "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" "MF"
"1289" "GO:0016491" 0.0100942491788071 0.994609419665415 25 432 "oxidoreductase activity" "MF"
"903" "GO:0007165" 0.0101655565057138 0.997577088358444 6 103 "signal transduction" "BP"
"1026" "GO:0008763" 0.0102223050842192 1 1 1 "UDP-N-acetylmuramate-L-alanine ligase activity" "MF"
"356" "GO:0004553" 0.0112661896761283 0.996871417588051 7 127 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"123" "GO:0003824" 0.01351648511908 0.992150849327971 30 697 "catalytic activity" "MF"
"510" "GO:0005215" 0.0146628220620952 0.994291928347213 11 164 "transporter activity" "MF"
"1336" "GO:0016747" 0.016815265423732 0.99624239453451 5 62 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1879" "GO:0051087" 0.017548096274984 0.998025460303932 3 14 "chaperone binding" "MF"
"241" "GO:0004134" 0.0197123576559689 0.999902098082258 1 2 "4-alpha-glucanotransferase activity" "MF"
"847" "GO:0006817" 0.0203375323058845 0.999895756569973 1 2 "phosphate ion transport" "BP"
"349" "GO:0004525" 0.0213394730786311 0.997447811347382 3 13 "ribonuclease III activity" "MF"
"21" "GO:0000159" 0.0225025308423652 0.998512268165002 2 13 "protein phosphatase type 2A complex" "CC"
"1096" "GO:0009252" 0.0262964576019839 0.999825189893995 1 2 "peptidoglycan biosynthetic process" "BP"
"225" "GO:0004077" 0.026761012578582 1 1 1 "biotin-[acetyl-CoA-carboxylase] ligase activity" "MF"
"958" "GO:0008289" 0.0286165153503172 0.992829578477715 5 41 "lipid binding" "MF"
"1807" "GO:0046856" 0.0287382947884463 0.998017545879596 2 8 "phosphatidylinositol dephosphorylation" "BP"
"1309" "GO:0016616" 0.0290842908390216 0.993946707932222 4 46 "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" "MF"
"1012" "GO:0008661" 0.0292190346096189 0.999712276464068 1 3 "1-deoxy-D-xylulose-5-phosphate synthase activity" "MF"
"191" "GO:0003997" 0.029219925058128 0.999712258810496 1 3 "acyl-CoA oxidase activity" "MF"
"1156" "GO:0009785" 0.0292861719465618 0.999710943894745 1 3 "blue light signaling pathway" "BP"
"1161" "GO:0009882" 0.0292861719465618 0.999710943894745 1 3 "blue light photoreceptor activity" "MF"
"221" "GO:0004072" 0.0294201612506722 0.999708275093435 1 3 "aspartate kinase activity" "MF"
"1766" "GO:0045550" 0.0294492404858833 0.999780405731406 1 2 "geranylgeranyl reductase activity" "MF"
"1882" "GO:0051188" 0.0294492404858833 0.999780405731406 1 2 "cofactor biosynthetic process" "BP"
"333" "GO:0004479" 0.0297592249261248 1 1 1 "methionyl-tRNA formyltransferase activity" "MF"
"1956" "GO:0071951" 0.0297592249261248 1 1 1 "conversion of methionyl-tRNA to N-formyl-methionyl-tRNA" "BP"
"335" "GO:0004484" 0.0297845597720651 0.999700954126403 1 3 "mRNA guanylyltransferase activity" "MF"
"423" "GO:0004707" 0.0312027337498458 0.997498632682967 2 15 "MAP kinase activity" "MF"
"581" "GO:0005774" 0.0313464070708129 0.999668533276173 1 3 "vacuolar membrane" "CC"
"862" "GO:0006885" 0.0313464070708129 0.999668533276173 1 3 "regulation of pH" "BP"
"1140" "GO:0009651" 0.0313464070708129 0.999668533276173 1 3 "response to salt stress" "BP"
"1218" "GO:0015385" 0.0313464070708129 0.999668533276173 1 3 "sodium:proton antiporter activity" "MF"
"1917" "GO:0055075" 0.0313464070708129 0.999668533276173 1 3 "potassium ion homeostasis" "BP"
"274" "GO:0004334" 0.0316215810136342 0.999746531614527 1 2 "fumarylacetoacetase activity" "MF"
"1808" "GO:0046872" 0.0321146406636008 0.982205537581296 20 325 "metal ion binding" "MF"
"1226" "GO:0015743" 0.032853811049875 0.999635636862849 1 3 "malate transport" "BP"
"843" "GO:0006812" 0.0339716478430801 0.994589129789999 3 36 "cation transport" "BP"
"616" "GO:0005975" 0.0341057439058104 0.984797609735433 11 258 "carbohydrate metabolic process" "BP"
"1045" "GO:0008935" 0.0354017017511272 1 1 1 "1,4-dihydroxy-2-naphthoyl-CoA synthase activity" "MF"
"238" "GO:0004126" 0.0384309112380953 1 1 1 "cytidine deaminase activity" "MF"
"1169" "GO:0009972" 0.0384309112380953 1 1 1 "cytidine deamination" "BP"
"190" "GO:0003995" 0.0386997101421233 0.996775581143279 2 9 "acyl-CoA dehydrogenase activity" "MF"
"1863" "GO:0050660" 0.0387474589568097 0.986389781972316 7 80 "flavin adenine dinucleotide binding" "MF"
"1466" "GO:0019888" 0.0397947940794729 0.996388525155921 2 14 "protein phosphatase regulator activity" "MF"
"765" "GO:0006508" 0.0417994251916117 0.980766581277302 11 253 "proteolysis" "BP"
"1249" "GO:0015996" 0.0426082272991803 1 1 1 "chlorophyll catabolic process" "BP"
"1825" "GO:0047746" 0.0426082272991803 1 1 1 "chlorophyllase activity" "MF"
"1689" "GO:0042626" 0.0435938397004298 0.992443768674511 3 29 "ATPase activity, coupled to transmembrane movement of substances" "MF"
"442" "GO:0004781" 0.0460210766300302 0.999280719231988 1 3 "sulfate adenylyltransferase (ATP) activity" "MF"
"1987" "GO:2001070" 0.0472894998684382 0.999146239220869 1 4 "starch binding" "MF"
"808" "GO:0006635" 0.0482243120563392 0.999053358838715 1 5 "fatty acid beta-oxidation" "BP"
"1187" "GO:0010277" 0.0512947573936392 0.998927608913999 1 5 "chlorophyllide a oxygenase [overall] activity" "MF"
"1475" "GO:0020037" 0.0568611276005015 0.972691258847883 11 167 "heme binding" "MF"
"328" "GO:0004470" 0.05771704392671 0.998582835411811 1 6 "malic enzyme activity" "MF"
"329" "GO:0004471" 0.05771704392671 0.998582835411811 1 6 "malate dehydrogenase (decarboxylating) (NAD+) activity" "MF"
"1190" "GO:0010333" 0.0590669910808308 0.989589984418096 3 12 "terpene synthase activity" "MF"
"1165" "GO:0009916" 0.0600992313024033 0.999070790888682 1 2 "alternative oxidase activity" "MF"
"845" "GO:0006814" 0.0604915754227436 0.998441554000321 1 6 "sodium ion transport" "BP"
"1446" "GO:0019499" 0.0613343023237057 0.999031579124719 1 2 "cyanide metabolic process" "BP"
"1848" "GO:0050017" 0.0613343023237057 0.999031579124719 1 2 "L-3-cyanoalanine synthase activity" "MF"
"326" "GO:0004459" 0.0638841767779401 0.998947974506267 1 2 "L-lactate dehydrogenase activity" "MF"
"182" "GO:0003979" 0.0647185237571538 0.998565137231736 1 3 "UDP-glucose 6-dehydrogenase activity" "MF"
"530" "GO:0005488" 0.0713551709479818 0.966890072879953 9 291 "binding" "MF"
"1501" "GO:0030151" 0.0746145381259046 0.998083907703816 1 3 "molybdenum ion binding" "MF"
"1665" "GO:0042128" 0.0768348833491589 0.998467738856196 1 2 "nitrate assimilation" "BP"
"517" "GO:0005315" 0.078987363043511 0.997848305287116 1 3 "inorganic phosphate transmembrane transporter activity" "MF"
"1153" "GO:0009765" 0.0805632677602427 0.973535580350855 5 33 "photosynthesis, light harvesting" "BP"
"1197" "GO:0010997" 0.0809946664137727 0.997182487569935 1 6 "anaphase-promoting complex binding" "MF"
"1969" "GO:0097027" 0.0809946664137727 0.997182487569935 1 6 "ubiquitin-protein transferase activator activity" "MF"
"1980" "GO:1904668" 0.0809946664137727 0.997182487569935 1 6 "positive regulation of ubiquitin protein ligase activity" "BP"
"706" "GO:0006370" 0.0814070276917462 0.997264537660527 1 5 "7-methylguanosine mRNA capping" "BP"
"1512" "GO:0030247" 0.0824454485664844 0.989125351593794 2 11 "polysaccharide binding" "MF"
"1493" "GO:0030127" 0.0851109276931424 0.996681214848303 1 9 "COPII vesicle coat" "CC"
"1310" "GO:0016620" 0.0860931178578714 0.987307555660951 2 28 "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" "MF"
"1313" "GO:0016628" 0.0887050910010426 0.996741964998603 1 5 "oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor" "MF"
"97" "GO:0003676" 0.0970419077233988 0.932637986144586 31 617 "nucleic acid binding" "MF"
"1092" "GO:0009234" 0.099339733934616 0.997407560356487 1 2 "menaquinone biosynthetic process" "BP"
"1250" "GO:0016020" 0.0999063292434539 0.930818780798777 30 656 "membrane" "CC"
"1010" "GO:0008652" 0.102935710098912 0.995185049415421 1 8 "cellular amino acid biosynthetic process" "BP"
"64" "GO:0000774" 0.104564672160851 0.996182864331951 1 3 "adenyl-nucleotide exchange factor activity" "MF"
