"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","type"
"1","GO:0003777",3.75056411809635e-07,0.999999955654127,12,58,"microtubule motor activity","MF","down"
"2","GO:0007018",3.75056411809635e-07,0.999999955654127,12,58,"microtubule-based movement","BP","down"
"3","GO:0003677",4.75375615856471e-07,1,61,764,"DNA binding","MF","down"
"4","GO:0008017",7.17738039727198e-06,0.999998829004954,12,76,"microtubule binding","MF","down"
"5","GO:0042254",1.96893485257758e-05,0.999998471162836,7,21,"ribosome biogenesis","BP","down"
"6","GO:0006364",3.85374814273486e-05,0.999995676316127,8,31,"rRNA processing","BP","down"
"7","GO:0000786",4.85575030829553e-05,0.999989161107509,14,66,"nucleosome","CC","down"
"8","GO:0046982",0.000107476738379082,0.999972179937177,15,81,"protein heterodimerization activity","MF","down"
"9","GO:0003676",0.000265486577768617,0.999867419434495,41,610,"nucleic acid binding","MF","down"
"10","GO:0005515",0.000351060417100801,0.99976965386651,114,2447,"protein binding","MF","down"
"11","GO:0005694",0.000495754261334696,0.999973156716873,4,12,"chromosome","CC","down"
"12","GO:0006457",0.000768181940393556,0.999787997754936,12,103,"protein folding","BP","down"
"13","GO:0031167",0.000801673078259019,1,2,2,"rRNA methylation","BP","down"
"14","GO:0003697",0.000810775216555178,0.999951344216876,4,11,"single-stranded DNA binding","MF","down"
"15","GO:0005634",0.00118004965410012,0.999414408535933,32,456,"nucleus","CC","down"
"16","GO:0032040",0.00189044717407615,0.999924177575647,3,7,"small-subunit processome","CC","down"
"17","GO:0005524",0.00211963681627797,0.998650476232687,68,1464,"ATP binding","MF","down"
"18","GO:0016702",0.00251048871042419,0.999672652388211,5,24,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF","down"
"19","GO:0005819",0.00307465101341637,0.999836413219319,3,9,"spindle","CC","down"
"20","GO:0032147",0.00307465101341637,0.999836413219319,3,9,"activation of protein kinase activity","BP","down"
"21","GO:0060236",0.00307465101341637,0.999836413219319,3,9,"regulation of mitotic spindle organization","BP","down"
"22","GO:0016818",0.00314956289677678,0.999820589619823,3,11,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","MF","down"
"23","GO:0003922",0.00383906464790746,1,2,2,"GMP synthase (glutamine-hydrolyzing) activity","MF","down"
"24","GO:0006177",0.00383906464790746,1,2,2,"GMP biosynthetic process","BP","down"
"25","GO:0016462",0.00383906464790746,1,2,2,"pyrophosphatase activity","MF","down"
"26","GO:0005852",0.00453503251754673,0.999501646797004,4,18,"eukaryotic translation initiation factor 3 complex","CC","down"
"27","GO:0016747",0.00466506591229625,0.998804037911773,8,68,"transferase activity, transferring acyl groups other than amino-acyl groups","MF","down"
"28","GO:0009790",0.00887679549417757,1,2,2,"embryo development","BP","down"
"29","GO:0007275",0.00961057308281151,0.998201280720118,5,34,"multicellular organism development","BP","down"
"30","GO:0051276",0.0111643714618115,0.999574559487012,2,6,"chromosome organization","BP","down"
"31","GO:0003723",0.0114049281440504,0.994448406465234,19,268,"RNA binding","MF","down"
"32","GO:0006164",0.0119341401037166,0.999528980417691,2,6,"purine nucleotide biosynthetic process","BP","down"
"33","GO:0006334",0.0126499821957318,0.997024585118009,6,35,"nucleosome assembly","BP","down"
"34","GO:0008168",0.0126620774644016,0.995464312790937,10,120,"methyltransferase activity","MF","down"
"35","GO:0005874",0.0133416827532469,0.997872582527257,4,29,"microtubule","CC","down"
"36","GO:0008173",0.0142026691092963,0.998524328122784,3,14,"RNA methyltransferase activity","MF","down"
"37","GO:0030529",0.0146751129472361,0.998531582586375,3,11,"intracellular ribonucleoprotein complex","CC","down"
"38","GO:0008649",0.0149765006896132,0.999333513588341,2,6,"rRNA methyltransferase activity","MF","down"
