"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 1.76393940660354e-09 1 40 729 "protein kinase activity" "MF"
"752" "GO:0006468" 1.76393940660354e-09 1 40 729 "protein phosphorylation" "BP"
"929" "GO:0008152" 3.22433078698465e-09 1 39 485 "metabolic process" "BP"
"536" "GO:0005524" 4.07204607976794e-09 1 66 1463 "ATP binding" "MF"
"1919" "GO:0055085" 2.02876273977186e-07 0.999999948599773 24 318 "transmembrane transport" "BP"
"765" "GO:0006508" 2.42136205875127e-07 0.999999931245737 28 265 "proteolysis" "BP"
"123" "GO:0003824" 5.02116096587607e-06 0.999997845205543 45 703 "catalytic activity" "MF"
"1570" "GO:0031461" 3.25233500718781e-05 0.99999992990849 2 8 "cullin-RING ubiquitin ligase complex" "CC"
"1340" "GO:0016758" 4.36412309835459e-05 0.999991173978865 12 109 "transferase activity, transferring hexosyl groups" "MF"
"1216" "GO:0015299" 9.62371038249034e-05 0.999998217001767 3 17 "solute:proton antiporter activity" "MF"
"1275" "GO:0016301" 0.000121713803140144 0.99999133330684 5 46 "kinase activity" "MF"
"1505" "GO:0030170" 0.000128701724623716 0.999981061372895 8 71 "pyridoxal phosphate binding" "MF"
"1370" "GO:0016846" 0.000129003398226096 1 2 2 "carbon-sulfur lyase activity" "MF"
"854" "GO:0006855" 0.00014325985852497 0.99998591776723 6 42 "drug transmembrane transport" "BP"
"1213" "GO:0015238" 0.00014325985852497 0.99998591776723 6 42 "drug transmembrane transporter activity" "MF"
"1215" "GO:0015297" 0.00014325985852497 0.99998591776723 6 42 "antiporter activity" "MF"
"843" "GO:0006812" 0.000190444902964831 0.999990412889402 4 35 "cation transport" "BP"
"300" "GO:0004386" 0.000284305285240001 0.999992058816332 3 24 "helicase activity" "MF"
"263" "GO:0004252" 0.000307328014840468 0.999924685835017 12 80 "serine-type endopeptidase activity" "MF"
"1947" "GO:0071446" 0.000338777127060216 0.999993259559223 4 5 "cellular response to salicylic acid stimulus" "BP"
"1986" "GO:2000031" 0.000338777127060216 0.999993259559223 4 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"1328" "GO:0016705" 0.000427378285234744 0.999881608756973 13 124 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"992" "GO:0008483" 0.0007129386469001 0.999973762657931 3 17 "transaminase activity" "MF"
