"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1330" "GO:0016705" 1.93458161064261e-08 0.999999997505975 15 123 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"532" "GO:0005506" 1.05648596821002e-06 0.999999784952656 17 163 "iron ion binding" "MF"
"1821" "GO:0046983" 1.68919890184484e-06 0.99999953644439 24 156 "protein dimerization activity" "MF"
"766" "GO:0006508" 8.62879963968157e-06 0.99999780004552 18 264 "proteolysis" "BP"
"1478" "GO:0020037" 1.56338228414774e-05 0.999995892982508 18 174 "heme binding" "MF"
"1922" "GO:0055114" 3.84269772270589e-05 0.999982339593675 43 782 "oxidation-reduction process" "BP"
"1193" "GO:0010333" 9.84550232770208e-05 0.999991321689372 7 15 "terpene synthase activity" "MF"
"617" "GO:0005975" 0.000108526079452759 0.999973456775099 13 261 "carbohydrate metabolic process" "BP"
"856" "GO:0006857" 0.000327899496213613 0.999990404174173 3 24 "oligopeptide transport" "BP"
"1365" "GO:0016829" 0.000391301500529995 0.999949727592008 7 22 "lyase activity" "MF"
"1342" "GO:0016758" 0.000409884180617593 0.99992711243174 8 109 "transferase activity, transferring hexosyl groups" "MF"
"357" "GO:0004553" 0.000419512697350002 0.999935253689036 7 128 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"511" "GO:0005215" 0.00055610323893502 0.999859555597496 11 164 "transporter activity" "MF"
"931" "GO:0008152" 0.000571543194805276 0.999787070065286 19 485 "metabolic process" "BP"
"1921" "GO:0055085" 0.00109051029214267 0.99967665797441 12 318 "transmembrane transport" "BP"
"241" "GO:0004134" 0.00145247776107115 0.999999473724853 1 2 "4-alpha-glucanotransferase activity" "MF"
"421" "GO:0004672" 0.00187898820912141 0.999286856826387 16 722 "protein kinase activity" "MF"
"753" "GO:0006468" 0.00187898820912141 0.999286856826387 16 722 "protein phosphorylation" "BP"
"1801" "GO:0046577" 0.00198489584464054 0.999998689382145 1 3 "long-chain-alcohol oxidase activity" "MF"
"914" "GO:0008033" 0.00335425769850275 0.999421680537231 6 28 "tRNA processing" "BP"
