"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"915" "GO:0008061" 0.000370989108648091 1 2 2 "chitin binding" "MF"
"874" "GO:0006952" 0.000777819983730242 0.999924586851689 5 22 "defense response" "BP"
"1287" "GO:0016491" 0.00104176396906359 0.999698448744785 12 430 "oxidoreductase activity" "MF"
"491" "GO:0004867" 0.0018873125655676 0.999847934775362 4 14 "serine-type endopeptidase inhibitor activity" "MF"
"420" "GO:0004672" 0.00273828060631989 0.999269351394609 9 717 "protein kinase activity" "MF"
"752" "GO:0006468" 0.00273828060631989 0.999269351394609 9 717 "protein phosphorylation" "BP"
"106" "GO:0003700" 0.00312356934459417 0.999090299694445 10 260 "transcription factor activity, sequence-specific DNA binding" "MF"
"508" "GO:0005199" 0.00406325782225928 0.999927901594312 2 4 "structural constituent of cell wall" "MF"
"205" "GO:0004030" 0.00411244599870957 0.999995794455538 1 2 "aldehyde dehydrogenase [NAD(P)+] activity" "MF"
"640" "GO:0006081" 0.00411244599870957 0.999995794455538 1 2 "cellular aldehyde metabolic process" "BP"
"232" "GO:0004107" 0.00723362037000762 0.999986967765447 1 2 "chorismate synthase activity" "MF"
"1723" "GO:0043531" 0.00850711689832196 0.999173964783945 3 92 "ADP binding" "MF"
"22" "GO:0000160" 0.00967696138621859 0.999038780755894 3 43 "phosphorelay signal transduction system" "BP"
"1135" "GO:0009611" 0.0103234583381316 0.999020120823802 3 18 "response to wounding" "BP"
"931" "GO:0008171" 0.0140675958415627 0.999280129024366 2 13 "O-methyltransferase activity" "MF"
"1917" "GO:0055114" 0.0174490415900376 0.991999413003613 15 764 "oxidation-reduction process" "BP"
"174" "GO:0003951" 0.0176696599396589 0.999882912693507 1 4 "NAD+ kinase activity" "MF"
"823" "GO:0006741" 0.0176696599396589 0.999882912693507 1 4 "NADP biosynthetic process" "BP"
"1451" "GO:0019674" 0.0176696599396589 0.999882912693507 1 4 "NAD metabolic process" "BP"
"519" "GO:0005337" 0.0177157602311155 0.999882298626524 1 4 "nucleoside transmembrane transporter activity" "MF"
"446" "GO:0004791" 0.0197748548475193 0.999869455383831 1 3 "thioredoxin-disulfide reductase activity" "MF"
"1439" "GO:0019430" 0.0197748548475193 0.999869455383831 1 3 "removal of superoxide radicals" "BP"
"1182" "GO:0010215" 0.0231043024291701 0.999766134787479 1 8 "cellulose microfibril organization" "BP"
"1558" "GO:0031225" 0.0231043024291701 0.999766134787479 1 8 "anchored component of membrane" "CC"
"1690" "GO:0042744" 0.0237469186278336 0.998337688652561 2 18 "hydrogen peroxide catabolic process" "BP"
"1253" "GO:0016049" 0.0251693278708383 0.99971436636441 1 10 "cell growth" "BP"
"493" "GO:0004871" 0.0266833132616621 0.998047994474337 2 15 "signal transducer activity" "MF"
"1689" "GO:0042742" 0.0269389083904548 1 1 1 "defense response to bacterium" "BP"
"1845" "GO:0048544" 0.0270588154614943 0.999649789929905 1 22 "recognition of pollen" "BP"
"1112" "GO:0009415" 0.0279514575876204 1 1 1 "response to water" "BP"
"1324" "GO:0016702" 0.0284823808548297 0.997759733950217 2 23 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen" "MF"
"1349" "GO:0016788" 0.028521041922475 0.995694233925031 3 64 "hydrolase activity, acting on ester bonds" "MF"
"1390" "GO:0016998" 0.0342880965631577 0.99960490873973 1 3 "cell wall macromolecule catabolic process" "BP"
"1141" "GO:0009664" 0.0397629871198978 0.99639061150959 2 15 "plant-type cell wall organization" "BP"
"364" "GO:0004568" 0.0409733597001011 0.999364090853845 1 4 "chitinase activity" "MF"
"634" "GO:0006032" 0.0409733597001011 0.999364090853845 1 4 "chitin catabolic process" "BP"
"616" "GO:0005975" 0.0424411633184105 0.989783596448181 4 256 "carbohydrate metabolic process" "BP"
"1866" "GO:0050832" 0.0428387944910176 0.999258472835353 1 5 "defense response to fungus" "BP"
"522" "GO:0005351" 0.0435722573834194 0.999232629534125 1 5 "sugar:proton symporter activity" "MF"
