"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"874" "GO:0006952" 1.1439549875259e-05 0.999999566940568 5 22 "defense response" "BP"
"1257" "GO:0016072" 0.000791318510153635 1 1 1 "rRNA metabolic process" "BP"
"1637" "GO:0034470" 0.000791318510153635 1 1 1 "ncRNA processing" "BP"
"1646" "GO:0035246" 0.00079132513789922 1 1 1 "peptidyl-arginine N-methylation" "BP"
"1922" "GO:0060918" 0.000791383903471999 1 1 1 "auxin transport" "BP"
"1974" "GO:0099402" 0.00159084604166239 0.999999377223859 1 2 "plant organ development" "BP"
"232" "GO:0004107" 0.00362723278353163 0.999996759016171 1 2 "chorismate synthase activity" "MF"
"421" "GO:0004673" 0.00473871700564183 0.999990780455564 1 6 "protein histidine kinase activity" "MF"
"1175" "GO:0010105" 0.00473871700564183 0.999990780455564 1 6 "negative regulation of ethylene-activated signaling pathway" "BP"
"1659" "GO:0038199" 0.00473871700564183 0.999990780455564 1 6 "ethylene receptor activity" "MF"
"1869" "GO:0050896" 0.00473871700564183 0.999990780455564 1 6 "response to stimulus" "BP"
"1902" "GO:0051740" 0.00473871700564183 0.999990780455564 1 6 "ethylene binding" "MF"
"493" "GO:0004871" 0.00513227014171483 0.999843858346355 2 15 "signal transducer activity" "MF"
"121" "GO:0003777" 0.00543891838142517 0.999815467733727 2 56 "microtubule motor activity" "MF"
"882" "GO:0007018" 0.00543891838142517 0.999815467733727 2 56 "microtubule-based movement" "BP"
"910" "GO:0008017" 0.0107489621816247 0.999477805013648 2 74 "microtubule binding" "MF"
"908" "GO:0007275" 0.01313442010851 0.999308392538862 2 34 "multicellular organism development" "BP"
"794" "GO:0006595" 0.0135413338420134 0.99993951387293 1 3 "polyamine metabolic process" "BP"
"22" "GO:0000160" 0.0157992449026702 0.999074745019537 2 43 "phosphorelay signal transduction system" "BP"
"20" "GO:0000155" 0.0166750341136703 0.999869682055541 1 19 "phosphorelay sensor kinase activity" "MF"
"491" "GO:0004867" 0.0171948155216146 0.999034732329236 2 13 "serine-type endopeptidase inhibitor activity" "MF"
"755" "GO:0006479" 0.018442538457072 0.999848419820042 1 10 "protein methylation" "BP"
"327" "GO:0004462" 0.0243859528906893 0.999778374505634 1 4 "lactoylglutathione lyase activity" "MF"
"536" "GO:0005524" 0.025532449952255 0.99116567796135 8 1453 "ATP binding" "MF"
"912" "GO:0008026" 0.0265976788837618 0.999665504659358 1 21 "ATP-dependent helicase activity" "MF"
"1398" "GO:0017038" 0.0298550297781616 0.999703776382929 1 3 "protein import" "BP"
"1023" "GO:0008759" 0.0334622738368928 0.999719898561233 1 2 "UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity" "MF"
"1148" "GO:0009725" 0.0414522746841643 0.999189863038456 1 18 "response to hormone" "BP"
"1094" "GO:0009245" 0.0424625435453423 0.999278114428005 1 5 "lipid A biosynthetic process" "BP"
"923" "GO:0008121" 0.0424708838461225 0.999397011443348 1 3 "ubiquinol-cytochrome-c reductase activity" "MF"
"1931" "GO:0070469" 0.0436412231109061 0.999521025862237 1 2 "respiratory chain" "CC"
"797" "GO:0006605" 0.044215031450384 0.999265116267635 1 4 "protein targeting" "BP"
"1335" "GO:0016746" 0.0512745132219376 0.998737959618102 1 24 "transferase activity, transferring acyl groups" "MF"
"162" "GO:0003918" 0.0559448691440351 0.99865127366654 1 7 "DNA topoisomerase type II (ATP-hydrolyzing) activity" "MF"
"1068" "GO:0009073" 0.0561953599494665 0.998536226373465 1 13 "aromatic amino acid family biosynthetic process" "BP"
"930" "GO:0008168" 0.0652315558764513 0.991617629073065 2 117 "methyltransferase activity" "MF"
"1822" "GO:0047429" 0.0668683418990576 0.998191245090691 1 5 "nucleoside-triphosphate diphosphatase activity" "MF"
"490" "GO:0004866" 0.0719667578587403 0.997753599653847 1 7 "endopeptidase inhibitor activity" "MF"
"931" "GO:0008171" 0.0758746602796287 0.997311357397445 1 13 "O-methyltransferase activity" "MF"
"675" "GO:0006265" 0.0815391557497243 0.996909176727371 1 12 "DNA topological change" "BP"
"928" "GO:0008146" 0.0818460046941925 0.996940660220414 1 10 "sulfotransferase activity" "MF"
"510" "GO:0005215" 0.132086148449961 0.974505848648703 2 164 "transporter activity" "MF"
"534" "GO:0005515" 0.149748222871106 0.91701106709334 11 2431 "protein binding" "MF"
"1136" "GO:0009611" 0.152714743932654 0.988562751348966 1 17 "response to wounding" "BP"
"903" "GO:0007165" 0.178734866355 0.983394631839618 1 103 "signal transduction" "BP"
"571" "GO:0005743" 0.183546960153526 0.983331461946396 1 16 "mitochondrial inner membrane" "CC"
"589" "GO:0005789" 0.185931096978461 0.982363074207355 1 31 "endoplasmic reticulum membrane" "CC"
"1918" "GO:0055085" 0.193688625865704 0.9527388557139 2 316 "transmembrane transport" "BP"
"263" "GO:0004252" 0.206006233572682 0.977781600977332 1 74 "serine-type endopeptidase activity" "MF"
"1479" "GO:0022900" 0.217383764084944 0.976383486166362 1 15 "electron transport chain" "BP"
"356" "GO:0004553" 0.235303489107755 0.970513802596192 1 127 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1149" "GO:0009733" 0.235941664062149 0.97208785240602 1 14 "response to auxin" "BP"
"916" "GO:0008080" 0.243315229228051 0.969076224065974 1 31 "N-acetyltransferase activity" "MF"
"1695" "GO:0042773" 0.252455213658783 0.967311920574558 1 18 "ATP synthesis coupled electron transport" "BP"
"1481" "GO:0030001" 0.315069015559524 0.945839616658828 1 54 "metal ion transport" "BP"
"98" "GO:0003677" 0.329250635514455 0.812384286122336 6 755 "DNA binding" "MF"
"679" "GO:0006281" 0.331104488959098 0.93927232544377 1 106 "DNA repair" "BP"
"1818" "GO:0046983" 0.339002913857532 0.881557112642371 2 149 "protein dimerization activity" "MF"
"841" "GO:0006810" 0.372481776988955 0.860670327811273 2 239 "transport" "BP"
"97" "GO:0003676" 0.372997077951771 0.804852353761595 4 617 "nucleic acid binding" "MF"
"1203" "GO:0015035" 0.408555291382107 0.905125072540048 1 47 "protein disulfide oxidoreductase activity" "MF"
"123" "GO:0003824" 0.419543204333603 0.791716418817887 3 697 "catalytic activity" "MF"
"420" "GO:0004672" 0.420011491781487 0.828284996736221 2 717 "protein kinase activity" "MF"
"752" "GO:0006468" 0.420011491781487 0.828284996736221 2 717 "protein phosphorylation" "BP"
"530" "GO:0005488" 0.421869070486098 0.896648738770938 1 291 "binding" "MF"
"926" "GO:0008137" 0.437029614106672 0.890365757663097 1 38 "NADH dehydrogenase (ubiquinone) activity" "MF"
"25" "GO:0000166" 0.437891721222199 0.815695385088639 2 336 "nucleotide binding" "MF"
"929" "GO:0008152" 0.447195630196699 0.808646978739067 2 482 "metabolic process" "BP"
"863" "GO:0006886" 0.455532963587561 0.877957383548987 1 121 "intracellular protein transport" "BP"
"1808" "GO:0046872" 0.485970499611084 0.778748896304523 2 325 "metal ion binding" "MF"
"616" "GO:0005975" 0.492279685785312 0.854239811677061 1 258 "carbohydrate metabolic process" "BP"
"765" "GO:0006508" 0.50844677664881 0.843180035689556 1 253 "proteolysis" "BP"
"1764" "GO:0045454" 0.526458955947713 0.831097929553547 1 94 "cell redox homeostasis" "BP"
"1250" "GO:0016020" 0.569507414786949 0.660632362004102 3 656 "membrane" "CC"
"1062" "GO:0009055" 0.585972766177174 0.783753427526346 1 81 "electron carrier activity" "MF"
"547" "GO:0005634" 0.70368142444568 0.561018144187741 2 455 "nucleus" "CC"
"110" "GO:0003723" 0.760738683685179 0.586426581005657 1 265 "RNA binding" "MF"
"699" "GO:0006355" 0.7810523633247 0.458537737306776 2 515 "regulation of transcription, DNA-templated" "BP"
"106" "GO:0003700" 0.782055311155169 0.55515190812689 1 259 "transcription factor activity, sequence-specific DNA binding" "MF"
"1919" "GO:0055114" 0.979192674903407 0.104208956550953 1 770 "oxidation-reduction process" "BP"
"1729" "GO:0043565" 0.999999999999996 0.356943099775448 0 165 "sequence-specific DNA binding" "MF"
"951" "GO:0008270" 1 0.0323802669781413 0 774 "zinc ion binding" "MF"
"1" "GO:0000015" 1 0.975132760018717 0 5 "phosphopyruvate hydratase complex" "CC"
"2" "GO:0000027" 1 0.989932469170959 0 1 "ribosomal large subunit assembly" "BP"
"3" "GO:0000042" 1 0.999208677187174 0 1 "protein targeting to Golgi" "BP"
"4" "GO:0000045" 1 0.979450043190912 0 1 "autophagosome assembly" "BP"
"5" "GO:0000049" 1 0.967752177154433 0 9 "tRNA binding" "MF"
"6" "GO:0000062" 1 0.973054251243183 0 4 "fatty-acyl-CoA binding" "MF"
"7" "GO:0000075" 1 0.998258651818298 0 1 "cell cycle checkpoint" "BP"
"8" "GO:0000077" 1 0.992333623328878 0 2 "DNA damage checkpoint" "BP"
"9" "GO:0000079" 1 0.947760779375652 0 6 "regulation of cyclin-dependent protein serine/threonine kinase activity" "BP"
"10" "GO:0000103" 1 0.965756175645319 0 6 "sulfate assimilation" "BP"
"11" "GO:0000105" 1 0.969956859027242 0 7 "histidine biosynthetic process" "BP"
"12" "GO:0000107" 1 0.999202388927275 0 1 "imidazoleglycerol-phosphate synthase activity" "MF"
"13" "GO:0000123" 1 0.949653771268029 0 4 "histone acetyltransferase complex" "CC"
"14" "GO:0000126" 1 0.987644554787304 0 3 "transcription factor TFIIIB complex" "CC"
"15" "GO:0000139" 1 0.943414935162541 0 10 "Golgi membrane" "CC"
"16" "GO:0000145" 1 0.947195902020385 0 24 "exocyst" "CC"
"17" "GO:0000148" 1 0.994473686994567 0 7 "1,3-beta-D-glucan synthase complex" "CC"
"18" "GO:0000151" 1 0.99442447052372 0 5 "ubiquitin ligase complex" "CC"
"19" "GO:0000154" 1 0.992733149548155 0 2 "rRNA modification" "BP"
"21" "GO:0000159" 1 0.974709451863073 0 13 "protein phosphatase type 2A complex" "CC"
"23" "GO:0000162" 1 0.989873919447429 0 6 "tryptophan biosynthetic process" "BP"
"24" "GO:0000165" 1 0.883863927016374 0 11 "MAPK cascade" "BP"
"26" "GO:0000175" 1 0.997186288269424 0 3 "3'-5'-exoribonuclease activity" "MF"
"27" "GO:0000176" 1 0.999208678752141 0 1 "nuclear exosome (RNase complex)" "CC"
"28" "GO:0000178" 1 0.961814933101001 0 6 "exosome (RNase complex)" "CC"
"29" "GO:0000179" 1 0.992733149548155 0 2 "rRNA (adenine-N6,N6-)-dimethyltransferase activity" "MF"
"30" "GO:0000184" 1 0.996838420655427 0 4 "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "BP"
"31" "GO:0000213" 1 0.990817456856939 0 1 "tRNA-intron endonuclease activity" "MF"
"32" "GO:0000220" 1 0.997627879759976 0 3 "vacuolar proton-transporting V-type ATPase, V0 domain" "CC"
"33" "GO:0000221" 1 0.996924681927464 0 2 "vacuolar proton-transporting V-type ATPase, V1 domain" "CC"
"34" "GO:0000226" 1 0.966750159360018 0 15 "microtubule cytoskeleton organization" "BP"
"35" "GO:0000228" 1 0.959081528989229 0 4 "nuclear chromosome" "CC"
"36" "GO:0000234" 1 0.997800785511288 0 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"37" "GO:0000244" 1 0.998784915966277 0 1 "spliceosomal tri-snRNP complex assembly" "BP"
"38" "GO:0000245" 1 0.999151957213409 0 1 "spliceosomal complex assembly" "BP"
"39" "GO:0000256" 1 0.998942563576613 0 1 "allantoin catabolic process" "BP"
"40" "GO:0000266" 1 0.957940304021518 0 3 "mitochondrial fission" "BP"
"41" "GO:0000272" 1 0.993699478722009 0 7 "polysaccharide catabolic process" "BP"
"42" "GO:0000275" 1 0.951875694368125 0 6 "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" "CC"
"43" "GO:0000276" 1 0.891760580836944 0 6 "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" "CC"
"44" "GO:0000278" 1 0.993318958918702 0 1 "mitotic cell cycle" "BP"
"45" "GO:0000287" 1 0.657637722642484 0 83 "magnesium ion binding" "MF"
"46" "GO:0000289" 1 0.954418950195226 0 8 "nuclear-transcribed mRNA poly(A) tail shortening" "BP"
"47" "GO:0000290" 1 0.989833181643691 0 3 "deadenylation-dependent decapping of nuclear-transcribed mRNA" "BP"
"48" "GO:0000338" 1 0.994574139961061 0 1 "protein deneddylation" "BP"
"49" "GO:0000339" 1 0.990876417495962 0 2 "RNA cap binding" "MF"
"50" "GO:0000373" 1 0.999208679246337 0 1 "Group II intron splicing" "BP"
"51" "GO:0000387" 1 0.843508337286799 0 11 "spliceosomal snRNP assembly" "BP"
"52" "GO:0000390" 1 0.999208680377274 0 1 "spliceosomal complex disassembly" "BP"
"53" "GO:0000398" 1 0.742992870724318 0 33 "mRNA splicing, via spliceosome" "BP"
"54" "GO:0000413" 1 0.827830026074669 0 26 "protein peptidyl-prolyl isomerization" "BP"
"55" "GO:0000439" 1 0.96397779315774 0 5 "core TFIIH complex" "CC"
"56" "GO:0000445" 1 0.970633800262117 0 2 "THO complex part of transcription export complex" "CC"
"57" "GO:0000462" 1 0.999208674842122 0 1 "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BP"
"58" "GO:0000469" 1 0.99166124923109 0 1 "cleavage involved in rRNA processing" "BP"
"59" "GO:0000502" 1 0.996451038416001 0 4 "proteasome complex" "CC"
"60" "GO:0000723" 1 0.971264306435562 0 12 "telomere maintenance" "BP"
"61" "GO:0000724" 1 0.936552519796946 0 10 "double-strand break repair via homologous recombination" "BP"
"62" "GO:0000737" 1 0.992293690944665 0 1 "DNA catabolic process, endonucleolytic" "BP"
"63" "GO:0000741" 1 0.979366713028678 0 1 "karyogamy" "BP"
"64" "GO:0000774" 1 0.986450031951703 0 3 "adenyl-nucleotide exchange factor activity" "MF"
"65" "GO:0000775" 1 0.975958277895185 0 5 "chromosome, centromeric region" "CC"
"66" "GO:0000776" 1 0.994178821268718 0 2 "kinetochore" "CC"
"67" "GO:0000784" 1 0.998609977964004 0 1 "nuclear chromosome, telomeric region" "CC"
"68" "GO:0000785" 1 0.960711181570932 0 3 "chromatin" "CC"
"69" "GO:0000786" 1 0.372810453215554 0 65 "nucleosome" "CC"
"70" "GO:0000796" 1 0.998417972016293 0 2 "condensin complex" "CC"
"71" "GO:0000808" 1 0.993497289655974 0 3 "origin recognition complex" "CC"
"72" "GO:0000811" 1 0.989996995176947 0 1 "GINS complex" "CC"
"73" "GO:0000902" 1 0.992266004101081 0 4 "cell morphogenesis" "BP"
"74" "GO:0000910" 1 0.976114242985925 0 11 "cytokinesis" "BP"
"75" "GO:0000922" 1 0.979541610727807 0 6 "spindle pole" "CC"
"76" "GO:0000930" 1 0.998697314435768 0 1 "gamma-tubulin complex" "CC"
"77" "GO:0000940" 1 0.985205364784939 0 1 "condensed chromosome outer kinetochore" "CC"
"78" "GO:0000956" 1 0.896770958206416 0 7 "nuclear-transcribed mRNA catabolic process" "BP"
"79" "GO:0000977" 1 0.883863927016374 0 11 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"80" "GO:0000982" 1 0.999136376750545 0 1 "transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding" "MF"
"81" "GO:0000987" 1 0.999136376750545 0 1 "core promoter proximal region sequence-specific DNA binding" "MF"
"82" "GO:0000989" 1 0.996556599639401 0 3 "transcription factor activity, transcription factor binding" "MF"
"83" "GO:0001026" 1 0.999208675426627 0 1 "TFIIIB-type transcription factor activity" "MF"
"84" "GO:0001104" 1 0.887153895420219 0 14 "RNA polymerase II transcription cofactor activity" "MF"
"85" "GO:0001510" 1 0.973486511053009 0 8 "RNA methylation" "BP"
"86" "GO:0001522" 1 0.931844900346424 0 21 "pseudouridine synthesis" "BP"
"87" "GO:0001671" 1 0.996079052967473 0 1 "ATPase activator activity" "MF"
"88" "GO:0001678" 1 0.99349415153138 0 6 "cellular glucose homeostasis" "BP"
"89" "GO:0001735" 1 0.998861897763849 0 1 "prenylcysteine oxidase activity" "MF"
"90" "GO:0001882" 1 0.999208682183314 0 1 "nucleoside binding" "MF"
"91" "GO:0002098" 1 0.979761480066105 0 4 "tRNA wobble uridine modification" "BP"
"92" "GO:0002100" 1 0.999208674823905 0 1 "tRNA wobble adenosine to inosine editing" "BP"
"93" "GO:0002143" 1 0.998538325487256 0 1 "tRNA wobble position uridine thiolation" "BP"
"94" "GO:0002161" 1 0.975431468931439 0 9 "aminoacyl-tRNA editing activity" "MF"
"95" "GO:0002949" 1 0.998447769865107 0 1 "tRNA threonylcarbamoyladenosine modification" "BP"
"96" "GO:0003333" 1 0.972616400341416 0 17 "amino acid transmembrane transport" "BP"
"99" "GO:0003678" 1 0.967567762654477 0 15 "DNA helicase activity" "MF"
"100" "GO:0003682" 1 0.91501986419094 0 27 "chromatin binding" "MF"
"101" "GO:0003684" 1 0.958090714443639 0 14 "damaged DNA binding" "MF"
"102" "GO:0003688" 1 0.999208675975923 0 1 "DNA replication origin binding" "MF"
"103" "GO:0003689" 1 0.999208681319594 0 1 "DNA clamp loader activity" "MF"
"104" "GO:0003690" 1 0.888319850598735 0 29 "double-stranded DNA binding" "MF"
"105" "GO:0003697" 1 0.931241688353354 0 11 "single-stranded DNA binding" "MF"
"107" "GO:0003712" 1 0.953506408451514 0 10 "transcription cofactor activity" "MF"
"108" "GO:0003713" 1 0.921548699838091 0 8 "transcription coactivator activity" "MF"
"109" "GO:0003714" 1 0.998414432297571 0 2 "transcription corepressor activity" "MF"
"111" "GO:0003724" 1 0.996838415855884 0 4 "RNA helicase activity" "MF"
"112" "GO:0003725" 1 0.985649202098449 0 3 "double-stranded RNA binding" "MF"
"113" "GO:0003729" 1 0.954187577779347 0 5 "mRNA binding" "MF"
"114" "GO:0003735" 1 0.00479815295509118 0 348 "structural constituent of ribosome" "MF"
"115" "GO:0003743" 1 0.751364002456889 0 42 "translation initiation factor activity" "MF"
"116" "GO:0003746" 1 0.829740849376278 0 25 "translation elongation factor activity" "MF"
"117" "GO:0003747" 1 0.977786201433911 0 6 "translation release factor activity" "MF"
"118" "GO:0003755" 1 0.81585823679801 0 27 "peptidyl-prolyl cis-trans isomerase activity" "MF"
"119" "GO:0003756" 1 0.998686895667786 0 1 "protein disulfide isomerase activity" "MF"
"120" "GO:0003774" 1 0.959676546937157 0 13 "motor activity" "MF"
"122" "GO:0003779" 1 0.813350512279254 0 31 "actin binding" "MF"
"124" "GO:0003825" 1 0.999208680115853 0 1 "alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity" "MF"
"125" "GO:0003830" 1 0.989763380978134 0 3 "beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity" "MF"
"126" "GO:0003839" 1 0.96709881505861 0 3 "gamma-glutamylcyclotransferase activity" "MF"
"127" "GO:0003840" 1 0.999208674751329 0 1 "gamma-glutamyltransferase activity" "MF"
"128" "GO:0003841" 1 0.99672085371665 0 1 "1-acylglycerol-3-phosphate O-acyltransferase activity" "MF"
"129" "GO:0003843" 1 0.994473686994567 0 7 "1,3-beta-D-glucan synthase activity" "MF"
"130" "GO:0003844" 1 0.9976278835658 0 3 "1,4-alpha-glucan branching enzyme activity" "MF"
"131" "GO:0003848" 1 0.998998398194917 0 1 "2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity" "MF"
"132" "GO:0003849" 1 0.966489841902283 0 5 "3-deoxy-7-phosphoheptulonate synthase activity" "MF"
"133" "GO:0003852" 1 0.998417711945517 0 2 "2-isopropylmalate synthase activity" "MF"
"134" "GO:0003854" 1 0.986600419510212 0 6 "3-beta-hydroxy-delta5-steroid dehydrogenase activity" "MF"
"135" "GO:0003855" 1 0.997276063423315 0 3 "3-dehydroquinate dehydratase activity" "MF"
"136" "GO:0003856" 1 0.995637031871878 0 2 "3-dehydroquinate synthase activity" "MF"
"137" "GO:0003857" 1 0.989847151367724 0 6 "3-hydroxyacyl-CoA dehydrogenase activity" "MF"
"138" "GO:0003860" 1 0.960571202900905 0 7 "3-hydroxyisobutyryl-CoA hydrolase activity" "MF"
"139" "GO:0003861" 1 0.998980755161268 0 1 "3-isopropylmalate dehydratase activity" "MF"
"140" "GO:0003862" 1 0.997621882609168 0 1 "3-isopropylmalate dehydrogenase activity" "MF"
"141" "GO:0003864" 1 0.996079052967473 0 1 "3-methyl-2-oxobutanoate hydroxymethyltransferase activity" "MF"
"142" "GO:0003865" 1 0.99166124923109 0 1 "3-oxo-5-alpha-steroid 4-dehydrogenase activity" "MF"
"143" "GO:0003866" 1 0.998072765557258 0 2 "3-phosphoshikimate 1-carboxyvinyltransferase activity" "MF"
"144" "GO:0003868" 1 0.996551332161741 0 2 "4-hydroxyphenylpyruvate dioxygenase activity" "MF"
"145" "GO:0003871" 1 0.998417969906915 0 2 "5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity" "MF"
"146" "GO:0003872" 1 0.990316629991138 0 10 "6-phosphofructokinase activity" "MF"
"147" "GO:0003876" 1 0.998417973026734 0 2 "AMP deaminase activity" "MF"
"148" "GO:0003879" 1 0.997342981412088 0 1 "ATP phosphoribosyltransferase activity" "MF"
"149" "GO:0003883" 1 0.977681174215429 0 5 "CTP synthase activity" "MF"
"150" "GO:0003885" 1 0.999202388927275 0 1 "D-arabinono-1,4-lactone oxidase activity" "MF"
"151" "GO:0003887" 1 0.984026478723609 0 16 "DNA-directed DNA polymerase activity" "MF"
"152" "GO:0003896" 1 0.99698926193938 0 2 "DNA primase activity" "MF"
"153" "GO:0003899" 1 0.501337087424825 0 63 "DNA-directed RNA polymerase activity" "MF"
"154" "GO:0003904" 1 0.998828950888669 0 1 "deoxyribodipyrimidine photo-lyase activity" "MF"
"155" "GO:0003905" 1 0.993370470077604 0 1 "alkylbase DNA N-glycosylase activity" "MF"
"156" "GO:0003906" 1 0.995332822645657 0 2 "DNA-(apurinic or apyrimidinic site) lyase activity" "MF"
"157" "GO:0003909" 1 0.997595329286289 0 3 "DNA ligase activity" "MF"
"158" "GO:0003910" 1 0.995936231659481 0 5 "DNA ligase (ATP) activity" "MF"
"159" "GO:0003913" 1 0.999194163683751 0 1 "DNA photolyase activity" "MF"
"160" "GO:0003916" 1 0.978772344293289 0 4 "DNA topoisomerase activity" "MF"
"161" "GO:0003917" 1 0.972914195514088 0 5 "DNA topoisomerase type I activity" "MF"
"163" "GO:0003919" 1 0.996779733855584 0 1 "FMN adenylyltransferase activity" "MF"
"164" "GO:0003922" 1 0.999108030138174 0 1 "GMP synthase (glutamine-hydrolyzing) activity" "MF"
"165" "GO:0003923" 1 0.99672085371665 0 1 "GPI-anchor transamidase activity" "MF"
"166" "GO:0003924" 1 0.880108186620957 0 82 "GTPase activity" "MF"
"167" "GO:0003934" 1 0.99848751608999 0 1 "GTP cyclohydrolase I activity" "MF"
"168" "GO:0003935" 1 0.997084733360797 0 3 "GTP cyclohydrolase II activity" "MF"
"169" "GO:0003937" 1 0.999206955496352 0 1 "IMP cyclohydrolase activity" "MF"
"170" "GO:0003938" 1 0.998900328675247 0 1 "IMP dehydrogenase activity" "MF"
"171" "GO:0003942" 1 0.994568147164161 0 2 "N-acetyl-gamma-glutamyl-phosphate reductase activity" "MF"
"172" "GO:0003949" 1 0.994529190480489 0 1 "1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity" "MF"
"173" "GO:0003950" 1 0.961974204261057 0 14 "NAD+ ADP-ribosyltransferase activity" "MF"
"174" "GO:0003951" 1 0.991450259088925 0 4 "NAD+ kinase activity" "MF"
"175" "GO:0003952" 1 0.997588266740293 0 2 "NAD+ synthase (glutamine-hydrolyzing) activity" "MF"
"176" "GO:0003954" 1 0.980279242287742 0 1 "NADH dehydrogenase activity" "MF"
"177" "GO:0003955" 1 0.929703215647304 0 7 "NAD(P)H dehydrogenase (quinone) activity" "MF"
"178" "GO:0003958" 1 0.997627871965099 0 3 "NADPH-hemoprotein reductase activity" "MF"
"179" "GO:0003968" 1 0.98875803773992 0 5 "RNA-directed RNA polymerase activity" "MF"
"180" "GO:0003975" 1 0.998004317270858 0 1 "UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity" "MF"
