"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1925" "GO:0055085" 5.81050238934061e-12 1 50 328 "transmembrane transport" "BP"
"537" "GO:0005524" 1.35350997781015e-10 1 120 1490 "ATP binding" "MF"
"421" "GO:0004672" 6.52326844309937e-08 1 63 744 "protein kinase activity" "MF"
"753" "GO:0006468" 6.52326844309937e-08 1 63 744 "protein phosphorylation" "BP"
"931" "GO:0008152" 1.58114599188246e-07 1 63 503 "metabolic process" "BP"
"1000" "GO:0008536" 2.93977891701104e-07 0.999999999286494 3 11 "Ran GTPase binding" "MF"
"1333" "GO:0016705" 9.18286798017162e-07 0.999999694100121 35 139 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1922" "GO:0052861" 1.47833604062982e-06 1 2 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"511" "GO:0005215" 3.18320116283105e-06 0.999998938058465 30 169 "transporter activity" "MF"
"531" "GO:0005488" 1.36343355676057e-05 0.999995534014515 24 296 "binding" "MF"
"123" "GO:0003824" 4.39162685024362e-05 0.999975623161206 70 714 "catalytic activity" "MF"
"535" "GO:0005515" 6.51751291564904e-05 0.999954632603397 179 2476 "protein binding" "MF"
"1825" "GO:0046983" 7.211899390903e-05 0.99996519515805 52 174 "protein dimerization activity" "MF"
"930" "GO:0008146" 8.59943357458435e-05 0.999991161516131 11 15 "sulfotransferase activity" "MF"
"499" "GO:0004970" 9.67802629479742e-05 0.99999960836101 2 12 "ionotropic glutamate receptor activity" "MF"
"846" "GO:0006814" 9.9760779135245e-05 0.999999655900428 2 6 "sodium ion transport" "BP"
"1256" "GO:0016020" 0.000100255006719551 0.999940303300617 83 675 "membrane" "CC"
"1482" "GO:0020037" 0.000191353123709139 0.999907548529807 43 192 "heme binding" "MF"
"1511" "GO:0030170" 0.000194265696380604 0.999951989051551 13 74 "pyridoxal phosphate binding" "MF"
"41" "GO:0000272" 0.000232040065680359 0.999998707673816 2 7 "polysaccharide catabolic process" "BP"
"1270" "GO:0016161" 0.000232040065680359 0.999998707673816 2 7 "beta-amylase activity" "MF"
"725" "GO:0006418" 0.000250623947458748 0.999986411952962 4 35 "tRNA aminoacylation for protein translation" "BP"
"766" "GO:0006508" 0.000251361636927337 0.999884182470405 34 269 "proteolysis" "BP"
"532" "GO:0005506" 0.000274244580108196 0.999873219631101 36 179 "iron ion binding" "MF"
"458" "GO:0004812" 0.000277854810947995 0.999984485844442 4 36 "aminoacyl-tRNA ligase activity" "MF"
"357" "GO:0004553" 0.000281818471514379 0.999900689508782 20 137 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"855" "GO:0006855" 0.000498844776320529 0.999913569017625 8 43 "drug transmembrane transport" "BP"
"1218" "GO:0015238" 0.000498844776320529 0.999913569017625 8 43 "drug transmembrane transporter activity" "MF"
"1220" "GO:0015297" 0.000498844776320529 0.999913569017625 8 43 "antiporter activity" "MF"
"617" "GO:0005975" 0.000582559728839378 0.999730948722253 30 271 "carbohydrate metabolic process" "BP"
"306" "GO:0004402" 0.000605537747625401 0.999983684588579 3 7 "histone acetyltransferase activity" "MF"
"1149" "GO:0009694" 0.0006908786855327 0.999993068269067 2 8 "jasmonic acid metabolic process" "BP"
"1162" "GO:0009864" 0.0006908786855327 0.999993068269067 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1972" "GO:0080123" 0.0006908786855327 0.999993068269067 2 8 "jasmonate-amino synthetase activity" "MF"
"1732" "GO:0043531" 0.00084933731600713 0.999714279591068 16 100 "ADP binding" "MF"
"1342" "GO:0016747" 0.000854269559624238 0.999711811252611 17 72 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"952" "GO:0008265" 0.00121640278959293 1 1 1 "Mo-molybdopterin cofactor sulfurase activity" "MF"
"1479" "GO:0019948" 0.00121645042068019 1 1 1 "SUMO activating enzyme activity" "MF"
"358" "GO:0004555" 0.00142701197579664 1 1 1 "alpha,alpha-trehalase activity" "MF"
"623" "GO:0005991" 0.00142701197579664 1 1 1 "trehalose metabolic process" "BP"
"1394" "GO:0016973" 0.00149447805222963 1 1 1 "poly(A)+ mRNA export from nucleus" "BP"
"324" "GO:0004451" 0.00153303536837351 1 1 1 "isocitrate lyase activity" "MF"
"1156" "GO:0009765" 0.00210178107924682 0.999400088569465 13 34 "photosynthesis, light harvesting" "BP"
"468" "GO:0004822" 0.00243119197790235 0.999998521928921 1 2 "isoleucine-tRNA ligase activity" "MF"
"735" "GO:0006428" 0.00243119197790235 0.999998521928921 1 2 "isoleucyl-tRNA aminoacylation" "BP"
"1404" "GO:0017038" 0.00243121614634728 0.999998521899516 1 2 "protein import" "BP"
"376" "GO:0004591" 0.0024312278882866 0.99999852188523 1 2 "oxoglutarate dehydrogenase (succinyl-transferring) activity" "MF"
"1581" "GO:0031668" 0.00243129826742134 0.9999985217996 1 2 "cellular response to extracellular stimulus" "BP"
"202" "GO:0004018" 0.00254785272110721 1 1 1 "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" "MF"
"664" "GO:0006188" 0.00254785272110721 1 1 1 "IMP biosynthetic process" "BP"
"1085" "GO:0009152" 0.00254785272110721 1 1 1 "purine ribonucleotide biosynthetic process" "BP"
"512" "GO:0005216" 0.00273195167380211 0.999624942345599 5 30 "ion channel activity" "MF"
"241" "GO:0004134" 0.00281173225691473 0.999998022631512 1 2 "4-alpha-glucanotransferase activity" "MF"
"844" "GO:0006812" 0.00305836683756482 0.9995611274966 5 36 "cation transport" "BP"
"1236" "GO:0015846" 0.00328036211657945 1 1 1 "polyamine transport" "BP"
"1467" "GO:0019808" 0.00328036211657945 1 1 1 "polyamine binding" "MF"
"1694" "GO:0042597" 0.00328036211657945 1 1 1 "periplasmic space" "CC"
"522" "GO:0005345" 0.00342381362858483 1 1 1 "purine nucleobase transmembrane transporter activity" "MF"
"857" "GO:0006863" 0.00342381362858483 1 1 1 "purine nucleobase transport" "BP"
"1883" "GO:0051017" 0.00364466130082601 0.999995569159945 1 3 "actin filament bundle assembly" "BP"
"32" "GO:0000220" 0.00364480212360395 0.999995568817262 1 3 "vacuolar proton-transporting V-type ATPase, V0 domain" "CC"
"466" "GO:0004820" 0.00364482105130356 0.999995568771201 1 3 "glycine-tRNA ligase activity" "MF"
"733" "GO:0006426" 0.00364482105130356 0.999995568771201 1 3 "glycyl-tRNA aminoacylation" "BP"
"1014" "GO:0008661" 0.00364491147447597 0.999995568551154 1 3 "1-deoxy-D-xylulose-5-phosphate synthase activity" "MF"
"978" "GO:0008410" 0.00381111273014597 1 1 1 "CoA-transferase activity" "MF"
"469" "GO:0004823" 0.00410032941492747 0.999995792172028 1 2 "leucine-tRNA ligase activity" "MF"
"736" "GO:0006429" 0.00410032941492747 0.999995792172028 1 2 "leucyl-tRNA aminoacylation" "BP"
"294" "GO:0004370" 0.00424113181286787 1 1 1 "glycerol kinase activity" "MF"
"744" "GO:0006437" 0.00433245536557351 1 1 1 "tyrosyl-tRNA aminoacylation" "BP"
"848" "GO:0006817" 0.0045023395323827 0.99999492560089 1 2 "phosphate ion transport" "BP"
"30" "GO:0000184" 0.00485650953704502 0.999991145810545 1 4 "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "BP"
"111" "GO:0003724" 0.00485659135809302 0.999991145511893 1 4 "RNA helicase activity" "MF"
"1041" "GO:0008883" 0.00490702963574149 0.99999397115989 1 2 "glutamyl-tRNA reductase activity" "MF"
"514" "GO:0005247" 0.00533008815742964 0.999840702352569 2 10 "voltage-gated chloride channel activity" "MF"
"1344" "GO:0016757" 0.00567281677977879 0.998860907724935 6 39 "transferase activity, transferring glycosyl groups" "MF"
"1962" "GO:0071949" 0.00726686925244725 0.999757273917054 2 8 "FAD binding" "MF"
"1469" "GO:0019829" 0.00727626953517042 0.999977898214384 1 6 "cation-transporting ATPase activity" "MF"
"529" "GO:0005471" 0.00754884645126772 0.999980958978484 1 3 "ATP:ADP antiporter activity" "MF"
"24" "GO:0000165" 0.00789767712725203 0.997988203164494 11 19 "MAPK cascade" "BP"
"79" "GO:0000977" 0.00789767712725203 0.997988203164494 11 19 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"829" "GO:0006754" 0.00863000907927858 0.999970134106796 1 5 "ATP biosynthetic process" "BP"
"1009" "GO:0008641" 0.00920042842927713 0.999628886969167 2 11 "small protein activating enzyme activity" "MF"
"1784" "GO:0045944" 0.00924916538881266 0.997504219228987 11 20 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"166" "GO:0003924" 0.00965248367710269 0.998094320041568 5 82 "GTPase activity" "MF"
"1663" "GO:0036459" 0.00993663235120849 0.998538564303234 4 30 "thiol-dependent ubiquitinyl hydrolase activity" "MF"
"1484" "GO:0022857" 0.0107966253876366 0.996590300362843 9 54 "transmembrane transporter activity" "MF"
"1500" "GO:0030127" 0.0108947902118837 0.999947081960741 1 9 "COPII vesicle coat" "CC"
"856" "GO:0006857" 0.01168124844775 0.998230164010617 4 25 "oligopeptide transport" "BP"
"536" "GO:0005516" 0.0120302044239106 0.9994063886117 2 18 "calmodulin binding" "MF"
"1926" "GO:0055114" 0.0121025954715433 0.991070112298497 100 814 "oxidation-reduction process" "BP"
"1195" "GO:0010333" 0.0131663037900012 0.996675616120108 9 17 "terpene synthase activity" "MF"
"308" "GO:0004411" 0.0132925775705368 1 1 1 "homogentisate 1,2-dioxygenase activity" "MF"
"792" "GO:0006570" 0.0132925775705368 1 1 1 "tyrosine metabolic process" "BP"
"1232" "GO:0015743" 0.0135860322750957 0.999938157122486 1 3 "malate transport" "BP"
"36" "GO:0000234" 0.014186615144694 0.999949372625652 1 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"813" "GO:0006656" 0.014186615144694 0.999949372625652 1 2 "phosphatidylcholine biosynthetic process" "BP"
"205" "GO:0004030" 0.0175925714444272 0.999922010581806 1 2 "aldehyde dehydrogenase [NAD(P)+] activity" "MF"
"641" "GO:0006081" 0.0175925714444272 0.999922010581806 1 2 "cellular aldehyde metabolic process" "BP"
"1826" "GO:0047262" 0.018144295346189 0.997883523409629 3 16 "polygalacturonate 4-alpha-galacturonosyltransferase activity" "MF"
"995" "GO:0008495" 0.0192644852641533 1 1 1 "protoheme IX farnesyltransferase activity" "MF"
"1836" "GO:0048034" 0.0192644852641533 1 1 1 "heme O biosynthetic process" "BP"
"1345" "GO:0016758" 0.0196715217772682 0.991145918546053 14 114 "transferase activity, transferring hexosyl groups" "MF"
"1854" "GO:0048544" 0.0201075627958625 0.997456426842465 3 23 "recognition of pollen" "BP"
"1881" "GO:0051015" 0.0211346920847562 0.999831162860292 1 4 "actin filament binding" "MF"
"151" "GO:0003887" 0.0215724624181225 0.997290028443966 3 17 "DNA-directed DNA polymerase activity" "MF"
"194" "GO:0004000" 0.0220438367238085 1 1 1 "adenosine deaminase activity" "MF"
"314" "GO:0004419" 0.0223688382672956 1 1 1 "hydroxymethylglutaryl-CoA lyase activity" "MF"
"264" "GO:0004252" 0.0230304988779628 0.990253352620301 12 80 "serine-type endopeptidase activity" "MF"
"229" "GO:0004096" 0.0233379555332163 0.999816709662021 1 3 "catalase activity" "MF"
"1520" "GO:0030259" 0.0235013783570057 0.999777179588161 1 5 "lipid glycosylation" "BP"
"904" "GO:0007165" 0.0236293460828415 0.992419411155063 7 104 "signal transduction" "BP"
"276" "GO:0004335" 0.0246866491951355 0.999845876782552 1 2 "galactokinase activity" "MF"
"1376" "GO:0016851" 0.0257383668665136 0.99977682370317 1 3 "magnesium chelatase activity" "MF"
"918" "GO:0008081" 0.0259088943672341 0.996483224976845 3 18 "phosphoric diester hydrolase activity" "MF"
"1221" "GO:0015299" 0.0277918030499387 0.996124269866324 3 18 "solute:proton antiporter activity" "MF"
"1388" "GO:0016887" 0.0282835358870946 0.988023253322304 11 94 "ATPase activity" "MF"
"1953" "GO:0071446" 0.0293139636304683 0.997451757990913 3 5 "cellular response to salicylic acid stimulus" "BP"
"1992" "GO:2000031" 0.0293139636304683 0.997451757990913 3 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"880" "GO:0007010" 0.0315392540419428 0.999553067632035 1 9 "cytoskeleton organization" "BP"
"850" "GO:0006821" 0.0321502343192602 0.997483268783678 2 11 "chloride transport" "BP"
"107" "GO:0003712" 0.0331397089910857 0.995559908489011 3 10 "transcription cofactor activity" "MF"
"1383" "GO:0016874" 0.0333874834598839 0.999476660220104 1 14 "ligase activity" "MF"
"1114" "GO:0009396" 0.0338151622081805 0.995573364739048 3 9 "folic acid-containing compound biosynthetic process" "BP"
"1485" "GO:0022891" 0.0356195783916981 0.992319018295815 4 29 "substrate-specific transmembrane transporter activity" "MF"
"994" "GO:0008483" 0.0358362622516612 0.996858342041492 2 17 "transaminase activity" "MF"
"842" "GO:0006810" 0.0375523204532285 0.976011014034345 33 246 "transport" "BP"
"100" "GO:0003682" 0.0381155430938599 0.991655510257019 4 27 "chromatin binding" "MF"
"1307" "GO:0016579" 0.0385031923446908 0.991369601498321 4 35 "protein deubiquitination" "BP"
"1351" "GO:0016773" 0.0399806784466086 0.993288203925938 3 29 "phosphotransferase activity, alcohol group as acceptor" "MF"
"1718" "GO:0043141" 0.0417790415479388 0.99940764811351 1 3 "ATP-dependent 5'-3' DNA helicase activity" "MF"
"121" "GO:0003777" 0.0419413410191036 0.990104322810852 4 56 "microtubule motor activity" "MF"
"883" "GO:0007018" 0.0419413410191036 0.990104322810852 4 56 "microtubule-based movement" "BP"
"1462" "GO:0019752" 0.0424188624434133 0.989116058466391 5 19 "carboxylic acid metabolic process" "BP"
"1368" "GO:0016829" 0.0429640828953785 0.98453592019477 9 24 "lyase activity" "MF"
"94" "GO:0002161" 0.0440458000624016 0.99605295984346 2 9 "aminoacyl-tRNA editing activity" "MF"
"911" "GO:0008017" 0.0449976280015766 0.986878029936309 5 74 "microtubule binding" "MF"
"509" "GO:0005199" 0.0476369713014095 0.993616781206549 4 6 "structural constituent of cell wall" "MF"
"1280" "GO:0016301" 0.0476986342194443 0.991204758680308 3 46 "kinase activity" "MF"
"648" "GO:0006099" 0.0536046490487197 0.990199037048011 3 20 "tricarboxylic acid cycle" "BP"
"429" "GO:0004722" 0.0539508367095876 0.981553914133131 6 58 "protein serine/threonine phosphatase activity" "MF"
"136" "GO:0003856" 0.0543701438318728 0.999240873103435 1 2 "3-dehydroquinate synthase activity" "MF"
"843" "GO:0006811" 0.0549289629238451 0.989762930671379 3 22 "ion transport" "BP"
"1871" "GO:0050661" 0.0558482949135735 0.98587006104001 4 36 "NADP binding" "MF"
"953" "GO:0008270" 0.0559094644698597 0.957447734352545 71 789 "zinc ion binding" "MF"
"943" "GO:0008234" 0.0570679393082126 0.979571209777289 7 30 "cysteine-type peptidase activity" "MF"
"476" "GO:0004830" 0.0606724239863922 0.999051564179725 1 2 "tryptophan-tRNA ligase activity" "MF"
"743" "GO:0006436" 0.0606724239863922 0.999051564179725 1 2 "tryptophanyl-tRNA aminoacylation" "BP"
"1295" "GO:0016491" 0.061011604927585 0.956098017292239 48 450 "oxidoreductase activity" "MF"
"99" "GO:0003678" 0.0637191682523309 0.992427689886179 2 15 "DNA helicase activity" "MF"
"1810" "GO:0046835" 0.064213533099956 0.998152749297132 1 8 "carbohydrate phosphorylation" "BP"
