"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 4.38834554997954e-11 1 49 729 "protein kinase activity" "MF"
"752" "GO:0006468" 4.38834554997954e-11 1 49 729 "protein phosphorylation" "BP"
"536" "GO:0005524" 6.00349218438458e-11 1 82 1463 "ATP binding" "MF"
"1919" "GO:0055085" 1.87583749118172e-08 0.999999995337378 29 318 "transmembrane transport" "BP"
"929" "GO:0008152" 6.20321069366108e-08 0.999999983588062 42 485 "metabolic process" "BP"
"123" "GO:0003824" 4.18669750544983e-07 1 55 703 "catalytic activity" "MF"
"765" "GO:0006508" 1.97903669918317e-06 0.999999342676188 30 265 "proteolysis" "BP"
"1216" "GO:0015299" 3.9831361436795e-06 0.999999932692437 4 17 "solute:proton antiporter activity" "MF"
"20" "GO:0000155" 1.3905520285896e-05 0.999999863886288 3 19 "phosphorelay sensor kinase activity" "MF"
"843" "GO:0006812" 2.62601738547815e-05 0.999998680243797 5 35 "cation transport" "BP"
"491" "GO:0004867" 3.6323632785349e-05 0.999995466206403 13 19 "serine-type endopeptidase inhibitor activity" "MF"
"1570" "GO:0031461" 4.12689555253354e-05 0.999999899734547 2 8 "cullin-RING ubiquitin ligase complex" "CC"
"1819" "GO:0046983" 6.97908900144393e-05 0.999971535439841 33 155 "protein dimerization activity" "MF"
"1340" "GO:0016758" 8.39092302298016e-05 0.999980481164944 13 109 "transferase activity, transferring hexosyl groups" "MF"
"1505" "GO:0030170" 0.000101207442995608 0.999983517835865 9 71 "pyridoxal phosphate binding" "MF"
"356" "GO:0004553" 0.000124137028593617 0.999973781803304 11 128 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1370" "GO:0016846" 0.00019790634816434 1 2 2 "carbon-sulfur lyase activity" "MF"
"1275" "GO:0016301" 0.000325527331251796 0.999971284327634 5 46 "kinase activity" "MF"
"1328" "GO:0016705" 0.000336273454188615 0.999899492174862 15 124 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"854" "GO:0006855" 0.000457545176916148 0.999944001068167 6 42 "drug transmembrane transport" "BP"
"1213" "GO:0015238" 0.000457545176916148 0.999944001068167 6 42 "drug transmembrane transporter activity" "MF"
"1215" "GO:0015297" 0.000457545176916148 0.999944001068167 6 42 "antiporter activity" "MF"
"300" "GO:0004386" 0.000514423577144235 0.999982374232622 3 24 "helicase activity" "MF"
"263" "GO:0004252" 0.000626735128811666 0.999823584302333 13 80 "serine-type endopeptidase activity" "MF"
"1947" "GO:0071446" 0.000776443132263862 0.999980518079158 4 5 "cellular response to salicylic acid stimulus" "BP"
"1986" "GO:2000031" 0.000776443132263862 0.999980518079158 4 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"534" "GO:0005515" 0.00106731672561872 0.999258163962672 117 2448 "protein binding" "MF"
"1163" "GO:0009902" 0.00117564365606939 1 1 1 "chloroplast relocation" "BP"
"992" "GO:0008483" 0.00131758543718948 0.999939921304842 3 17 "transaminase activity" "MF"
"1140" "GO:0009638" 0.00139092976836881 1 1 1 "phototropism" "BP"
"958" "GO:0008289" 0.00140816804692956 0.999715753835522 8 40 "lipid binding" "MF"
"1479" "GO:0022891" 0.0020006861719505 0.999745753185942 5 29 "substrate-specific transmembrane transporter activity" "MF"
"202" "GO:0004018" 0.00213376719621709 1 1 1 "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" "MF"
"663" "GO:0006188" 0.00213376719621709 1 1 1 "IMP biosynthetic process" "BP"
"1083" "GO:0009152" 0.00213376719621709 1 1 1 "purine ribonucleotide biosynthetic process" "BP"
"1563" "GO:0031347" 0.00220622264067903 0.999766319246415 5 12 "regulation of defense response" "BP"
"257" "GO:0004177" 0.00223935402565076 0.99974752723401 5 14 "aminopeptidase activity" "MF"
"1575" "GO:0031668" 0.00235027643193514 0.999998619385804 1 2 "cellular response to extracellular stimulus" "BP"
"391" "GO:0004630" 0.00235116299640684 0.999998618343411 1 2 "phospholipase D activity" "MF"
"1791" "GO:0046470" 0.00235116299640684 0.999998618343411 1 2 "phosphatidylcholine metabolic process" "BP"
"279" "GO:0004349" 0.00235343824520513 0.999998615666446 1 2 "glutamate 5-kinase activity" "MF"
"280" "GO:0004350" 0.00235343824520513 0.999998615666446 1 2 "glutamate-5-semialdehyde dehydrogenase activity" "MF"
"1722" "GO:0043412" 0.00235431543463453 0.999998614633688 1 2 "macromolecule modification" "BP"
"1168" "GO:0009958" 0.00235734190271439 0.999998611067518 1 2 "positive gravitropism" "BP"
"448" "GO:0004794" 0.00240690204226354 0.999998552016513 1 2 "L-threonine ammonia-lyase activity" "MF"
"1337" "GO:0016747" 0.00274654008557609 0.999510037290778 6 61 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"510" "GO:0005215" 0.00309125177255977 0.998752094821761 17 167 "transporter activity" "MF"
"931" "GO:0008171" 0.00345486869925976 0.999480218751074 6 15 "O-methyltransferase activity" "MF"
"1383" "GO:0016887" 0.00346645991558141 0.999234375916051 7 88 "ATPase activity" "MF"
"1962" "GO:0080019" 0.00347569946702778 0.999908446012167 3 4 "fatty-acyl-CoA reductase (alcohol-forming) activity" "MF"
"1896" "GO:0051513" 0.00352407740327437 0.999995859673662 1 3 "regulation of monopolar cell growth" "BP"
"1799" "GO:0046577" 0.00352689413973101 0.999995853047217 1 3 "long-chain-alcohol oxidase activity" "MF"
"230" "GO:0004097" 0.00371378934414391 0.999995401512689 1 3 "catechol oxidase activity" "MF"
"1781" "GO:0046148" 0.00371378934414391 0.999995401512689 1 3 "pigment biosynthetic process" "BP"
"967" "GO:0008356" 0.00447739441055429 1 1 1 "asymmetric cell division" "BP"
"1167" "GO:0009956" 0.00447739441055429 1 1 1 "radial pattern formation" "BP"
"1842" "GO:0048366" 0.00447739441055429 1 1 1 "leaf development" "BP"
"1794" "GO:0046524" 0.00468982530078406 0.999991747628577 1 4 "sucrose-phosphate synthase activity" "MF"
"223" "GO:0004075" 0.00490553715393692 0.999991972419504 1 3 "biotin carboxylase activity" "MF"
"1368" "GO:0016841" 0.00515853946752348 0.999683158625232 3 8 "ammonia-lyase activity" "MF"
"942" "GO:0008235" 0.00571571974301185 0.999454908077827 4 9 "metalloexopeptidase activity" "MF"
"784" "GO:0006559" 0.00579395793590612 0.999611829476221 3 9 "L-phenylalanine catabolic process" "BP"
"1134" "GO:0009584" 0.00585770141644927 0.999986262159399 1 5 "detection of visible light" "BP"
"1135" "GO:0009585" 0.00585770141644927 0.999986262159399 1 5 "red, far-red light phototransduction" "BP"
"1161" "GO:0009881" 0.00585770141644927 0.999986262159399 1 5 "photoreceptor activity" "MF"
"1396" "GO:0017006" 0.00585770141644927 0.999986262159399 1 5 "protein-tetrapyrrole linkage" "BP"
"1414" "GO:0018298" 0.00585770141644927 0.999986262159399 1 5 "protein-chromophore linkage" "BP"
"1137" "GO:0009611" 0.00603643083108053 0.998646535054466 8 20 "response to wounding" "BP"
