"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1927" "GO:0055085" 1.57866214770963e-10 1 36 327 "transmembrane transport" "BP"
"1334" "GO:0016705" 4.38894553478418e-10 0.999999999919286 32 138 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"421" "GO:0004672" 2.66478882687377e-08 1 43 735 "protein kinase activity" "MF"
"754" "GO:0006468" 2.66478882687377e-08 1 43 735 "protein phosphorylation" "BP"
"1482" "GO:0020037" 1.04556937978336e-07 0.999999965188082 40 193 "heme binding" "MF"
"532" "GO:0005506" 2.61905149688854e-07 0.999999918760563 33 178 "iron ion binding" "MF"
"1826" "GO:0046983" 4.83497822567718e-07 0.999999828877134 41 167 "protein dimerization activity" "MF"
"767" "GO:0006508" 7.074100260684e-07 0.999999764985 33 273 "proteolysis" "BP"
"1924" "GO:0052861" 8.15609232937571e-07 1 2 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"537" "GO:0005524" 4.54525352218935e-06 0.999997807596199 68 1477 "ATP binding" "MF"
"830" "GO:0006754" 1.51009194716103e-05 0.999999981450104 2 5 "ATP biosynthetic process" "BP"
"857" "GO:0006855" 0.00018751209827619 0.99997609743334 7 43 "drug transmembrane transport" "BP"
"1219" "GO:0015238" 0.00018751209827619 0.99997609743334 7 43 "drug transmembrane transporter activity" "MF"
"1221" "GO:0015297" 0.00018751209827619 0.99997609743334 7 43 "antiporter activity" "MF"
"511" "GO:0005215" 0.000188199583126499 0.999935239537051 20 170 "transporter activity" "MF"
"618" "GO:0005975" 0.000255862047725156 0.999903407958088 22 269 "carbohydrate metabolic process" "BP"
"1151" "GO:0009694" 0.000305113710741781 0.999997974977976 2 8 "jasmonic acid metabolic process" "BP"
"1164" "GO:0009864" 0.000305113710741781 0.999997974977976 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1974" "GO:0080123" 0.000305113710741781 0.999997974977976 2 8 "jasmonate-amino synthetase activity" "MF"
"1928" "GO:0055114" 0.000362813457574203 0.999778883713643 76 812 "oxidation-reduction process" "BP"
"1346" "GO:0016758" 0.00039351394869549 0.99988649968434 14 114 "transferase activity, transferring hexosyl groups" "MF"
"933" "GO:0008152" 0.000484912286900424 0.999770390886495 32 491 "metabolic process" "BP"
"123" "GO:0003824" 0.000681872779459413 0.999628031330694 45 712 "catalytic activity" "MF"
"1850" "GO:0048476" 0.000904019775785281 1 1 1 "Holliday junction resolvase complex" "CC"
"357" "GO:0004553" 0.000927146260460587 0.999734395165407 12 133 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1196" "GO:0010333" 0.00149233041119658 0.999795093787617 7 14 "terpene synthase activity" "MF"
"858" "GO:0006857" 0.00183641502843024 0.999902092039055 3 24 "oligopeptide transport" "BP"
"932" "GO:0008146" 0.0019645278458171 0.999764236914796 6 12 "sulfotransferase activity" "MF"
"241" "GO:0004134" 0.00204744380841706 0.999998952471983 1 2 "4-alpha-glucanotransferase activity" "MF"
"1484" "GO:0022857" 0.00250303347875721 0.999428868256954 8 54 "transmembrane transporter activity" "MF"
"1806" "GO:0046577" 0.00270800407259232 0.999997556246404 1 3 "long-chain-alcohol oxidase activity" "MF"
"850" "GO:0006817" 0.00312559827856519 0.999997557453203 1 2 "phosphate ion transport" "BP"
"1374" "GO:0016841" 0.00365859972888428 0.999801625233992 3 8 "ammonia-lyase activity" "MF"
"946" "GO:0008235" 0.00372581533014969 0.999686264531434 4 9 "metalloexopeptidase activity" "MF"
"786" "GO:0006559" 0.00411068833108444 0.999756884279809 3 9 "L-phenylalanine catabolic process" "BP"
"1176" "GO:0009976" 0.00456773400016215 1 1 1 "tocopherol cyclase activity" "MF"
"1456" "GO:0019538" 0.00480202135779807 0.999290370341467 5 20 "protein metabolic process" "BP"
"1652" "GO:0035091" 0.0049062218781251 0.999704143430651 3 8 "phosphatidylinositol binding" "MF"
