"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"114" "GO:0003735" 9.22367184320747e-25 1 109 353 "structural constituent of ribosome" "MF"
"719" "GO:0006412" 2.80527621720016e-24 1 108 356 "translation" "BP"
"599" "GO:0005840" 6.44679654541061e-24 1 105 339 "ribosome" "CC"
"69" "GO:0000786" 1.10610779031396e-18 1 37 66 "nucleosome" "CC"
"1817" "GO:0046982" 4.49266379891379e-13 1 34 80 "protein heterodimerization activity" "MF"
"546" "GO:0005622" 1.96379361492129e-12 1 81 359 "intracellular" "CC"
"692" "GO:0006334" 7.24452736022016e-12 1 20 35 "nucleosome assembly" "BP"
"98" "GO:0003677" 2.63041534025584e-08 1 97 769 "DNA binding" "MF"
"748" "GO:0006457" 1.63144721783666e-07 0.999999963200148 23 102 "protein folding" "BP"
"547" "GO:0005634" 4.01547376592986e-07 1 61 464 "nucleus" "CC"
"603" "GO:0005852" 6.55901074939303e-07 0.999999959142406 9 18 "eukaryotic translation initiation factor 3 complex" "CC"
"110" "GO:0003723" 2.63068858142129e-06 0.999998980019192 40 269 "RNA binding" "MF"
"1669" "GO:0042254" 9.79912635203102e-06 0.999999065362126 9 21 "ribosome biogenesis" "BP"
"97" "GO:0003676" 2.97802899161753e-05 0.999984237909319 65 610 "nucleic acid binding" "MF"
"721" "GO:0006414" 4.09509342131136e-05 0.999995106657529 9 23 "translational elongation" "BP"
"702" "GO:0006364" 5.50423000733885e-05 0.99999175401555 10 31 "rRNA processing" "BP"
"115" "GO:0003743" 6.17647732589489e-05 0.999988220156621 12 43 "translation initiation factor activity" "MF"
"910" "GO:0008017" 8.18485094073288e-05 0.999981541918443 13 74 "microtubule binding" "MF"
"606" "GO:0005874" 8.59731727640089e-05 0.999989258441128 8 29 "microtubule" "CC"
"121" "GO:0003777" 8.82147003422862e-05 0.999983111034677 11 56 "microtubule motor activity" "MF"
