"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"492" "GO:0004867" 0.000392337535967459 0.999997040537744 2 13 "serine-type endopeptidase inhibitor activity" "MF"
"916" "GO:0008061" 0.00337143746164607 0.999997320950391 1 2 "chitin binding" "MF"
"1395" "GO:0016998" 0.00429309065352572 0.999994206619935 1 3 "cell wall macromolecule catabolic process" "BP"
"520" "GO:0005337" 0.00486112440024173 0.999991642581584 1 4 "nucleoside transmembrane transporter activity" "MF"
"1438" "GO:0019310" 0.00539147130593116 0.999989717108239 1 4 "inositol catabolic process" "BP"
"1853" "GO:0050113" 0.00539147130593116 0.999989717108239 1 4 "inositol oxygenase activity" "MF"
"365" "GO:0004568" 0.00557756947056919 0.999988994077694 1 4 "chitinase activity" "MF"
"635" "GO:0006032" 0.00557756947056919 0.999988994077694 1 4 "chitin catabolic process" "BP"
"1342" "GO:0016758" 0.00870539470357412 0.999643399940287 2 109 "transferase activity, transferring hexosyl groups" "MF"
"1186" "GO:0010215" 0.0126516883289508 0.999932715792473 1 9 "cellulose microfibril organization" "BP"
"1563" "GO:0031225" 0.0126516883289508 0.999932715792473 1 9 "anchored component of membrane" "CC"
"1258" "GO:0016049" 0.0144639368063135 0.999910005583589 1 11 "cell growth" "BP"
"856" "GO:0006857" 0.0276217773903533 0.999652402306465 1 24 "oligopeptide transport" "BP"
"875" "GO:0006952" 0.0413249818771096 0.999224644843768 1 20 "defense response" "BP"
"544" "GO:0005576" 0.0445764678744486 0.999088910904204 1 24 "extracellular region" "CC"
"842" "GO:0006810" 0.045574217925052 0.995465750739483 2 239 "transport" "BP"
"931" "GO:0008152" 0.128501391279972 0.976892062211506 2 485 "metabolic process" "BP"
"511" "GO:0005215" 0.199103325189521 0.979995588405542 1 164 "transporter activity" "MF"
"532" "GO:0005506" 0.207485007335211 0.978201249739778 1 163 "iron ion binding" "MF"
"123" "GO:0003824" 0.231948148291547 0.93992398840963 2 704 "catalytic activity" "MF"
"567" "GO:0005737" 0.277842281669743 0.959651205768501 1 233 "cytoplasm" "CC"
"617" "GO:0005975" 0.280764222186981 0.958728090512756 1 261 "carbohydrate metabolic process" "BP"
"1922" "GO:0055114" 0.314750644691182 0.900141576449852 2 782 "oxidation-reduction process" "BP"
"1292" "GO:0016491" 0.460675121661905 0.878675738784545 1 436 "oxidoreductase activity" "MF"
"700" "GO:0006355" 0.538448846024775 0.826907237722436 1 517 "regulation of transcription, DNA-templated" "BP"
"97" "GO:0003676" 0.58906441256049 0.786376650346926 1 620 "nucleic acid binding" "MF"
"1253" "GO:0016020" 0.606185850984256 0.771303322963249 1 660 "membrane" "CC"
