"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1923" "GO:0055085" 7.53220558319207e-14 1 49 329 "transmembrane transport" "BP"
"1332" "GO:0016705" 2.80668432369186e-10 0.99999999994458 37 138 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"931" "GO:0008152" 2.15301648230832e-09 1 56 496 "metabolic process" "BP"
"511" "GO:0005215" 6.19296310593241e-09 0.999999998362053 34 172 "transporter activity" "MF"
"1344" "GO:0016758" 1.32520171153967e-08 0.999999997293929 24 114 "transferase activity, transferring hexosyl groups" "MF"
"421" "GO:0004672" 1.68563772940117e-08 1 50 733 "protein kinase activity" "MF"
"753" "GO:0006468" 1.68563772940117e-08 1 50 733 "protein phosphorylation" "BP"
"1823" "GO:0046983" 6.62644532421069e-08 0.999999975215638 55 176 "protein dimerization activity" "MF"
"1480" "GO:0020037" 1.39536012628112e-07 0.999999949548531 46 192 "heme binding" "MF"
"532" "GO:0005506" 1.59692142758896e-07 0.999999946767481 39 178 "iron ion binding" "MF"
"855" "GO:0006855" 2.89509582569597e-07 0.999999971349574 11 43 "drug transmembrane transport" "BP"
"1217" "GO:0015238" 2.89509582569597e-07 0.999999971349574 11 43 "drug transmembrane transporter activity" "MF"
"1219" "GO:0015297" 2.89509582569597e-07 0.999999971349574 11 43 "antiporter activity" "MF"
"1920" "GO:0052861" 1.18629008247394e-06 1 2 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"1255" "GO:0016020" 1.42638427545339e-06 0.999999505072639 80 678 "membrane" "CC"
"848" "GO:0006817" 3.79105244937045e-06 1 2 2 "phosphate ion transport" "BP"
"1730" "GO:0043531" 4.56666791993686e-06 0.999999034094646 16 97 "ADP binding" "MF"
"537" "GO:0005524" 1.30521123076692e-05 0.99999293130646 81 1477 "ATP binding" "MF"
"856" "GO:0006857" 1.36419089479302e-05 0.999999430211506 5 24 "oligopeptide transport" "BP"
"499" "GO:0004970" 7.72653960999257e-05 0.999999720831224 2 12 "ionotropic glutamate receptor activity" "MF"
"1924" "GO:0055114" 0.000119030579942626 0.999926277043423 96 812 "oxidation-reduction process" "BP"
"617" "GO:0005975" 0.000144735985427496 0.999940623430559 28 271 "carbohydrate metabolic process" "BP"
"357" "GO:0004553" 0.000213522992945584 0.999935819904318 16 134 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"123" "GO:0003824" 0.000299274818974783 0.99983105451693 57 713 "catalytic activity" "MF"
"306" "GO:0004402" 0.000353320073842165 0.999992105537595 3 7 "histone acetyltransferase activity" "MF"
"1149" "GO:0009694" 0.000493662916211085 0.999995821816737 2 8 "jasmonic acid metabolic process" "BP"
"1162" "GO:0009864" 0.000493662916211085 0.999995821816737 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1970" "GO:0080123" 0.000493662916211085 0.999995821816737 2 8 "jasmonate-amino synthetase activity" "MF"
"515" "GO:0005249" 0.000558331789946856 0.999967968202619 5 8 "voltage-gated potassium channel activity" "MF"
"842" "GO:0006810" 0.000839569796756115 0.999583068374409 35 246 "transport" "BP"
"24" "GO:0000165" 0.000840222552110766 0.999852857311135 11 18 "MAPK cascade" "BP"
"79" "GO:0000977" 0.000840222552110766 0.999852857311135 11 18 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"845" "GO:0006813" 0.00102779663180888 0.999891974892639 6 12 "potassium ion transport" "BP"
"1782" "GO:0045944" 0.00103328404824005 0.999805482883061 11 19 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"1847" "GO:0048476" 0.0010903776992161 1 1 1 "Holliday junction resolvase complex" "CC"
"20" "GO:0000155" 0.00109047234485903 0.999984221832713 2 19 "phosphorelay sensor kinase activity" "MF"
"1194" "GO:0010333" 0.0011152679990123 0.999844948612927 8 14 "terpene synthase activity" "MF"
"1808" "GO:0046835" 0.00130305592275934 0.999981973638482 2 8 "carbohydrate phosphorylation" "BP"
"512" "GO:0005216" 0.00130908310993434 0.999809732258358 6 31 "ion channel activity" "MF"
"1142" "GO:0009638" 0.00133581776087581 1 1 1 "phototropism" "BP"
"324" "GO:0004451" 0.00135210477727607 1 1 1 "isocitrate lyase activity" "MF"
"1315" "GO:0016620" 0.00157691150548275 0.999862815369018 4 28 "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" "MF"
"766" "GO:0006508" 0.0016226807975046 0.999219691549576 28 270 "proteolysis" "BP"
"627" "GO:0006006" 0.00229208337226658 0.99988316741791 3 11 "glucose metabolic process" "BP"
"1451" "GO:0019499" 0.0023038756744256 1 2 2 "cyanide metabolic process" "BP"
"1853" "GO:0050017" 0.0023038756744256 1 2 2 "L-3-cyanoalanine synthase activity" "MF"
"241" "GO:0004134" 0.00248966267142942 0.999998450249536 1 2 "4-alpha-glucanotransferase activity" "MF"
"1986" "GO:1990316" 0.00268469315571489 0.999998197760308 1 2 "ATG1/ULK1 kinase complex" "CC"
"1235" "GO:0015846" 0.00279748320643405 1 1 1 "polyamine transport" "BP"
"1465" "GO:0019808" 0.00279748320643405 1 1 1 "polyamine binding" "MF"
"1692" "GO:0042597" 0.00279748320643405 1 1 1 "periplasmic space" "CC"
"1483" "GO:0022891" 0.002998669511565 0.999487394555504 6 30 "substrate-specific transmembrane transporter activity" "MF"
"535" "GO:0005515" 0.00311653762666478 0.997692714636323 139 2471 "protein binding" "MF"
"1803" "GO:0046577" 0.00326368618265942 0.999996448384396 1 3 "long-chain-alcohol oxidase activity" "MF"
"1482" "GO:0022857" 0.00334620457120384 0.999122950269053 9 54 "transmembrane transporter activity" "MF"
"1509" "GO:0030170" 0.00400278900436316 0.998992831698496 8 72 "pyridoxal phosphate binding" "MF"
"518" "GO:0005315" 0.00446117018946113 0.99994043889074 2 3 "inorganic phosphate transmembrane transporter activity" "MF"
"996" "GO:0008515" 0.00450884868583715 1 1 1 "sucrose transmembrane transporter activity" "MF"
"1232" "GO:0015770" 0.00450884868583715 1 1 1 "sucrose transport" "BP"
"930" "GO:0008146" 0.00451591379444042 0.999597709126071 4 9 "sulfotransferase activity" "MF"
"843" "GO:0006811" 0.00496454729517162 0.999242195959247 5 23 "ion transport" "BP"
"1174" "GO:0009976" 0.00585034794818721 1 1 1 "tocopherol cyclase activity" "MF"
"1367" "GO:0016829" 0.0062970032773201 0.99855390358352 8 21 "lyase activity" "MF"
"1467" "GO:0019829" 0.00650380957879786 0.999982350778253 1 6 "cation-transporting ATPase activity" "MF"
"422" "GO:0004673" 0.00651756585105167 0.999982275943851 1 6 "protein histidine kinase activity" "MF"
"1179" "GO:0010105" 0.00651756585105167 0.999982275943851 1 6 "negative regulation of ethylene-activated signaling pathway" "BP"
"1664" "GO:0038199" 0.00651756585105167 0.999982275943851 1 6 "ethylene receptor activity" "MF"
"1874" "GO:0050896" 0.00651756585105167 0.999982275943851 1 6 "response to stimulus" "BP"
"1907" "GO:0051740" 0.00651756585105167 0.999982275943851 1 6 "ethylene binding" "MF"
"829" "GO:0006754" 0.00755158139527495 0.999977146557351 1 5 "ATP biosynthetic process" "BP"
"1341" "GO:0016747" 0.00783685618005547 0.99745331823717 10 67 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"844" "GO:0006812" 0.00815258339094208 0.998519862953465 5 37 "cation transport" "BP"
"1094" "GO:0009234" 0.00819054171654428 1 2 2 "menaquinone biosynthetic process" "BP"
"1013" "GO:0008654" 0.00947023650203299 0.999214037570927 3 10 "phospholipid biosynthetic process" "BP"
"1650" "GO:0035091" 0.00998382736587107 0.999217310013888 3 8 "phosphatidylinositol binding" "MF"
"1356" "GO:0016788" 0.00999099369903118 0.996450373573995 11 67 "hydrolase activity, acting on ester bonds" "MF"
"1294" "GO:0016491" 0.010204041789477 0.993635913291244 43 445 "oxidoreductase activity" "MF"
"1303" "GO:0016571" 0.0108318272608584 0.999947052164874 1 10 "histone methylation" "BP"
"36" "GO:0000234" 0.0119130992263054 0.999964347502217 1 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"813" "GO:0006656" 0.0119130992263054 0.999964347502217 1 2 "phosphatidylcholine biosynthetic process" "BP"
"1852" "GO:0048544" 0.0123435926906221 0.998699493002898 3 23 "recognition of pollen" "BP"
"205" "GO:0004030" 0.0147373497430928 0.99994536142209 1 2 "aldehyde dehydrogenase [NAD(P)+] activity" "MF"
"641" "GO:0006081" 0.0147373497430928 0.99994536142209 1 2 "cellular aldehyde metabolic process" "BP"
"107" "GO:0003712" 0.0148526571851562 0.997945670095665 4 11 "transcription cofactor activity" "MF"
