"ITAG","cluster"
"Solyc00g069887",6
"Solyc00g009145",11
"Solyc00g183555",11
"Solyc00g212265",11
"Solyc00g005092",4
"Solyc00g005098",11
"Solyc00g005445",11
"Solyc00g006490",11
"Solyc00g006568",11
"Solyc00g006655",11
"Solyc00g006687",11
"Solyc00g008165",11
"Solyc00g009040",34
"Solyc00g009110",10
"Solyc00g009146",11
"Solyc00g009148",11
"Solyc06g024330",33
"Solyc00g012640",18
"Solyc00g013181",11
"Solyc00g013183",11
"Solyc00g013184",11
"Solyc00g013186",11
"Solyc00g014290",18
"Solyc00g014830",11
"Solyc00g014980",11
"Solyc00g021655",11
"Solyc00g024695",11
"Solyc00g030105",11
"Solyc00g032945",11
"Solyc00g044750",18
"Solyc00g052430",11
"Solyc00g056680",11
"Solyc00g071180",11
"Solyc00g075035",11
"Solyc00g085070",2
"Solyc00g090115",11
"Solyc00g100885",11
"Solyc00g102400",12
"Solyc00g110375",11
"Solyc00g117657",12
"Solyc00g128875",11
"Solyc00g143777",11
"Solyc00g147573",11
"Solyc00g160785",11
"Solyc00g167805",11
"Solyc00g170515",11
"Solyc00g174345",11
"Solyc00g222067",11
"Solyc00g230080",11
"Solyc00g247305",11
"Solyc00g294233",11
"Solyc00g304030",11
"Solyc00g304035",11
"Solyc00g005040",4
"Solyc00g005890",11
"Solyc00g005907",11
"Solyc00g006595",11
"Solyc00g006680",33
"Solyc00g006867",2
"Solyc00g006903",11
"Solyc00g008000",11
"Solyc00g008055",11
"Solyc00g008570",33
"Solyc00g008580",36
"Solyc00g008800",33
"Solyc00g008910",34
"Solyc00g008915",11
"Solyc00g009030",34
"Solyc00g009050",3
"Solyc00g009060",30
"Solyc00g009070",3
"Solyc00g009090",36
"Solyc00g009141",12
"Solyc00g009142",11
"Solyc00g009143",11
"Solyc00g009144",11
"Solyc00g009650",11
"Solyc00g009760",33
"Solyc00g009765",33
"Solyc00g010410",33
"Solyc00g010420",33
"Solyc00g010520",33
"Solyc00g010525",33
"Solyc00g010530",33
"Solyc00g010750",34
"Solyc00g010755",33
"Solyc00g010780",33
"Solyc00g010930",33
"Solyc00g011150",36
"Solyc00g011160",33
"Solyc00g011170",29
"Solyc00g011175",18
"Solyc03g043580",27
"Solyc00g011670",27
"Solyc00g011673",27
"Solyc00g011677",27
"Solyc00g011870",27
"Solyc00g011880",1
"Solyc00g011895",18
"Solyc00g012430",33
"Solyc00g012435",11
"Solyc00g012440",33
"Solyc00g012540",18
"Solyc00g012650",18
"Solyc00g012660",18
"Solyc00g012670",18
"Solyc00g012680",18
"Solyc00g012690",18
"Solyc00g012700",18
"Solyc00g012702",11
"Solyc00g012704",11
"Solyc00g012706",11
"Solyc00g012708",11
"Solyc00g013110",11
"Solyc00g013120",17
"Solyc00g013130",11
"Solyc00g013133",11
"Solyc00g013137",11
"Solyc00g013150",11
"Solyc00g013155",11
"Solyc00g013160",11
"Solyc00g013170",11
"Solyc00g013180",11
"Solyc00g013182",11
"Solyc00g013185",11
"Solyc00g013188",11
"Solyc00g014170",18
"Solyc00g014180",18
"Solyc00g014190",18
"Solyc00g014390",10
"Solyc00g014395",11
"Solyc00g014990",11
"Solyc00g014995",11
"Solyc00g015000",11
"Solyc00g015600",12
"Solyc00g015720",11
"Solyc00g015730",11
"Solyc00g015733",11
"Solyc00g015735",10
"Solyc00g015737",11
"Solyc00g016915",11
"Solyc00g017235",18
"Solyc00g017933",11
"Solyc00g018970",36
"Solyc00g102000",33
"Solyc00g022107",11
"Solyc00g026160",30
"Solyc00g026165",11
"Solyc00g026907",11
"Solyc00g030000",11
"Solyc00g030215",11
"Solyc00g030520",4
"Solyc00g032943",11
"Solyc00g036964",18
"Solyc00g042852",11
"Solyc00g044350",33
"Solyc00g044755",1
"Solyc00g050430",32
"Solyc00g055985",18
"Solyc00g056180",9
"Solyc00g057280",9
"Solyc00g057885",9
"Solyc00g058480",11
"Solyc00g058900",9
"Solyc00g059500",4
"Solyc00g059503",9
"Solyc00g059505",9
"Solyc00g059507",9
"Solyc00g060700",9
"Solyc00g060710",9
"Solyc00g060810",9
"Solyc00g066155",34
"Solyc00g068980",36
"Solyc00g068985",11
"Solyc00g069680",12
"Solyc01g058600",11
"Solyc00g069880",5
"Solyc00g069883",11
"Solyc00g071580",6
"Solyc00g071590",6
"Solyc00g071600",6
"Solyc00g072100",2
"Solyc00g072400",6
"Solyc00g072405",6
"Solyc00g072800",6
"Solyc00g072805",11
"Solyc00g073900",6
"Solyc00g084650",3
"Solyc06g024210",33
"Solyc00g090110",33
"Solyc00g090130",33
"Solyc00g090430",11
"Solyc00g090640",11
"Solyc00g090650",18
"Solyc00g090660",18
"Solyc00g090860",18
"Solyc00g090870",18
"Solyc00g092870",18
"Solyc00g092880",18
"Solyc00g092890",18
"Solyc00g092900",18
"Solyc00g093000",18
"Solyc00g093100",18
"Solyc00g094010",18
"Solyc00g094020",18
"Solyc00g094520",18
"Solyc00g094530",18
"Solyc00g094540",18
"Solyc00g094550",18
"Solyc00g095450",18
"Solyc00g095460",18
"Solyc00g095465",11
"Solyc00g095860",11
"Solyc00g096060",11
"Solyc00g096460",4
"Solyc00g097960",11
"Solyc00g098560",11
"Solyc00g099580",35
"Solyc00g101700",11
"Solyc00g110870",2
"Solyc00g111175",11
"Solyc00g125275",11
"Solyc00g127870",17
"Solyc00g129685",18
"Solyc00g141565",11
"Solyc00g145170",30
"Solyc00g170200",4
"Solyc00g170210",11
"Solyc00g170510",11
"Solyc00g171710",11
"Solyc00g171810",11
"Solyc00g172410",11
"Solyc00g173430",11
"Solyc00g174340",11
"Solyc00g178340",11
"Solyc00g179240",11
"Solyc00g180440",11
"Solyc00g180840",11
"Solyc00g181240",11
"Solyc00g181250",11
"Solyc00g183050",11
"Solyc00g183055",11
"Solyc00g183550",11
"Solyc00g187050",18
"Solyc00g213960",11
"Solyc00g215560",11
"Solyc00g215565",11
"Solyc00g217560",11
"Solyc00g217960",11
"Solyc00g218560",11
"Solyc00g222060",11
"Solyc00g222063",11
"Solyc00g222065",11
"Solyc00g226760",11
"Solyc00g227860",11
"Solyc00g227960",11
"Solyc00g230060",11
"Solyc00g230070",11
"Solyc00g230280",11
"Solyc00g231680",11
"Solyc00g231780",11
"Solyc00g233480",11
"Solyc00g237680",11
"Solyc00g240580",11
"Solyc00g244280",11
"Solyc00g244290",11
"Solyc00g244300",11
