"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"541","GO:0005544",0.00044905007091882,0.999987917424501,3,9,"calcium-dependent phospholipid binding","MF"
"876","GO:0006979",0.000508331988228168,0.999951794676445,5,38,"response to oxidative stress","BP"
"281","GO:0004351",0.000580605545580725,0.999997291176932,2,3,"glutamate decarboxylase activity","MF"
"775","GO:0006536",0.000580605545580725,0.999997291176932,2,3,"glutamate metabolic process","BP"
"510","GO:0005215",0.000723705767253126,0.999842561279749,9,159,"transporter activity","MF"
"378","GO:0004601",0.00117697533571445,0.999905754236818,4,30,"peroxidase activity","MF"
"1452","GO:0019752",0.00155227982814219,0.999926270828918,3,16,"carboxylic acid metabolic process","BP"
"1446","GO:0019538",0.00178095209747726,0.99990971628958,3,18,"protein metabolic process","BP"
"1689","GO:0042744",0.00234514043208484,0.99987002756827,3,17,"hydrogen peroxide catabolic process","BP"
"1815","GO:0046983",0.00253418662706411,0.999402162386613,8,136,"protein dimerization activity","MF"
"1247","GO:0016020",0.00305644689076045,0.998668574855227,20,649,"membrane","CC"
"123","GO:0003824",0.00371832909547385,0.998350410461424,20,691,"catalytic activity","MF"
"1805","GO:0046872",0.00519090966119498,0.998159998109454,12,322,"metal ion binding","MF"
"841","GO:0006810",0.00533369940920854,0.998312185437371,10,235,"transport","BP"
"487","GO:0004857",0.00775425203571896,0.9993137576684,3,24,"enzyme inhibitor activity","MF"
"1360","GO:0016831",0.00813386766901317,0.999699373988866,2,10,"carboxy-lyase activity","MF"
"543","GO:0005576",0.00859182432099773,0.999217171015185,3,22,"extracellular region","CC"
"928","GO:0008146",0.0102047960045833,0.999584427832893,2,9,"sulfotransferase activity","MF"
"124","GO:0003825",0.0113231200263898,1,1,1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity","MF"
"323","GO:0004451",0.0137640868225756,1,1,1,"isocitrate lyase activity","MF"
"967","GO:0008356",0.0139639557961789,1,1,1,"asymmetric cell division","BP"
"1165","GO:0009956",0.0139639557961789,1,1,1,"radial pattern formation","BP"
"1838","GO:0048366",0.0139639557961789,1,1,1,"leaf development","BP"
"1478","GO:0030001",0.0139915296000639,0.997664268456647,4,53,"metal ion transport","BP"
"858","GO:0006869",0.0158786866082548,0.999206135275171,2,8,"lipid transport","BP"
"1472","GO:0020037",0.0158824839279559,0.995304466095571,7,162,"heme binding","MF"
"1862","GO:0050662",0.0195433239675988,0.997493878704826,3,36,"coenzyme binding","MF"
"1112","GO:0009415",0.0214291355597908,1,1,1,"response to water","BP"
"263","GO:0004252",0.0236071473224696,0.995334809720325,4,74,"serine-type endopeptidase activity","MF"
"1141","GO:0009664",0.026655459125101,0.998061070939112,2,14,"plant-type cell wall organization","BP"
"1152","GO:0009765",0.0275915945428087,0.995986412033957,3,33,"photosynthesis, light harvesting","BP"
"36","GO:0000234",0.0278200329409687,0.999804807462005,1,2,"phosphoethanolamine N-methyltransferase activity","MF"
"812","GO:0006656",0.0278200329409687,0.999804807462005,1,2,"phosphatidylcholine biosynthetic process","BP"
"205","GO:0004030",0.0279295655646258,0.99980325635423,1,2,"aldehyde dehydrogenase [NAD(P)+] activity","MF"
"640","GO:0006081",0.0279295655646258,0.99980325635423,1,2,"cellular aldehyde metabolic process","BP"
"356","GO:0004553",0.0297095480839628,0.992215980451402,5,125,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"945","GO:0008242",0.031870496380485,0.999743297499129,1,2,"omega peptidase activity","MF"
"1915","GO:0055085",0.0331983897954894,0.986742643057361,9,310,"transmembrane transport","BP"
"616","GO:0005975",0.0337444110966588,0.987341330122653,8,256,"carbohydrate metabolic process","BP"
"1474","GO:0022857",0.0339706447861051,0.994543227663927,3,49,"transmembrane transporter activity","MF"
"1012","GO:0008661",0.0386688950016728,0.999495474267081,1,3,"1-deoxy-D-xylulose-5-phosphate synthase activity","MF"
"229","GO:0004096",0.0415091378604327,0.999417876864071,1,3,"catalase activity","MF"
"1188","GO:0010309",0.0415630245780044,0.999561224138583,1,2,"acireductone dioxygenase [iron(II)-requiring] activity","MF"
"795","GO:0006596",0.046191125959855,0.999277591420933,1,3,"polyamine biosynthetic process","BP"
"873","GO:0006950",0.049902182270441,0.990693781052264,3,47,"response to stress","BP"
"1686","GO:0042626",0.0501143488129019,0.994563765878029,2,28,"ATPase activity, coupled to transmembrane movement of substances","MF"
"1475","GO:0022891",0.0538555828883748,0.993933479250903,2,27,"substrate-specific transmembrane transporter activity","MF"
"995","GO:0008519",0.0551617146468941,0.998837978082951,1,4,"ammonium transmembrane transporter activity","MF"
"1223","GO:0015696",0.0551617146468941,0.998837978082951,1,4,"ammonium transport","BP"
"1954","GO:0072488",0.0551617146468941,0.998837978082951,1,4,"ammonium transmembrane transport","BP"
"777","GO:0006541",0.0598689874134997,0.998628374459504,1,4,"glutamine metabolic process","BP"
