"","sample","genotype","tissue","region"
"1","tfambr","tf2","mbr","A"
"2","tfambr","tf2","mbr","A"
"3","tfambr","tf2","mbr","A"
"4","tfaother","tf2","rachis","A"
"5","tfaother","tf2","rachis","A"
"6","tfaother","tf2","rachis","A"
"7","tfaother","tf2","rachis","A"
"8","tfbmbr","tf2","mbr","B"
"9","tfbmbr","tf2","mbr","B"
"10","tfbother","tf2","rachis","B"
"11","tfbother","tf2","rachis","B"
"12","tfbother","tf2","rachis","B"
"13","tfbother","tf2","rachis","B"
"14","tfcmbr","tf2","mbr","C"
"15","tfcmbr","tf2","mbr","C"
"16","tfcmbr","tf2","mbr","C"
"17","tfcmbr","tf2","mbr","C"
"18","tfcother","tf2","rachis","C"
"19","tfcother","tf2","rachis","C"
"20","tfcother","tf2","rachis","C"
"21","tfcother","tf2","rachis","C"
"22","wtambr","wt","mbr","A"
"23","wtambr","wt","mbr","A"
"24","wtambr","wt","mbr","A"
"25","wtaother","wt","rachis","A"
"26","wtaother","wt","rachis","A"
"27","wtaother","wt","rachis","A"
"28","wtaother","wt","rachis","A"
"29","wtaother","wt","rachis","A"
"30","wtbmbr","wt","mbr","B"
"31","wtbmbr","wt","mbr","B"
"32","wtbmbr","wt","mbr","B"
"33","wtbother","wt","rachis","B"
"34","wtbother","wt","rachis","B"
"35","wtbother","wt","rachis","B"
"36","wtcmbr","wt","mbr","C"
"37","wtcmbr","wt","mbr","C"
"38","wtcmbr","wt","mbr","C"
"39","wtcmbr","wt","mbr","C"
"40","wtcmbr","wt","mbr","C"
"41","wtcmbr","wt","mbr","C"
"42","wtcother","wt","rachis","C"
"43","wtcother","wt","rachis","C"
