"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1147" "GO:0009725" 1.57213083324628e-06 0.999999979108866 4 18 "response to hormone" "BP"
"1145" "GO:0009694" 4.93576955442127e-05 0.999999869988842 2 8 "jasmonic acid metabolic process" "BP"
"1157" "GO:0009864" 4.93576955442127e-05 0.999999869988842 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1964" "GO:0080123" 4.93576955442127e-05 0.999999869988842 2 8 "jasmonate-amino synthetase activity" "MF"
"22" "GO:0000160" 0.000161215751514974 0.999988035716117 5 44 "phosphorelay signal transduction system" "BP"
"1816" "GO:0046983" 0.000450823192705839 0.999909343396716 9 140 "protein dimerization activity" "MF"
"931" "GO:0008171" 0.000764738495557717 0.999972766993148 3 13 "O-methyltransferase activity" "MF"
"699" "GO:0006355" 0.000945942628913624 0.999674313123831 16 514 "regulation of transcription, DNA-templated" "BP"
"771" "GO:0006527" 0.00163490034969079 0.99999933612803 1 2 "arginine catabolic process" "BP"
"1029" "GO:0008792" 0.00163490034969079 0.99999933612803 1 2 "arginine decarboxylase activity" "MF"
"1791" "GO:0046524" 0.00325675385671954 0.999996046339416 1 4 "sucrose-phosphate synthase activity" "MF"
"930" "GO:0008168" 0.00349585450948667 0.999461464651673 5 118 "methyltransferase activity" "MF"
"1189" "GO:0010333" 0.00377209066485895 0.999908510873158 2 9 "terpene synthase activity" "MF"
"620" "GO:0005985" 0.00488353600881274 0.999990116888386 1 6 "sucrose metabolic process" "BP"
"1261" "GO:0016157" 0.00488353600881274 0.999990116888386 1 6 "sucrose synthase activity" "MF"
"421" "GO:0004673" 0.00489038991584428 0.999990089100873 1 6 "protein histidine kinase activity" "MF"
"1174" "GO:0010105" 0.00489038991584428 0.999990089100873 1 6 "negative regulation of ethylene-activated signaling pathway" "BP"
"1657" "GO:0038199" 0.00489038991584428 0.999990089100873 1 6 "ethylene receptor activity" "MF"
"1867" "GO:0050896" 0.00489038991584428 0.999990089100873 1 6 "response to stimulus" "BP"
"1900" "GO:0051740" 0.00489038991584428 0.999990089100873 1 6 "ethylene binding" "MF"
"229" "GO:0004096" 0.00515746769384627 0.999991178136426 1 3 "catalase activity" "MF"
"232" "GO:0004107" 0.00696422953685793 0.999987921378508 1 2 "chorismate synthase activity" "MF"
"1135" "GO:0009611" 0.00709446153224597 0.999417485827273 3 17 "response to wounding" "BP"
"356" "GO:0004553" 0.00726256955502578 0.999330368101959 3 125 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"813" "GO:0006659" 0.00780681806148593 0.999984815354349 1 2 "phosphatidylserine biosynthetic process" "BP"
"1593" "GO:0032502" 0.0092771094116667 0.999611293482071 2 15 "developmental process" "BP"
"485" "GO:0004852" 0.0118571835691124 1 1 1 "uroporphyrinogen-III synthase activity" "MF"
"1690" "GO:0042744" 0.0126935201669084 0.999365194906928 2 17 "hydrogen peroxide catabolic process" "BP"
"1360" "GO:0016829" 0.0135555061129639 0.999302631063019 2 16 "lyase activity" "MF"
"282" "GO:0004352" 0.0138522707465478 0.999936110208262 1 3 "glutamate dehydrogenase (NAD+) activity" "MF"
"1316" "GO:0016639" 0.0146560646728386 0.999919544562682 1 4 "oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor" "MF"
"20" "GO:0000155" 0.0199368940374564 0.999811769950727 1 19 "phosphorelay sensor kinase activity" "MF"
"876" "GO:0006979" 0.0208905126225126 0.997254815450522 3 38 "response to oxidative stress" "BP"
