,levels(factor(wt_sig_revigo$term)),chosen
1,nucleic acid binding,1
3,DNA-(apurinic or apyrimidinic site) lyase activity,1
32,response to hormone,
35,regulation of gene expression,1
37,cell growth,1
45,heme binding,
58,regulation of monopolar cell growth,
59,transmembrane transport,1
61,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding",1
64,RNA-directed RNA polymerase activity,1
67,structural constituent of cell wall,1
68,transporter activity,1
69,copper ion binding,
71,carbohydrate metabolic process,1
75,transport,1
80,asymmetric cell division,1
82,response to water,1
83,"photosynthesis, light harvesting",1
84,radial pattern formation,1
90,oxygen binding,
93,leaf development,1
97,nucleotide binding,1
101,nucleosome,1
102,TFIIIB-type transcription factor activity,1
103,DNA binding,1
104,DNA helicase activity,1
105,single-stranded DNA binding,1
106,RNA binding,1
107,structural constituent of ribosome,1
133,DNA replication,1
134,DNA replication initiation,1
135,nucleosome assembly,1
136,RNA processing,1
143,multicellular organism development,1
157,ribosome biogenesis,1
164,auxin transport,1
169,"transcription factor activity, sequence-specific DNA binding",1
176,cell wall,
188,photosystem I reaction center,1
202,cell wall biogenesis,1
241,sucrose transmembrane transporter activity,1
243,plant-type secondary cell wall biogenesis,1
246,sucrose transport,1
2,catalytic activity,
4,catechol oxidase activity,
5,diacylglycerol kinase activity,
6,aspartic-type endopeptidase activity,
7,galactokinase activity,
8,helicase activity,
9,hydroxymethylglutaryl-CoA synthase activity,
10,inositol-3-phosphate synthase activity,
11,binding,
12,iron ion binding,
13,protein binding,
14,peroxisome,
15,citrate metabolic process,
16,"base-excision repair, AP site formation",
17,protein phosphorylation,
18,proteolysis,
19,cation transport,
20,drug transmembrane transport,
21,protein kinase C-activating G-protein coupled receptor signaling pathway,
22,tRNA processing,
23,sulfotransferase activity,
24,metabolic process,
25,lipid binding,
26,protein prenyltransferase activity,
27,4-amino-4-deoxychorismate lyase activity,
28,S-adenosylmethionine-dependent methyltransferase activity,
29,tetraacyldisaccharide 4'-kinase activity,
30,purine ribonucleotide biosynthetic process,
31,jasmonic acid metabolic process,
33,"induced systemic resistance, jasmonic acid mediated signaling pathway",
34,chlorophyllide a oxygenase [overall] activity,
36,drug transmembrane transporter activity,
38,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",
39,"transferase activity, transferring hexosyl groups",
40,"hydrolase activity, acting on acid anhydrides",
41,carbon-sulfur lyase activity,
42,protein prenylation,
43,DNA N-glycosylase activity,
44,protein metabolic process,
46,manganese ion binding,
47,pyridoxal phosphate binding,
48,[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity,
49,regulation of defense response,
50,cullin-RING ubiquitin ligase complex,
51,ubiquitin protein ligase binding,
52,cellular response to extracellular stimulus,
53,macromolecule modification,
54,pigment biosynthetic process,
55,folic acid biosynthetic process,
56,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",
57,protein dimerization activity,
60,jasmonate-amino synthetase activity,
62,core promoter proximal region sequence-specific DNA binding,
63,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity",
65,glutamate decarboxylase activity,
66,proline dehydrogenase activity,
70,extracellular region,
72,glucose metabolic process,
73,glutamate metabolic process,
74,proline catabolic process,
76,oligopeptide transport,
77,lipid transport,
78,response to stress,
79,O-methyltransferase activity,
81,3-hydroxyisobutyrate dehydrogenase activity,
85,membrane,
86,protochlorophyllide reductase activity,
87,"hydrolase activity, acting on ester bonds",
88,ATPase activity,
89,carboxylic acid metabolic process,
91,substrate-specific transmembrane transporter activity,
92,"proton-transporting two-sector ATPase complex, proton-transporting domain",
94,coenzyme binding,
95,oxidation-reduction process,
96,FAD binding,
98,nuclear exosome (RNase complex),
99,spliceosomal snRNP assembly,
100,protein peptidyl-prolyl isomerization,
108,translation elongation factor activity,
109,microtubule motor activity,
