"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"874" "GO:0006952" 1.04970036513056e-08 1 3 22 "defense response" "BP"
"1" "GO:0000015" 1 0.998770014935437 0 5 "phosphopyruvate hydratase complex" "CC"
"2" "GO:0000027" 1 0.999717981915 0 1 "ribosomal large subunit assembly" "BP"
"3" "GO:0000042" 1 0.9997839381616 0 1 "protein targeting to Golgi" "BP"
"4" "GO:0000045" 1 0.999642724155042 0 1 "autophagosome assembly" "BP"
"5" "GO:0000049" 1 0.997875676611028 0 9 "tRNA binding" "MF"
"6" "GO:0000062" 1 0.998965266875358 0 4 "fatty-acyl-CoA binding" "MF"
"7" "GO:0000075" 1 0.999777205243621 0 1 "cell cycle checkpoint" "BP"
"8" "GO:0000077" 1 0.999524678275913 0 2 "DNA damage checkpoint" "BP"
"9" "GO:0000079" 1 0.998358682652027 0 6 "regulation of cyclin-dependent protein serine/threonine kinase activity" "BP"
"10" "GO:0000103" 1 0.998491479949715 0 6 "sulfate assimilation" "BP"
"11" "GO:0000105" 1 0.998311867682525 0 7 "histidine biosynthetic process" "BP"
"12" "GO:0000107" 1 0.999783887432441 0 1 "imidazoleglycerol-phosphate synthase activity" "MF"
"13" "GO:0000123" 1 0.998794386920382 0 4 "histone acetyltransferase complex" "CC"
"14" "GO:0000126" 1 0.999280797066434 0 3 "transcription factor TFIIIB complex" "CC"
"15" "GO:0000139" 1 0.997485492579182 0 10 "Golgi membrane" "CC"
"16" "GO:0000145" 1 0.99457507231703 0 24 "exocyst" "CC"
"17" "GO:0000148" 1 0.998491677756777 0 7 "1,3-beta-D-glucan synthase complex" "CC"
"18" "GO:0000151" 1 0.998908711889838 0 5 "ubiquitin ligase complex" "CC"
"19" "GO:0000154" 1 0.999527524023026 0 2 "rRNA modification" "BP"
"20" "GO:0000155" 1 0.995888642561301 0 19 "phosphorelay sensor kinase activity" "MF"
"21" "GO:0000159" 1 0.997085400022793 0 13 "protein phosphatase type 2A complex" "CC"
"22" "GO:0000160" 1 0.989622715126311 0 43 "phosphorelay signal transduction system" "BP"
"23" "GO:0000162" 1 0.998665707892685 0 6 "tryptophan biosynthetic process" "BP"
"24" "GO:0000165" 1 0.994753573504101 0 16 "MAPK cascade" "BP"
"25" "GO:0000166" 1 0.919795817824846 0 339 "nucleotide binding" "MF"
"26" "GO:0000175" 1 0.9993489324648 0 3 "3'-5'-exoribonuclease activity" "MF"
"27" "GO:0000176" 1 0.999783948682757 0 1 "nuclear exosome (RNase complex)" "CC"
"28" "GO:0000178" 1 0.998462603867493 0 6 "exosome (RNase complex)" "CC"
"29" "GO:0000179" 1 0.999527524023026 0 2 "rRNA (adenine-N6,N6-)-dimethyltransferase activity" "MF"
"30" "GO:0000184" 1 0.999137620851874 0 4 "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "BP"
"31" "GO:0000213" 1 0.999724299859209 0 1 "tRNA-intron endonuclease activity" "MF"
"32" "GO:0000220" 1 0.99935191727438 0 3 "vacuolar proton-transporting V-type ATPase, V0 domain" "CC"
"33" "GO:0000221" 1 0.999557312173347 0 2 "vacuolar proton-transporting V-type ATPase, V1 domain" "CC"
"34" "GO:0000226" 1 0.996607776174672 0 15 "microtubule cytoskeleton organization" "BP"
"35" "GO:0000228" 1 0.998450101341929 0 5 "nuclear chromosome" "CC"
"36" "GO:0000234" 1 0.999563522930249 0 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"37" "GO:0000244" 1 0.999780932248493 0 1 "spliceosomal tri-snRNP complex assembly" "BP"
"38" "GO:0000245" 1 0.999783530502096 0 1 "spliceosomal complex assembly" "BP"
"39" "GO:0000256" 1 0.999782048336155 0 1 "allantoin catabolic process" "BP"
"40" "GO:0000266" 1 0.999065029994764 0 3 "mitochondrial fission" "BP"
"41" "GO:0000272" 1 0.998482675663876 0 7 "polysaccharide catabolic process" "BP"
"42" "GO:0000275" 1 0.998389265208093 0 6 "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" "CC"
"43" "GO:0000276" 1 0.99792904509194 0 6 "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" "CC"
"44" "GO:0000278" 1 0.999742128300039 0 1 "mitotic cell cycle" "BP"
"45" "GO:0000287" 1 0.978900292369814 0 85 "magnesium ion binding" "MF"
"46" "GO:0000289" 1 0.997987639800442 0 8 "nuclear-transcribed mRNA poly(A) tail shortening" "BP"
"47" "GO:0000290" 1 0.999296441890707 0 3 "deadenylation-dependent decapping of nuclear-transcribed mRNA" "BP"
"48" "GO:0000338" 1 0.999751057540619 0 1 "protein deneddylation" "BP"
"49" "GO:0000339" 1 0.999514306095951 0 2 "RNA cap binding" "MF"
"50" "GO:0000373" 1 0.999783953755718 0 1 "Group II intron splicing" "BP"
"51" "GO:0000387" 1 0.996486785635481 0 11 "spliceosomal snRNP assembly" "BP"
"52" "GO:0000390" 1 0.999783971793802 0 1 "spliceosomal complex disassembly" "BP"
"53" "GO:0000398" 1 0.990986438869085 0 33 "mRNA splicing, via spliceosome" "BP"
"54" "GO:0000413" 1 0.993208529097426 0 26 "protein peptidyl-prolyl isomerization" "BP"
"55" "GO:0000439" 1 0.998688750515747 0 5 "core TFIIH complex" "CC"
"56" "GO:0000445" 1 0.999368404875297 0 2 "THO complex part of transcription export complex" "CC"
"57" "GO:0000462" 1 0.999783931952202 0 1 "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BP"
"58" "GO:0000469" 1 0.999730318566838 0 1 "cleavage involved in rRNA processing" "BP"
"59" "GO:0000502" 1 0.999133306169322 0 4 "proteasome complex" "CC"
"60" "GO:0000723" 1 0.997271281308695 0 12 "telomere maintenance" "BP"
"61" "GO:0000724" 1 0.997847291955952 0 9 "double-strand break repair via homologous recombination" "BP"
"62" "GO:0000737" 1 0.999734826439945 0 1 "DNA catabolic process, endonucleolytic" "BP"
"63" "GO:0000741" 1 0.999642122739196 0 1 "karyogamy" "BP"
"64" "GO:0000774" 1 0.999272242855229 0 3 "adenyl-nucleotide exchange factor activity" "MF"
"65" "GO:0000775" 1 0.998775992613387 0 5 "chromosome, centromeric region" "CC"
"66" "GO:0000776" 1 0.999537812745246 0 2 "kinetochore" "CC"
"67" "GO:0000784" 1 0.999779693549848 0 1 "nuclear chromosome, telomeric region" "CC"
"68" "GO:0000785" 1 0.999085432182692 0 3 "chromatin" "CC"
"69" "GO:0000786" 1 0.979537070710077 0 65 "nucleosome" "CC"
"70" "GO:0000796" 1 0.999567979849764 0 2 "condensin complex" "CC"
"71" "GO:0000808" 1 0.99932255942218 0 3 "origin recognition complex" "CC"
"72" "GO:0000811" 1 0.999718442754244 0 1 "GINS complex" "CC"
"73" "GO:0000902" 1 0.9991034198824 0 4 "cell morphogenesis" "BP"
"74" "GO:0000910" 1 0.997515944119645 0 11 "cytokinesis" "BP"
"75" "GO:0000922" 1 0.998591874664039 0 6 "spindle pole" "CC"
"76" "GO:0000930" 1 0.999780311987252 0 1 "gamma-tubulin complex" "CC"
"77" "GO:0000940" 1 0.999684141098396 0 1 "condensed chromosome outer kinetochore" "CC"
"78" "GO:0000956" 1 0.997758363541643 0 7 "nuclear-transcribed mRNA catabolic process" "BP"
"79" "GO:0000977" 1 0.994753573504101 0 16 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"80" "GO:0000982" 1 0.999783420228093 0 1 "transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding" "MF"
"81" "GO:0000987" 1 0.999783420228093 0 1 "core promoter proximal region sequence-specific DNA binding" "MF"
"82" "GO:0000989" 1 0.999344293858762 0 3 "transcription factor activity, transcription factor binding" "MF"
"83" "GO:0001026" 1 0.999783932618418 0 1 "TFIIIB-type transcription factor activity" "MF"
