"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1152" "GO:0009765" 2.33142732182618e-11 1 20 34 "photosynthesis, light harvesting" "BP"
"1249" "GO:0016020" 1.13135570740629e-10 1 100 666 "membrane" "CC"
"510" "GO:0005215" 2.34212440709451e-10 0.999999999950283 41 173 "transporter activity" "MF"
"1918" "GO:0055085" 2.18273938929623e-06 0.999999127314146 45 321 "transmembrane transport" "BP"
"1818" "GO:0046983" 3.6664025648311e-06 0.999998745719998 32 144 "protein dimerization activity" "MF"
"616" "GO:0005975" 1.18183845364576e-05 0.999995094921842 39 267 "carbohydrate metabolic process" "BP"
"356" "GO:0004553" 1.21556143760667e-05 0.999996316902936 23 130 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1141" "GO:0009664" 1.50272574393567e-05 0.999998707117589 9 16 "plant-type cell wall organization" "BP"
"420" "GO:0004672" 3.02952706636063e-05 0.999983411893891 74 726 "protein kinase activity" "MF"
"752" "GO:0006468" 3.02952706636063e-05 0.999983411893891 74 726 "protein phosphorylation" "BP"
"1127" "GO:0009538" 5.57930474430954e-05 0.999996924532584 7 10 "photosystem I reaction center" "CC"
"841" "GO:0006810" 6.21284613390688e-05 0.999971917111034 40 245 "transport" "BP"
"1147" "GO:0009725" 6.98729675609988e-05 0.999993646299589 7 18 "response to hormone" "BP"
"22" "GO:0000160" 0.000131268098414273 0.999968879463135 14 49 "phosphorelay signal transduction system" "BP"
"626" "GO:0006006" 0.000340656515900794 0.999977482631587 5 11 "glucose metabolic process" "BP"
"20" "GO:0000155" 0.000366065181177532 0.999962122097613 6 19 "phosphorelay sensor kinase activity" "MF"
"543" "GO:0005576" 0.000445987187597702 0.9999256007653 9 23 "extracellular region" "CC"
"364" "GO:0004568" 0.000599283985831709 0.99998600934011 4 5 "chitinase activity" "MF"
"634" "GO:0006032" 0.000599283985831709 0.99998600934011 4 5 "chitin catabolic process" "BP"
"1725" "GO:0043531" 0.000647642830613977 0.999780920381176 17 98 "ADP binding" "MF"
"1063" "GO:0009058" 0.000712405156827315 0.999786581389926 14 79 "biosynthetic process" "BP"
"1832" "GO:0048046" 0.000718175187629885 0.999926488003399 6 13 "apoplast" "CC"
"874" "GO:0006952" 0.000739406914974035 0.999843369237603 11 26 "defense response" "BP"
"1864" "GO:0050661" 0.00113078510637854 0.999783248204563 8 35 "NADP binding" "MF"
"931" "GO:0008171" 0.00123105424620653 0.999854447360757 6 14 "O-methyltransferase activity" "MF"
"638" "GO:0006073" 0.00149983842664532 0.999860793353469 5 11 "cellular glucan metabolic process" "BP"
"1193" "GO:0010411" 0.00149983842664532 0.999860793353469 5 11 "xyloglucan metabolic process" "BP"
"1340" "GO:0016762" 0.00149983842664532 0.999860793353469 5 11 "xyloglucan:xyloglucosyl transferase activity" "MF"
"1681" "GO:0042546" 0.00149983842664532 0.999860793353469 5 11 "cell wall biogenesis" "BP"
"1434" "GO:0019310" 0.00150714979082032 0.999970705140118 3 4 "inositol catabolic process" "BP"
"1850" "GO:0050113" 0.00150714979082032 0.999970705140118 3 4 "inositol oxygenase activity" "MF"
"699" "GO:0006355" 0.00189326446171234 0.998812532847723 65 526 "regulation of transcription, DNA-templated" "BP"
"765" "GO:0006508" 0.00199314928357685 0.998993591936462 31 258 "proteolysis" "BP"
"1503" "GO:0030170" 0.00274134140399859 0.999182644138487 11 69 "pyridoxal phosphate binding" "MF"
"1339" "GO:0016760" 0.00299687121595307 0.99961220145997 5 18 "cellulose synthase (UDP-forming) activity" "MF"
"36" "GO:0000234" 0.00308128784588507 1 2 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"812" "GO:0006656" 0.00308128784588507 1 2 2 "phosphatidylcholine biosynthetic process" "BP"
"623" "GO:0005992" 0.00311100636665636 0.99960523960495 5 16 "trehalose biosynthetic process" "BP"
"1919" "GO:0055114" 0.00366541571667343 0.997486648707849 86 786 "oxidation-reduction process" "BP"
"855" "GO:0006857" 0.00465230640942703 0.999151878724028 6 25 "oligopeptide transport" "BP"
"1350" "GO:0016788" 0.00469361856748 0.998426673210259 12 65 "hydrolase activity, acting on ester bonds" "MF"
"1480" "GO:0030001" 0.00473192891528136 0.998437952809266 12 55 "metal ion transport" "BP"
