,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
2,Ambr,tf2,4,34.02365363,12.71769272,6.358846361,Solyc00g009100,5.088466168,tf2.Solyc00g009100
3,Ambr,wt,3,39.99390793,14.69796224,8.485872458,Solyc00g009100,5.321708353,wt.Solyc00g009100
4,Aother,tf2,4,39.31011082,17.29146939,8.645734696,Solyc00g009100,5.296828526,tf2.Solyc00g009100
5,Aother,wt,5,30.72476191,7.404672106,3.311470036,Solyc00g009100,4.941329926,wt.Solyc00g009100
6,Bmbr,tf2,3,27.89083238,15.93646125,9.20092019,Solyc00g009100,4.801719086,tf2.Solyc00g009100
7,Bmbr,wt,4,36.28355434,5.318695736,2.659347868,Solyc00g009100,5.181243884,wt.Solyc00g009100
8,Bother,tf2,4,33.48829638,8.010194317,4.005097159,Solyc00g009100,5.06558508,tf2.Solyc00g009100
9,Bother,wt,4,15.32934955,6.945346851,3.472673425,Solyc00g009100,3.938224577,wt.Solyc00g009100
10,Cmbr,tf2,4,17.97530296,10.80057638,5.400288192,Solyc00g009100,4.167944181,tf2.Solyc00g009100
11,Cmbr,wt,6,28.30582236,12.02405622,4.908800397,Solyc00g009100,4.823026934,wt.Solyc00g009100
12,Cother,tf2,4,29.34379378,14.62496188,7.312480939,Solyc00g009100,4.8749835,tf2.Solyc00g009100
13,Cother,wt,3,35.38838288,16.87909814,9.745151854,Solyc00g009100,5.145203932,wt.Solyc00g009100
14,Ambr,tf2,4,67.45343229,17.02828209,8.514141045,Solyc00g024150,6.07581995,tf2.Solyc00g024150
15,Ambr,wt,3,48.91839629,22.61341388,13.05586059,Solyc00g024150,5.612305203,wt.Solyc00g024150
16,Aother,tf2,4,49.18007723,23.24276913,11.62138456,Solyc00g024150,5.620002095,tf2.Solyc00g024150
17,Aother,wt,5,42.98078734,11.43671851,5.114656006,Solyc00g024150,5.425620006,wt.Solyc00g024150
18,Bmbr,tf2,3,29.31093815,16.52955414,9.543342531,Solyc00g024150,4.87336724,tf2.Solyc00g024150
19,Bmbr,wt,4,31.14222462,12.48145039,6.240725194,Solyc00g024150,4.960800101,wt.Solyc00g024150
20,Bother,tf2,4,61.43918069,6.662930351,3.331465176,Solyc00g024150,5.941087072,tf2.Solyc00g024150
21,Bother,wt,4,37.21891213,12.67863167,6.339315835,Solyc00g024150,5.217963982,wt.Solyc00g024150
22,Cmbr,tf2,4,37.01898277,17.78253004,8.891265019,Solyc00g024150,5.210193348,tf2.Solyc00g024150
23,Cmbr,wt,6,20.42443547,12.11501413,4.945933807,Solyc00g024150,4.352224298,wt.Solyc00g024150
24,Cother,tf2,4,47.02144638,10.64662624,5.323313119,Solyc00g024150,5.555247012,tf2.Solyc00g024150
25,Cother,wt,3,34.29349702,15.17633525,8.762061243,Solyc00g024150,5.099863123,wt.Solyc00g024150
26,Ambr,tf2,4,2.392612984,2.173471834,1.086735917,Solyc01g005450,1.258587053,tf2.Solyc01g005450
27,Ambr,wt,3,1.583364736,0.972731463,0.561606772,Solyc01g005450,0.662993626,wt.Solyc01g005450
28,Aother,tf2,4,1.330119929,0.925829028,0.462914514,Solyc01g005450,0.41155633,tf2.Solyc01g005450
29,Aother,wt,5,3.787896564,3.402412602,1.521605173,Solyc01g005450,1.921396936,wt.Solyc01g005450
30,Bmbr,tf2,3,25.27423314,40.32836273,23.28359108,Solyc01g005450,4.659595414,tf2.Solyc01g005450
31,Bmbr,wt,4,1.885427213,1.840565928,0.920282964,Solyc01g005450,0.914891456,wt.Solyc01g005450
32,Bother,tf2,4,3.08877802,2.139094517,1.069547258,Solyc01g005450,1.627036193,tf2.Solyc01g005450
33,Bother,wt,4,4.112361551,5.467913067,2.733956534,Solyc01g005450,2.039967109,wt.Solyc01g005450
34,Cmbr,tf2,4,1.237323485,1.468754226,0.734377113,Solyc01g005450,0.307222727,tf2.Solyc01g005450
35,Cmbr,wt,6,2.025778431,2.4045842,0.981667389,Solyc01g005450,1.018476388,wt.Solyc01g005450
36,Cother,tf2,4,3.526243659,1.69151645,0.845758225,Solyc01g005450,1.818132167,tf2.Solyc01g005450
37,Cother,wt,3,9.916390069,9.671046507,5.583581304,Solyc01g005450,3.309815022,wt.Solyc01g005450
38,Ambr,tf2,4,26.53460613,13.3882059,6.694102951,Solyc01g005520,4.729803229,tf2.Solyc01g005520
39,Ambr,wt,3,18.82907701,3.409586374,1.968525611,Solyc01g005520,4.234890377,wt.Solyc01g005520
