"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 2.29172024363027e-09 1 39 730 "protein kinase activity" "MF"
"752" "GO:0006468" 2.29172024363027e-09 1 39 730 "protein phosphorylation" "BP"
"765" "GO:0006508" 5.33838303062145e-09 0.999999998924182 30 265 "proteolysis" "BP"
"536" "GO:0005524" 1.94598518369497e-08 1 65 1471 "ATP binding" "MF"
"1196" "GO:0010468" 1.74752126336226e-05 0.999999976915022 2 5 "regulation of gene expression" "BP"
"230" "GO:0004097" 2.53271994509594e-05 1 4 4 "catechol oxidase activity" "MF"
"1782" "GO:0046148" 2.53271994509594e-05 1 4 4 "pigment biosynthetic process" "BP"
"1571" "GO:0031461" 2.80275636545503e-05 0.999999943941456 2 8 "cullin-RING ubiquitin ligase complex" "CC"
"1329" "GO:0016705" 3.51575102877013e-05 0.999991492455667 15 125 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1371" "GO:0016846" 0.00011547047151087 1 2 2 "carbon-sulfur lyase activity" "MF"
"1820" "GO:0046983" 0.000146623543155718 0.99994175343288 28 158 "protein dimerization activity" "MF"
"929" "GO:0008152" 0.000172749131403296 0.999927643563522 28 486 "metabolic process" "BP"
"300" "GO:0004386" 0.000240076447108734 0.999993671826863 3 24 "helicase activity" "MF"
"257" "GO:0004177" 0.000666889254966292 0.999943203733975 5 14 "aminopeptidase activity" "MF"
"123" "GO:0003824" 0.0008722384927227 0.999540403602763 39 710 "catalytic activity" "MF"
"1920" "GO:0055085" 0.000935103009004 0.999646882625151 18 322 "transmembrane transport" "BP"
"531" "GO:0005506" 0.000954718567125711 0.999656548095302 17 165 "iron ion binding" "MF"
"534" "GO:0005515" 0.0011906156521791 0.999204417713886 94 2453 "protein binding" "MF"
"263" "GO:0004252" 0.0013832296117933 0.999619314113447 11 81 "serine-type endopeptidase activity" "MF"
"958" "GO:0008289" 0.001561743047166 0.999678059261792 8 42 "lipid binding" "MF"
"202" "GO:0004018" 0.00169705601185986 1 1 1 "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" "MF"
"663" "GO:0006188" 0.00169705601185986 1 1 1 "IMP biosynthetic process" "BP"
"1083" "GO:0009152" 0.00169705601185986 1 1 1 "purine ribonucleotide biosynthetic process" "BP"
"1576" "GO:0031668" 0.00194150213094965 0.999999058413817 1 2 "cellular response to extracellular stimulus" "BP"
"1723" "GO:0043412" 0.00194564777434319 0.999999054386464 1 2 "macromolecule modification" "BP"
"942" "GO:0008235" 0.00215072414448259 0.999845246444721 4 9 "metalloexopeptidase activity" "MF"
"1451" "GO:0019538" 0.00251742704562441 0.999681078344502 5 20 "protein metabolic process" "BP"
"1897" "GO:0051513" 0.00291158957258871 0.999997175612264 1 3 "regulation of monopolar cell growth" "BP"
"1011" "GO:0008654" 0.00305801257168667 0.99983193161684 3 10 "phospholipid biosynthetic process" "BP"
"1341" "GO:0016758" 0.00399380978244403 0.99888147443129 9 110 "transferase activity, transferring hexosyl groups" "MF"
"582" "GO:0005777" 0.00402465199679601 0.999894246239649 2 11 "peroxisome" "CC"
"233" "GO:0004108" 0.00628671233637544 1 1 1 "citrate (Si)-synthase activity" "MF"
"648" "GO:0006101" 0.00628671233637544 1 1 1 "citrate metabolic process" "BP"
"343" "GO:0004512" 0.00705846074668774 0.999831729478241 2 4 "inositol-3-phosphate synthase activity" "MF"
