"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 8.00510664105172e-11 1 32 720 "protein kinase activity" "MF"
"752" "GO:0006468" 8.00510664105172e-11 1 32 720 "protein phosphorylation" "BP"
"536" "GO:0005524" 1.89784742780164e-08 1 49 1453 "ATP binding" "MF"
"765" "GO:0006508" 4.87048322171499e-08 0.999999989209811 23 261 "proteolysis" "BP"
"1919" "GO:0055085" 1.95507929656957e-05 0.999995375850005 15 313 "transmembrane transport" "BP"
"1216" "GO:0015299" 4.41442957000502e-05 0.999999372874731 3 17 "solute:proton antiporter activity" "MF"
"843" "GO:0006812" 6.53177067544159e-05 0.999997517442399 4 35 "cation transport" "BP"
"1450" "GO:0019538" 8.29141619905176e-05 0.999993456103949 6 20 "protein metabolic process" "BP"
"1149" "GO:0009725" 0.000139852811308983 0.999999290212206 2 17 "response to hormone" "BP"
"1479" "GO:0022891" 0.00015012330980864 0.999996597024197 3 27 "substrate-specific transmembrane transporter activity" "MF"
"257" "GO:0004177" 0.000213472413850279 0.999985923719446 5 14 "aminopeptidase activity" "MF"
"1819" "GO:0046983" 0.000366467423953172 0.99986878430337 20 149 "protein dimerization activity" "MF"
"1275" "GO:0016301" 0.000484664224978644 0.999968232005374 4 46 "kinase activity" "MF"
"929" "GO:0008152" 0.000822697432161527 0.999666372640097 21 483 "metabolic process" "BP"
"942" "GO:0008235" 0.000857827048788913 0.999952267485421 4 9 "metalloexopeptidase activity" "MF"
"1140" "GO:0009638" 0.00107717422662691 1 1 1 "phototropism" "BP"
"1368" "GO:0016841" 0.00118003465537156 0.999957291341142 3 8 "ammonia-lyase activity" "MF"
"784" "GO:0006559" 0.00133437753318478 0.999947220335414 3 9 "L-phenylalanine catabolic process" "BP"
"1328" "GO:0016705" 0.00137745994679578 0.999703220335427 8 119 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"534" "GO:0005515" 0.00162055516167133 0.998968179431196 72 2439 "protein binding" "MF"
"1575" "GO:0031668" 0.00190265858691912 0.999999096294067 1 2 "cellular response to extracellular stimulus" "BP"
"263" "GO:0004252" 0.00220740100858031 0.999496216632709 8 78 "serine-type endopeptidase activity" "MF"
"1896" "GO:0051513" 0.00285280168994486 0.999997290273882 1 3 "regulation of monopolar cell growth" "BP"
"527" "GO:0005452" 0.00285349909381166 0.999997288948022 1 3 "inorganic anion exchanger activity" "MF"
"967" "GO:0008356" 0.00288767564034772 1 1 1 "asymmetric cell division" "BP"
"1167" "GO:0009956" 0.00288767564034772 1 1 1 "radial pattern formation" "BP"
"1842" "GO:0048366" 0.00288767564034772 1 1 1 "leaf development" "BP"
"123" "GO:0003824" 0.00345457631890102 0.998277318061713 26 695 "catalytic activity" "MF"
"531" "GO:0005506" 0.00441788268929866 0.998546907948287 11 159 "iron ion binding" "MF"
"1505" "GO:0030170" 0.00471208955698028 0.999414965333081 4 69 "pyridoxal phosphate binding" "MF"
"233" "GO:0004108" 0.00506847622878749 1 1 1 "citrate (Si)-synthase activity" "MF"
"648" "GO:0006101" 0.00506847622878749 1 1 1 "citrate metabolic process" "BP"
"1196" "GO:0010468" 0.00611111521474114 0.999985061110388 1 5 "regulation of gene expression" "BP"
"1478" "GO:0022857" 0.00619435433314627 0.999180148748204 4 50 "transmembrane transporter activity" "MF"
"854" "GO:0006855" 0.00638715562387298 0.99945056838121 3 41 "drug transmembrane transport" "BP"
