"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1153" "GO:0009765" 8.3456269457775e-12 1 14 34 "photosynthesis, light harvesting" "BP"
"491" "GO:0004867" 7.16940671708443e-07 0.999999953822871 9 19 "serine-type endopeptidase inhibitor activity" "MF"
"1248" "GO:0016020" 1.22450712019899e-06 0.999999562020445 36 653 "membrane" "CC"
"875" "GO:0006952" 9.52262235593908e-06 0.999999021212962 9 27 "defense response" "BP"
"1136" "GO:0009611" 1.64524283846513e-05 0.999998782368821 7 20 "response to wounding" "BP"
"1448" "GO:0019538" 2.31013758011221e-05 0.999998975312813 5 19 "protein metabolic process" "BP"
"1349" "GO:0016788" 2.3190723301591e-05 0.999996939399226 9 64 "hydrolase activity, acting on ester bonds" "MF"
"1818" "GO:0046983" 4.92795899904042e-05 0.999987740231713 15 144 "protein dimerization activity" "MF"
"943" "GO:0008235" 0.000127375217316467 0.999995767052583 4 9 "metalloexopeptidase activity" "MF"
"510" "GO:0005215" 0.000238878692593088 0.999941476273443 12 161 "transporter activity" "MF"
"257" "GO:0004177" 0.000580451681645923 0.999965804578069 4 14 "aminopeptidase activity" "MF"
"1497" "GO:0030145" 0.00138447933167779 0.999894932399157 4 15 "manganese ion binding" "MF"
"842" "GO:0006810" 0.00277252171066759 0.999000192260486 14 236 "transport" "BP"
"490" "GO:0004866" 0.00436166119196602 0.999748883184548 3 8 "endopeptidase inhibitor activity" "MF"
"1664" "GO:0042128" 0.00606401702587746 0.99990527404934 2 3 "nitrate assimilation" "BP"
"1474" "GO:0020037" 0.00686405005034493 0.99760898058212 11 170 "heme binding" "MF"
"1454" "GO:0019752" 0.00711651992914492 0.999410710392146 3 17 "carboxylic acid metabolic process" "BP"
"1985" "GO:2000028" 0.00798218824917608 0.999984061570926 1 2 "regulation of photoperiodism, flowering" "BP"
"420" "GO:0004672" 0.00874870991842415 0.995664409042249 21 720 "protein kinase activity" "MF"
"752" "GO:0006468" 0.00874870991842415 0.995664409042249 21 720 "protein phosphorylation" "BP"
"932" "GO:0008171" 0.00908243521475895 0.999202373587199 3 14 "O-methyltransferase activity" "MF"
"487" "GO:0004857" 0.00922522211374113 0.998697119531074 4 26 "enzyme inhibitor activity" "MF"
