"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1337" "GO:0016758" 4.15946771975528e-07 0.999999965916803 9 107 "transferase activity, transferring hexosyl groups" "MF"
"929" "GO:0008152" 6.96619057265661e-06 0.999998418896319 16 476 "metabolic process" "BP"
"1917" "GO:0055114" 1.76914685097735e-05 0.999993574072726 29 764 "oxidation-reduction process" "BP"
"1287" "GO:0016491" 2.06191053583781e-05 0.99999418441687 19 430 "oxidoreductase activity" "MF"
"1437" "GO:0019419" 4.33096457861186e-05 0.999999945341799 2 3 "sulfate reduction" "BP"
"1325" "GO:0016705" 6.30658975843764e-05 0.999994423064036 6 115 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"874" "GO:0006952" 9.99332432734959e-05 0.999989866264927 7 22 "defense response" "BP"
"1473" "GO:0020037" 0.000304704435435373 0.99993480047264 10 165 "heme binding" "MF"
"1334" "GO:0016747" 0.000374247188497695 0.999976930080585 4 60 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"915" "GO:0008061" 0.000876853794385461 1 2 2 "chitin binding" "MF"
"531" "GO:0005506" 0.00158076320904927 0.9996946248714 7 154 "iron ion binding" "MF"
"527" "GO:0005452" 0.00315075618994712 0.999996702464381 1 3 "inorganic anion exchanger activity" "MF"
"178" "GO:0003958" 0.0031522198819178 0.99999669939775 1 3 "NADPH-hemoprotein reductase activity" "MF"
"420" "GO:0004672" 0.00325425268112937 0.998961106882151 11 717 "protein kinase activity" "MF"
"752" "GO:0006468" 0.00325425268112937 0.998961106882151 11 717 "protein phosphorylation" "BP"
"205" "GO:0004030" 0.0052462938247357 0.999993134667468 1 2 "aldehyde dehydrogenase [NAD(P)+] activity" "MF"
"640" "GO:0006081" 0.0052462938247357 0.999993134667468 1 2 "cellular aldehyde metabolic process" "BP"
"491" "GO:0004867" 0.00905431595807383 0.998851829194079 4 14 "serine-type endopeptidase inhibitor activity" "MF"
"508" "GO:0005199" 0.00948397488110769 0.999737165289386 2 4 "structural constituent of cell wall" "MF"
"232" "GO:0004107" 0.0101524484282129 0.99997422642332 1 2 "chorismate synthase activity" "MF"
"220" "GO:0004070" 0.0101591557573413 1 1 1 "aspartate carbamoyltransferase activity" "MF"
"41" "GO:0000272" 0.0103884930843562 0.999953790528782 1 7 "polysaccharide catabolic process" "BP"
"1262" "GO:0016161" 0.0103884930843562 0.999953790528782 1 7 "beta-amylase activity" "MF"
"1321" "GO:0016671" 0.0119108505099018 0.999506660518788 2 7 "oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor" "MF"
"1338" "GO:0016760" 0.0138953076064307 0.999261238858137 2 19 "cellulose synthase (UDP-forming) activity" "MF"
"536" "GO:0005524" 0.01598021205414 0.992092688309546 18 1446 "ATP binding" "MF"
"1349" "GO:0016788" 0.0177824207506129 0.99678525173352 4 64 "hydrolase activity, acting on ester bonds" "MF"
"106" "GO:0003700" 0.0212477068567775 0.991276926962297 11 260 "transcription factor activity, sequence-specific DNA binding" "MF"
"1723" "GO:0043531" 0.0223833946549984 0.996877160512969 3 92 "ADP binding" "MF"
"1507" "GO:0030244" 0.0251917618747974 0.998127820662481 2 25 "cellulose biosynthetic process" "BP"
"174" "GO:0003951" 0.0252933716343576 0.999758701231587 1 4 "NAD+ kinase activity" "MF"
"823" "GO:0006741" 0.0252933716343576 0.999758701231587 1 4 "NADP biosynthetic process" "BP"
"1451" "GO:0019674" 0.0252933716343576 0.999758701231587 1 4 "NAD metabolic process" "BP"
"519" "GO:0005337" 0.0253653984168433 0.999757317551245 1 4 "nucleoside transmembrane transporter activity" "MF"
"1063" "GO:0009058" 0.0259941860510233 0.996175640908999 3 78 "biosynthetic process" "BP"
"22" "GO:0000160" 0.0288309915017673 0.99567255359644 3 43 "phosphorelay signal transduction system" "BP"
"446" "GO:0004791" 0.0291792588515076 0.999713834838857 1 3 "thioredoxin-disulfide reductase activity" "MF"
"1439" "GO:0019430" 0.0291792588515076 0.999713834838857 1 3 "removal of superoxide radicals" "BP"
"1845" "GO:0048544" 0.0292308528044068 0.999589976293006 1 22 "recognition of pollen" "BP"
"1332" "GO:0016743" 0.030284835136467 0.999691583340442 1 3 "carboxyl- or carbamoyltransferase activity" "MF"
"931" "GO:0008171" 0.0311069106503691 0.997562403952887 2 13 "O-methyltransferase activity" "MF"
"1182" "GO:0010215" 0.0313918148421733 0.999565815749253 1 8 "cellulose microfibril organization" "BP"
"1558" "GO:0031225" 0.0313918148421733 0.999565815749253 1 8 "anchored component of membrane" "CC"
"1135" "GO:0009611" 0.0325015822831337 0.995216269827357 3 18 "response to wounding" "BP"
"1253" "GO:0016049" 0.0334256320051559 0.999493415340509 1 10 "cell growth" "BP"
"332" "GO:0004478" 0.0341313474129391 0.999558947531854 1 4 "methionine adenosyltransferase activity" "MF"
"783" "GO:0006556" 0.0341313474129391 0.999558947531854 1 4 "S-adenosylmethionine biosynthetic process" "BP"
"1816" "GO:0046983" 0.03506112713004 0.987846569343883 7 137 "protein dimerization activity" "MF"
"1689" "GO:0042742" 0.0415124326914002 1 1 1 "defense response to bacterium" "BP"
"616" "GO:0005975" 0.0424845649079831 0.987632464599571 5 256 "carbohydrate metabolic process" "BP"
"1112" "GO:0009415" 0.0430829731043194 1 1 1 "response to water" "BP"
"305" "GO:0004402" 0.0435026371164069 0.999179143254805 1 7 "histone acetyltransferase activity" "MF"
"1690" "GO:0042744" 0.0513435486874496 0.99452161126759 2 18 "hydrogen peroxide catabolic process" "BP"
"1390" "GO:0016998" 0.0517233760463853 0.999091454212076 1 3 "cell wall macromolecule catabolic process" "BP"
"123" "GO:0003824" 0.0563426252601544 0.971877558048897 12 691 "catalytic activity" "MF"
"493" "GO:0004871" 0.0580624342110141 0.99348396187074 2 15 "signal transducer activity" "MF"
"1081" "GO:0009116" 0.0593297592838634 0.993081574343623 2 20 "nucleoside metabolic process" "BP"
"1324" "GO:0016702" 0.0605564498690032 0.992786144199833 2 23 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen" "MF"
"364" "GO:0004568" 0.0614651730280278 0.998552604737653 1 4 "chitinase activity" "MF"
"634" "GO:0006032" 0.0614651730280278 0.998552604737653 1 4 "chitin catabolic process" "BP"
"1866" "GO:0050832" 0.0637629564952985 0.998338676545224 1 5 "defense response to fungus" "BP"
"522" "GO:0005351" 0.0648926684640089 0.998278467831664 1 5 "sugar:proton symporter activity" "MF"
"1008" "GO:0008643" 0.0648926684640089 0.998278467831664 1 5 "carbohydrate transport" "BP"
"873" "GO:0006950" 0.0805314494192502 0.981766359017997 3 46 "response to stress" "BP"
"1707" "GO:0043130" 0.0816383772774264 0.997704592001169 1 3 "ubiquitin binding" "MF"
"1141" "GO:0009664" 0.0853875773350275 0.988086148179186 2 15 "plant-type cell wall organization" "BP"
"1306" "GO:0016615" 0.0911004160632796 0.99625641288022 1 8 "malate dehydrogenase activity" "MF"
"408" "GO:0004650" 0.0916117604560313 0.995922036158051 1 18 "polygalacturonase activity" "MF"
"855" "GO:0006857" 0.0935090023291253 0.995687768362798 1 24 "oligopeptide transport" "BP"
"848" "GO:0006820" 0.0939570005173779 0.996092446275723 1 7 "anion transport" "BP"
"1485" "GO:0030060" 0.0952538888021803 0.995981694586498 1 7 "L-malate dehydrogenase activity" "MF"
"665" "GO:0006207" 0.0968419148748239 0.995956072236846 1 6 "'de novo' pyrimidine nucleobase biosynthetic process" "BP"
"1178" "GO:0010181" 0.100013364096472 0.983888484826284 2 32 "FMN binding" "MF"
"1134" "GO:0009607" 0.102648239414047 0.985575851610915 2 8 "response to biotic stimulus" "BP"
"378" "GO:0004601" 0.103113408521062 0.983117988743514 2 31 "peroxidase activity" "MF"
"1212" "GO:0015288" 0.105436811518632 1 1 1 "porin activity" "MF"
"1156" "GO:0009813" 0.107331021260355 0.995983260334806 1 3 "flavonoid biosynthetic process" "BP"
"1761" "GO:0045430" 0.107331021260355 0.995983260334806 1 3 "chalcone isomerase activity" "MF"
"651" "GO:0006108" 0.10824236280494 0.994336038113149 1 15 "malate metabolic process" "BP"
"903" "GO:0007165" 0.108753145512125 0.981062121317286 2 103 "signal transduction" "BP"
"1453" "GO:0019752" 0.109819118362554 0.994141171950225 1 16 "carboxylic acid metabolic process" "BP"
"229" "GO:0004096" 0.111920446421186 0.99509171688667 1 4 "catalase activity" "MF"
"1366" "GO:0016844" 0.11206579245059 0.994199220405878 1 9 "strictosidine synthase activity" "MF"
"858" "GO:0006869" 0.115763696492927 0.9820871697919 2 9 "lipid transport" "BP"
"1267" "GO:0016209" 0.123041397414575 0.994037596191675 1 4 "antioxidant activity" "MF"
"1399" "GO:0017057" 0.129753168066819 0.992638239257641 1 6 "6-phosphogluconolactonase activity" "MF"
"942" "GO:0008235" 0.129958360287918 0.992259923029928 1 8 "metalloexopeptidase activity" "MF"
"1374" "GO:0016872" 0.13339801058035 0.992506474610403 1 5 "intramolecular lyase activity" "MF"
"612" "GO:0005956" 0.135062651092823 0.992775655839825 1 4 "protein kinase CK2 complex" "CC"
"1463" "GO:0019887" 0.136877415528474 0.991782423998127 1 6 "protein kinase regulator activity" "MF"
"699" "GO:0006355" 0.137585521984082 0.916925227953005 14 516 "regulation of transcription, DNA-templated" "BP"
"1308" "GO:0016620" 0.139347878150822 0.990198256570915 1 28 "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" "MF"
"917" "GO:0008081" 0.140709916526932 0.990196477629159 1 18 "phosphoric diester hydrolase activity" "MF"
"1623" "GO:0033897" 0.141232244014409 0.992077886715317 1 4 "ribonuclease T2 activity" "MF"
"1214" "GO:0015299" 0.144006629573326 0.989718445433464 1 18 "solute:proton antiporter activity" "MF"
"35" "GO:0000228" 0.145092100709519 0.99162387360505 1 4 "nuclear chromosome" "CC"
"1333" "GO:0016746" 0.146238387369722 0.989239761114952 1 24 "transferase activity, transferring acyl groups" "MF"
"1762" "GO:0045454" 0.149692247729665 0.938229384759781 5 95 "cell redox homeostasis" "BP"
"923" "GO:0008121" 0.152309498100998 0.99172977298167 1 3 "ubiquinol-cytochrome-c reductase activity" "MF"
"107" "GO:0003712" 0.154074117837208 0.98871217749657 1 10 "transcription cofactor activity" "MF"
"540" "GO:0005543" 0.15416108946154 0.988997700232809 1 8 "phospholipid binding" "MF"
"1807" "GO:0046873" 0.156288795820953 0.987915829033673 1 16 "metal ion transmembrane transporter activity" "MF"
"1210" "GO:0015232" 0.157017385251313 0.989507460611489 1 5 "heme transporter activity" "MF"
