"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"616" "GO:0005975" 8.78140979396101e-06 0.999998938408536 9 258 "carbohydrate metabolic process" "BP"
"364" "GO:0004568" 8.19085535200853e-05 0.999999167228247 3 5 "chitinase activity" "MF"
"634" "GO:0006032" 8.19085535200853e-05 0.999999167228247 3 5 "chitin catabolic process" "BP"
"1287" "GO:0016491" 0.000107732868714993 0.999972669103762 14 437 "oxidoreductase activity" "MF"
"916" "GO:0008061" 0.00031327697558373 1 2 2 "chitin binding" "MF"
"1919" "GO:0055114" 0.00034890574481834 0.999879300669907 19 770 "oxidation-reduction process" "BP"
"356" "GO:0004553" 0.00112587624449224 0.99990548199732 4 126 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1390" "GO:0016998" 0.00332662320359395 0.99994681542846 2 4 "cell wall macromolecule catabolic process" "BP"
"1324" "GO:0016702" 0.00345635419630569 0.9997724473459 3 24 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen" "MF"
"1225" "GO:0015743" 0.00437209084170849 0.999993666976888 1 3 "malate transport" "BP"
"314" "GO:0004420" 0.00497552508898977 0.999990771731013 1 4 "hydroxymethylglutaryl-CoA reductase (NADPH) activity" "MF"
"1236" "GO:0015936" 0.00497552508898977 0.999990771731013 1 4 "coenzyme A metabolic process" "BP"
"1460" "GO:0019829" 0.00633519602293572 0.999983370018753 1 6 "cation-transporting ATPase activity" "MF"
"229" "GO:0004096" 0.00674873775530285 0.999819606254109 2 5 "catalase activity" "MF"
"1723" "GO:0043531" 0.00706223270706011 0.999359757766225 3 92 "ADP binding" "MF"
"1366" "GO:0016844" 0.00780994518890859 0.999718484275114 2 10 "strictosidine synthase activity" "MF"
"638" "GO:0006073" 0.0089373032759949 0.999648544351683 2 11 "cellular glucan metabolic process" "BP"
"1194" "GO:0010411" 0.0089373032759949 0.999648544351683 2 11 "xyloglucan metabolic process" "BP"
"1339" "GO:0016762" 0.0089373032759949 0.999648544351683 2 11 "xyloglucan:xyloglucosyl transferase activity" "MF"
"1680" "GO:0042546" 0.0089373032759949 0.999648544351683 2 11 "cell wall biogenesis" "BP"
"1831" "GO:0048046" 0.00913650241168253 0.999631530550847 2 12 "apoplast" "CC"
"844" "GO:0006812" 0.0104222412536949 0.999506251088252 2 36 "cation transport" "BP"
"1064" "GO:0009058" 0.0116536257327591 0.99873639001666 3 79 "biosynthetic process" "BP"
"932" "GO:0008171" 0.0120173827430256 0.999434365676981 2 13 "O-methyltransferase activity" "MF"
"842" "GO:0006810" 0.0132523668866672 0.996227831887463 7 235 "transport" "BP"
"545" "GO:0005618" 0.0164076592135572 0.999024503546947 2 29 "cell wall" "CC"
"519" "GO:0005337" 0.0165662468905055 0.999897193366367 1 4 "nucleoside transmembrane transporter activity" "MF"
"1821" "GO:0047429" 0.0175233459305555 0.999159223539426 2 6 "nucleoside-triphosphate diphosphatase activity" "MF"
"510" "GO:0005215" 0.01824388494223 0.996629731131484 4 159 "transporter activity" "MF"
"446" "GO:0004791" 0.0183587987993831 0.999887626190497 1 3 "thioredoxin-disulfide reductase activity" "MF"
"1439" "GO:0019430" 0.0183587987993831 0.999887626190497 1 3 "removal of superoxide radicals" "BP"
"1767" "GO:0045735" 0.0201923849932166 0.998800891424886 2 10 "nutrient reservoir activity" "MF"
"1183" "GO:0010215" 0.0218627273773413 0.999790827250112 1 8 "cellulose microfibril organization" "BP"
"1558" "GO:0031225" 0.0218627273773413 0.999790827250112 1 8 "anchored component of membrane" "CC"
"1253" "GO:0016049" 0.0239333952241967 0.999742013685872 1 10 "cell growth" "BP"
"1689" "GO:0042742" 0.0247346946790573 1 1 1 "defense response to bacterium" "BP"
"1113" "GO:0009415" 0.0256620548451987 1 1 1 "response to water" "BP"
"1846" "GO:0048544" 0.0267512835148986 0.999657960466628 1 22 "recognition of pollen" "BP"
"1307" "GO:0016616" 0.032238635540167 0.997201373180414 2 46 "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" "MF"
"1433" "GO:0019310" 0.0327139517891043 0.99959632040799 1 4 "inositol catabolic process" "BP"
"1849" "GO:0050113" 0.0327139517891043 0.99959632040799 1 4 "inositol oxygenase activity" "MF"
"1868" "GO:0050832" 0.039664096870546 0.999365544510897 1 5 "defense response to fungus" "BP"
"522" "GO:0005351" 0.040335740732375 0.999343692894697 1 5 "sugar:proton symporter activity" "MF"
"1009" "GO:0008643" 0.040335740732375 0.999343692894697 1 5 "carbohydrate transport" "BP"
"106" "GO:0003700" 0.043355507385513 0.984264652186338 7 259 "transcription factor activity, sequence-specific DNA binding" "MF"
"149" "GO:0003883" 0.0468309521226868 0.999112912744401 1 5 "CTP synthase activity" "MF"
"1338" "GO:0016760" 0.0478556117565305 0.998908539929943 1 18 "cellulose synthase (UDP-forming) activity" "MF"
"1918" "GO:0055085" 0.0543954877092544 0.985828099986083 4 313 "transmembrane transport" "BP"
"1325" "GO:0016705" 0.0555102054545436 0.993401688499647 2 114 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"420" "GO:0004672" 0.0569575661739918 0.979798625797622 6 717 "protein kinase activity" "MF"
"752" "GO:0006468" 0.0569575661739918 0.979798625797622 6 717 "protein phosphorylation" "BP"
"1306" "GO:0016615" 0.0573056610289324 0.998542951804672 1 8 "malate dehydrogenase activity" "MF"
"1485" "GO:0030060" 0.0593832839801217 0.998465500464593 1 7 "L-malate dehydrogenase activity" "MF"
"408" "GO:0004650" 0.0618506843151333 0.998167388316018 1 18 "polygalacturonase activity" "MF"
"22" "GO:0000160" 0.0625256252149238 0.992222064533049 2 43 "phosphorelay signal transduction system" "BP"
"856" "GO:0006857" 0.0655225415803282 0.997910907372 1 24 "oligopeptide transport" "BP"
