"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"69" "GO:0000786" 6.30721485819635e-08 0.999999984504479 37 66 "nucleosome" "CC"
"98" "GO:0003677" 3.78617758101585e-07 1 175 769 "DNA binding" "MF"
"1152" "GO:0009765" 7.43631660872895e-07 0.999999879550283 20 34 "photosynthesis, light harvesting" "BP"
"626" "GO:0006006" 3.96274315681002e-06 0.999999829778904 8 11 "glucose metabolic process" "BP"
"510" "GO:0005215" 6.32165884000985e-06 0.999997309088838 48 173 "transporter activity" "MF"
"692" "GO:0006334" 7.99383801037682e-06 0.999998418755255 20 35 "nucleosome assembly" "BP"
"114" "GO:0003735" 0.000226999131414875 0.999856162554078 116 353 "structural constituent of ribosome" "MF"
"1817" "GO:0046982" 0.000236239947677623 0.999904621404378 34 80 "protein heterodimerization activity" "MF"
"599" "GO:0005840" 0.00024585666820334 0.999845335401783 112 339 "ribosome" "CC"
"22" "GO:0000160" 0.000263989522303162 0.999921081762203 19 49 "phosphorelay signal transduction system" "BP"
"603" "GO:0005852" 0.000448395347589847 0.999932620820485 9 18 "eukaryotic translation initiation factor 3 complex" "CC"
"719" "GO:0006412" 0.00048567314471944 0.999685051648314 114 356 "translation" "BP"
"547" "GO:0005634" 0.000518335233264736 0.999664995524136 98 464 "nucleus" "CC"
"356" "GO:0004553" 0.000705783470525379 0.999686785489787 29 130 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1864" "GO:0050661" 0.00128012643604818 0.999683162475332 11 35 "NADP binding" "MF"
"616" "GO:0005975" 0.00146302522312715 0.999155345278201 52 267 "carbohydrate metabolic process" "BP"
"1141" "GO:0009664" 0.0014735611126839 0.999753447996795 9 16 "plant-type cell wall organization" "BP"
"1127" "GO:0009538" 0.00220387120692711 0.999762376916977 7 10 "photosystem I reaction center" "CC"
"908" "GO:0007275" 0.00285704865739167 0.999139475075757 13 36 "multicellular organism development" "BP"
"1147" "GO:0009725" 0.00286167611760757 0.999502117157463 7 18 "response to hormone" "BP"
"1832" "GO:0048046" 0.00289353670226371 0.999569157489968 7 13 "apoplast" "CC"
"1335" "GO:0016747" 0.00313052908900679 0.998781702969393 18 66 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1350" "GO:0016788" 0.00396373506055361 0.998423480706972 18 65 "hydrolase activity, acting on ester bonds" "MF"
"721" "GO:0006414" 0.00398957866991602 0.999019617644142 10 23 "translational elongation" "BP"
"1669" "GO:0042254" 0.00444687924763938 0.998975466031189 9 21 "ribosome biogenesis" "BP"
"606" "GO:0005874" 0.00449779988910009 0.998864162740899 9 29 "microtubule" "CC"
"364" "GO:0004568" 0.00569228782956402 0.999742909672653 4 5 "chitinase activity" "MF"
"634" "GO:0006032" 0.00569228782956402 0.999742909672653 4 5 "chitin catabolic process" "BP"
"748" "GO:0006457" 0.00660527333206948 0.996762128263051 25 102 "protein folding" "BP"
"604" "GO:0005853" 0.00733645883299656 1 3 3 "eukaryotic translation elongation factor 1 complex" "CC"
"874" "GO:0006952" 0.00814863145307415 0.9974622681913 13 26 "defense response" "BP"
"1683" "GO:0042555" 0.00829764840620032 0.999559825599159 3 5 "MCM complex" "CC"
"1249" "GO:0016020" 0.00846875647697994 0.993712447735156 118 666 "membrane" "CC"
"20" "GO:0000155" 0.00856178761190658 0.998314014157107 6 19 "phosphorelay sensor kinase activity" "MF"
"1434" "GO:0019310" 0.00870036580271791 0.999675720189193 3 4 "inositol catabolic process" "BP"
"1850" "GO:0050113" 0.00870036580271791 0.999675720189193 3 4 "inositol oxygenase activity" "MF"
"1309" "GO:0016620" 0.00933415004548172 0.997532876017717 8 28 "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" "MF"
"1523" "GO:0030529" 0.00965572706177791 0.998444238772299 6 11 "intracellular ribonucleoprotein complex" "CC"
"1776" "GO:0045910" 0.00978705340086508 1 2 2 "negative regulation of DNA recombination" "BP"
"1555" "GO:0031167" 0.00978714230561915 1 2 2 "rRNA methylation" "BP"
"36" "GO:0000234" 0.0104948184954791 1 2 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"812" "GO:0006656" 0.0104948184954791 1 2 2 "phosphatidylcholine biosynthetic process" "BP"
"1918" "GO:0055085" 0.0107196314834686 0.993006926364129 54 321 "transmembrane transport" "BP"
"1448" "GO:0019538" 0.0108493551159399 0.997510490046074 7 19 "protein metabolic process" "BP"
"264" "GO:0004298" 0.0113850589140224 0.996977071517806 9 20 "threonine-type endopeptidase activity" "MF"
"598" "GO:0005839" 0.0113850589140224 0.996977071517806 9 20 "proteasome core complex" "CC"
"1899" "GO:0051603" 0.0113850589140224 0.996977071517806 9 20 "proteolysis involved in cellular protein catabolic process" "BP"
"509" "GO:0005200" 0.0117348434733224 0.998059678166665 5 13 "structural constituent of cytoskeleton" "MF"
"1661" "GO:0042026" 0.0142459154728496 0.998121515165028 4 10 "protein refolding" "BP"
"166" "GO:0003924" 0.0143661630300605 0.993258496429404 18 86 "GTPase activity" "MF"
"873" "GO:0006950" 0.015449972383209 0.993544857196633 15 49 "response to stress" "BP"
"536" "GO:0005524" 0.0162272993646577 0.98681779499073 201 1462 "ATP binding" "MF"
"1725" "GO:0043531" 0.0166138763469061 0.991596975823039 21 98 "ADP binding" "MF"
"1818" "GO:0046983" 0.0167681662791203 0.990076721349152 35 144 "protein dimerization activity" "MF"
"657" "GO:0006164" 0.0174991806268355 0.998544621438685 3 6 "purine nucleotide biosynthetic process" "BP"
"841" "GO:0006810" 0.0176252388192634 0.988407575684736 51 245 "transport" "BP"
"121" "GO:0003777" 0.0196466870662712 0.992083855707158 12 56 "microtubule motor activity" "MF"
"882" "GO:0007018" 0.0196466870662712 0.992083855707158 12 56 "microtubule-based movement" "BP"
"638" "GO:0006073" 0.0197673870882662 0.996499747210552 5 11 "cellular glucan metabolic process" "BP"
"1193" "GO:0010411" 0.0197673870882662 0.996499747210552 5 11 "xyloglucan metabolic process" "BP"
"1340" "GO:0016762" 0.0197673870882662 0.996499747210552 5 11 "xyloglucan:xyloglucosyl transferase activity" "MF"
"1681" "GO:0042546" 0.0197673870882662 0.996499747210552 5 11 "cell wall biogenesis" "BP"
"594" "GO:0005819" 0.0207851371306371 0.997060596326086 4 9 "spindle" "CC"
"1582" "GO:0032147" 0.0207851371306371 0.997060596326086 4 9 "activation of protein kinase activity" "BP"
"1920" "GO:0060236" 0.0207851371306371 0.997060596326086 4 9 "regulation of mitotic spindle organization" "BP"
"931" "GO:0008171" 0.0233345749861384 0.994733534157485 6 14 "O-methyltransferase activity" "MF"
"855" "GO:0006857" 0.0240023243737871 0.993086772290834 7 25 "oligopeptide transport" "BP"
"1878" "GO:0051082" 0.0242311366848036 0.988422354625807 17 66 "unfolded protein binding" "MF"
"543" "GO:0005576" 0.0244416153236458 0.992189589479322 9 23 "extracellular region" "CC"
"702" "GO:0006364" 0.0248219854837663 0.991124337101192 10 31 "rRNA processing" "BP"
"1092" "GO:0009234" 0.0268450531405079 1 2 2 "menaquinone biosynthetic process" "BP"
"465" "GO:0004820" 0.0274266259611769 0.999032523373675 2 3 "glycine-tRNA ligase activity" "MF"
"732" "GO:0006426" 0.0274266259611769 0.999032523373675 2 3 "glycyl-tRNA aminoacylation" "BP"
"230" "GO:0004097" 0.0274545249068077 0.999030992644135 2 3 "catechol oxidase activity" "MF"
"1780" "GO:0046148" 0.0274545249068077 0.999030992644135 2 3 "pigment biosynthetic process" "BP"
"276" "GO:0004345" 0.0279166678626209 0.999005506285135 2 3 "glucose-6-phosphate dehydrogenase activity" "MF"
"272" "GO:0004332" 0.028280228056814 0.997156839692923 3 6 "fructose-bisphosphate aldolase activity" "MF"
"1226" "GO:0015743" 0.0284973476792998 0.998973136786414 2 3 "malate transport" "BP"
"1063" "GO:0009058" 0.0293174417853283 0.985700767012518 16 79 "biosynthetic process" "BP"
"1391" "GO:0016998" 0.0300930362969247 0.99815524131827 3 4 "cell wall macromolecule catabolic process" "BP"
"378" "GO:0004601" 0.0315802877631142 0.98753851487977 11 35 "peroxidase activity" "MF"
"915" "GO:0008061" 0.0320244516182287 1 2 2 "chitin binding" "MF"
"929" "GO:0008152" 0.0322978399097 0.976050355018399 77 488 "metabolic process" "BP"
"305" "GO:0004402" 0.036454196892656 0.995552158972811 3 7 "histone acetyltransferase activity" "MF"
"1339" "GO:0016760" 0.0366708539561185 0.99104837980214 5 18 "cellulose synthase (UDP-forming) activity" "MF"
"677" "GO:0006270" 0.0371925632127867 0.995146582235684 3 8 "DNA replication initiation" "BP"
"1563" "GO:0031369" 0.0373452219901132 0.996410464025528 3 5 "translation initiation factor binding" "MF"
"623" "GO:0005992" 0.0375440888571119 0.991003704326736 5 16 "trehalose biosynthetic process" "BP"
"910" "GO:0008017" 0.0381240485224197 0.981665828078908 14 74 "microtubule binding" "MF"
"1313" "GO:0016630" 0.0392124755319435 0.998309561727877 2 3 "protochlorophyllide reductase activity" "MF"
"1503" "GO:0030170" 0.0394624764136544 0.981506596942286 13 69 "pyridoxal phosphate binding" "MF"
"502" "GO:0005089" 0.0398592132494392 0.994650887327413 3 8 "Rho guanyl-nucleotide exchange factor activity" "MF"
"1803" "GO:0046835" 0.0412505203545804 0.994386503883193 3 8 "carbohydrate phosphorylation" "BP"
"446" "GO:0004791" 0.0423123734234634 0.998095186843159 2 3 "thioredoxin-disulfide reductase activity" "MF"
"1440" "GO:0019430" 0.0423123734234634 0.998095186843159 2 3 "removal of superoxide radicals" "BP"
"545" "GO:0005618" 0.0431968694552452 0.984498180674465 8 30 "cell wall" "CC"
"1188" "GO:0010309" 0.0436112604907082 1 2 2 "acireductone dioxygenase [iron(II)-requiring] activity" "MF"
"1879" "GO:0051087" 0.0443539193319044 0.989238308639076 5 14 "chaperone binding" "MF"
"1594" "GO:0032502" 0.0448106689901066 0.988889729542153 5 15 "developmental process" "BP"
"532" "GO:0005507" 0.0493969704670558 0.980140757209926 10 30 "copper ion binding" "MF"
"115" "GO:0003743" 0.0506395169167844 0.97705968319384 12 43 "translation initiation factor activity" "MF"
"1919" "GO:0055114" 0.0506480122380346 0.958954100388755 134 786 "oxidation-reduction process" "BP"
"1691" "GO:0042744" 0.0520624358835626 0.981658717773621 8 22 "hydrogen peroxide catabolic process" "BP"
"1038" "GO:0008878" 0.053159178145202 0.99620733130383 2 4 "glucose-1-phosphate adenylyltransferase activity" "MF"
"1326" "GO:0016705" 0.0545517557681108 0.968210634451892 21 119 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1782" "GO:0046274" 0.059913985909797 1 2 2 "lignin catabolic process" "BP"
"1911" "GO:0052716" 0.059913985909797 1 2 2 "hydroquinone:oxygen oxidoreductase activity" "MF"
"673" "GO:0006260" 0.0659318944802998 0.969143512202746 11 50 "DNA replication" "BP"
"1474" "GO:0020037" 0.0713265831819364 0.952030474684718 34 173 "heme binding" "MF"
"1581" "GO:0032040" 0.0728802076590908 0.98811641096185 3 7 "small-subunit processome" "CC"
"546" "GO:0005622" 0.0746156128702216 0.941471029831778 93 359 "intracellular" "CC"
"1357" "GO:0016813" 0.0752550815803766 0.993432622320808 2 4 "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines" "MF"
"765" "GO:0006508" 0.0753162802282898 0.946794353009131 41 258 "proteolysis" "BP"
"1089" "GO:0009228" 0.0776040413700416 0.993103826149143 2 4 "thiamine biosynthetic process" "BP"
"1186" "GO:0010277" 0.0814100935987464 0.991455476017343 2 5 "chlorophyllide a oxygenase [overall] activity" "MF"
"255" "GO:0004175" 0.0836269033995068 0.972137944114229 6 17 "endopeptidase activity" "MF"
"99" "GO:0003678" 0.0841902255955537 0.977801318459549 4 15 "DNA helicase activity" "MF"
"511" "GO:0005216" 0.0849266262756871 0.968995073330675 6 29 "ion channel activity" "MF"
"17" "GO:0000148" 0.0857123575921809 0.984131525929678 3 8 "1,3-beta-D-glucan synthase complex" "CC"
"129" "GO:0003843" 0.0857123575921809 0.984131525929678 3 8 "1,3-beta-D-glucan synthase activity" "MF"
"639" "GO:0006075" 0.0857123575921809 0.984131525929678 3 8 "(1->3)-beta-D-glucan biosynthetic process" "BP"
"1807" "GO:0046856" 0.0858019310225965 0.984107680120903 3 8 "phosphatidylinositol dephosphorylation" "BP"
"1303" "GO:0016597" 0.088954694579521 0.96434455920876 7 32 "amino acid binding" "MF"
"408" "GO:0004650" 0.0898042088202199 0.968144309091812 6 21 "polygalacturonase activity" "MF"
"928" "GO:0008146" 0.092690347988192 0.977256075859503 4 10 "sulfotransferase activity" "MF"
"508" "GO:0005199" 0.0967752385400528 0.985860342424971 3 5 "structural constituent of cell wall" "MF"
"1931" "GO:0070469" 0.0982384587135044 1 2 2 "respiratory chain" "CC"
"124" "GO:0003825" 0.0989551913596113 1 1 1 "alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity" "MF"
"27" "GO:0000176" 0.0989558172811539 1 1 1 "nuclear exosome (RNase complex)" "CC"
"925" "GO:0008131" 0.0989567215885895 1 1 1 "primary amine oxidase activity" "MF"
"1101" "GO:0009308" 0.0989567215885895 1 1 1 "amine metabolic process" "BP"
"512" "GO:0005245" 0.0989570737405711 1 1 1 "voltage-gated calcium channel activity" "MF"
"601" "GO:0005847" 0.0989570737405711 1 1 1 "mRNA cleavage and polyadenylation specificity factor complex" "CC"
"83" "GO:0001026" 0.0989573430931005 1 1 1 "TFIIIB-type transcription factor activity" "MF"
"1024" "GO:0008760" 0.0989575881607151 1 1 1 "UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity" "MF"
"1431" "GO:0019277" 0.0989575881607151 1 1 1 "UDP-N-acetylgalactosamine biosynthetic process" "BP"
"1471" "GO:0019948" 0.0989576163042527 1 1 1 "SUMO activating enzyme activity" "MF"
"127" "GO:0003840" 0.0989576519369288 1 1 1 "gamma-glutamyltransferase activity" "MF"
"1922" "GO:0060918" 0.0989583209154925 1 1 1 "auxin transport" "BP"
"1021" "GO:0008734" 0.0989667537115728 1 1 1 "L-aspartate oxidase activity" "MF"
"169" "GO:0003937" 0.0989772261193486 1 1 1 "IMP cyclohydrolase activity" "MF"
"402" "GO:0004643" 0.0989772261193486 1 1 1 "phosphoribosylaminoimidazolecarboxamide formyltransferase activity" "MF"
"1530" "GO:0030688" 0.099023141059663 1 1 1 "preribosome, small subunit precursor" "CC"
"1138" "GO:0009638" 0.0991341536887446 1 1 1 "phototropism" "BP"
"323" "GO:0004451" 0.0991458658099924 1 1 1 "isocitrate lyase activity" "MF"
"1635" "GO:0034457" 0.0995768314124446 1 1 1 "Mpp10 complex" "CC"
"80" "GO:0000982" 0.0997810764688708 1 1 1 "transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding" "MF"
"81" "GO:0000987" 0.0997810764688708 1 1 1 "core promoter proximal region sequence-specific DNA binding" "MF"
"1336" "GO:0016756" 0.0997810764688708 1 1 1 "glutathione gamma-glutamylcysteinyltransferase activity" "MF"
"1815" "GO:0046938" 0.0997810764688708 1 1 1 "phytochelatin biosynthetic process" "BP"
"164" "GO:0003922" 0.100103778731113 1 1 1 "GMP synthase (glutamine-hydrolyzing) activity" "MF"
"661" "GO:0006177" 0.100103778731113 1 1 1 "GMP biosynthetic process" "BP"
"1284" "GO:0016462" 0.100103778731113 1 1 1 "pyrophosphatase activity" "MF"
"976" "GO:0008410" 0.100501268812581 1 1 1 "CoA-transferase activity" "MF"
"216" "GO:0004056" 0.100600533373969 1 1 1 "argininosuccinate lyase activity" "MF"
"1679" "GO:0042450" 0.100600533373969 1 1 1 "arginine biosynthetic process via ornithine" "BP"
