"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1330" "GO:0016705" 1.0043133632661e-08 0.999999998770366 15 123 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1821" "GO:0046983" 7.02838596644793e-07 0.999999817243778 24 156 "protein dimerization activity" "MF"
"532" "GO:0005506" 2.59067987040262e-06 0.999999465620654 16 163 "iron ion binding" "MF"
"766" "GO:0006508" 4.38613373435337e-06 0.999998938308797 18 264 "proteolysis" "BP"
"1478" "GO:0020037" 8.012844609713e-06 0.999998001906388 18 174 "heme binding" "MF"
"1922" "GO:0055114" 5.61510867316159e-05 0.99997420154321 41 782 "oxidation-reduction process" "BP"
"1193" "GO:0010333" 7.22678814750828e-05 0.999993953372664 7 15 "terpene synthase activity" "MF"
"617" "GO:0005975" 0.000264062699713473 0.999933624149918 12 261 "carbohydrate metabolic process" "BP"
"1365" "GO:0016829" 0.000290382260625839 0.999964562310448 7 22 "lyase activity" "MF"
"357" "GO:0004553" 0.000313130071982627 0.999953994813344 7 128 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1921" "GO:0055085" 0.00071485635162484 0.99979828995743 12 318 "transmembrane transport" "BP"
"421" "GO:0004672" 0.00114226445229464 0.999587363651268 16 722 "protein kinase activity" "MF"
"753" "GO:0006468" 0.00114226445229464 0.999587363651268 16 722 "protein phosphorylation" "BP"
"511" "GO:0005215" 0.00139998021886951 0.999631484444675 10 164 "transporter activity" "MF"
"241" "GO:0004134" 0.00140319484392115 0.999999508914093 1 2 "4-alpha-glucanotransferase activity" "MF"
"1801" "GO:0046577" 0.00192045944802125 0.999998773304386 1 3 "long-chain-alcohol oxidase activity" "MF"
"931" "GO:0008152" 0.00212082036236363 0.999162868883868 17 485 "metabolic process" "BP"
"914" "GO:0008033" 0.00262783647604186 0.999569197675773 6 28 "tRNA processing" "BP"
"960" "GO:0008289" 0.00380596574378031 0.999294720806055 6 43 "lipid binding" "MF"
"829" "GO:0006754" 0.00402589000533423 0.999993526159554 1 5 "ATP biosynthetic process" "BP"
"1342" "GO:0016758" 0.00700271011248753 0.998458607601706 6 109 "transferase activity, transferring hexosyl groups" "MF"
