"ITAG","cluster"
"Solyc00g069887",4
"Solyc00g009145",3
"Solyc00g183555",3
"Solyc00g212265",3
"Solyc00g005092",3
"Solyc00g005098",3
"Solyc00g005445",6
"Solyc00g006490",4
"Solyc00g006568",3
"Solyc00g006655",6
"Solyc00g006687",3
"Solyc00g008165",6
"Solyc00g009040",4
"Solyc00g009110",4
"Solyc00g009146",6
"Solyc00g009148",6
"Solyc06g024330",4
"Solyc00g012640",4
"Solyc00g013181",3
"Solyc00g013183",3
"Solyc00g013184",6
"Solyc00g013186",3
"Solyc00g014290",6
"Solyc00g014830",6
"Solyc00g014980",6
"Solyc00g021655",6
"Solyc00g024695",4
"Solyc00g030105",3
"Solyc00g032945",3
"Solyc00g044750",3
"Solyc00g052430",3
"Solyc00g056680",4
"Solyc00g071180",6
"Solyc00g075035",1
"Solyc00g085070",1
"Solyc00g090115",6
"Solyc00g100885",3
"Solyc00g102400",3
"Solyc00g110375",6
"Solyc00g117657",5
"Solyc00g128875",3
"Solyc00g143777",6
"Solyc00g147573",3
"Solyc00g160785",3
"Solyc00g167805",3
"Solyc00g170515",6
"Solyc00g174345",6
"Solyc00g222067",6
"Solyc00g230080",6
"Solyc00g247305",3
"Solyc00g294233",3
"Solyc00g304030",3
"Solyc00g304035",3
"Solyc00g005040",3
"Solyc00g005890",3
"Solyc00g005907",3
"Solyc00g006595",4
"Solyc00g006680",4
"Solyc00g006867",5
"Solyc00g006903",3
"Solyc00g008000",6
"Solyc00g008055",6
"Solyc00g008570",4
"Solyc00g008580",4
"Solyc00g008800",4
"Solyc00g008910",4
"Solyc00g008915",6
"Solyc00g009030",4
"Solyc00g009050",4
"Solyc00g009060",4
"Solyc00g009070",4
"Solyc00g009090",4
"Solyc00g009141",4
"Solyc00g009142",6
"Solyc00g009143",6
"Solyc00g009144",6
"Solyc00g009650",4
"Solyc00g009760",4
"Solyc00g009765",4
"Solyc00g010410",4
"Solyc00g010420",4
"Solyc00g010520",4
"Solyc00g010525",4
"Solyc00g010530",4
"Solyc00g010750",4
"Solyc00g010755",4
"Solyc00g010780",4
"Solyc00g010930",4
"Solyc00g011150",4
"Solyc00g011160",4
"Solyc00g011170",4
"Solyc00g011175",4
"Solyc03g043580",4
"Solyc00g011670",4
"Solyc00g011673",4
"Solyc00g011677",4
"Solyc00g011870",4
"Solyc00g011880",4
"Solyc00g011895",4
"Solyc00g012430",4
"Solyc00g012435",6
"Solyc00g012440",4
"Solyc00g012540",4
"Solyc00g012650",4
"Solyc00g012660",4
"Solyc00g012670",4
"Solyc00g012680",4
"Solyc00g012690",4
"Solyc00g012700",4
"Solyc00g012702",6
"Solyc00g012704",6
"Solyc00g012706",6
"Solyc00g012708",6
"Solyc00g013110",4
"Solyc00g013120",4
"Solyc00g013130",4
"Solyc00g013133",4
"Solyc00g013137",4
"Solyc00g013150",4
"Solyc00g013155",4
"Solyc00g013160",4
"Solyc00g013170",4
"Solyc00g013180",4
"Solyc00g013182",6
"Solyc00g013185",6
"Solyc00g013188",4
"Solyc00g014170",6
"Solyc00g014180",6
"Solyc00g014190",6
"Solyc00g014390",6
"Solyc00g014395",3
"Solyc00g014990",6
"Solyc00g014995",6
"Solyc00g015000",6
"Solyc00g015600",6
"Solyc00g015720",6
"Solyc00g015730",6
"Solyc00g015733",6
"Solyc00g015735",6
"Solyc00g015737",3
"Solyc00g016915",3
"Solyc00g017235",3
"Solyc00g017933",4
"Solyc00g018970",4
"Solyc00g102000",4
"Solyc00g022107",3
"Solyc00g026160",6
"Solyc00g026165",3
"Solyc00g026907",3
"Solyc00g030000",3
"Solyc00g030215",3
"Solyc00g030520",3
"Solyc00g032943",6
"Solyc00g036964",6
"Solyc00g042852",3
"Solyc00g044350",3
"Solyc00g044755",3
"Solyc00g050430",5
"Solyc00g055985",6
"Solyc00g056180",4
"Solyc00g057280",4
"Solyc00g057885",4
"Solyc00g058480",6
"Solyc00g058900",6
"Solyc00g059500",4
"Solyc00g059503",4
"Solyc00g059505",6
"Solyc00g059507",4
"Solyc00g060700",4
"Solyc00g060710",4
"Solyc00g060810",4
"Solyc00g066155",6
"Solyc00g068980",4
"Solyc00g068985",6
"Solyc00g069680",6
"Solyc01g058600",6
"Solyc00g069880",4
"Solyc00g069883",3
"Solyc00g071580",6
"Solyc00g071590",6
"Solyc00g071600",6
"Solyc00g072100",3
"Solyc00g072400",6
"Solyc00g072405",6
"Solyc00g072800",6
"Solyc00g072805",6
"Solyc00g073900",6
"Solyc00g084650",6
"Solyc06g024210",4
"Solyc00g090110",4
"Solyc00g090130",4
"Solyc00g090430",4
"Solyc00g090640",4
"Solyc00g090650",4
"Solyc00g090660",4
"Solyc00g090860",4
"Solyc00g090870",4
"Solyc00g092870",4
"Solyc00g092880",4
"Solyc00g092890",4
"Solyc00g092900",4
"Solyc00g093000",4
"Solyc00g093100",4
"Solyc00g094010",4
"Solyc00g094020",4
"Solyc00g094520",4
"Solyc00g094530",4
"Solyc00g094540",4
"Solyc00g094550",4
"Solyc00g095450",4
"Solyc00g095460",4
"Solyc00g095465",6
"Solyc00g095860",4
"Solyc00g096060",4
"Solyc00g096460",4
"Solyc00g097960",3
"Solyc00g098560",3
"Solyc00g099580",4
"Solyc00g101700",3
"Solyc00g110870",2
"Solyc00g111175",3
"Solyc00g125275",6
"Solyc00g127870",3
"Solyc00g129685",4
"Solyc00g141565",3
"Solyc00g145170",4
"Solyc00g170200",3
"Solyc00g170210",3
"Solyc00g170510",3
"Solyc00g171710",3
"Solyc00g171810",3
"Solyc00g172410",3
"Solyc00g173430",3
"Solyc00g174340",3
"Solyc00g178340",3
"Solyc00g179240",3
"Solyc00g180440",3
"Solyc00g180840",3
"Solyc00g181240",3
"Solyc00g181250",3
"Solyc00g183050",3
"Solyc00g183055",3
"Solyc00g183550",3
"Solyc00g187050",4
"Solyc00g213960",3
"Solyc00g215560",3
"Solyc00g215565",3
"Solyc00g217560",6
"Solyc00g217960",3
"Solyc00g218560",3
"Solyc00g222060",6
"Solyc00g222063",3
"Solyc00g222065",6
"Solyc00g226760",6
"Solyc00g227860",6
"Solyc00g227960",6
"Solyc00g230060",6
"Solyc00g230070",6
"Solyc00g230280",6
"Solyc00g231680",6
"Solyc00g231780",6
"Solyc00g233480",6
"Solyc00g237680",6
"Solyc00g240580",6
"Solyc00g244280",6
"Solyc00g244290",6
"Solyc00g244300",6
"Solyc00g244305",6
"Solyc00g247300",3
"Solyc00g273110",2
"Solyc00g277510",3
"Solyc00g278110",3
"Solyc00g280110",2
"Solyc00g281110",3
"Solyc00g282510",4
"Solyc00g289230",3
"Solyc00g294237",3
"Solyc00g300730",3
"Solyc00g311230",5
"Solyc00g322635",1
"Solyc01g006440",2
"Solyc01g007960",3
"Solyc01g005140",4
"Solyc01g006340",4
"Solyc01g008780",6
"Solyc01g009715",3
"Solyc01g010960",3
"Solyc01g011475",6
"Solyc01g014075",3
"Solyc01g016435",3
"Solyc01g017775",3
"Solyc01g017873",4
"Solyc01g034067",3
"Solyc01g044305",3
"Solyc01g056695",6
"Solyc01g058190",3
"Solyc01g065915",3
"Solyc01g066957",3
"Solyc01g067360",3
"Solyc01g080725",3
"Solyc01g080810",6
"Solyc01g090230",1
"Solyc01g094010",3
"Solyc01g096190",1
"Solyc01g098490",3
"Solyc01g099030",3
"Solyc01g105970",5
"Solyc01g109490",3
"Solyc01g109830",5
"Solyc01g112300",3
"Solyc01g005220",6
"Solyc01g006460",2
"Solyc01g006490",4
"Solyc01g006540",2
"Solyc01g006560",2
"Solyc01g006610",2
"Solyc01g006960",2
"Solyc01g007140",6
"Solyc01g007895",3
"Solyc01g008240",1
"Solyc01g008420",5
"Solyc01g008570",6
"Solyc01g008660",4
"Solyc01g008670",3
"Solyc01g008730",3
"Solyc01g009030",4
"Solyc01g009120",6
"Solyc01g009340",1
"Solyc01g009480",3
"Solyc01g009530",3
"Solyc01g009730",3
"Solyc01g010501",6
"Solyc01g010510",5
"Solyc01g010720",6
"Solyc01g010933",3
"Solyc01g010950",4
"Solyc01g010970",5
"Solyc01g010980",3
"Solyc01g011090",2
