"genotype" "gene" "Ambr" "Aother" "Bmbr" "Bother" "Cmbr" "Cother" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "ssom$unit.classif" "ssom$distances"
"1" "tf2" "Solyc00g005040" -0.0911452982354532 -1.26815093198723 1.63568645443858 -0.328242627946271 0.573159247462876 -0.521306843732503 1.62045178071467 0.179137411487597 -0.232280101014885 -1.03103962759386 -0.64857099295605 -1.66533453693773e-16 8 1.21140209722799
"2" "tf2" "Solyc00g005092" -0.27737516542834 -0.9107752732761 1.65531559912854 -0.462123067050409 0.752433006889029 -0.757475100262722 1.79418416680693 0.193171707804666 0.0649057241419535 -1.07462811150961 -0.263832832220037 4.44089209850063e-16 8 0.908179460709613
"3" "tf2" "Solyc00g005098" -0.403897251137299 -0.394230284597772 2.04115860195088 -0.407352800344496 -0.416155544764199 -0.419522721107117 1.8834976387176 -0.338837562679067 -0.255563333064151 0.148808118442084 -0.108898018364636 -1.66533453693773e-16 8 0.1218010596112
"4" "tf2" "Solyc00g005445" -0.407349360615736 -0.405677518035373 2.04037943105504 -0.403569014081435 -0.366249579457606 -0.457533958864891 1.90470892079644 -0.317710257532908 -0.222952090208863 0.102835235339462 -0.113376776736693 -2.77555756156289e-16 8 0.141200362791577
"5" "tf2" "Solyc00g005890" -0.405702548868966 -0.329067664829176 2.03838891452034 -0.445557636938794 -0.376903070585767 -0.48115799329764 1.92078025993286 -0.296566944233625 -0.206685224138343 0.138573851672845 -0.0355102703893286 -2.77555756156289e-16 8 0.0624114236302544
"6" "tf2" "Solyc00g005907" -0.437008733955485 -0.398779922695633 2.04034874596556 -0.423094004912198 -0.354526847909665 -0.426939236492577 1.89284491399621 -0.350351375344148 -0.234064296020567 0.0854761041215434 -0.0859737998014819 -3.88578058618805e-16 8 0.0573643666166709
"7" "tf2" "Solyc00g006490" -0.198114057258668 -0.466312986452951 2.02754536041776 -0.487002704794627 -0.513562485398307 -0.362553126513203 1.84202034189926 -0.197571976119902 -0.450913367842944 0.217333934482705 -0.156563074287278 -1.11022302462516e-16 4 0.736052911419564
"8" "tf2" "Solyc00g006568" -0.417258512224809 -0.378725756377476 2.04056559569448 -0.394761570144505 -0.396443422881383 -0.45337633406631 1.90037868753763 -0.332707836846333 -0.214533615309049 0.140362723143258 -0.102970666662551 -2.77555756156289e-16 8 0.11637015871383
"9" "tf2" "Solyc00g006595" -0.290692553924726 -0.423300883146282 2.03675360703066 -0.434735629752073 -0.395741751738425 -0.492282788469153 1.91910616950944 -0.205926676151281 -0.275425398938611 0.135822331338446 -0.134274647288499 -1.11022302462516e-16 4 0.0944424314379087
"10" "tf2" "Solyc00g006655" -0.466027227245818 -0.39822207102677 2.03878794719377 -0.437528204047601 -0.32076433468514 -0.416246110188444 1.89043917726584 -0.370779450573563 -0.228149039373018 0.0483686270669134 -0.0642397790771977 -4.9960036108132e-16 8 0.224218513091189
"11" "tf2" "Solyc00g006680" 0.877021107874875 0.621963398307107 -1.87937602495882 -0.08836467301089 0.546040385249025 -0.077284193461297 -1.63478668194667 1.79629811197717 0.996443579255034 -0.183933266898088 0.648286106609155 1.4432899320127e-15 1 0.972712226176442
"12" "tf2" "Solyc00g006687" -0.43276325461571 -0.376066330726889 2.03991396999391 -0.438304440704073 -0.353493160505068 -0.439286783442165 1.90100585519823 -0.337544630740766 -0.228131851089048 0.0928385044986011 -0.0614994120343223 -4.44089209850063e-16 8 0.123360008563227
"13" "tf2" "Solyc00g006867" 0.380152794164327 -1.00164310133506 -0.115305509875676 -0.551777564151964 1.80709158187744 -0.518518200679071 0.219602383339532 1.29520300817264 0.380869244683935 -2.03332320176574 -0.0627554148735002 1.38777878078145e-15 2 3.10419981485543
"14" "tf2" "Solyc00g006903" -0.418396112227467 -0.373452746820679 2.04092362954448 -0.414844369383416 -0.412508376685179 -0.421722024427743 1.88614674680211 -0.346923263738692 -0.244451078000976 0.150904026756924 -0.0861830616563878 -2.22044604925031e-16 8 0.7272832339121
"15" "tf2" "Solyc00g007150" 1.71218525759068 -0.709161730665831 -1.05991366146017 0.52008039091885 -0.0522378118151689 -0.410952444568361 -0.910477155585969 2.14730202144514 0.328782223314788 0.0702645202239842 -1.0316461224441 2.72004641033163e-15 2 4.79174713395873
"16" "tf2" "Solyc00g007160" -0.328974656033521 -0.859080355416342 1.98079211563195 -0.351447323069408 -0.15232338250155 -0.288966398611131 1.76602739634022 -0.307805337851141 -0.414055544659655 -0.26653598473733 -0.429410295571774 -2.77555756156289e-16 7 0.394484099495039
"17" "tf2" "Solyc00g007200" -0.549696272504504 -0.623555240007619 1.05842516463995 -0.708130438114673 1.49514609767167 -0.672189311684817 1.32511193247004 0.268509655348266 0.445837125245326 -1.71817046062363 0.325563720543437 -2.22044604925031e-16 2 2.59151553754253
"18" "tf2" "Solyc00g007220" -0.103876800168915 1.98758652001828 -0.64966644878269 -0.651437551290798 -0.397503955844768 -0.185101763931103 -0.476902796711372 0.703510666324064 1.02986613767202 1.01814651393083 1.9041651281352 -2.77555756156289e-17 1 1.75069688721692
"19" "tf2" "Solyc00g007260" 0.0335404977089291 -0.571959433764558 -0.509978722261875 -0.669193616495466 1.97431774699603 -0.256726472183057 -0.21434475271256 1.06913326800597 0.61216377008614 -2.10537803060579 0.459465239080607 4.44089209850063e-16 1 3.0040232165087
"20" "tf2" "Solyc00g007300" -1.31764067050355 -0.449177792021107 -0.390776618401095 -0.196727881480174 1.39991228826481 0.954410674141119 -0.799103274957474 -0.77531884729594 0.553964452179253 -1.74841353576827 0.474852418060334 -1.60982338570648e-15 2 2.16810189565348
"21" "tf2" "Solyc00g008000" -0.449416908106886 -0.341913918884292 2.03726425338232 -0.427342433133748 -0.328652721398374 -0.489938271859017 1.92555918326215 -0.324096131972223 -0.168758042653994 0.0879282481043128 -0.0409945119580556 -2.77555756156289e-16 7 0.0815221665000758
"22" "tf2" "Solyc00g008055" -0.471455801888296 -0.331449559242458 2.03759102700093 -0.45240362364062 -0.338978832948757 -0.443303209280803 1.90507206658038 -0.360181165283996 -0.198686659830589 0.0905590255715425 -0.0113238419515227 -2.77555756156289e-16 7 0.0796043426657689
"23" "tf2" "Solyc00g008165" -0.42201293806547 -0.380874271825413 2.04088447525355 -0.423318086921788 -0.390293427949325 -0.424385750491557 1.88984297164655 -0.344139215074929 -0.243421552938961 0.126444635558528 -0.0817299140410179 -2.22044604925031e-16 7 0.0937567093308075
"24" "tf2" "Solyc00g008570" 0.793109460960052 0.62069889613078 -1.88807995207135 0.0891862625448941 0.604103604481324 -0.219018272045701 -1.58701808943728 1.7735378160085 1.21625390005471 -0.208088106822772 0.546291792784024 2.02615701994091e-15 1 0.957713905605424
"25" "tf2" "Solyc00g008580" 1.36751632623638 0.432632938194329 -1.64477720186132 0.192969976491334 -0.438299108331981 0.0899570692712498 -1.62628404438407 1.84830952790722 0.495826542390791 0.72231802085565 0.0713762719136716 2.60902410786912e-15 1 1.31561790360112
"26" "tf2" "Solyc00g008800" 0.338552964599289 1.4439057715262 -1.65156133189371 0.0473395914669406 0.0763171843200851 -0.254554180018804 -1.37311623084671 1.31226608220037 1.48390992665555 0.533379926098122 1.13098356267394 1.08246744900953e-15 1 0.90174544665623
"27" "tf2" "Solyc00g008910" 0.113792564971474 1.70586286306138 -1.40654954083818 -0.0659141612983793 -0.0430473856914899 -0.304144340204801 -1.12336497379418 1.09361621329031 1.52939326368269 0.705614629391823 1.38941352869939 4.44089209850063e-16 1 0.959477393687721
"28" "tf2" "Solyc00g008915" -0.444666959405536 -0.288771354171782 2.03734986574985 -0.426247613199556 -0.413792978823682 -0.46387096014929 1.90769141551839 -0.34306682336828 -0.185766724327732 0.184059531674846 -0.0171910428434844 -4.44089209850063e-16 7 0.488508352592514
"29" "tf2" "Solyc00g009030" 0.261703347055457 1.27258106332563 -0.872495897114978 -0.935349937985413 1.04190564072202 -0.768344216002714 -0.263500026291639 1.56675574800967 1.22404956665539 -0.507604483665345 1.72850501923177 -1.11022302462516e-15 1 1.1103375545064
"30" "tf2" "Solyc00g009040" 0.261493010837792 1.39832116583074 -1.16657836382652 -0.867689311327235 0.816679603421995 -0.442226104936767 -0.702021859388286 1.46179292538735 1.15492500869838 -0.277638840613791 1.78301989570769 1.83186799063151e-15 1 0.99210259490712
"31" "tf2" "Solyc00g009050" -0.11513066182686 0.0249490514365931 0.317169444115856 -0.99392874725699 1.72576932106734 -0.958828407535934 0.888949186948387 1.07204694496587 0.802789661969912 -1.64133927663837 0.963267871752733 2.22044604925031e-16 1 2.61331437703196
"32" "tf2" "Solyc00g009060" 1.49657453956477 -0.135297425429516 0.890358946921923 -0.422723101104935 -0.693024693542573 -1.13588826640967 1.21965345662576 1.83048634455925 -0.200390668548967 0.792452729274976 -0.279993735542731 1.77635683940025e-15 4 2.35155710219912
"33" "tf2" "Solyc00g009070" -0.0760685676461803 0.296571190825636 0.722035940735028 -0.0291166574057498 0.95164014513905 -1.86506205164779 1.53370726269917 1.12984740020449 1.59680747025262 -0.599239633684775 0.288635181488034 2.1094237467878e-15 4 2.57890184355825
"34" "tf2" "Solyc00g009090" 1.57531158189992 -0.686303486339315 -0.820770655889769 0.55752957602886 -0.971322976550267 0.345555960850579 -1.15022508092364 1.47998063659976 -0.306911896016427 0.831001619731925 -1.1278042329672 -1.87756711220177e-16 1 2.50910533577341
"35" "tf2" "Solyc00g009110" -0.711164507962231 -0.509537157404501 1.96553399318507 -0.0610769270508429 -0.0832254875422632 -0.600529913225233 1.89203741495394 -0.497790381985674 0.201953974918855 -0.168531106259727 -0.312799301655564 -5.55111512312578e-17 4 0.967658570698953
