"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1815","GO:0046983",5.35084653287406e-05,0.999988974534833,12,136,"protein dimerization activity","MF"
"281","GO:0004351",0.000729564543623427,0.999996171805506,2,3,"glutamate decarboxylase activity","MF"
"775","GO:0006536",0.000729564543623427,0.999996171805506,2,3,"glutamate metabolic process","BP"
"541","GO:0005544",0.000998172992954862,0.999964469087132,3,9,"calcium-dependent phospholipid binding","MF"
"876","GO:0006979",0.00166095932103857,0.999793851814346,5,38,"response to oxidative stress","BP"
"1452","GO:0019752",0.00243157024314238,0.999864440707973,3,16,"carboxylic acid metabolic process","BP"
"510","GO:0005215",0.00248900386533668,0.999349596067266,9,159,"transporter activity","MF"
"378","GO:0004601",0.0024891071963911,0.999754619120432,4,30,"peroxidase activity","MF"
"1446","GO:0019538",0.00263134443939328,0.999846594511737,3,18,"protein metabolic process","BP"
"1689","GO:0042744",0.00428165222254341,0.999705389104192,3,17,"hydrogen peroxide catabolic process","BP"
"1915","GO:0055085",0.00491792882327586,0.998261150108044,12,310,"transmembrane transport","BP"
"98","GO:0003677",0.00595726150168458,0.996903363844443,27,745,"DNA binding","MF"
"1360","GO:0016831",0.0101278941539836,0.999579718379578,2,10,"carboxy-lyase activity","MF"
"124","GO:0003825",0.0112563605437733,1,1,1,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity","MF"
"487","GO:0004857",0.0151616496696347,0.998278773599916,3,24,"enzyme inhibitor activity","MF"
"323","GO:0004451",0.0152267569497442,1,1,1,"isocitrate lyase activity","MF"
"967","GO:0008356",0.0156091890173973,1,1,1,"asymmetric cell division","BP"
"1165","GO:0009956",0.0156091890173973,1,1,1,"radial pattern formation","BP"
"1838","GO:0048366",0.0156091890173973,1,1,1,"leaf development","BP"
"1472","GO:0020037",0.0156754041504342,0.994918406078279,8,162,"heme binding","MF"
"928","GO:0008146",0.0167945910054427,0.999109705961682,2,9,"sulfotransferase activity","MF"
"543","GO:0005576",0.0198264128522702,0.997530498328037,3,22,"extracellular region","CC"
"123","GO:0003824",0.023136809135568,0.987656331091995,20,691,"catalytic activity","MF"
"841","GO:0006810",0.023419996331029,0.990687545820748,10,235,"transport","BP"
"1805","GO:0046872",0.0249580139033885,0.98901521659052,12,322,"metal ion binding","MF"
"1247","GO:0016020",0.0261083822250938,0.985898270504123,20,649,"membrane","CC"
"1134","GO:0009607",0.0275322548363803,0.998215964297866,2,7,"response to biotic stimulus","BP"
"1112","GO:0009415",0.0304025654943882,1,1,1,"response to water","BP"
"36","GO:0000234",0.0311502130942793,0.999754603007128,1,2,"phosphoethanolamine N-methyltransferase activity","MF"
"812","GO:0006656",0.0311502130942793,0.999754603007128,1,2,"phosphatidylcholine biosynthetic process","BP"
"205","GO:0004030",0.0313735472792208,0.999751043013652,1,2,"aldehyde dehydrogenase [NAD(P)+] activity","MF"
"640","GO:0006081",0.0313735472792208,0.999751043013652,1,2,"cellular aldehyde metabolic process","BP"
"420","GO:0004672",0.0313903987290366,0.983256938052188,18,716,"protein kinase activity","MF"
"752","GO:0006468",0.0313903987290366,0.983256938052188,18,716,"protein phosphorylation","BP"
"1478","GO:0030001",0.0330658863548386,0.992823298083837,4,53,"metal ion transport","BP"
"1862","GO:0050662",0.0334068181535877,0.99473289013274,3,36,"coenzyme binding","MF"
"858","GO:0006869",0.033815377097389,0.99745923452932,2,8,"lipid transport","BP"
"1348","GO:0016788",0.0343006559984101,0.992419771245239,4,63,"hydrolase activity, acting on ester bonds","MF"
"213","GO:0004048",0.0351243587419215,0.999687354061354,1,2,"anthranilate phosphoribosyltransferase activity","MF"
"945","GO:0008242",0.039292071621451,0.999607914426395,1,2,"omega peptidase activity","MF"
"263","GO:0004252",0.0398751402518917,0.99071525592393,4,74,"serine-type endopeptidase activity","MF"
