"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"491" "GO:0004867" 3.73380441037249e-06 0.999999815430888 7 14 "serine-type endopeptidase inhibitor activity" "MF"
"1946" "GO:0071446" 5.1797388786826e-06 0.999999966273859 4 5 "cellular response to salicylic acid stimulus" "BP"
"1985" "GO:2000031" 5.1797388786826e-06 0.999999966273859 4 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"1337" "GO:0016758" 1.25563545031136e-05 0.99999866528697 8 107 "transferase activity, transferring hexosyl groups" "MF"
"616" "GO:0005975" 3.43892485757488e-05 0.999993702310322 11 258 "carbohydrate metabolic process" "BP"
"1560" "GO:0031347" 0.000155149579106924 0.999993877680024 4 12 "regulation of defense response" "BP"
"490" "GO:0004866" 0.000205412663484559 0.999992827116338 4 8 "endopeptidase inhibitor activity" "MF"
"1287" "GO:0016491" 0.000274874651712153 0.999908127853941 18 437 "oxidoreductase activity" "MF"
"364" "GO:0004568" 0.000300729757732563 0.999995188520864 3 5 "chitinase activity" "MF"
"634" "GO:0006032" 0.000300729757732563 0.999995188520864 3 5 "chitin catabolic process" "BP"
"916" "GO:0008061" 0.000763493136645515 1 2 2 "chitin binding" "MF"
"943" "GO:0008235" 0.00128814877840284 0.999949927435042 3 9 "metalloexopeptidase activity" "MF"
"1496" "GO:0030145" 0.00144851160061326 0.999887544318152 4 16 "manganese ion binding" "MF"
"1447" "GO:0019538" 0.00239420681656188 0.999864260827343 3 19 "protein metabolic process" "BP"
"1919" "GO:0055114" 0.00277954404338928 0.998701929307352 24 770 "oxidation-reduction process" "BP"
"257" "GO:0004177" 0.00291116264880673 0.999831049038151 3 14 "aminopeptidase activity" "MF"
"1136" "GO:0009611" 0.00347946367231764 0.99964749580958 4 18 "response to wounding" "BP"
"1767" "GO:0045735" 0.00412492036200998 0.99974910054413 3 10 "nutrient reservoir activity" "MF"
"1775" "GO:0045910" 0.00424727793076498 0.999995503160565 1 2 "negative regulation of DNA recombination" "BP"
"1473" "GO:0020037" 0.00528034496648513 0.998585626367823 8 165 "heme binding" "MF"
