"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"946" "GO:0008235" 2.99285814814801e-08 0.999999999889151 4 9 "metalloexopeptidase activity" "MF"
"492" "GO:0004867" 3.03047990802417e-08 0.999999999700421 5 15 "serine-type endopeptidase inhibitor activity" "MF"
"257" "GO:0004177" 1.60760725765282e-07 0.999999998914413 4 14 "aminopeptidase activity" "MF"
"1456" "GO:0019538" 5.9152770323404e-07 0.999999994012653 4 20 "protein metabolic process" "BP"
"1505" "GO:0030145" 1.13547005969711e-06 0.999999986836237 4 17 "manganese ion binding" "MF"
"1141" "GO:0009611" 2.25664119330352e-06 0.999999968189456 4 19 "response to wounding" "BP"
"567" "GO:0005737" 0.000119902281082523 0.999988666928603 6 235 "cytoplasm" "CC"
"1374" "GO:0016841" 0.000278311630591386 0.999998294594408 2 8 "ammonia-lyase activity" "MF"
"786" "GO:0006559" 0.000339633876099452 0.999997633053054 2 9 "L-phenylalanine catabolic process" "BP"
"491" "GO:0004866" 0.000480488994846101 0.999996267747426 2 7 "endopeptidase inhibitor activity" "MF"
"361" "GO:0004560" 0.00479775700174594 0.999994365840061 1 2 "alpha-L-fucosidase activity" "MF"
"877" "GO:0006952" 0.00529428860848895 0.99983341074963 2 20 "defense response" "BP"
"797" "GO:0006596" 0.00910410055138669 0.999972904219813 1 3 "polyamine biosynthetic process" "BP"
"843" "GO:0006809" 0.00956582483992797 1 1 1 "nitric oxide biosynthetic process" "BP"
"1733" "GO:0043546" 0.00956582483992797 1 1 1 "molybdopterin cofactor binding" "MF"
"1866" "GO:0050464" 0.00956582483992797 1 1 1 "nitrate reductase (NADPH) activity" "MF"
"1093" "GO:0009228" 0.0115315341705591 0.999951056589228 1 4 "thiamine biosynthetic process" "BP"
"767" "GO:0006508" 0.012409931654116 0.998014175470711 4 273 "proteolysis" "BP"
"1672" "GO:0042128" 0.0163037767524343 0.999912815501373 1 3 "nitrate assimilation" "BP"
"1508" "GO:0030151" 0.018079740732166 0.999879349285415 1 4 "molybdenum ion binding" "MF"
"1468" "GO:0019825" 0.0238095895033166 0.999790238213709 1 4 "oxygen binding" "MF"
"1632" "GO:0033897" 0.0282430258574815 0.999684718649489 1 5 "ribonuclease T2 activity" "MF"
"542" "GO:0005544" 0.0346098223463442 0.999473101801983 1 9 "calcium-dependent phospholipid binding" "MF"
"547" "GO:0005622" 0.0470723700945397 0.986496028026827 5 363 "intracellular" "CC"
"1482" "GO:0020037" 0.0473802108780197 0.991374402461588 3 193 "heme binding" "MF"
"1772" "GO:0045454" 0.0632483175919342 0.99210865781765 2 96 "cell redox homeostasis" "BP"
"1696" "GO:0042626" 0.0746980499759498 0.997297029524807 1 29 "ATPase activity, coupled to transmembrane movement of substances" "MF"
"534" "GO:0005509" 0.131550794148073 0.974906052621087 2 160 "calcium ion binding" "MF"
"1905" "GO:0051536" 0.174653650072095 0.984438551868454 1 48 "iron-sulfur cluster binding" "MF"
"1358" "GO:0016788" 0.204933724486554 0.978197207192012 1 66 "hydrolase activity, acting on ester bonds" "MF"
"1210" "GO:0015035" 0.217965678814372 0.975337050440486 1 48 "protein disulfide oxidoreductase activity" "MF"
"1389" "GO:0016887" 0.222767925564372 0.973949516753108 1 91 "ATPase activity" "MF"
"1927" "GO:0055085" 0.25373868697079 0.927191685559344 2 327 "transmembrane transport" "BP"
"1066" "GO:0009055" 0.335582527520502 0.938023545600886 1 82 "electron carrier activity" "MF"
"123" "GO:0003824" 0.380529591541211 0.822552704118321 3 712 "catalytic activity" "MF"
"1334" "GO:0016705" 0.410572724228169 0.903514193365746 1 138 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1296" "GO:0016491" 0.455760741438731 0.803616829118913 2 446 "oxidoreductase activity" "MF"
"1737" "GO:0043565" 0.471897889515768 0.86843200092955 1 167 "sequence-specific DNA binding" "MF"
"532" "GO:0005506" 0.499600938112918 0.850323058087076 1 178 "iron ion binding" "MF"
"1357" "GO:0016787" 0.506827025678247 0.845279727061007 1 203 "hydrolase activity" "MF"
"1826" "GO:0046983" 0.55467184831264 0.809849177260555 1 167 "protein dimerization activity" "MF"
"618" "GO:0005975" 0.564180791284953 0.801856183276655 1 269 "carbohydrate metabolic process" "BP"
"701" "GO:0006355" 0.571404973512557 0.705479667794177 2 524 "regulation of transcription, DNA-templated" "BP"
"1928" "GO:0055114" 0.58364390979617 0.649040719526627 3 812 "oxidation-reduction process" "BP"
"844" "GO:0006810" 0.593318687207354 0.777108413159252 1 245 "transport" "BP"
"110" "GO:0003723" 0.613280228024621 0.758867390760823 1 267 "RNA binding" "MF"
"106" "GO:0003700" 0.638612704327285 0.734300618547613 1 266 "transcription factor activity, sequence-specific DNA binding" "MF"
"1816" "GO:0046872" 0.670484141781726 0.700710510179488 1 326 "metal ion binding" "MF"
"933" "GO:0008152" 0.781393624647886 0.557464736850792 1 491 "metabolic process" "BP"
"537" "GO:0005524" 0.792718809792121 0.401069971805467 3 1477 "ATP binding" "MF"
"98" "GO:0003677" 0.808775812357394 0.419726981424878 2 775 "DNA binding" "MF"
"548" "GO:0005634" 0.812002222306453 0.508967420759977 1 462 "nucleus" "CC"
"535" "GO:0005515" 0.869865807707702 0.24924882756519 5 2454 "protein binding" "MF"
"421" "GO:0004672" 0.874502075851403 0.392735935585586 1 735 "protein kinase activity" "MF"
"754" "GO:0006468" 0.874502075851403 0.392735935585586 1 735 "protein phosphorylation" "BP"
"601" "GO:0005840" 0.87704121201162 0.387853021319531 1 340 "ribosome" "CC"
"721" "GO:0006412" 0.886928125852569 0.366649037497969 1 358 "translation" "BP"
"114" "GO:0003735" 0.88693812682995 0.36663549910078 1 354 "structural constituent of ribosome" "MF"
"1258" "GO:0016021" 0.924203035385644 0.277718208160441 1 646 "integral component of membrane" "CC"
"54" "GO:0000413" 0.999999999999994 0.90107696591425 0 26 "protein peptidyl-prolyl isomerization" "BP"
"1488" "GO:0030001" 0.999999999999998 0.816666534181 0 53 "metal ion transport" "BP"
"97" "GO:0003676" 0.999999999999999 0.102129598362438 0 632 "nucleic acid binding" "MF"
"1497" "GO:0030117" 1 0.94985012914945 0 20 "membrane coat" "CC"
"1251" "GO:0015979" 1 0.599184562625069 0 87 "photosynthesis" "BP"
"1" "GO:0000015" 1 0.982984156520924 0 5 "phosphopyruvate hydratase complex" "CC"
"2" "GO:0000027" 1 0.995264435008934 0 1 "ribosomal large subunit assembly" "BP"
"3" "GO:0000042" 1 0.997739171528312 0 1 "protein targeting to Golgi" "BP"
"4" "GO:0000045" 1 0.992499248029455 0 1 "autophagosome assembly" "BP"
"5" "GO:0000049" 1 0.973424714415967 0 9 "tRNA binding" "MF"
"6" "GO:0000062" 1 0.984546364020141 0 4 "fatty-acyl-CoA binding" "MF"
"7" "GO:0000075" 1 0.997430163789571 0 1 "cell cycle checkpoint" "BP"
"8" "GO:0000077" 1 0.993784770985775 0 2 "DNA damage checkpoint" "BP"
"9" "GO:0000079" 1 0.973700059290641 0 6 "regulation of cyclin-dependent protein serine/threonine kinase activity" "BP"
"10" "GO:0000103" 1 0.978460650988362 0 6 "sulfate assimilation" "BP"
"11" "GO:0000105" 1 0.977502742382653 0 7 "histidine biosynthetic process" "BP"
"12" "GO:0000107" 1 0.99767472355288 0 1 "imidazoleglycerol-phosphate synthase activity" "MF"
"13" "GO:0000123" 1 0.979629833224497 0 4 "histone acetyltransferase complex" "CC"
"14" "GO:0000126" 1 0.990483725699932 0 3 "transcription factor TFIIIB complex" "CC"
"15" "GO:0000139" 1 0.964418670211623 0 10 "Golgi membrane" "CC"
"16" "GO:0000145" 1 0.938247843169933 0 24 "exocyst" "CC"
"17" "GO:0000148" 1 0.988745731161597 0 7 "1,3-beta-D-glucan synthase complex" "CC"
"18" "GO:0000151" 1 0.988559837949522 0 5 "ubiquitin ligase complex" "CC"
"19" "GO:0000154" 1 0.99389226284559 0 2 "rRNA modification" "BP"
"20" "GO:0000155" 1 0.959001241100075 0 19 "phosphorelay sensor kinase activity" "MF"
"21" "GO:0000159" 1 0.966322742847244 0 13 "protein phosphatase type 2A complex" "CC"
"22" "GO:0000160" 1 0.861777251013391 0 44 "phosphorelay signal transduction system" "BP"
"23" "GO:0000162" 1 0.984749372280962 0 6 "tryptophan biosynthetic process" "BP"
"24" "GO:0000165" 1 0.892994899407339 0 17 "MAPK cascade" "BP"
"25" "GO:0000166" 1 0.324753778581686 0 339 "nucleotide binding" "MF"
"26" "GO:0000175" 1 0.993365801876097 0 3 "3'-5'-exoribonuclease activity" "MF"
"27" "GO:0000176" 1 0.997775445566767 0 1 "nuclear exosome (RNase complex)" "CC"
"28" "GO:0000178" 1 0.977438590217943 0 6 "exosome (RNase complex)" "CC"
"29" "GO:0000179" 1 0.99389226284559 0 2 "rRNA (adenine-N6,N6-)-dimethyltransferase activity" "MF"
"30" "GO:0000184" 1 0.993215614181912 0 4 "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "BP"
"31" "GO:0000213" 1 0.995496506868069 0 1 "tRNA-intron endonuclease activity" "MF"
"32" "GO:0000220" 1 0.993270685576406 0 3 "vacuolar proton-transporting V-type ATPase, V0 domain" "CC"
"33" "GO:0000221" 1 0.99497003731432 0 2 "vacuolar proton-transporting V-type ATPase, V1 domain" "CC"
"34" "GO:0000226" 1 0.961043121694838 0 15 "microtubule cytoskeleton organization" "BP"
"35" "GO:0000228" 1 0.990711726509401 0 3 "nuclear chromosome" "CC"
"36" "GO:0000234" 1 0.995193385980898 0 2 "phosphoethanolamine N-methyltransferase activity" "MF"
"37" "GO:0000244" 1 0.997564533990235 0 1 "spliceosomal tri-snRNP complex assembly" "BP"
"38" "GO:0000245" 1 0.997659282934472 0 1 "spliceosomal complex assembly" "BP"
"39" "GO:0000256" 1 0.997604801465149 0 1 "allantoin catabolic process" "BP"
"40" "GO:0000266" 1 0.982618145372517 0 3 "mitochondrial fission" "BP"
"41" "GO:0000272" 1 0.974258235937086 0 8 "polysaccharide catabolic process" "BP"
"42" "GO:0000275" 1 0.974744430823854 0 6 "mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)" "CC"
"43" "GO:0000276" 1 0.949168475178699 0 7 "mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)" "CC"
"44" "GO:0000278" 1 0.996150885970374 0 1 "mitotic cell cycle" "BP"
"45" "GO:0000287" 1 0.732445015321932 0 86 "magnesium ion binding" "MF"
"46" "GO:0000289" 1 0.971389415345389 0 8 "nuclear-transcribed mRNA poly(A) tail shortening" "BP"
"47" "GO:0000290" 1 0.991036859202388 0 3 "deadenylation-dependent decapping of nuclear-transcribed mRNA" "BP"
"48" "GO:0000338" 1 0.996478095338117 0 1 "protein deneddylation" "BP"
"49" "GO:0000339" 1 0.993502271751107 0 2 "RNA cap binding" "MF"
"50" "GO:0000373" 1 0.997788658638808 0 1 "Group II intron splicing" "BP"
"51" "GO:0000387" 1 0.934626557968002 0 11 "spliceosomal snRNP assembly" "BP"
"52" "GO:0000390" 1 0.997826109819372 0 1 "spliceosomal complex disassembly" "BP"
"53" "GO:0000398" 1 0.86454628312235 0 33 "mRNA splicing, via spliceosome" "BP"
"55" "GO:0000439" 1 0.980061659883012 0 5 "core TFIIH complex" "CC"
"56" "GO:0000445" 1 0.988076713440222 0 2 "THO complex part of transcription export complex" "CC"
"57" "GO:0000462" 1 0.997686745541133 0 1 "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BP"
"58" "GO:0000469" 1 0.995717520590799 0 1 "cleavage involved in rRNA processing" "BP"
"59" "GO:0000502" 1 0.9910890865771 0 4 "proteasome complex" "CC"
"60" "GO:0000723" 1 0.968946285609422 0 12 "telomere maintenance" "BP"
"61" "GO:0000724" 1 0.972585363465501 0 9 "double-strand break repair via homologous recombination" "BP"
"62" "GO:0000737" 1 0.9863556456952 0 2 "DNA catabolic process, endonucleolytic" "BP"
"63" "GO:0000741" 1 0.992477160851529 0 1 "karyogamy" "BP"
"64" "GO:0000774" 1 0.990157525810785 0 3 "adenyl-nucleotide exchange factor activity" "MF"
"65" "GO:0000775" 1 0.983227136596749 0 5 "chromosome, centromeric region" "CC"
"66" "GO:0000776" 1 0.994291056030657 0 2 "kinetochore" "CC"
"67" "GO:0000784" 1 0.997519905169661 0 1 "nuclear chromosome, telomeric region" "CC"
"68" "GO:0000785" 1 0.983359660512819 0 3 "chromatin" "CC"
"69" "GO:0000786" 1 0.674146300968235 0 65 "nucleosome" "CC"
"70" "GO:0000796" 1 0.995585987735646 0 2 "condensin complex" "CC"
"71" "GO:0000808" 1 0.99197868314606 0 3 "origin recognition complex" "CC"
"72" "GO:0000811" 1 0.995281364549253 0 1 "GINS complex" "CC"
"73" "GO:0000902" 1 0.989555571209459 0 4 "cell morphogenesis" "BP"
"74" "GO:0000910" 1 0.97125119305904 0 11 "cytokinesis" "BP"
"75" "GO:0000922" 1 0.98279503085321 0 6 "spindle pole" "CC"
"76" "GO:0000930" 1 0.997542186482252 0 1 "gamma-tubulin complex" "CC"
"77" "GO:0000940" 1 0.99402089028073 0 1 "condensed chromosome outer kinetochore" "CC"
"78" "GO:0000956" 1 0.957755259906033 0 7 "nuclear-transcribed mRNA catabolic process" "BP"
"79" "GO:0000977" 1 0.892994899407339 0 17 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"80" "GO:0000982" 1 0.99765506225482 0 1 "transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding" "MF"
"81" "GO:0000987" 1 0.99765506225482 0 1 "core promoter proximal region sequence-specific DNA binding" "MF"
"82" "GO:0000989" 1 0.992764919889779 0 3 "transcription factor activity, transcription factor binding" "MF"
"83" "GO:0001026" 1 0.997701920244759 0 1 "TFIIIB-type transcription factor activity" "MF"
"84" "GO:0001104" 1 0.93435907763863 0 15 "RNA polymerase II transcription cofactor activity" "MF"
"85" "GO:0001510" 1 0.976710496594687 0 8 "RNA methylation" "BP"
"86" "GO:0001522" 1 0.939099425965356 0 21 "pseudouridine synthesis" "BP"
"87" "GO:0001671" 1 0.996868854305488 0 1 "ATPase activator activity" "MF"
"88" "GO:0001678" 1 0.985667492818069 0 6 "cellular glucose homeostasis" "BP"
"89" "GO:0001735" 1 0.997584181883419 0 1 "prenylcysteine oxidase activity" "MF"
"90" "GO:0001882" 1 0.998279764233259 0 1 "nucleoside binding" "MF"
"91" "GO:0002098" 1 0.986741424110661 0 4 "tRNA wobble uridine modification" "BP"
"92" "GO:0002100" 1 0.997686059803459 0 1 "tRNA wobble adenosine to inosine editing" "BP"
"93" "GO:0002143" 1 0.997501619194409 0 1 "tRNA wobble position uridine thiolation" "BP"
"94" "GO:0002161" 1 0.975881851114069 0 9 "aminoacyl-tRNA editing activity" "MF"
"95" "GO:0002949" 1 0.997478498003313 0 1 "tRNA threonylcarbamoyladenosine modification" "BP"
"96" "GO:0003333" 1 0.948474314715325 0 18 "amino acid transmembrane transport" "BP"
"99" "GO:0003678" 1 0.961345588147266 0 15 "DNA helicase activity" "MF"
"100" "GO:0003682" 1 0.926467946952023 0 27 "chromatin binding" "MF"
"101" "GO:0003684" 1 0.960419675555774 0 14 "damaged DNA binding" "MF"
"102" "GO:0003688" 1 0.997713721995308 0 1 "DNA replication origin binding" "MF"
"103" "GO:0003689" 1 0.997876170458002 0 1 "DNA clamp loader activity" "MF"
"104" "GO:0003690" 1 0.911860382733243 0 29 "double-stranded DNA binding" "MF"
"105" "GO:0003697" 1 0.959605612120767 0 11 "single-stranded DNA binding" "MF"
"107" "GO:0003712" 1 0.959468112814228 0 11 "transcription cofactor activity" "MF"
"108" "GO:0003713" 1 0.962511122346092 0 8 "transcription coactivator activity" "MF"
"109" "GO:0003714" 1 0.995361435683362 0 2 "transcription corepressor activity" "MF"
"111" "GO:0003724" 1 0.991676856591022 0 4 "RNA helicase activity" "MF"
"112" "GO:0003725" 1 0.989945301371015 0 3 "double-stranded RNA binding" "MF"
"113" "GO:0003729" 1 0.977480733701569 0 5 "mRNA binding" "MF"
"115" "GO:0003743" 1 0.849538799741924 0 42 "translation initiation factor activity" "MF"
"116" "GO:0003746" 1 0.903710589474948 0 25 "translation elongation factor activity" "MF"
"117" "GO:0003747" 1 0.981618811176023 0 6 "translation release factor activity" "MF"
"118" "GO:0003755" 1 0.895766159244264 0 27 "peptidyl-prolyl cis-trans isomerase activity" "MF"
"119" "GO:0003756" 1 0.997539528694808 0 1 "protein disulfide isomerase activity" "MF"
"120" "GO:0003774" 1 0.948545612803857 0 15 "motor activity" "MF"
"121" "GO:0003777" 1 0.87197371776739 0 56 "microtubule motor activity" "MF"
"122" "GO:0003779" 1 0.891183255876945 0 31 "actin binding" "MF"
"124" "GO:0003825" 1 0.997816089257564 0 1 "alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity" "MF"
"125" "GO:0003830" 1 0.991018283896765 0 3 "beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity" "MF"
"126" "GO:0003839" 1 0.985062930343491 0 3 "gamma-glutamylcyclotransferase activity" "MF"
"127" "GO:0003840" 1 0.997682169321929 0 1 "gamma-glutamyltransferase activity" "MF"
"128" "GO:0003841" 1 0.997034819244798 0 1 "1-acylglycerol-3-phosphate O-acyltransferase activity" "MF"
"129" "GO:0003843" 1 0.988745731161597 0 7 "1,3-beta-D-glucan synthase activity" "MF"
"130" "GO:0003844" 1 0.993365592710932 0 3 "1,4-alpha-glucan branching enzyme activity" "MF"
"131" "GO:0003848" 1 0.997619116991224 0 1 "2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity" "MF"
"132" "GO:0003849" 1 0.980723259789239 0 5 "3-deoxy-7-phosphoheptulonate synthase activity" "MF"
"133" "GO:0003852" 1 0.995363927422968 0 2 "2-isopropylmalate synthase activity" "MF"
"134" "GO:0003854" 1 0.974491557581745 0 7 "3-beta-hydroxy-delta5-steroid dehydrogenase activity" "MF"
"135" "GO:0003855" 1 0.992946050933514 0 3 "3-dehydroquinate dehydratase activity" "MF"
"136" "GO:0003856" 1 0.994640298327834 0 2 "3-dehydroquinate synthase activity" "MF"
"137" "GO:0003857" 1 0.984905508303844 0 6 "3-hydroxyacyl-CoA dehydrogenase activity" "MF"
