"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1923" "GO:0055085" 1.33349338212888e-14 1 49 329 "transmembrane transport" "BP"
"1332" "GO:0016705" 6.19730430885605e-11 1 37 138 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"931" "GO:0008152" 3.02193820954525e-09 1 54 496 "metabolic process" "BP"
"1344" "GO:0016758" 5.4262282305842e-09 0.999999998944528 24 114 "transferase activity, transferring hexosyl groups" "MF"
"511" "GO:0005215" 7.2845780400393e-09 0.999999998098315 33 172 "transporter activity" "MF"
"421" "GO:0004672" 1.06317905670914e-08 1 49 733 "protein kinase activity" "MF"
"753" "GO:0006468" 1.06317905670914e-08 1 49 733 "protein phosphorylation" "BP"
"1480" "GO:0020037" 3.5546524002945e-08 0.999999987819485 46 192 "heme binding" "MF"
"532" "GO:0005506" 1.4474315942435e-07 0.999999952617462 38 178 "iron ion binding" "MF"
"855" "GO:0006855" 1.82658500899103e-07 0.999999982767731 11 43 "drug transmembrane transport" "BP"
"1217" "GO:0015238" 1.82658500899103e-07 0.999999982767731 11 43 "drug transmembrane transporter activity" "MF"
"1219" "GO:0015297" 1.82658500899103e-07 0.999999982767731 11 43 "antiporter activity" "MF"
"1823" "GO:0046983" 2.62247395163703e-07 0.999999899109254 52 176 "protein dimerization activity" "MF"
"1255" "GO:0016020" 8.9558978067271e-07 0.999999693866804 78 678 "membrane" "CC"
"1920" "GO:0052861" 1.16692535646292e-06 1 2 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"848" "GO:0006817" 3.60101578308441e-06 1 2 2 "phosphate ion transport" "BP"
"1730" "GO:0043531" 1.16956466396916e-05 0.999997466692059 15 97 "ADP binding" "MF"
"537" "GO:0005524" 1.44020351888394e-05 0.999992105888897 78 1477 "ATP binding" "MF"
"499" "GO:0004970" 7.63132123433662e-05 0.999999726002193 2 12 "ionotropic glutamate receptor activity" "MF"
