"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1325" "GO:0016705" 1.65107698283232e-05 0.999997843026346 9 121 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1149" "GO:0009733" 0.00050248495735538 0.999936880458264 7 18 "response to auxin" "BP"
"98" "GO:0003677" 0.00070479671731876 0.999658064519532 34 759 "DNA binding" "MF"
"1530" "GO:0030688" 0.000891093999081996 1 1 1 "preribosome, small subunit precursor" "CC"
"159" "GO:0003913" 0.000929863846452351 1 1 1 "DNA photolyase activity" "MF"
"531" "GO:0005506" 0.00117339360712335 0.999725192220468 9 160 "iron ion binding" "MF"
"22" "GO:0000160" 0.00474377055166908 0.999072907898356 6 50 "phosphorelay signal transduction system" "BP"
"1064" "GO:0009058" 0.00506964405066072 0.999357525578896 4 78 "biosynthetic process" "BP"
"1334" "GO:0016747" 0.00617278865864353 0.999178908229899 4 63 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"959" "GO:0008289" 0.00651758621098153 0.999139065235339 4 40 "lipid binding" "MF"
"1366" "GO:0016844" 0.00694274890130439 0.999768259730342 2 9 "strictosidine synthase activity" "MF"
"692" "GO:0006334" 0.00794457171718116 0.998320032171748 6 35 "nucleosome assembly" "BP"
"1474" "GO:0020037" 0.00857544448331835 0.997284699497302 9 170 "heme binding" "MF"
"1183" "GO:0010215" 0.00999921770533142 0.999596446243113 2 9 "cellulose microfibril organization" "BP"
"1559" "GO:0031225" 0.00999921770533142 0.999596446243113 2 9 "anchored component of membrane" "CC"
"1253" "GO:0016049" 0.0104294279701599 0.999552999456541 2 11 "cell growth" "BP"
"996" "GO:0008519" 0.0110880060969164 0.999953876181853 1 4 "ammonium transmembrane transporter activity" "MF"
"1224" "GO:0015696" 0.0110880060969164 0.999953876181853 1 4 "ammonium transport" "BP"
"1958" "GO:0072488" 0.0110880060969164 0.999953876181853 1 4 "ammonium transmembrane transport" "BP"
"1724" "GO:0043531" 0.0123136928863877 0.997977076105778 4 94 "ADP binding" "MF"
"1420" "GO:0019104" 0.0137123115283743 0.999952866343677 1 2 "DNA N-glycosylase activity" "MF"
"1729" "GO:0043565" 0.0153772988665128 0.994312027528662 10 169 "sequence-specific DNA binding" "MF"
"322" "GO:0004450" 0.016819324418116 0.999905389325903 1 3 "isocitrate dehydrogenase (NADP+) activity" "MF"
"649" "GO:0006102" 0.016819324418116 0.999905389325903 1 3 "isocitrate metabolic process" "BP"
"340" "GO:0004497" 0.0176722955370108 0.999863026617477 1 8 "monooxygenase activity" "MF"
"1397" "GO:0017053" 0.0177595881880857 0.999894470621216 1 3 "transcriptional repressor complex" "CC"
"748" "GO:0006457" 0.0178368273736932 0.995224020530091 6 102 "protein folding" "BP"
"606" "GO:0005874" 0.0217547697456399 0.998490374919958 2 29 "microtubule" "CC"
"1454" "GO:0019752" 0.0249861201235048 0.998204258784081 2 17 "carboxylic acid metabolic process" "BP"
"226" "GO:0004084" 0.0282920673243255 0.999730900392401 1 3 "branched-chain-amino-acid transaminase activity" "MF"
"1070" "GO:0009081" 0.0282920673243255 0.999730900392401 1 3 "branched-chain amino acid metabolic process" "BP"
"110" "GO:0003723" 0.0298219202111654 0.987070699276251 11 267 "RNA binding" "MF"
"1847" "GO:0048544" 0.0303715987319958 0.997509166431841 2 24 "recognition of pollen" "BP"
"1333" "GO:0016746" 0.0342879931228808 0.996990287810222 2 25 "transferase activity, transferring acyl groups" "MF"
"930" "GO:0008152" 0.0397492152011115 0.982626881395041 10 481 "metabolic process" "BP"
"1526" "GO:0030599" 0.0401233083828694 0.996239535738972 2 19 "pectinesterase activity" "MF"
"1680" "GO:0042545" 0.0401233083828694 0.996239535738972 2 19 "cell wall modification" "BP"
"72" "GO:0000811" 0.041033607025122 1 1 1 "GINS complex" "CC"
"108" "GO:0003713" 0.0410394777651131 0.99657093660166 2 8 "transcription coactivator activity" "MF"
"1506" "GO:0030234" 0.0437229254032108 0.99621679639476 2 8 "enzyme regulator activity" "MF"
"1919" "GO:0055085" 0.0485263205384246 0.983355070083847 6 315 "transmembrane transport" "BP"
"123" "GO:0003824" 0.048796867707554 0.974714283094514 14 697 "catalytic activity" "MF"
"603" "GO:0005852" 0.0500030043270105 0.994737088695083 2 18 "eukaryotic translation initiation factor 3 complex" "CC"
"419" "GO:0004671" 0.0505613998414179 1 1 1 "protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity" "MF"
"757" "GO:0006481" 0.0505613998414179 1 1 1 "C-terminal protein methylation" "BP"
"64" "GO:0000774" 0.0511596410025989 0.999110793557943 1 3 "adenyl-nucleotide exchange factor activity" "MF"
"699" "GO:0006355" 0.0531957069881641 0.969845782468662 18 522 "regulation of transcription, DNA-templated" "BP"
"1670" "GO:0042255" 0.0535940879302143 1 1 1 "ribosome assembly" "BP"
"1112" "GO:0009408" 0.0543525836101876 0.998648938991508 1 10 "response to heat" "BP"
"1190" "GO:0010333" 0.0580038891158018 0.993747140165472 2 11 "terpene synthase activity" "MF"
"1879" "GO:0051082" 0.0590965836452783 0.984452895422159 4 65 "unfolded protein binding" "MF"
"422" "GO:0004674" 0.0593347087049389 0.99280487561358 2 41 "protein serine/threonine kinase activity" "MF"
"1902" "GO:0051726" 0.0593371389976517 0.998651455538816 1 4 "regulation of cell cycle" "BP"
"1503" "GO:0030170" 0.0595187296783836 0.99266764909806 2 69 "pyridoxal phosphate binding" "MF"
"874" "GO:0006950" 0.0605723754870567 0.984105481536427 4 49 "response to stress" "BP"
"1695" "GO:0042803" 0.0666814462410097 0.997981551457895 1 9 "protein homodimerization activity" "MF"
"1556" "GO:0031177" 0.0699011207613711 1 1 1 "phosphopantetheine binding" "MF"
"1565" "GO:0031417" 0.0759226484148308 1 1 1 "NatC complex" "CC"
"91" "GO:0002098" 0.0768981959274162 0.99771756484206 1 4 "tRNA wobble uridine modification" "BP"
"993" "GO:0008483" 0.0771083685465936 0.997134502399106 1 17 "transaminase activity" "MF"
"121" "GO:0003777" 0.0779969057813434 0.98887287400667 2 57 "microtubule motor activity" "MF"
"883" "GO:0007018" 0.0779969057813434 0.98887287400667 2 57 "microtubule-based movement" "BP"
"45" "GO:0000287" 0.0783779174729956 0.977211721603478 4 83 "magnesium ion binding" "MF"
"166" "GO:0003924" 0.0811863998509877 0.98806286759375 2 83 "GTPase activity" "MF"
"1307" "GO:0016616" 0.0857342388551718 0.987172011464954 2 46 "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" "MF"
"509" "GO:0005200" 0.0900379762949167 0.996147235347653 1 13 "structural constituent of cytoskeleton" "MF"
"856" "GO:0006857" 0.0974645237458872 0.995305233334344 1 24 "oligopeptide transport" "BP"
"1306" "GO:0016615" 0.0993185754473324 0.995532835835581 1 8 "malate dehydrogenase activity" "MF"
"1360" "GO:0016829" 0.0998941473534191 0.984466331612461 2 18 "lyase activity" "MF"
"260" "GO:0004190" 0.103073091422124 0.982732043591245 2 62 "aspartic-type endopeptidase activity" "MF"
"1486" "GO:0030060" 0.104214549613146 0.995169209903274 1 7 "L-malate dehydrogenase activity" "MF"
"594" "GO:0005819" 0.111232422987861 0.994283380528495 1 9 "spindle" "CC"
"1582" "GO:0032147" 0.111232422987861 0.994283380528495 1 9 "activation of protein kinase activity" "BP"
"1921" "GO:0060236" 0.111232422987861 0.994283380528495 1 9 "regulation of mitotic spindle organization" "BP"
"914" "GO:0008033" 0.111951575002709 0.981014372702779 2 24 "tRNA processing" "BP"
"5" "GO:0000049" 0.114353693979604 0.993950439305509 1 9 "tRNA binding" "MF"
"651" "GO:0006108" 0.116402809128606 0.993424831193041 1 15 "malate metabolic process" "BP"
"1435" "GO:0019348" 0.117178708215157 1 1 1 "dolichol metabolic process" "BP"
"545" "GO:0005618" 0.11723259237889 0.979301807864804 2 31 "cell wall" "CC"
"1798" "GO:0046577" 0.119468920756519 0.994384390426586 1 4 "long-chain-alcohol oxidase activity" "MF"
"230" "GO:0004097" 0.119521493570643 0.994379311772205 1 4 "catechol oxidase activity" "MF"
"1780" "GO:0046148" 0.119521493570643 0.994379311772205 1 4 "pigment biosynthetic process" "BP"
"59" "GO:0000502" 0.121741405275953 0.993786922813502 1 5 "proteasome complex" "CC"
"1668" "GO:0042176" 0.121741405275953 0.993786922813502 1 5 "regulation of protein catabolic process" "BP"
"530" "GO:0005488" 0.122391906055252 0.957866671983293 4 293 "binding" "MF"
"1807" "GO:0046856" 0.122674664572094 0.993119496194837 1 8 "phosphatidylinositol dephosphorylation" "BP"
"473" "GO:0004828" 0.126139268847061 0.994397401181818 1 3 "serine-tRNA ligase activity" "MF"
"740" "GO:0006434" 0.126139268847061 0.994397401181818 1 3 "seryl-tRNA aminoacylation" "BP"
"679" "GO:0006281" 0.127627303997454 0.964125351984671 3 104 "DNA repair" "BP"
"911" "GO:0008017" 0.127715966418745 0.975673272141658 2 75 "microtubule binding" "MF"
"207" "GO:0004040" 0.129960034393147 0.991965618350092 1 11 "amidase activity" "MF"
"1148" "GO:0009725" 0.130631393055634 0.991578256340194 1 18 "response to hormone" "BP"
"1550" "GO:0031083" 0.132200366975079 0.995334045113806 1 2 "BLOC-1 complex" "CC"
"1818" "GO:0046983" 0.135155014385401 0.936143212338894 7 144 "protein dimerization activity" "MF"
"1361" "GO:0016831" 0.137617483975107 0.99096312425825 1 11 "carboxy-lyase activity" "MF"
"1661" "GO:0042026" 0.139149632177923 0.990755063525591 1 11 "protein refolding" "BP"
"1476" "GO:0022857" 0.143917042761045 0.970810158941961 2 52 "transmembrane transporter activity" "MF"
"547" "GO:0005634" 0.144043223135305 0.913932191456858 13 454 "nucleus" "CC"
"425" "GO:0004713" 0.150928408374539 0.989941048865376 1 6 "protein tyrosine kinase activity" "MF"
"1631" "GO:0034227" 0.151506797179932 0.991814853770034 1 3 "tRNA thio-modification" "BP"
