"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 8.58457858137181e-09 0.999999998329117 27 720 "protein kinase activity" "MF"
"752" "GO:0006468" 8.58457858137181e-09 0.999999998329117 27 720 "protein phosphorylation" "BP"
"765" "GO:0006508" 2.59569862084004e-08 0.999999994803901 22 261 "proteolysis" "BP"
"536" "GO:0005524" 2.80458325585493e-07 0.999999902815006 43 1453 "ATP binding" "MF"
"1919" "GO:0055085" 2.16354285570226e-05 0.999995147760513 14 313 "transmembrane transport" "BP"
"1216" "GO:0015299" 3.16225627593236e-05 0.999999598901435 3 17 "solute:proton antiporter activity" "MF"
"843" "GO:0006812" 4.17992738616603e-05 0.999998585805927 4 35 "cation transport" "BP"
"257" "GO:0004177" 0.000122373061036761 0.999992862116414 5 14 "aminopeptidase activity" "MF"
"929" "GO:0008152" 0.000172712060862597 0.999938033696742 21 483 "metabolic process" "BP"
"1275" "GO:0016301" 0.000312564698228986 0.999981776151499 4 46 "kinase activity" "MF"
"1450" "GO:0019538" 0.000491769613521004 0.99995717391029 5 20 "protein metabolic process" "BP"
"942" "GO:0008235" 0.000548377503705328 0.999973013984296 4 9 "metalloexopeptidase activity" "MF"
"1368" "GO:0016841" 0.000836337598966337 0.999973184701048 3 8 "ammonia-lyase activity" "MF"
"784" "GO:0006559" 0.000946730237674032 0.999966816723265 3 9 "L-phenylalanine catabolic process" "BP"
"1140" "GO:0009638" 0.000986470871604693 1 1 1 "phototropism" "BP"
"263" "GO:0004252" 0.00104378367117125 0.999788752768292 8 78 "serine-type endopeptidase activity" "MF"
"534" "GO:0005515" 0.00110012965529551 0.999326355422896 66 2439 "protein binding" "MF"
"1819" "GO:0046983" 0.0016932504511253 0.999363105602397 17 149 "protein dimerization activity" "MF"
"1575" "GO:0031668" 0.00174816671674903 0.999999237376066 1 2 "cellular response to extracellular stimulus" "BP"
"1896" "GO:0051513" 0.0026216115993163 0.99999771257346 1 3 "regulation of monopolar cell growth" "BP"
"1328" "GO:0016705" 0.00297958164513177 0.999355605168619 7 119 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"123" "GO:0003824" 0.00299745226350057 0.99856851521149 24 695 "catalytic activity" "MF"
"1505" "GO:0030170" 0.00311107736482613 0.999656250807161 4 69 "pyridoxal phosphate binding" "MF"
"1479" "GO:0022891" 0.00384230060039995 0.999891954326617 2 27 "substrate-specific transmembrane transporter activity" "MF"
"233" "GO:0004108" 0.00452215175890119 1 1 1 "citrate (Si)-synthase activity" "MF"
"648" "GO:0006101" 0.00452215175890119 1 1 1 "citrate metabolic process" "BP"
"854" "GO:0006855" 0.0046231944983738 0.999646074748331 3 41 "drug transmembrane transport" "BP"
"1213" "GO:0015238" 0.0046231944983738 0.999646074748331 3 41 "drug transmembrane transporter activity" "MF"
"1215" "GO:0015297" 0.0046231944983738 0.999646074748331 3 41 "antiporter activity" "MF"
"1305" "GO:0016597" 0.00509087026464009 0.99937956026537 4 33 "amino acid binding" "MF"
"1196" "GO:0010468" 0.00557234009128198 0.999987585432943 1 5 "regulation of gene expression" "BP"
"531" "GO:0005506" 0.00558768703547603 0.998215850790111 10 159 "iron ion binding" "MF"
"1626" "GO:0033897" 0.00630424580303972 0.999699469286815 3 5 "ribonuclease T2 activity" "MF"
"992" "GO:0008483" 0.00631156678994732 0.99977900032154 2 17 "transaminase activity" "MF"
"1808" "GO:0046856" 0.00640647361870484 0.999982414680189 1 7 "phosphatidylinositol dephosphorylation" "BP"
"1499" "GO:0030145" 0.00676325731737009 0.999196177969226 4 15 "manganese ion binding" "MF"
"1570" "GO:0031461" 0.00714966039262835 0.999977636327072 1 8 "cullin-RING ubiquitin ligase complex" "CC"
"1360" "GO:0016817" 0.00773971585074786 0.999973786851376 1 8 "hydrolase activity, acting on acid anhydrides" "MF"
"194" "GO:0004000" 0.00869006966506187 1 1 1 "adenosine deaminase activity" "MF"
"1533" "GO:0030785" 0.00870997558003891 0.999981002329699 1 2 "[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity" "MF"
"275" "GO:0004335" 0.0101073108236148 0.999974399755482 1 2 "galactokinase activity" "MF"
"1812" "GO:0046912" 0.0102914597833803 0.99995581085022 1 6 "transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer" "MF"
"864" "GO:0006887" 0.0104868391121405 0.998977370296818 3 20 "exocytosis" "BP"
"16" "GO:0000145" 0.0110667560422591 0.998874855823398 3 25 "exocyst" "CC"
"1988" "GO:2001070" 0.0123025438274481 0.999943103318672 1 4 "starch binding" "MF"
"530" "GO:0005488" 0.0131131239435619 0.995822639201749 8 294 "binding" "MF"
"1057" "GO:0009029" 0.0134448411562599 1 1 1 "tetraacyldisaccharide 4'-kinase activity" "MF"
"1340" "GO:0016758" 0.0141635270452318 0.996373521389089 6 109 "transferase activity, transferring hexosyl groups" "MF"
"1563" "GO:0031347" 0.0154596030086075 0.998391978190188 3 12 "regulation of defense response" "BP"
"1149" "GO:0009725" 0.0157889690968106 0.999882344518747 1 17 "response to hormone" "BP"
"243" "GO:0004143" 0.0159710617074631 0.999890307025677 1 7 "diacylglycerol kinase activity" "MF"
"906" "GO:0007205" 0.0159710617074631 0.999890307025677 1 7 "protein kinase C-activating G-protein coupled receptor signaling pathway" "BP"
"232" "GO:0004107" 0.0162650846144718 0.999933497245174 1 2 "chorismate synthase activity" "MF"
"1574" "GO:0031625" 0.0165743629959009 0.998155548692153 3 15 "ubiquitin protein ligase binding" "MF"
"941" "GO:0008234" 0.0168472196202405 0.997132371940355 4 28 "cysteine-type peptidase activity" "MF"
"1337" "GO:0016747" 0.0177488361011643 0.997746078226417 3 60 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1363" "GO:0016829" 0.0180212517237153 0.997009993521671 4 19 "lyase activity" "MF"
"1147" "GO:0009694" 0.0182134248685942 0.999854260201056 1 8 "jasmonic acid metabolic process" "BP"
"1159" "GO:0009864" 0.0182134248685942 0.999854260201056 1 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1966" "GO:0080123" 0.0182134248685942 0.999854260201056 1 8 "jasmonate-amino synthetase activity" "MF"
"207" "GO:0004040" 0.0188988655835305 0.998889964221099 2 11 "amidase activity" "MF"
"1017" "GO:0008696" 0.023503238334185 1 1 1 "4-amino-4-deoxychorismate lyase activity" "MF"
"1802" "GO:0046656" 0.023503238334185 1 1 1 "folic acid biosynthetic process" "BP"
"490" "GO:0004866" 0.0237874590520175 0.997409471830477 3 8 "endopeptidase inhibitor activity" "MF"
"1256" "GO:0016049" 0.0245084745808602 0.99834645440366 2 11 "cell growth" "BP"
"479" "GO:0004842" 0.0264990745568973 0.99328363447765 5 84 "ubiquitin-protein transferase activity" "MF"
"1478" "GO:0022857" 0.027482829426843 0.995908986501215 3 50 "transmembrane transporter activity" "MF"
"1278" "GO:0016310" 0.0277003719046615 0.999645697626534 1 12 "phosphorylation" "BP"
"1804" "GO:0046835" 0.027717191228787 0.999661257034413 1 8 "carbohydrate phosphorylation" "BP"
"213" "GO:0004048" 0.0283065194345482 0.999797340801338 1 2 "anthranilate phosphoribosyltransferase activity" "MF"
"20" "GO:0000155" 0.0288583859384626 0.999602524964437 1 19 "phosphorelay sensor kinase activity" "MF"
"958" "GO:0008289" 0.0298322257428613 0.993795865021449 4 40 "lipid binding" "MF"
"1297" "GO:0016567" 0.0304408559431062 0.99201880209487 5 78 "protein ubiquitination" "BP"
"1137" "GO:0009611" 0.0326377792298203 0.993544210949599 4 18 "response to wounding" "BP"
"1947" "GO:0071446" 0.0332406891904863 0.997904794625687 2 5 "cellular response to salicylic acid stimulus" "BP"
"1986" "GO:2000031" 0.0332406891904863 0.997904794625687 2 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"566" "GO:0005737" 0.0342833524543094 0.984170071622128 12 234 "cytoplasm" "CC"
"1528" "GO:0030599" 0.0373346814666688 0.996643941910893 2 18 "pectinesterase activity" "MF"
"1682" "GO:0042545" 0.0373346814666688 0.996643941910893 2 18 "cell wall modification" "BP"
"913" "GO:0008033" 0.0379046957511619 0.991774056789576 4 26 "tRNA processing" "BP"
"23" "GO:0000162" 0.0430698542237225 0.99921591208253 1 6 "tryptophan biosynthetic process" "BP"
"190" "GO:0003995" 0.0435148293617839 0.999159976974954 1 8 "acyl-CoA dehydrogenase activity" "MF"
"1191" "GO:0010333" 0.0438742931828632 0.993155225355913 3 12 "terpene synthase activity" "MF"
"820" "GO:0006725" 0.0465724538752604 1 1 1 "cellular aromatic compound metabolic process" "BP"
"937" "GO:0008198" 0.0465724538752604 1 1 1 "ferrous iron binding" "MF"
"1353" "GO:0016790" 0.0466972626607783 0.999259577836587 1 3 "thiolester hydrolase activity" "MF"
"1940" "GO:0070652" 0.0491074611773191 0.998949417167916 1 7 "HAUS complex" "CC"
"1383" "GO:0016887" 0.0528839364558194 0.989682946003967 3 87 "ATPase activity" "MF"
"931" "GO:0008171" 0.0531682823069365 0.990678642124749 3 15 "O-methyltransferase activity" "MF"
"940" "GO:0008233" 0.0571790285977053 0.989674176355568 3 15 "peptidase activity" "MF"
"1007" "GO:0008641" 0.0584627380529737 0.998416538626703 1 11 "small protein activating enzyme activity" "MF"
"1359" "GO:0016813" 0.0598400868715723 0.998626164400382 1 4 "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines" "MF"
"1326" "GO:0016701" 0.0608805546561579 0.998733193473617 1 3 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen" "MF"
"903" "GO:0007165" 0.0631641174059983 0.986728172412587 3 103 "signal transduction" "BP"
"582" "GO:0005777" 0.0665634689513041 0.997940976348739 1 11 "peroxisome" "CC"
"1848" "GO:0048544" 0.0676554168307471 0.991376878166951 2 24 "recognition of pollen" "BP"
"1022" "GO:0008757" 0.0687983003226386 1 1 1 "S-adenosylmethionine-dependent methyltransferase activity" "MF"
"419" "GO:0004671" 0.0797742121706755 1 1 1 "protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity" "MF"
"757" "GO:0006481" 0.0797742121706755 1 1 1 "C-terminal protein methylation" "BP"
"766" "GO:0006511" 0.0810441580235819 0.969081915623894 6 78 "ubiquitin-dependent protein catabolic process" "BP"
"755" "GO:0006479" 0.0816445332627668 0.996914632873209 1 10 "protein methylation" "BP"
"1094" "GO:0009245" 0.0820263596505566 0.997393262279372 1 4 "lipid A biosynthetic process" "BP"
"491" "GO:0004867" 0.082789694237903 0.978377422226869 4 15 "serine-type endopeptidase inhibitor activity" "MF"
"300" "GO:0004386" 0.0845891287468783 0.996475390145193 1 24 "helicase activity" "MF"
"912" "GO:0008026" 0.0880367063396922 0.996200412289708 1 21 "ATP-dependent helicase activity" "MF"
"1885" "GO:0051225" 0.0885580506865338 0.996458547904879 1 8 "spindle assembly" "BP"
"1460" "GO:0019789" 0.089035091892177 0.996718878745688 1 5 "SUMO transferase activity" "MF"
"343" "GO:0004512" 0.0942265837360245 0.996541404788729 1 4 "inositol-3-phosphate synthase activity" "MF"
"632" "GO:0006021" 0.0942265837360245 0.996541404788729 1 4 "inositol biosynthetic process" "BP"
"1977" "GO:1901601" 0.0956809041362334 0.997600965850171 1 2 "strigolactone biosynthetic process" "BP"
"433" "GO:0004739" 0.101802784952959 0.995294990331894 1 8 "pyruvate dehydrogenase (acetyl-transferring) activity" "MF"
"641" "GO:0006086" 0.101802784952959 0.995294990331894 1 8 "acetyl-CoA biosynthetic process from pyruvate" "BP"
"162" "GO:0003918" 0.102610662500202 0.985543794137201 2 8 "DNA topoisomerase type II (ATP-hydrolyzing) activity" "MF"
"1341" "GO:0016760" 0.103414105121858 0.994769291070614 1 18 "cellulose synthase (UDP-forming) activity" "MF"
"1185" "GO:0010223" 0.103878240487301 0.996235948493858 1 3 "secondary shoot formation" "BP"
"1589" "GO:0032300" 0.108309745193604 0.995899176651434 1 3 "mismatch repair complex" "CC"
"510" "GO:0005215" 0.115767110801111 0.950745194767454 6 162 "transporter activity" "MF"
"1726" "GO:0043531" 0.115955375305087 0.968708918897877 3 93 "ADP binding" "MF"
"1546" "GO:0031011" 0.122775903904796 0.993097877718057 1 8 "Ino80 complex" "CC"
"369" "GO:0004579" 0.124151993746486 0.994570074582184 1 3 "dolichyl-diphosphooligosaccharide-protein glycotransferase activity" "MF"
"1495" "GO:0030130" 0.124382680771618 0.993236510986771 1 6 "clathrin coat of trans-Golgi network vesicle" "CC"
"1497" "GO:0030132" 0.124382680771618 0.993236510986771 1 6 "clathrin coat of coated pit" "CC"
