"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"98" "GO:0003677" 0.000959836260943166 0.999779435175219 10 782 "DNA binding" "MF"
"700" "GO:0006355" 0.00278056211711524 0.999438204042603 7 530 "regulation of transcription, DNA-templated" "BP"
"106" "GO:0003700" 0.00352743008795816 0.999474095578078 5 268 "transcription factor activity, sequence-specific DNA binding" "MF"
"909" "GO:0007275" 0.00505554749674379 0.999839559839318 2 34 "multicellular organism development" "BP"
"422" "GO:0004673" 0.00545933479937215 0.999987851782512 1 6 "protein histidine kinase activity" "MF"
"1179" "GO:0010105" 0.00545933479937215 0.999987851782512 1 6 "negative regulation of ethylene-activated signaling pathway" "BP"
"1664" "GO:0038199" 0.00545933479937215 0.999987851782512 1 6 "ethylene receptor activity" "MF"
"1874" "GO:0050896" 0.00545933479937215 0.999987851782512 1 6 "response to stimulus" "BP"
"1907" "GO:0051740" 0.00545933479937215 0.999987851782512 1 6 "ethylene binding" "MF"
"1403" "GO:0017038" 0.0168576714796252 0.999906819635808 1 3 "protein import" "BP"
"1930" "GO:0070008" 0.0177547576960248 0.999883729460363 1 4 "serine-type exopeptidase activity" "MF"
"20" "GO:0000155" 0.0180766476560157 0.999847923888664 1 19 "phosphorelay sensor kinase activity" "MF"
"1025" "GO:0008759" 0.0182271420011981 0.999918161807877 1 2 "UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity" "MF"
"1966" "GO:0080019" 0.0186059057175503 0.999872267450593 1 4 "fatty-acyl-CoA reductase (alcohol-forming) activity" "MF"
"1311" "GO:0016602" 0.018871245235357 0.999859867597492 1 5 "CCAAT-binding factor complex" "CC"
"244" "GO:0004144" 0.0193905786182855 0.999852016730609 1 5 "diacylglycerol O-acyltransferase activity" "MF"
"1356" "GO:0016788" 0.0212436381809979 0.998543404002996 2 67 "hydrolase activity, acting on ester bonds" "MF"
"1096" "GO:0009245" 0.0243945076733417 0.999765296737767 1 5 "lipid A biosynthetic process" "BP"
"798" "GO:0006605" 0.0248109109379976 0.999772252815987 1 4 "protein targeting" "BP"
"856" "GO:0006857" 0.0308440316097446 0.999550075002737 1 24 "oligopeptide transport" "BP"
"624" "GO:0005992" 0.0312040646946922 0.99954936045384 1 16 "trehalose biosynthetic process" "BP"
"1827" "GO:0047429" 0.0371704073283678 0.999452161768055 1 5 "nucleoside-triphosphate diphosphatase activity" "MF"
"108" "GO:0003713" 0.0447492593089785 0.999129782008069 1 8 "transcription coactivator activity" "MF"
"121" "GO:0003777" 0.0811623030565323 0.996749531110867 1 56 "microtubule motor activity" "MF"
"883" "GO:0007018" 0.0811623030565323 0.996749531110867 1 56 "microtubule-based movement" "BP"
"933" "GO:0008171" 0.0883457478039268 0.996308843253142 1 16 "O-methyltransferase activity" "MF"
"1823" "GO:0046983" 0.0962104494185015 0.976651797152303 3 176 "protein dimerization activity" "MF"
"1152" "GO:0009733" 0.107778316531792 0.994583427568853 1 12 "response to auxin" "BP"
"22" "GO:0000160" 0.113483925920849 0.993602211674948 1 43 "phosphorelay signal transduction system" "BP"
"590" "GO:0005789" 0.113781565658565 0.993624824549745 1 31 "endoplasmic reticulum membrane" "CC"
"911" "GO:0008017" 0.124417813800863 0.99220299834322 1 75 "microtubule binding" "MF"
"904" "GO:0007165" 0.141865443896457 0.989759773662392 1 103 "signal transduction" "BP"
"1294" "GO:0016491" 0.160122787002088 0.951235866753121 3 445 "oxidoreductase activity" "MF"
"24" "GO:0000165" 0.160663926700978 0.987349242050616 1 18 "MAPK cascade" "BP"
