"ITAG","cluster"
"Solyc00g069887",18
"Solyc00g009145",29
"Solyc00g183555",29
"Solyc00g212265",29
"Solyc00g005092",29
"Solyc00g005098",29
"Solyc00g005445",29
"Solyc00g006490",12
"Solyc00g006568",29
"Solyc00g006655",36
"Solyc00g006687",29
"Solyc00g008165",24
"Solyc00g009040",12
"Solyc00g009110",5
"Solyc00g009146",36
"Solyc00g009148",36
"Solyc06g024330",12
"Solyc00g012640",18
"Solyc00g013181",29
"Solyc00g013183",29
"Solyc00g013184",36
"Solyc00g013186",29
"Solyc00g014290",36
"Solyc00g014830",24
"Solyc00g014980",24
"Solyc00g021655",36
"Solyc00g024695",18
"Solyc00g030105",29
"Solyc00g032945",22
"Solyc00g044750",29
"Solyc00g052430",29
"Solyc00g056680",17
"Solyc00g071180",24
"Solyc00g075035",25
"Solyc00g085070",6
"Solyc00g090115",36
"Solyc00g100885",29
"Solyc00g102400",35
"Solyc00g110375",36
"Solyc00g117657",9
"Solyc00g128875",29
"Solyc00g143777",29
"Solyc00g147573",29
"Solyc00g160785",34
"Solyc00g167805",29
"Solyc00g170515",29
"Solyc00g174345",29
"Solyc00g222067",29
"Solyc00g230080",29
"Solyc00g247305",29
"Solyc00g294233",29
"Solyc00g304030",29
"Solyc00g304035",29
"Solyc00g005040",30
"Solyc00g005890",35
"Solyc00g005907",29
"Solyc00g006595",12
"Solyc00g006680",12
"Solyc00g006867",3
"Solyc00g006903",34
"Solyc00g008000",36
"Solyc00g008055",24
"Solyc00g008570",12
"Solyc00g008580",12
"Solyc00g008800",12
"Solyc00g008910",12
"Solyc00g008915",24
"Solyc00g009030",12
"Solyc00g009050",12
"Solyc00g009060",12
"Solyc00g009070",12
"Solyc00g009090",12
"Solyc00g009141",18
"Solyc00g009142",24
"Solyc00g009143",24
"Solyc00g009144",24
"Solyc00g009650",18
"Solyc00g009760",12
"Solyc00g009765",12
"Solyc00g010410",12
"Solyc00g010420",12
"Solyc00g010520",12
"Solyc00g010525",12
"Solyc00g010530",12
"Solyc00g010750",12
"Solyc00g010755",12
"Solyc00g010780",12
"Solyc00g010930",12
"Solyc00g011150",12
"Solyc00g011160",12
"Solyc00g011170",12
"Solyc00g011175",18
"Solyc03g043580",12
"Solyc00g011670",12
"Solyc00g011673",12
"Solyc00g011677",12
"Solyc00g011870",12
"Solyc00g011880",12
"Solyc00g011895",18
"Solyc00g012430",12
"Solyc00g012435",24
"Solyc00g012440",12
"Solyc00g012540",18
"Solyc00g012650",18
"Solyc00g012660",18
"Solyc00g012670",18
"Solyc00g012680",18
"Solyc00g012690",18
"Solyc00g012700",18
"Solyc00g012702",36
"Solyc00g012704",36
"Solyc00g012706",24
"Solyc00g012708",36
"Solyc00g013110",18
"Solyc00g013120",18
"Solyc00g013130",18
"Solyc00g013133",18
"Solyc00g013137",18
"Solyc00g013150",18
"Solyc00g013155",18
"Solyc00g013160",18
"Solyc00g013170",18
"Solyc00g013180",18
"Solyc00g013182",24
"Solyc00g013185",34
"Solyc00g013188",18
"Solyc00g014170",24
"Solyc00g014180",36
"Solyc00g014190",24
"Solyc00g014390",36
"Solyc00g014395",29
"Solyc00g014990",24
"Solyc00g014995",24
"Solyc00g015000",24
"Solyc00g015600",24
"Solyc00g015720",24
"Solyc00g015730",24
"Solyc00g015733",24
"Solyc00g015735",29
"Solyc00g015737",29
"Solyc00g016915",29
"Solyc00g017235",29
"Solyc00g017933",18
"Solyc00g018970",12
"Solyc00g102000",12
"Solyc00g022107",29
"Solyc00g026160",27
"Solyc00g026165",35
"Solyc00g026907",29
"Solyc00g030000",35
"Solyc00g030215",35
"Solyc00g030520",35
"Solyc00g032943",36
"Solyc00g036964",24
"Solyc00g042852",29
"Solyc00g044350",35
"Solyc00g044755",35
"Solyc00g050430",15
"Solyc00g055985",36
"Solyc00g056180",17
"Solyc00g057280",17
"Solyc00g057885",17
"Solyc00g058480",36
"Solyc00g058900",17
"Solyc00g059500",12
"Solyc00g059503",12
"Solyc00g059505",17
"Solyc00g059507",12
"Solyc00g060700",12
"Solyc00g060710",12
"Solyc00g060810",12
"Solyc00g066155",24
"Solyc00g068980",5
"Solyc00g068985",24
"Solyc00g069680",36
"Solyc01g058600",36
"Solyc00g069880",18
"Solyc00g069883",35
"Solyc00g071580",24
"Solyc00g071590",24
"Solyc00g071600",24
"Solyc00g072100",27
"Solyc00g072400",24
"Solyc00g072405",24
"Solyc00g072800",24
"Solyc00g072805",36
"Solyc00g073900",24
"Solyc00g084650",24
"Solyc06g024210",12
"Solyc00g090110",12
"Solyc00g090130",12
"Solyc00g090430",12
"Solyc00g090640",12
"Solyc00g090650",12
"Solyc00g090660",12
"Solyc00g090860",12
"Solyc00g090870",12
"Solyc00g092870",12
"Solyc00g092880",12
"Solyc00g092890",12
"Solyc00g092900",12
"Solyc00g093000",12
"Solyc00g093100",12
"Solyc00g094010",12
"Solyc00g094020",12
"Solyc00g094520",12
"Solyc00g094530",12
"Solyc00g094540",12
"Solyc00g094550",12
"Solyc00g095450",12
"Solyc00g095460",18
"Solyc00g095465",36
"Solyc00g095860",18
"Solyc00g096060",18
"Solyc00g096460",17
"Solyc00g097960",23
"Solyc00g098560",35
"Solyc00g099580",12
"Solyc00g101700",29
"Solyc00g110870",2
"Solyc00g111175",29
"Solyc00g125275",36
"Solyc00g127870",35
"Solyc00g129685",18
"Solyc00g141565",29
"Solyc00g145170",5
"Solyc00g170200",29
"Solyc00g170210",29
"Solyc00g170510",29
"Solyc00g171710",29
"Solyc00g171810",29
"Solyc00g172410",29
"Solyc00g173430",29
"Solyc00g174340",29
"Solyc00g178340",29
"Solyc00g179240",29
"Solyc00g180440",29
"Solyc00g180840",29
"Solyc00g181240",29
"Solyc00g181250",29
"Solyc00g183050",29
"Solyc00g183055",29
"Solyc00g183550",29
"Solyc00g187050",12
"Solyc00g213960",29
"Solyc00g215560",29
"Solyc00g215565",29
"Solyc00g217560",29
"Solyc00g217960",29
"Solyc00g218560",29
"Solyc00g222060",29
"Solyc00g222063",29
"Solyc00g222065",29
"Solyc00g226760",29
"Solyc00g227860",29
"Solyc00g227960",29
"Solyc00g230060",29
"Solyc00g230070",29
"Solyc00g230280",29
"Solyc00g231680",29
"Solyc00g231780",29
"Solyc00g233480",29
"Solyc00g237680",29
"Solyc00g240580",29
"Solyc00g244280",29
"Solyc00g244290",29
"Solyc00g244300",29
"Solyc00g244305",29
"Solyc00g247300",29
"Solyc00g273110",8
"Solyc00g277510",29
"Solyc00g278110",21
"Solyc00g280110",1
"Solyc00g281110",23
"Solyc00g282510",5
"Solyc00g289230",29
"Solyc00g294237",29
"Solyc00g300730",29
"Solyc00g311230",4
"Solyc00g322635",20
"Solyc01g006440",32
"Solyc01g007960",34
"Solyc01g005140",18
"Solyc01g006340",12
"Solyc01g008780",24
"Solyc01g009715",28
"Solyc01g010960",35
"Solyc01g011475",24
"Solyc01g014075",29
"Solyc01g016435",29
"Solyc01g017775",29
"Solyc01g017873",18
"Solyc01g034067",35
"Solyc01g044305",29
"Solyc01g056695",36
"Solyc01g058190",29
"Solyc01g065915",35
"Solyc01g066957",35
"Solyc01g067360",22
"Solyc01g080725",35
"Solyc01g080810",27
"Solyc01g090230",14
"Solyc01g094010",35
"Solyc01g096190",13
"Solyc01g098490",35
"Solyc01g099030",29
"Solyc01g105970",21
"Solyc01g109490",34
"Solyc01g109830",4
"Solyc01g112300",22
"Solyc01g005220",36
"Solyc01g006460",1
"Solyc01g006490",12
"Solyc01g006540",1
"Solyc01g006560",1
"Solyc01g006610",1
"Solyc01g006960",2
"Solyc01g007140",23
"Solyc01g007895",35
"Solyc01g008240",32
"Solyc01g008420",33
"Solyc01g008570",30
"Solyc01g008660",12
"Solyc01g008670",29
"Solyc01g008730",35
"Solyc01g009030",18
"Solyc01g009120",29
"Solyc01g009340",19
"Solyc01g009480",23
"Solyc01g009530",27
"Solyc01g009730",35
"Solyc01g010501",36
"Solyc01g010510",10
"Solyc01g010720",36
"Solyc01g010933",35
"Solyc01g010950",18
"Solyc01g010970",10
"Solyc01g010980",35
"Solyc01g011090",7
"Solyc01g011330",35
"Solyc01g011460",29
"Solyc01g011510",32
"Solyc01g014107",13
"Solyc01g014355",29
"Solyc01g014520",36
"Solyc01g014855",18
"Solyc01g014975",36
"Solyc01g015085",34
"Solyc01g016723",35
"Solyc01g016727",29
"Solyc01g017823",36
"Solyc01g018025",29
"Solyc01g018044",35
"Solyc01g020120",29
"Solyc01g020230",22
"Solyc01g020240",36
"Solyc01g020285",29
"Solyc01g020376",29
"Solyc01g020401",29
"Solyc01g021640",35
"Solyc01g034155",2
"Solyc01g028987",29
"Solyc01g044273",29
"Solyc01g044360",12
"Solyc01g044376",36
"Solyc01g044543",35
"Solyc01g047597",29
"Solyc01g049895",29
"Solyc01g049925",29
"Solyc01g050070",9
"Solyc01g056205",29
"Solyc01g056345",35
"Solyc01g056520",22
"Solyc01g056790",29
"Solyc01g056850",31
"Solyc01g056875",36
"Solyc01g056915",35
"Solyc01g057045",29
"Solyc01g057270",35
"Solyc01g057285",24
"Solyc01g057340",35
"Solyc01g057440",31
"Solyc01g057465",29
"Solyc01g057477",35
"Solyc01g057777",29
"Solyc01g057850",23
"Solyc01g058030",10
"Solyc01g058720",36
"Solyc01g058730",1
"Solyc01g059830",28
"Solyc01g059857",29
"Solyc01g059860",24
"Solyc01g060140",36
"Solyc01g060185",35
"Solyc01g060318",29
"Solyc01g065624",29
"Solyc01g066055",35
"Solyc01g066100",36
"Solyc01g066205",35
"Solyc01g066287",29
"Solyc01g066440",11
"Solyc01g066525",29
"Solyc01g067020",29
"Solyc01g067125",6
"Solyc01g067210",24
"Solyc01g067273",12
"Solyc01g067460",35
"Solyc01g067510",7
"Solyc01g067530",24
"Solyc01g067650",35
"Solyc01g067660",19
"Solyc01g067710",25
"Solyc01g067755",29
"Solyc01g067800",19
"Solyc01g067860",29
"Solyc01g068170",10
"Solyc01g068190",35
"Solyc01g068410",1
"Solyc01g068420",29
"Solyc01g068460",19
"Solyc01g068500",15
"Solyc01g079060",21
"Solyc01g079450",12
"Solyc01g079850",28
"Solyc01g079890",29
"Solyc01g080260",29
"Solyc01g080580",19
"Solyc01g080780",12
"Solyc01g080860",2
"Solyc01g080990",18
"Solyc01g081080",18
"Solyc01g081110",24
"Solyc01g081290",35
"Solyc01g073660",28
"Solyc01g074040",19
"Solyc01g086710",10
"Solyc01g086745",4
"Solyc01g086830",11
"Solyc01g086840",11
"Solyc01g087320",21
"Solyc01g087385",2
"Solyc01g087910",22
"Solyc01g087970",35
"Solyc01g088280",34
"Solyc01g088630",36
"Solyc01g089930",9
"Solyc01g090040",35
"Solyc01g090170",6
"Solyc01g090200",13
"Solyc01g090550",25
"Solyc01g090640",12
"Solyc01g090645",17
"Solyc01g090730",14
"Solyc01g090780",31
"Solyc01g091010",4
"Solyc01g091040",20
"Solyc01g091540",11
"Solyc01g091900",35
"Solyc01g091920",36
"Solyc01g094030",12
"Solyc01g094140",36
"Solyc01g094220",9
"Solyc01g094237",36
"Solyc01g094410",12
"Solyc01g095300",34
"Solyc01g095810",4
"Solyc01g095870",11
"Solyc01g096050",35
"Solyc01g096140",20
"Solyc01g096170",27
"Solyc01g096205",27
"Solyc01g096230",28
"Solyc01g096370",12
"Solyc01g096380",10
"Solyc01g096490",3
"Solyc01g096525",8
"Solyc01g096540",8
"Solyc01g096740",34
"Solyc01g096950",12
"Solyc01g096960",12
"Solyc01g097190",12
"Solyc01g097430",18
"Solyc01g097640",12
"Solyc01g097720",23
"Solyc01g098110",11
