"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1446" "GO:0019538" 0.000546833402398126 0.999994748217641 2 18 "protein metabolic process" "BP"
"967" "GO:0008356" 0.00154760447857021 1 1 1 "asymmetric cell division" "BP"
"1165" "GO:0009956" 0.00154760447857021 1 1 1 "radial pattern formation" "BP"
"1838" "GO:0048366" 0.00154760447857021 1 1 1 "leaf development" "BP"
"874" "GO:0006952" 0.00224686270321807 0.999955601343787 2 19 "defense response" "BP"
"1815" "GO:0046983" 0.00434081648168149 0.999686555850342 3 134 "protein dimerization activity" "MF"
"876" "GO:0006979" 0.00440467410858085 0.999871838113258 2 38 "response to oxidative stress" "BP"
"229" "GO:0004096" 0.00469902240963688 0.999992897549935 1 3 "catalase activity" "MF"
"1765" "GO:0045735" 0.0264575173915578 0.999697348938157 1 9 "nutrient reservoir activity" "MF"
"1189" "GO:0010333" 0.0268695805775188 0.999683928370115 1 10 "terpene synthase activity" "MF"
"1323" "GO:0016702" 0.0388523756833075 0.999297928563244 1 21 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen" "MF"
"1359" "GO:0016829" 0.0428767278485064 0.99915360252763 1 17 "lyase activity" "MF"
"1472" "GO:0020037" 0.0474804646049673 0.995016175580677 2 162 "heme binding" "MF"
"941" "GO:0008234" 0.0474841510212756 0.998939654248031 1 25 "cysteine-type peptidase activity" "MF"
"1686" "GO:0042626" 0.0493995988642599 0.998846524611112 1 28 "ATPase activity, coupled to transmembrane movement of substances" "MF"
"1726" "GO:0043565" 0.0627438114847819 0.992316344043893 2 163 "sequence-specific DNA binding" "MF"
"378" "GO:0004601" 0.0635012932862644 0.998079320404806 1 30 "peroxidase activity" "MF"
"532" "GO:0005507" 0.0665787409435942 0.997897174724604 1 26 "copper ion binding" "MF"
"543" "GO:0005576" 0.0666141473615976 0.997909873080508 1 22 "extracellular region" "CC"
"1916" "GO:0055114" 0.0854343469647101 0.975624746926164 4 758 "oxidation-reduction process" "BP"
"841" "GO:0006810" 0.101720052244699 0.983577124727432 2 234 "transport" "BP"
"420" "GO:0004672" 0.121771601704517 0.967847845409272 3 714 "protein kinase activity" "MF"
"752" "GO:0006468" 0.121771601704517 0.967847845409272 3 714 "protein phosphorylation" "BP"
"166" "GO:0003924" 0.127023809856403 0.991961537773787 1 82 "GTPase activity" "MF"
"106" "GO:0003700" 0.128417358540727 0.976232575895202 2 256 "transcription factor activity, sequence-specific DNA binding" "MF"
"1379" "GO:0016887" 0.141171115107231 0.990010269336827 1 87 "ATPase activity" "MF"
"1722" "GO:0043531" 0.144988923282932 0.989441926022717 1 91 "ADP binding" "MF"
"1805" "GO:0046872" 0.162353518978461 0.965390866993687 2 320 "metal ion binding" "MF"
