"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1925" "GO:0055085" 3.29201978846952e-12 1 48 328 "transmembrane transport" "BP"
"537" "GO:0005524" 2.32142386284893e-11 1 115 1490 "ATP binding" "MF"
"421" "GO:0004672" 6.84903673529634e-09 1 62 744 "protein kinase activity" "MF"
"753" "GO:0006468" 6.84903673529634e-09 1 62 744 "protein phosphorylation" "BP"
"1333" "GO:0016705" 1.18840267111731e-07 0.999999964010802 35 139 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1000" "GO:0008536" 2.57904209109324e-07 0.999999999400941 3 11 "Ran GTPase binding" "MF"
"931" "GO:0008152" 4.37811138789038e-07 1 58 503 "metabolic process" "BP"
"1922" "GO:0052861" 1.35483659376922e-06 1 2 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"531" "GO:0005488" 3.225311355193e-06 0.999999033772183 24 296 "binding" "MF"
"535" "GO:0005515" 1.37642214751401e-05 0.999991028475376 170 2476 "protein binding" "MF"
"532" "GO:0005506" 4.93216470549514e-05 0.999979239469188 36 179 "iron ion binding" "MF"
"499" "GO:0004970" 8.87081332614676e-05 0.999999656419831 2 12 "ionotropic glutamate receptor activity" "MF"
"1825" "GO:0046983" 0.00014772822962117 0.999927944147643 48 174 "protein dimerization activity" "MF"
"725" "GO:0006418" 0.000182815788218159 0.999990879634519 4 35 "tRNA aminoacylation for protein translation" "BP"
"458" "GO:0004812" 0.000202795320664243 0.999989580430664 4 36 "aminoacyl-tRNA ligase activity" "MF"
"123" "GO:0003824" 0.000313999892633728 0.999818042378376 62 714 "catalytic activity" "MF"
"1342" "GO:0016747" 0.000319792828651467 0.999901566799424 17 72 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1511" "GO:0030170" 0.000332409291757385 0.999918039649467 12 74 "pyridoxal phosphate binding" "MF"
"306" "GO:0004402" 0.000469862757980092 0.999988409882311 3 7 "histone acetyltransferase activity" "MF"
"1482" "GO:0020037" 0.000537591312397277 0.999733978589969 39 192 "heme binding" "MF"
"1149" "GO:0009694" 0.000591633673788679 0.999994512178076 2 8 "jasmonic acid metabolic process" "BP"
"1162" "GO:0009864" 0.000591633673788679 0.999994512178076 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1972" "GO:0080123" 0.000591633673788679 0.999994512178076 2 8 "jasmonate-amino synthetase activity" "MF"
"357" "GO:0004553" 0.000725859666582964 0.999738383701628 18 137 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1732" "GO:0043531" 0.00100609612042732 0.999668380241083 15 100 "ADP binding" "MF"
"766" "GO:0006508" 0.0011026764243874 0.999469740880045 30 269 "proteolysis" "BP"
"952" "GO:0008265" 0.00116440353453747 1 1 1 "Mo-molybdopterin cofactor sulfurase activity" "MF"
"1479" "GO:0019948" 0.0011647697136032 1 1 1 "SUMO activating enzyme activity" "MF"
"358" "GO:0004555" 0.00135758348807446 1 1 1 "alpha,alpha-trehalase activity" "MF"
"623" "GO:0005991" 0.00135758348807446 1 1 1 "trehalose metabolic process" "BP"
"1394" "GO:0016973" 0.00141927094128238 1 1 1 "poly(A)+ mRNA export from nucleus" "BP"
"855" "GO:0006855" 0.00152879917047601 0.999720953488363 7 43 "drug transmembrane transport" "BP"
"1218" "GO:0015238" 0.00152879917047601 0.999720953488363 7 43 "drug transmembrane transporter activity" "MF"
"1220" "GO:0015297" 0.00152879917047601 0.999720953488363 7 43 "antiporter activity" "MF"
"511" "GO:0005215" 0.00162974911770303 0.999299984586664 22 169 "transporter activity" "MF"
"512" "GO:0005216" 0.00187216581214302 0.999764544012474 5 30 "ion channel activity" "MF"
"844" "GO:0006812" 0.00210237682749137 0.999723462946524 5 36 "cation transport" "BP"
"468" "GO:0004822" 0.00232741270913706 0.999998645596528 1 2 "isoleucine-tRNA ligase activity" "MF"
"735" "GO:0006428" 0.00232741270913706 0.999998645596528 1 2 "isoleucyl-tRNA aminoacylation" "BP"
"1404" "GO:0017038" 0.00232741274661936 0.999998645596484 1 2 "protein import" "BP"
"376" "GO:0004591" 0.00232741276498986 0.999998645596463 1 2 "oxoglutarate dehydrogenase (succinyl-transferring) activity" "MF"
"1581" "GO:0031668" 0.00232742104569509 0.99999864558682 1 2 "cellular response to extracellular stimulus" "BP"
"202" "GO:0004018" 0.00238227479391261 1 1 1 "N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity" "MF"
"664" "GO:0006188" 0.00238227479391261 1 1 1 "IMP biosynthetic process" "BP"
"1085" "GO:0009152" 0.00238227479391261 1 1 1 "purine ribonucleotide biosynthetic process" "BP"
"241" "GO:0004134" 0.00267591542167345 0.999998209303795 1 2 "4-alpha-glucanotransferase activity" "MF"
"617" "GO:0005975" 0.00295929044252479 0.998551578576048 26 271 "carbohydrate metabolic process" "BP"
"1236" "GO:0015846" 0.0030519309237711 1 1 1 "polyamine transport" "BP"
"1467" "GO:0019808" 0.0030519309237711 1 1 1 "polyamine binding" "MF"
"1694" "GO:0042597" 0.0030519309237711 1 1 1 "periplasmic space" "CC"
"522" "GO:0005345" 0.00318307610698176 1 1 1 "purine nucleobase transmembrane transporter activity" "MF"
"857" "GO:0006863" 0.00318307610698176 1 1 1 "purine nucleobase transport" "BP"
"1883" "GO:0051017" 0.00348910238734113 0.999995939906154 1 3 "actin filament bundle assembly" "BP"
"32" "GO:0000220" 0.00348916929345429 0.999995939750321 1 3 "vacuolar proton-transporting V-type ATPase, V0 domain" "CC"
"466" "GO:0004820" 0.00348975587917011 0.999995938383956 1 3 "glycine-tRNA ligase activity" "MF"
"733" "GO:0006426" 0.00348975587917011 0.999995938383956 1 3 "glycyl-tRNA aminoacylation" "BP"
"1344" "GO:0016757" 0.00372128888936359 0.999315412788575 6 39 "transferase activity, transferring glycosyl groups" "MF"
"469" "GO:0004823" 0.00385402617761836 0.999996283251524 1 2 "leucine-tRNA ligase activity" "MF"
"736" "GO:0006429" 0.00385402617761836 0.999996283251524 1 2 "leucyl-tRNA aminoacylation" "BP"
"294" "GO:0004370" 0.00393030004175522 1 1 1 "glycerol kinase activity" "MF"
"744" "GO:0006437" 0.0040137940242389 1 1 1 "tyrosyl-tRNA aminoacylation" "BP"
"24" "GO:0000165" 0.00418469048666888 0.999034761218277 11 19 "MAPK cascade" "BP"
"79" "GO:0000977" 0.00418469048666888 0.999034761218277 11 19 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"848" "GO:0006817" 0.00422221187471645 0.999995538363654 1 2 "phosphate ion transport" "BP"
"514" "GO:0005247" 0.00452337785065657 0.999875784734913 2 10 "voltage-gated chloride channel activity" "MF"
"30" "GO:0000184" 0.00464944935618672 0.999991886041213 1 4 "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" "BP"
"111" "GO:0003724" 0.00464944948072923 0.999991886040778 1 4 "RNA helicase activity" "MF"
"1784" "GO:0045944" 0.0049348535069351 0.998793152168298 11 20 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"1962" "GO:0071949" 0.00615384816395481 0.99981144749435 2 8 "FAD binding" "MF"
