"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1816" "GO:0046983" 1.41423090311078e-05 0.999996868545182 15 140 "protein dimerization activity" "MF"
"1147" "GO:0009725" 2.38979567277536e-05 0.999999357832158 4 18 "response to hormone" "BP"
"699" "GO:0006355" 7.64349226366908e-05 0.999970686797185 27 514 "regulation of transcription, DNA-templated" "BP"
"356" "GO:0004553" 0.000206906370118129 0.999977118025089 6 125 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"929" "GO:0008152" 0.000229605723614018 0.999929308461086 16 477 "metabolic process" "BP"
"1337" "GO:0016758" 0.000235232620781496 0.999967343197523 7 107 "transferase activity, transferring hexosyl groups" "MF"
"931" "GO:0008171" 0.000274872181270122 0.99998702974806 4 13 "O-methyltransferase activity" "MF"
"123" "GO:0003824" 0.000335444277762168 0.99987416633615 21 690 "catalytic activity" "MF"
"1145" "GO:0009694" 0.000355245314029902 0.999997464140746 2 8 "jasmonic acid metabolic process" "BP"
"1157" "GO:0009864" 0.000355245314029902 0.999997464140746 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1964" "GO:0080123" 0.000355245314029902 0.999997464140746 2 8 "jasmonate-amino synthetase activity" "MF"
"616" "GO:0005975" 0.00113480749414959 0.999732740819486 9 256 "carbohydrate metabolic process" "BP"
"908" "GO:0007275" 0.00170994119894939 0.999787753432723 5 35 "multicellular organism development" "BP"
"1593" "GO:0032502" 0.00232893240574153 0.99987338211389 3 15 "developmental process" "BP"
"22" "GO:0000160" 0.00250710984395548 0.999653848857734 5 44 "phosphorelay signal transduction system" "BP"
"930" "GO:0008168" 0.00299946563732042 0.999353522859954 7 118 "methyltransferase activity" "MF"
"967" "GO:0008356" 0.00378208444570734 1 1 1 "asymmetric cell division" "BP"
"1165" "GO:0009956" 0.00378208444570734 1 1 1 "radial pattern formation" "BP"
"1839" "GO:0048366" 0.00378208444570734 1 1 1 "leaf development" "BP"
"768" "GO:0006520" 0.0038256020819421 0.999734173040991 3 27 "cellular amino acid metabolic process" "BP"
"106" "GO:0003700" 0.00485824539414111 0.998135888948111 14 258 "transcription factor activity, sequence-specific DNA binding" "MF"
"391" "GO:0004630" 0.00536889692660987 0.999992803436045 1 2 "phospholipase D activity" "MF"
"1788" "GO:0046470" 0.00536889692660987 0.999992803436045 1 2 "phosphatidylcholine metabolic process" "BP"
"453" "GO:0004802" 0.00537515735120174 0.999992786620332 1 2 "transketolase activity" "MF"
"771" "GO:0006527" 0.00538473765362981 0.99999276084922 1 2 "arginine catabolic process" "BP"
"1029" "GO:0008792" 0.00538473765362981 0.99999276084922 1 2 "arginine decarboxylase activity" "MF"
"992" "GO:0008483" 0.00555710643825435 0.999818140027953 2 17 "transaminase activity" "MF"
"1324" "GO:0016702" 0.00560039871758083 0.999562079870934 3 22 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen" "MF"
"1796" "GO:0046577" 0.00805154467067389 0.999978400473466 1 3 "long-chain-alcohol oxidase activity" "MF"
"276" "GO:0004345" 0.00914652036406528 0.999972112399055 1 3 "glucose-6-phosphate dehydrogenase activity" "MF"
"135" "GO:0003855" 0.00965138576130904 0.999968941734235 1 3 "3-dehydroquinate dehydratase activity" "MF"
"441" "GO:0004764" 0.00965138576130904 0.999968941734235 1 3 "shikimate 3-dehydrogenase (NADP+) activity" "MF"
"1791" "GO:0046524" 0.0106898097998903 0.999957129065774 1 4 "sucrose-phosphate synthase activity" "MF"
"1189" "GO:0010333" 0.0123917947620121 0.99944024855843 2 9 "terpene synthase activity" "MF"
"229" "GO:0004096" 0.0127358608470123 0.999945842689179 1 3 "catalase activity" "MF"
"1367" "GO:0016846" 0.0138601685547146 0.999951832204636 1 2 "carbon-sulfur lyase activity" "MF"
"1806" "GO:0046872" 0.0138749596855473 0.994146454992537 13 321 "metal ion binding" "MF"
"828" "GO:0006754" 0.0139868802021649 0.999921621771385 1 5 "ATP biosynthetic process" "BP"
"232" "GO:0004107" 0.0145816734033984 0.999946667311638 1 2 "chorismate synthase activity" "MF"
"1723" "GO:0043531" 0.0152978230051613 0.997321062768394 4 93 "ADP binding" "MF"
"545" "GO:0005618" 0.0156958462245299 0.998162400079049 3 30 "cell wall" "CC"
"1502" "GO:0030170" 0.0159972537868856 0.998042344210078 3 69 "pyridoxal phosphate binding" "MF"
"620" "GO:0005985" 0.0160032107160204 0.999893051652816 1 6 "sucrose metabolic process" "BP"
"1261" "GO:0016157" 0.0160032107160204 0.999893051652816 1 6 "sucrose synthase activity" "MF"
"813" "GO:0006659" 0.0160318209718375 0.999935484468187 1 2 "phosphatidylserine biosynthetic process" "BP"
"514" "GO:0005249" 0.0160354845380004 0.999892618482017 1 6 "voltage-gated potassium channel activity" "MF"
"421" "GO:0004673" 0.0160406036112566 0.999892549694202 1 6 "protein histidine kinase activity" "MF"
"1174" "GO:0010105" 0.0160406036112566 0.999892549694202 1 6 "negative regulation of ethylene-activated signaling pathway" "BP"
"1657" "GO:0038199" 0.0160406036112566 0.999892549694202 1 6 "ethylene receptor activity" "MF"
"1867" "GO:0050896" 0.0160406036112566 0.999892549694202 1 6 "response to stimulus" "BP"
"1900" "GO:0051740" 0.0160406036112566 0.999892549694202 1 6 "ethylene binding" "MF"
"1063" "GO:0009058" 0.0163719960284416 0.997087285265864 4 79 "biosynthetic process" "BP"
"1045" "GO:0008935" 0.0190450269920697 1 1 1 "1,4-dihydroxy-2-naphthoyl-CoA synthase activity" "MF"
"98" "GO:0003677" 0.0203128231640962 0.988067434065415 29 748 "DNA binding" "MF"
"485" "GO:0004852" 0.0217369216645728 1 1 1 "uroporphyrinogen-III synthase activity" "MF"
"1525" "GO:0030599" 0.0224961696964876 0.998462688237926 2 18 "pectinesterase activity" "MF"
"1679" "GO:0042545" 0.0224961696964876 0.998462688237926 2 18 "cell wall modification" "BP"
"88" "GO:0001678" 0.0239595141144737 0.999759517189981 1 6 "cellular glucose homeostasis" "BP"
"302" "GO:0004396" 0.0239595141144737 0.999759517189981 1 6 "hexokinase activity" "MF"
"538" "GO:0005536" 0.0239595141144737 0.999759517189981 1 6 "glucose binding" "MF"
"1164" "GO:0009916" 0.0267062729984166 0.998708859298601 2 4 "alternative oxidase activity" "MF"
"282" "GO:0004352" 0.0276575824345699 0.999742863598519 1 3 "glutamate dehydrogenase (NAD+) activity" "MF"
"1316" "GO:0016639" 0.0301212198594818 0.999656797532887 1 4 "oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor" "MF"
"1917" "GO:0055114" 0.0321929331857147 0.981438183376157 23 763 "oxidation-reduction process" "BP"
"1135" "GO:0009611" 0.0327877303118367 0.9951851902108 3 17 "response to wounding" "BP"
"606" "GO:0005874" 0.0328897272621243 0.997152498762806 2 29 "microtubule" "CC"
"547" "GO:0005634" 0.0341084154643909 0.982013779243079 17 455 "nucleus" "CC"
"1801" "GO:0046835" 0.0343791168650137 0.999478206242721 1 8 "carbohydrate phosphorylation" "BP"
"1690" "GO:0042744" 0.0400688118650828 0.996283413774775 2 17 "hydrogen peroxide catabolic process" "BP"
"166" "GO:0003924" 0.0408423800066538 0.992825188324011 3 84 "GTPase activity" "MF"
"1360" "GO:0016829" 0.0421735269807457 0.996001119192681 2 16 "lyase activity" "MF"
"1660" "GO:0042026" 0.0429553200249748 0.999159651217639 1 10 "protein refolding" "BP"
"1287" "GO:0016491" 0.0438659102999485 0.978268265021079 13 428 "oxidoreductase activity" "MF"
"283" "GO:0004356" 0.0449054409605475 0.999181801903262 1 5 "glutamate-ammonia ligase activity" "MF"
"778" "GO:0006542" 0.0449054409605475 0.999181801903262 1 5 "glutamine biosynthetic process" "BP"
"795" "GO:0006596" 0.0450113309796229 0.999313512107904 1 3 "polyamine biosynthetic process" "BP"
"539" "GO:0005542" 0.0466252302896986 0.99944566582503 1 2 "folic acid binding" "MF"
"1089" "GO:0009228" 0.0498156086368805 0.999053285465418 1 4 "thiamine biosynthetic process" "BP"
"960" "GO:0008295" 0.0498755381894005 0.9989885777989 1 5 "spermidine biosynthetic process" "BP"
"1664" "GO:0042132" 0.0514207892863308 0.998990588670374 1 4 "fructose 1,6-bisphosphate 1-phosphatase activity" "MF"
"1607" "GO:0033014" 0.0537160790537788 0.998776727582311 1 6 "tetrapyrrole biosynthetic process" "BP"
"1092" "GO:0009234" 0.0573116305774024 0.999157752087643 1 2 "menaquinone biosynthetic process" "BP"
"20" "GO:0000155" 0.057451765289555 0.998410341759588 1 19 "phosphorelay sensor kinase activity" "MF"
"1727" "GO:0043565" 0.0578616237241957 0.975926088400824 8 163 "sequence-specific DNA binding" "MF"
"1845" "GO:0048544" 0.0645976962468986 0.99797007431127 1 22 "recognition of pollen" "BP"
"534" "GO:0005515" 0.0648780716887976 0.954723029729285 41 2426 "protein binding" "MF"
"1975" "GO:1901601" 0.0658124742667331 0.998884384904602 1 2 "strigolactone biosynthetic process" "BP"
"508" "GO:0005199" 0.0662490085368557 0.998498113964044 1 3 "structural constituent of cell wall" "MF"
"1111" "GO:0009408" 0.0725259865847868 0.997577094402818 1 10 "response to heat" "BP"
"1183" "GO:0010223" 0.0731820219477187 0.998161336199864 1 3 "secondary shoot formation" "BP"
"263" "GO:0004252" 0.0734556482074674 0.983732900810604 3 74 "serine-type endopeptidase activity" "MF"
"1141" "GO:0009664" 0.0756908480396107 0.990204136424691 2 14 "plant-type cell wall organization" "BP"
