"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"908" "GO:0007275" 3.08596311066359e-05 0.999998429649253 5 35 "multicellular organism development" "BP"
"1337" "GO:0016758" 0.00030949429300936 0.999963830014991 6 107 "transferase activity, transferring hexosyl groups" "MF"
"1324" "GO:0016702" 0.000959868161310313 0.999960122856338 3 22 "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen" "MF"
"1164" "GO:0009916" 0.00179244095067164 0.999979160821345 2 4 "alternative oxidase activity" "MF"
"929" "GO:0008152" 0.00256866867282258 0.999221502547198 11 477 "metabolic process" "BP"
"1816" "GO:0046983" 0.00476353651236592 0.999042426165165 6 140 "protein dimerization activity" "MF"
"123" "GO:0003824" 0.00632088419580989 0.997622922260605 13 690 "catalytic activity" "MF"
"967" "GO:0008356" 0.00745762953707302 1 1 1 "asymmetric cell division" "BP"
"1165" "GO:0009956" 0.00745762953707302 1 1 1 "radial pattern formation" "BP"
"1839" "GO:0048366" 0.00745762953707302 1 1 1 "leaf development" "BP"
"992" "GO:0008483" 0.0076198512248476 0.999708502624047 2 17 "transaminase activity" "MF"
"1045" "GO:0008935" 0.00964692124090464 1 1 1 "1,4-dihydroxy-2-naphthoyl-CoA synthase activity" "MF"
"1806" "GO:0046872" 0.0108319267368736 0.996728488624385 8 321 "metal ion binding" "MF"
"391" "GO:0004630" 0.0132395168698814 0.99995627112017 1 2 "phospholipase D activity" "MF"
"1788" "GO:0046470" 0.0132395168698814 0.99995627112017 1 2 "phosphatidylcholine metabolic process" "BP"
"453" "GO:0004802" 0.0137407850480941 0.999952885119563 1 2 "transketolase activity" "MF"
"699" "GO:0006355" 0.0156143830361026 0.993928714361918 11 514 "regulation of transcription, DNA-templated" "BP"
"1367" "GO:0016846" 0.0157404622232347 0.999938111082501 1 2 "carbon-sulfur lyase activity" "MF"
"106" "GO:0003700" 0.0188132808037737 0.994268719261873 7 258 "transcription factor activity, sequence-specific DNA binding" "MF"
"1796" "GO:0046577" 0.0205103631501731 0.999859712679716 1 3 "long-chain-alcohol oxidase activity" "MF"
"276" "GO:0004345" 0.0218581417831385 0.999840571959803 1 3 "glucose-6-phosphate dehydrogenase activity" "MF"
"135" "GO:0003855" 0.0219653429162758 0.999838996463745 1 3 "3-dehydroquinate dehydratase activity" "MF"
"441" "GO:0004764" 0.0219653429162758 0.999838996463745 1 3 "shikimate 3-dehydrogenase (NADP+) activity" "MF"
"768" "GO:0006520" 0.0220858288371197 0.998471191508468 2 27 "cellular amino acid metabolic process" "BP"
"1092" "GO:0009234" 0.0221847309840807 0.99987665593901 1 2 "menaquinone biosynthetic process" "BP"
"1210" "GO:0015204" 0.0258630839573818 1 1 1 "urea transmembrane transporter activity" "MF"
"1953" "GO:0071918" 0.0258630839573818 1 1 1 "urea transmembrane transport" "BP"
"1810" "GO:0046914" 0.026514919886653 0.999823413810057 1 2 "transition metal ion binding" "MF"
"1976" "GO:1901671" 0.026514919886653 0.999823413810057 1 2 "positive regulation of superoxide dismutase activity" "BP"
"795" "GO:0006596" 0.0270523554515008 0.99975521883986 1 3 "polyamine biosynthetic process" "BP"
"828" "GO:0006754" 0.0337651193985681 0.999541695295118 1 5 "ATP biosynthetic process" "BP"
"1089" "GO:0009228" 0.0343905414705058 0.999553897759442 1 4 "thiamine biosynthetic process" "BP"
"1664" "GO:0042132" 0.0346718443123411 0.999546515021027 1 4 "fructose 1,6-bisphosphate 1-phosphatase activity" "MF"
"547" "GO:0005634" 0.0381809812431211 0.984496275968177 9 455 "nucleus" "CC"
"514" "GO:0005249" 0.0403073491347505 0.999318144601862 1 6 "voltage-gated potassium channel activity" "MF"
"283" "GO:0004356" 0.0403702810926542 0.999343053899945 1 5 "glutamate-ammonia ligase activity" "MF"
"778" "GO:0006542" 0.0403702810926542 0.999343053899945 1 5 "glutamine biosynthetic process" "BP"
"1305" "GO:0016614" 0.0412118267030456 0.995969879841986 2 33 "oxidoreductase activity, acting on CH-OH group of donors" "MF"
"122" "GO:0003779" 0.0413793101769734 0.995956378956643 2 31 "actin binding" "MF"
"88" "GO:0001678" 0.0441316506322553 0.999181355237359 1 6 "cellular glucose homeostasis" "BP"
"302" "GO:0004396" 0.0441316506322553 0.999181355237359 1 6 "hexokinase activity" "MF"
"538" "GO:0005536" 0.0441316506322553 0.999181355237359 1 6 "glucose binding" "MF"
"698" "GO:0006353" 0.04610906244866 0.999140954861654 1 5 "DNA-templated transcription, termination" "BP"
"98" "GO:0003677" 0.0490933369698029 0.975657462187322 13 748 "DNA binding" "MF"
"1163" "GO:0009908" 0.0532938155610415 0.999038422349793 1 3 "flower development" "BP"
"1801" "GO:0046835" 0.0587580119605492 0.998468431531083 1 8 "carbohydrate phosphorylation" "BP"
"616" "GO:0005975" 0.059536385482926 0.981164960802124 5 256 "carbohydrate metabolic process" "BP"
"1459" "GO:0019825" 0.065133053631096 0.998378274210744 1 4 "oxygen binding" "MF"
"1917" "GO:0055114" 0.067331930549269 0.965908790216566 12 763 "oxidation-reduction process" "BP"
"356" "GO:0004553" 0.0705792298874363 0.984600224274664 3 125 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1660" "GO:0042026" 0.0727238518533484 0.997574953142351 1 10 "protein refolding" "BP"
"837" "GO:0006796" 0.0740565285667034 0.997666326205672 1 6 "phosphate-containing compound metabolic process" "BP"
"748" "GO:0006457" 0.0858090702949484 0.979771187620197 3 102 "protein folding" "BP"
"844" "GO:0006813" 0.0871058209734894 0.996501307036833 1 10 "potassium ion transport" "BP"
"1684" "GO:0042578" 0.0871666698344817 0.996433262133679 1 12 "phosphoric ester hydrolase activity" "MF"
"626" "GO:0006006" 0.0875306784014131 0.996431804171034 1 11 "glucose metabolic process" "BP"
"1727" "GO:0043565" 0.0955684774162352 0.97020445986306 4 163 "sequence-specific DNA binding" "MF"
"509" "GO:0005200" 0.101963111900927 0.995058180925879 1 13 "structural constituent of cytoskeleton" "MF"
"1502" "GO:0030170" 0.103410019869774 0.982708991046442 2 69 "pyridoxal phosphate binding" "MF"
"319" "GO:0004427" 0.105315119554731 0.994798308263627 1 11 "inorganic diphosphatase activity" "MF"
"1894" "GO:0051536" 0.111381894402863 0.980713487425015 2 49 "iron-sulfur cluster binding" "MF"
"173" "GO:0003950" 0.112168712901351 0.993961075246766 1 14 "NAD+ ADP-ribosyltransferase activity" "MF"
"1479" "GO:0030001" 0.123751659570545 0.977154823829005 2 54 "metal ion transport" "BP"
"931" "GO:0008171" 0.130061675892772 0.991869779885816 1 13 "O-methyltransferase activity" "MF"
"1593" "GO:0032502" 0.134213945072249 0.991235991568607 1 15 "developmental process" "BP"
"1447" "GO:0019538" 0.135341525578735 0.990982844289146 1 18 "protein metabolic process" "BP"
"842" "GO:0006811" 0.145582236355323 0.989440931153772 1 21 "ion transport" "BP"
"1525" "GO:0030599" 0.147345090055058 0.98926188211005 1 18 "pectinesterase activity" "MF"
"1679" "GO:0042545" 0.147345090055058 0.98926188211005 1 18 "cell wall modification" "BP"
"1063" "GO:0009058" 0.148180849727188 0.96933221586028 2 79 "biosynthetic process" "BP"
"1723" "GO:0043531" 0.148388029861104 0.969188046795546 2 93 "ADP binding" "MF"
"1876" "GO:0051082" 0.149401499858899 0.969037359358481 2 65 "unfolded protein binding" "MF"
"839" "GO:0006807" 0.156282138571123 0.987809402658541 1 20 "nitrogen compound metabolic process" "BP"
"24" "GO:0000165" 0.167400526346042 0.986416691789966 1 12 "MAPK cascade" "BP"
"79" "GO:0000977" 0.167400526346042 0.986416691789966 1 12 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"1775" "GO:0045944" 0.17352533870729 0.985271203896725 1 13 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"529" "GO:0005484" 0.195827406286525 0.980603097004658 1 19 "SNAP receptor activity" "MF"
"511" "GO:0005216" 0.196143597931974 0.980191000354283 1 29 "ion channel activity" "MF"
"491" "GO:0004867" 0.203596336354892 0.979468372548221 1 13 "serine-type endopeptidase inhibitor activity" "MF"
"1343" "GO:0016773" 0.208086038298568 0.977597521818263 1 29 "phosphotransferase activity, alcohol group as acceptor" "MF"
"606" "GO:0005874" 0.213284806019532 0.97641429514631 1 29 "microtubule" "CC"
"1302" "GO:0016597" 0.222117463471304 0.974273288748033 1 31 "amino acid binding" "MF"
"721" "GO:0006414" 0.224465934831758 0.974031007971594 1 22 "translational elongation" "BP"
"259" "GO:0004185" 0.235597618902593 0.970866832965408 1 32 "serine-type carboxypeptidase activity" "MF"
"881" "GO:0007017" 0.237533855244174 0.97065366868966 1 24 "microtubule-based process" "BP"
