"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 1.76117609334905e-06 0.999999362417046 34 717 "protein kinase activity" "MF"
"752" "GO:0006468" 1.76117609334905e-06 0.999999362417046 34 717 "protein phosphorylation" "BP"
"536" "GO:0005524" 1.13156071487694e-05 0.999994439786536 60 1453 "ATP binding" "MF"
"1918" "GO:0055085" 2.97777320494397e-05 0.999990616184147 21 316 "transmembrane transport" "BP"
"929" "GO:0008152" 0.000165565993039631 0.99992982164273 29 482 "metabolic process" "BP"
"1327" "GO:0016705" 0.000196102785220452 0.999956588329061 11 118 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1439" "GO:0019419" 0.000675868793057535 0.999996576686663 2 3 "sulfate reduction" "BP"
"534" "GO:0005515" 0.000698671338889475 0.999539851817032 98 2431 "protein binding" "MF"
"1919" "GO:0055114" 0.00143081308379274 0.999164911678186 51 770 "oxidation-reduction process" "BP"
"1818" "GO:0046983" 0.00311864483519312 0.998655348868657 20 149 "protein dimerization activity" "MF"
"903" "GO:0007165" 0.00315763053627589 0.99931137368142 7 103 "signal transduction" "BP"
"531" "GO:0005506" 0.00435829473089147 0.998417209277682 13 158 "iron ion binding" "MF"
"356" "GO:0004553" 0.00442282344093085 0.998845146145739 8 127 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"510" "GO:0005215" 0.00498577112652983 0.99815763754418 13 164 "transporter activity" "MF"
"1725" "GO:0043531" 0.00599614456719038 0.998534993300886 7 93 "ADP binding" "MF"
"854" "GO:0006855" 0.00604433874133776 0.999213380225894 4 41 "drug transmembrane transport" "BP"
"1212" "GO:0015238" 0.00604433874133776 0.999213380225894 4 41 "drug transmembrane transporter activity" "MF"
"1214" "GO:0015297" 0.00604433874133776 0.999213380225894 4 41 "antiporter activity" "MF"
"1323" "GO:0016671" 0.00615390379338319 0.9996217159276 3 7 "oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor" "MF"
"913" "GO:0008033" 0.0063538713994069 0.998758018424112 6 26 "tRNA processing" "BP"
"342" "GO:0004506" 0.00659771726594728 0.999779272509595 3 4 "squalene monooxygenase activity" "MF"
"1274" "GO:0016301" 0.00690958059747759 0.999059606159087 4 46 "kinase activity" "MF"
"1377" "GO:0016874" 0.00793190231061025 0.999693745444833 2 14 "ligase activity" "MF"
"1257" "GO:0016072" 0.00917941630949397 1 1 1 "rRNA metabolic process" "BP"
"1637" "GO:0034470" 0.00917941630949397 1 1 1 "ncRNA processing" "BP"
"1162" "GO:0009902" 0.0091794164221685 1 1 1 "chloroplast relocation" "BP"
"1626" "GO:0033925" 0.00917942837752529 1 1 1 "mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity" "MF"
"1646" "GO:0035246" 0.00917944647440439 1 1 1 "peptidyl-arginine N-methylation" "BP"
"1922" "GO:0060918" 0.00917995925557468 1 1 1 "auxin transport" "BP"
"1381" "GO:0016884" 0.00931085218845233 1 1 1 "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" "MF"
"1026" "GO:0008763" 0.00964029521066652 1 1 1 "UDP-N-acetylmuramate-L-alanine ligase activity" "MF"
"1215" "GO:0015299" 0.00990902712570116 0.999064221346614 3 18 "solute:proton antiporter activity" "MF"
"123" "GO:0003824" 0.0100377102641852 0.994140116224887 33 697 "catalytic activity" "MF"
