% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,uniqueness,dispensability,representative
GO:0001026,"TFIIIB-type transcription factor activity",0.013%,0.974,0.000,"TFIIIB-type transcription factor activity"
GO:0003700,"transcription factor activity, sequence-specific DNA binding",4.217%,0.984,0.000,"transcription factor activity, sequence-specific DNA binding"
GO:0000982,"transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding",0.092%,0.983,0.597,"transcription factor activity, sequence-specific DNA binding"
GO:0003824,"catalytic activity",65.827%,0.996,0.000,"catalytic activity"
GO:0005089,"Rho guanyl-nucleotide exchange factor activity",0.108%,0.984,0.000,"Rho guanyl-nucleotide exchange factor activity"
GO:0097027,"ubiquitin-protein transferase activator activity",0.021%,0.984,0.582,"Rho guanyl-nucleotide exchange factor activity"
GO:0005199,"structural constituent of cell wall",0.017%,0.980,0.000,"structural constituent of cell wall"
GO:0005200,"structural constituent of cytoskeleton",0.079%,0.979,0.419,"structural constituent of cell wall"
GO:0003735,"structural constituent of ribosome",2.679%,0.978,0.615,"structural constituent of cell wall"
GO:0005215,"transporter activity",8.494%,0.990,0.000,"transporter activity"
GO:0005488,"binding",55.656%,0.995,0.000,"binding"
GO:0008515,"sucrose transmembrane transporter activity",0.003%,0.943,0.000,"sucrose transmembrane transporter activity"
GO:0005216,"ion channel activity",0.624%,0.914,0.694,"sucrose transmembrane transporter activity"
GO:0005319,"lipid transporter activity",0.124%,0.934,0.335,"sucrose transmembrane transporter activity"
GO:0005315,"inorganic phosphate transmembrane transporter activity",0.142%,0.921,0.415,"sucrose transmembrane transporter activity"
GO:0015238,"drug transmembrane transporter activity",0.185%,0.932,0.348,"sucrose transmembrane transporter activity"
GO:0022891,"substrate-specific transmembrane transporter activity",4.536%,0.910,0.580,"sucrose transmembrane transporter activity"
GO:0009976,"tocopherol cyclase activity",0.002%,0.968,0.000,"tocopherol cyclase activity"
GO:0038199,"ethylene receptor activity",0.001%,0.980,0.000,"ethylene receptor activity"
GO:0051740,"ethylene binding",0.001%,0.977,0.000,"ethylene binding"
GO:0050017,"L-3-cyanoalanine synthase activity",0.001%,0.922,0.013,"L-3-cyanoalanine synthase activity"
GO:0004124,"cysteine synthase activity",0.045%,0.896,0.543,"L-3-cyanoalanine synthase activity"
GO:0004655,"porphobilinogen synthase activity",0.031%,0.898,0.401,"L-3-cyanoalanine synthase activity"
GO:0004089,"carbonate dehydratase activity",0.070%,0.894,0.598,"L-3-cyanoalanine synthase activity"
GO:0016846,"carbon-sulfur lyase activity",0.143%,0.898,0.443,"L-3-cyanoalanine synthase activity"
GO:0004332,"fructose-bisphosphate aldolase activity",0.050%,0.897,0.549,"L-3-cyanoalanine synthase activity"
GO:0004351,"glutamate decarboxylase activity",0.013%,0.904,0.490,"L-3-cyanoalanine synthase activity"
GO:0003906,"DNA-(apurinic or apyrimidinic site) lyase activity",0.109%,0.844,0.608,"L-3-cyanoalanine synthase activity"
GO:0008696,"4-amino-4-deoxychorismate lyase activity",0.007%,0.905,0.299,"L-3-cyanoalanine synthase activity"
GO:0010333,"terpene synthase activity",0.025%,0.894,0.523,"L-3-cyanoalanine synthase activity"
GO:0004056,"argininosuccinate lyase activity",0.036%,0.901,0.366,"L-3-cyanoalanine synthase activity"
GO:0080123,"jasmonate-amino synthetase activity",0.001%,0.950,0.013,"jasmonate-amino synthetase activity"
GO:0019948,"SUMO activating enzyme activity",0.005%,0.950,0.298,"jasmonate-amino synthetase activity"
GO:0004820,"glycine-tRNA ligase activity",0.061%,0.942,0.599,"jasmonate-amino synthetase activity"
GO:0004830,"tryptophan-tRNA ligase activity",0.050%,0.943,0.368,"jasmonate-amino synthetase activity"
GO:0008764,"UDP-N-acetylmuramoylalanine-D-glutamate ligase activity",0.031%,0.942,0.557,"jasmonate-amino synthetase activity"
GO:0003922,"GMP synthase (glutamine-hydrolyzing) activity",0.045%,0.943,0.433,"jasmonate-amino synthetase activity"
GO:0004512,"inositol-3-phosphate synthase activity",0.014%,0.966,0.015,"inositol-3-phosphate synthase activity"
GO:0004097,"catechol oxidase activity",0.003%,0.922,0.015,"catechol oxidase activity"
GO:0004617,"phosphoglycerate dehydrogenase activity",0.025%,0.894,0.494,"catechol oxidase activity"
GO:0004657,"proline dehydrogenase activity",0.028%,0.913,0.216,"catechol oxidase activity"
GO:0008442,"3-hydroxyisobutyrate dehydrogenase activity",0.018%,0.896,0.395,"catechol oxidase activity"
GO:0008131,"primary amine oxidase activity",0.022%,0.914,0.191,"catechol oxidase activity"
GO:0016630,"protochlorophyllide reductase activity",0.002%,0.919,0.171,"catechol oxidase activity"
GO:0004791,"thioredoxin-disulfide reductase activity",0.051%,0.901,0.227,"catechol oxidase activity"
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",1.177%,0.890,0.394,"catechol oxidase activity"
GO:0046577,"long-chain-alcohol oxidase activity",0.002%,0.908,0.170,"catechol oxidase activity"
GO:0004345,"glucose-6-phosphate dehydrogenase activity",0.037%,0.892,0.526,"catechol oxidase activity"
GO:0050113,"inositol oxygenase activity",0.006%,0.911,0.597,"catechol oxidase activity"
GO:0004399,"histidinol dehydrogenase activity",0.035%,0.892,0.514,"catechol oxidase activity"
GO:0003938,"IMP dehydrogenase activity",0.043%,0.891,0.533,"catechol oxidase activity"
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",0.395%,0.879,0.352,"catechol oxidase activity"
GO:0003995,"acyl-CoA dehydrogenase activity",0.296%,0.896,0.557,"catechol oxidase activity"
GO:0004471,"malate dehydrogenase (decarboxylating) (NAD+) activity",0.056%,0.885,0.547,"catechol oxidase activity"
GO:0004497,"monooxygenase activity",0.947%,0.891,0.293,"catechol oxidase activity"
