"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 2.15305066413724e-06 0.999999453207811 20 723 "protein kinase activity" "MF"
"752" "GO:0006468" 2.15305066413724e-06 0.999999453207811 20 723 "protein phosphorylation" "BP"
"536" "GO:0005524" 1.06591870157773e-05 0.999995959107066 32 1455 "ATP binding" "MF"
"257" "GO:0004177" 2.76347941817381e-05 0.999998832882394 5 14 "aminopeptidase activity" "MF"
"942" "GO:0008235" 0.00016591124375386 0.999994090268893 4 9 "metalloexopeptidase activity" "MF"
"765" "GO:0006508" 0.000193764058750992 0.999956520675679 11 254 "proteolysis" "BP"
"491" "GO:0004867" 0.000410638161180244 0.99995118656665 7 17 "serine-type endopeptidase inhibitor activity" "MF"
"1450" "GO:0019538" 0.000411920583518531 0.999976430591615 4 19 "protein metabolic process" "BP"
"1819" "GO:0046983" 0.000917220403384009 0.999711141468806 14 147 "protein dimerization activity" "MF"
"1919" "GO:0055085" 0.00124998240961318 0.999672632050663 10 316 "transmembrane transport" "BP"
"1575" "GO:0031668" 0.00143854345066194 0.999999484181286 1 2 "cellular response to extracellular stimulus" "BP"
"448" "GO:0004794" 0.00145840729987707 0.999999469832478 1 2 "L-threonine ammonia-lyase activity" "MF"
"1137" "GO:0009611" 0.00168372481777558 0.999810888000209 5 18 "response to wounding" "BP"
"1499" "GO:0030145" 0.00220957012050751 0.999809285469309 4 15 "manganese ion binding" "MF"
"1328" "GO:0016705" 0.00275756362537667 0.999498167216609 6 119 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1505" "GO:0030170" 0.0028645663076775 0.999691184082473 4 70 "pyridoxal phosphate binding" "MF"
"1808" "GO:0046856" 0.0052415107225225 0.999988245462784 1 7 "phosphatidylinositol dephosphorylation" "BP"
"1360" "GO:0016817" 0.00629667904689187 0.999982676722366 1 8 "hydrolase activity, acting on acid anhydrides" "MF"
"194" "GO:0004000" 0.00640361738513845 1 1 1 "adenosine deaminase activity" "MF"
"1533" "GO:0030785" 0.00650103416703136 0.999989438572338 1 2 "[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity" "MF"
"1563" "GO:0031347" 0.00659750063407377 0.999500381065135 3 12 "regulation of defense response" "BP"
"531" "GO:0005506" 0.00771454881174409 0.997788025597545 8 159 "iron ion binding" "MF"
"929" "GO:0008152" 0.00952605173944978 0.996145907806157 13 482 "metabolic process" "BP"
"1057" "GO:0009029" 0.00986801304162051 1 1 1 "tetraacyldisaccharide 4'-kinase activity" "MF"
"232" "GO:0004107" 0.0120076581688827 0.999963868760414 1 2 "chorismate synthase activity" "MF"
"243" "GO:0004143" 0.0122053686843711 0.999936091626171 1 7 "diacylglycerol kinase activity" "MF"
"906" "GO:0007205" 0.0122053686843711 0.999936091626171 1 7 "protein kinase C-activating G-protein coupled receptor signaling pathway" "BP"
"1076" "GO:0009097" 0.0135389358318172 0.999938753541575 1 3 "isoleucine biosynthetic process" "BP"
"1147" "GO:0009694" 0.0139225877075863 0.999915061979938 1 8 "jasmonic acid metabolic process" "BP"
"1159" "GO:0009864" 0.0139225877075863 0.999915061979938 1 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1966" "GO:0080123" 0.0139225877075863 0.999915061979938 1 8 "jasmonate-amino synthetase activity" "MF"
"1094" "GO:0009245" 0.0152696281639749 0.999368806837521 2 5 "lipid A biosynthetic process" "BP"
"1017" "GO:0008696" 0.0172116686793816 1 1 1 "4-amino-4-deoxychorismate lyase activity" "MF"
"1802" "GO:0046656" 0.0172116686793816 1 1 1 "folic acid biosynthetic process" "BP"
"1947" "GO:0071446" 0.0185019133456365 0.999152585413265 2 5 "cellular response to salicylic acid stimulus" "BP"
