"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 6.15361951403247e-11 1 51 736 "protein kinase activity" "MF"
"752" "GO:0006468" 6.15361951403247e-11 1 51 736 "protein phosphorylation" "BP"
"536" "GO:0005524" 2.10316732092221e-10 1 82 1473 "ATP binding" "MF"
"1331" "GO:0016705" 3.39936162514978e-08 0.99999999233283 25 130 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1923" "GO:0055085" 9.91493735937576e-08 0.999999973041491 28 320 "transmembrane transport" "BP"
"1823" "GO:0046983" 5.85872404247577e-06 0.999997761528965 38 163 "protein dimerization activity" "MF"
"531" "GO:0005506" 1.86258053236137e-05 0.999993673257401 26 170 "iron ion binding" "MF"
"930" "GO:0008152" 2.96222267758592e-05 0.999987356056591 36 489 "metabolic process" "BP"
"1960" "GO:0071949" 8.13345391168182e-05 0.999998827856297 3 8 "FAD binding" "MF"
"1509" "GO:0030170" 8.47956081023648e-05 0.999990142691643 7 69 "pyridoxal phosphate binding" "MF"
"356" "GO:0004553" 8.53777571748323e-05 0.999979913405554 13 131 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"123" "GO:0003824" 0.000149045154618388 0.999924468389945 45 702 "catalytic activity" "MF"
"765" "GO:0006508" 0.000167403546498338 0.999933252886812 26 268 "proteolysis" "BP"
"511" "GO:0005216" 0.000278391855384218 0.99998475598792 4 29 "ion channel activity" "MF"
"1193" "GO:0010333" 0.000296141359717989 0.999966937903363 8 14 "terpene synthase activity" "MF"
"1148" "GO:0009694" 0.000368198345843061 0.999997313361861 2 8 "jasmonic acid metabolic process" "BP"
"1161" "GO:0009864" 0.000368198345843061 0.999997313361861 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1970" "GO:0080123" 0.000368198345843061 0.999997313361861 2 8 "jasmonate-amino synthetase activity" "MF"
"1340" "GO:0016747" 0.000386830949072184 0.999897908285916 13 70 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1480" "GO:0020037" 0.000387842456346101 0.99983651731766 27 181 "heme binding" "MF"
"530" "GO:0005488" 0.000646574959966358 0.99979738298293 14 293 "binding" "MF"
"993" "GO:0008483" 0.0010896054923427 0.999953506494608 3 17 "transaminase activity" "MF"
"951" "GO:0008265" 0.00109661944675037 1 1 1 "Mo-molybdopterin cofactor sulfurase activity" "MF"
"1132" "GO:0009540" 0.00109830226602388 1 1 1 "zeaxanthin epoxidase [overall] activity" "MF"
"1146" "GO:0009688" 0.00109830226602388 1 1 1 "abscisic acid biosynthetic process" "BP"
"534" "GO:0005515" 0.00121908399123371 0.999151602852226 115 2460 "protein binding" "MF"
"357" "GO:0004555" 0.00123984562358401 1 1 1 "alpha,alpha-trehalase activity" "MF"
"622" "GO:0005991" 0.00123984562358401 1 1 1 "trehalose metabolic process" "BP"
"616" "GO:0005975" 0.00130053592759456 0.999481208411054 19 265 "carbohydrate metabolic process" "BP"
"510" "GO:0005215" 0.00152225726079279 0.99944488132003 16 165 "transporter activity" "MF"
"1366" "GO:0016829" 0.00185406406086112 0.999655771925441 8 21 "lyase activity" "MF"
"1402" "GO:0017038" 0.00218753645338744 0.99999880408428 1 2 "protein import" "BP"
"375" "GO:0004591" 0.00218797218804279 0.999998803607543 1 2 "oxoglutarate dehydrogenase (succinyl-transferring) activity" "MF"
"1579" "GO:0031668" 0.00219058873952087 0.999998800742775 1 2 "cellular response to extracellular stimulus" "BP"
"391" "GO:0004630" 0.00219170897545607 0.999998799515221 1 2 "phospholipase D activity" "MF"
"1795" "GO:0046470" 0.00219170897545607 0.999998799515221 1 2 "phosphatidylcholine metabolic process" "BP"
"1920" "GO:0052861" 0.00219474043388002 0.999998796190197 1 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"241" "GO:0004134" 0.00244761010999592 0.999998502623181 1 2 "4-alpha-glucanotransferase activity" "MF"
"1234" "GO:0015846" 0.00248548715249133 1 1 1 "polyamine transport" "BP"
"1465" "GO:0019808" 0.00248548715249133 1 1 1 "polyamine binding" "MF"
"1692" "GO:0042597" 0.00248548715249133 1 1 1 "periplasmic space" "CC"
"1730" "GO:0043531" 0.00254494201288415 0.999282154991416 10 97 "ADP binding" "MF"
"521" "GO:0005345" 0.00258194093595295 1 1 1 "purine nucleobase transmembrane transporter activity" "MF"
"856" "GO:0006863" 0.00258194093595295 1 1 1 "purine nucleobase transport" "BP"
