"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 5.33085528470189e-11 1 51 736 "protein kinase activity" "MF"
"752" "GO:0006468" 5.33085528470189e-11 1 51 736 "protein phosphorylation" "BP"
"536" "GO:0005524" 1.73051217021541e-10 1 82 1473 "ATP binding" "MF"
"1331" "GO:0016705" 3.13771131656887e-08 0.999999992953867 25 130 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1923" "GO:0055085" 9.11204036705403e-08 0.999999975327689 28 320 "transmembrane transport" "BP"
"1823" "GO:0046983" 5.3285277577727e-06 0.999997973360153 38 163 "protein dimerization activity" "MF"
"531" "GO:0005506" 1.73541693626681e-05 0.999994130860695 26 170 "iron ion binding" "MF"
"930" "GO:0008152" 2.71847628602026e-05 0.999988446339664 36 489 "metabolic process" "BP"
"1960" "GO:0071949" 8.0363812591098e-05 0.999998846581521 3 8 "FAD binding" "MF"
"356" "GO:0004553" 8.19400274257827e-05 0.999980802725224 13 131 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1509" "GO:0030170" 8.26741129245496e-05 0.999990428734374 7 69 "pyridoxal phosphate binding" "MF"
"123" "GO:0003824" 0.000135891640484581 0.999931430924328 45 702 "catalytic activity" "MF"
"765" "GO:0006508" 0.000156909476570151 0.999937703943782 26 268 "proteolysis" "BP"
"511" "GO:0005216" 0.00027414957453254 0.999985049296938 4 29 "ion channel activity" "MF"
"1193" "GO:0010333" 0.000288023873113725 0.999967987494955 8 14 "terpene synthase activity" "MF"
"1480" "GO:0020037" 0.000363819116152785 0.999847307569546 27 181 "heme binding" "MF"
"1148" "GO:0009694" 0.000365419975024877 0.999997343818915 2 8 "jasmonic acid metabolic process" "BP"
"1161" "GO:0009864" 0.000365419975024877 0.999997343818915 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1970" "GO:0080123" 0.000365419975024877 0.999997343818915 2 8 "jasmonate-amino synthetase activity" "MF"
"1340" "GO:0016747" 0.000371966368033573 0.999902249052443 13 70 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"530" "GO:0005488" 0.000621644890336708 0.999805984717353 14 293 "binding" "MF"
"534" "GO:0005515" 0.0010520372353687 0.999271318931562 115 2460 "protein binding" "MF"
"993" "GO:0008483" 0.00107697775136349 0.999954232116077 3 17 "transaminase activity" "MF"
"951" "GO:0008265" 0.00109403421760655 1 1 1 "Mo-molybdopterin cofactor sulfurase activity" "MF"
"1132" "GO:0009540" 0.00109501793005496 1 1 1 "zeaxanthin epoxidase [overall] activity" "MF"
"1146" "GO:0009688" 0.00109501793005496 1 1 1 "abscisic acid biosynthetic process" "BP"
