"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"420" "GO:0004672" 2.6210288749893e-07 0.999999942141528 20 716 "protein kinase activity" "MF"
"752" "GO:0006468" 2.6210288749893e-07 0.999999942141528 20 716 "protein phosphorylation" "BP"
"1818" "GO:0046983" 1.16589188948272e-05 0.999997047712465 18 148 "protein dimerization activity" "MF"
"536" "GO:0005524" 2.24961531495327e-05 0.999991266360922 31 1450 "ATP binding" "MF"
"1377" "GO:0016874" 0.000153922811723767 0.999999199770744 2 14 "ligase activity" "MF"
"1918" "GO:0055085" 0.000314047222221651 0.999925145933861 11 315 "transmembrane transport" "BP"
"534" "GO:0005515" 0.000800357160804239 0.999552091932432 51 2427 "protein binding" "MF"
"1626" "GO:0033925" 0.000977291759288941 1 1 1 "mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity" "MF"
"1381" "GO:0016884" 0.00105930377399865 1 1 1 "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" "MF"
"97" "GO:0003676" 0.00118364978162711 0.99945282848987 27 618 "nucleic acid binding" "MF"
"1026" "GO:0008763" 0.00126445928955215 1 1 1 "UDP-N-acetylmuramate-L-alanine ligase activity" "MF"
"342" "GO:0004506" 0.00145610805317412 0.999972181190759 3 4 "squalene monooxygenase activity" "MF"
"900" "GO:0007094" 0.00202594118802018 0.999970690949593 2 5 "mitotic spindle assembly checkpoint" "BP"
"913" "GO:0008033" 0.00242086478890702 0.999684698314923 5 26 "tRNA processing" "BP"
"1336" "GO:0016747" 0.00262368659335869 0.999725374609092 4 61 "transferase activity, transferring acyl groups other than amino-acyl groups" "MF"
"1012" "GO:0008661" 0.00292916563393059 0.999997146839227 1 3 "1-deoxy-D-xylulose-5-phosphate synthase activity" "MF"
"191" "GO:0003997" 0.00292949598700797 0.999997146195206 1 3 "acyl-CoA oxidase activity" "MF"
"221" "GO:0004072" 0.00308276913324786 0.999996839540642 1 3 "aspartate kinase activity" "MF"
"1327" "GO:0016705" 0.00339026676800324 0.999476593432687 5 116 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"929" "GO:0008152" 0.00349766384447791 0.998693257537846 14 480 "metabolic process" "BP"
"21" "GO:0000159" 0.0037985111329309 0.999900887282005 2 13 "protein phosphatase type 2A complex" "CC"
"808" "GO:0006635" 0.00487745865642902 0.999990500721331 1 5 "fatty acid beta-oxidation" "BP"
"1226" "GO:0015743" 0.00568021038927891 0.999989257587055 1 3 "malate transport" "BP"
"952" "GO:0008271" 0.00684743452340512 0.999979927091625 1 7 "secondary active sulfate transmembrane transporter activity" "MF"
"953" "GO:0008272" 0.00684743452340512 0.999979927091625 1 7 "sulfate transport" "BP"
"1208" "GO:0015116" 0.00684743452340512 0.999979927091625 1 7 "sulfate transmembrane transporter activity" "MF"
"1096" "GO:0009252" 0.00699831627349028 0.999987758124514 1 2 "peptidoglycan biosynthetic process" "BP"
"1863" "GO:0050660" 0.00720826016175927 0.998423527480136 6 79 "flavin adenine dinucleotide binding" "MF"
"1466" "GO:0019888" 0.0095797901739623 0.999593030210172 2 14 "protein phosphatase regulator activity" "MF"
"1961" "GO:0080019" 0.0118253944311128 0.999953312314882 1 3 "fatty-acyl-CoA reductase (alcohol-forming) activity" "MF"
"1369" "GO:0016846" 0.0118612942662291 0.999964747300049 1 2 "carbon-sulfur lyase activity" "MF"
"190" "GO:0003995" 0.0133777304534534 0.999370577982229 2 9 "acyl-CoA dehydrogenase activity" "MF"
"530" "GO:0005488" 0.0138877230072048 0.996411299054038 6 291 "binding" "MF"
"1808" "GO:0046872" 0.0156121513994097 0.99307302950735 14 324 "metal ion binding" "MF"
"977" "GO:0008417" 0.0171624977126235 0.999901422692621 1 3 "fucosyltransferase activity" "MF"
"24" "GO:0000165" 0.0190463220678407 0.997901471566558 3 11 "MAPK cascade" "BP"
"79" "GO:0000977" 0.0190463220678407 0.997901471566558 3 11 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"1777" "GO:0045944" 0.0196054138563332 0.997772233109415 3 12 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"213" "GO:0004048" 0.0216540860423896 0.999881921887414 1 2 "anthranilate phosphoribosyltransferase activity" "MF"
"1274" "GO:0016301" 0.0269663227827573 0.997859635973099 2 46 "kinase activity" "MF"
"1010" "GO:0008652" 0.0291528648023892 0.999625418824034 1 8 "cellular amino acid biosynthetic process" "BP"
"1165" "GO:0009916" 0.0325097207524385 0.999732372196476 1 2 "alternative oxidase activity" "MF"
"226" "GO:0004084" 0.0334808225420296 0.999622055017689 1 3 "branched-chain-amino-acid transaminase activity" "MF"
