"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"106" "GO:0003700" 0.000641791181168706 0.999836440868198 11 263 "transcription factor activity, sequence-specific DNA binding" "MF"
"1962" "GO:0080019" 0.00125773649220104 0.999987761949652 2 4 "fatty-acyl-CoA reductase (alcohol-forming) activity" "MF"
"22" "GO:0000160" 0.00170301869956262 0.999845405436278 4 44 "phosphorelay signal transduction system" "BP"
"1730" "GO:0043565" 0.0018277356709121 0.999591174397238 8 168 "sequence-specific DNA binding" "MF"
"356" "GO:0004553" 0.00184046762520899 0.999693462866923 6 128 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1819" "GO:0046983" 0.00222323501397267 0.999487787281444 8 155 "protein dimerization activity" "MF"
"491" "GO:0004867" 0.00861917069352313 0.999228597106484 3 19 "serine-type endopeptidase inhibitor activity" "MF"
"967" "GO:0008356" 0.00964835879357203 1 1 1 "asymmetric cell division" "BP"
"1167" "GO:0009956" 0.00964835879357203 1 1 1 "radial pattern formation" "BP"
"1842" "GO:0048366" 0.00964835879357203 1 1 1 "leaf development" "BP"
"623" "GO:0005992" 0.010433410212309 0.999531676794912 2 16 "trehalose biosynthetic process" "BP"
"930" "GO:0008168" 0.0123860265419337 0.99741304037147 5 120 "methyltransferase activity" "MF"
"1341" "GO:0016760" 0.0131574887013172 0.999322205956046 2 19 "cellulose synthase (UDP-forming) activity" "MF"
"699" "GO:0006355" 0.0137997589337589 0.994229257891628 13 520 "regulation of transcription, DNA-templated" "BP"
"279" "GO:0004349" 0.0175850514240641 0.999922540265414 1 2 "glutamate 5-kinase activity" "MF"
"280" "GO:0004350" 0.0175850514240641 0.999922540265414 1 2 "glutamate-5-semialdehyde dehydrogenase activity" "MF"
"1168" "GO:0009958" 0.0186033589775347 0.999913264444036 1 2 "positive gravitropism" "BP"
"616" "GO:0005975" 0.0193490981693423 0.994038249277861 7 259 "carbohydrate metabolic process" "BP"
