"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"491" "GO:0004867" 1.00942665468911e-06 0.999999979270582 5 14 "serine-type endopeptidase inhibitor activity" "MF"
"490" "GO:0004866" 1.24923528883526e-06 0.999999988628654 4 8 "endopeptidase inhibitor activity" "MF"
"1946" "GO:0071446" 9.12456246122306e-06 0.999999956396897 3 5 "cellular response to salicylic acid stimulus" "BP"
"1985" "GO:2000031" 9.12456246122306e-06 0.999999956396897 3 5 "regulation of salicylic acid mediated signaling pathway" "BP"
"1337" "GO:0016758" 2.77448113090909e-05 0.999997949228157 6 107 "transferase activity, transferring hexosyl groups" "MF"
"1136" "GO:0009611" 3.25733268524162e-05 0.999999073215976 4 18 "response to wounding" "BP"
"943" "GO:0008235" 5.01834955533254e-05 0.999999371856489 3 9 "metalloexopeptidase activity" "MF"
"1560" "GO:0031347" 0.000115389412214469 0.999997916409266 3 12 "regulation of defense response" "BP"
"1447" "GO:0019538" 0.000117673696151275 0.999997683241335 3 19 "protein metabolic process" "BP"
"257" "GO:0004177" 0.000151658992949959 0.999996895376023 3 14 "aminopeptidase activity" "MF"
"1496" "GO:0030145" 0.000469228781851549 0.999985521072847 3 16 "manganese ion binding" "MF"
"1459" "GO:0019825" 0.00101879026396998 0.999991177057783 2 4 "oxygen binding" "MF"
"930" "GO:0008152" 0.00459134861728877 0.998817905171724 8 478 "metabolic process" "BP"
"1775" "GO:0045910" 0.00485897063983892 0.999994160376103 1 2 "negative regulation of DNA recombination" "BP"
"692" "GO:0006334" 0.00763758085516453 0.999318955619663 3 35 "nucleosome assembly" "BP"
"448" "GO:0004794" 0.00860115229556787 0.999981666854939 1 2 "L-threonine ammonia-lyase activity" "MF"
"360" "GO:0004560" 0.0091463139602658 0.999979263443617 1 2 "alpha-L-fucosidase activity" "MF"
"69" "GO:0000786" 0.00970117721863047 0.998559147792598 4 64 "nucleosome" "CC"
"230" "GO:0004097" 0.00994212814874153 0.999967335648984 1 3 "catechol oxidase activity" "MF"
"1779" "GO:0046148" 0.00994212814874153 0.999967335648984 1 3 "pigment biosynthetic process" "BP"
"1077" "GO:0009097" 0.0141835660096402 0.999933392543966 1 3 "isoleucine biosynthetic process" "BP"
"566" "GO:0005737" 0.0157586732682415 0.99652531784227 5 232 "cytoplasm" "CC"
