"category" "over_represented_pvalue" "under_represented_pvalue" "numDEInCat" "numInCat" "term" "ontology"
"1334" "GO:0016705" 4.20208900103445e-10 0.999999999924422 31 138 "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" "MF"
"1927" "GO:0055085" 4.55430051323673e-10 1 34 327 "transmembrane transport" "BP"
"421" "GO:0004672" 1.32708576145574e-08 1 42 735 "protein kinase activity" "MF"
"754" "GO:0006468" 1.32708576145574e-08 1 42 735 "protein phosphorylation" "BP"
"532" "GO:0005506" 2.05282793213716e-07 0.999999938250083 32 178 "iron ion binding" "MF"
"1826" "GO:0046983" 2.69505564768607e-07 0.999999908111694 40 167 "protein dimerization activity" "MF"
"1482" "GO:0020037" 5.29382500476895e-07 0.999999818590718 37 193 "heme binding" "MF"
"1924" "GO:0052861" 7.57565508924103e-07 1 2 2 "glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group" "MF"
"537" "GO:0005524" 4.19138669780563e-06 0.999998010633808 65 1477 "ATP binding" "MF"
"767" "GO:0006508" 1.27528818708565e-05 0.999995401199126 29 273 "proteolysis" "BP"
"830" "GO:0006754" 1.3825526243061e-05 0.99999998375326 2 5 "ATP biosynthetic process" "BP"
"511" "GO:0005215" 8.16123388536808e-05 0.999973678202909 20 170 "transporter activity" "MF"
"857" "GO:0006855" 0.000127703562263644 0.999984722667357 7 43 "drug transmembrane transport" "BP"
"1219" "GO:0015238" 0.000127703562263644 0.999984722667357 7 43 "drug transmembrane transporter activity" "MF"
"1221" "GO:0015297" 0.000127703562263644 0.999984722667357 7 43 "antiporter activity" "MF"
"1346" "GO:0016758" 0.000209246805521725 0.999943390252024 14 114 "transferase activity, transferring hexosyl groups" "MF"
"1928" "GO:0055114" 0.000251134521735602 0.999850643736276 73 812 "oxidation-reduction process" "BP"
"1151" "GO:0009694" 0.000272650316113169 0.999998290340541 2 8 "jasmonic acid metabolic process" "BP"
"1164" "GO:0009864" 0.000272650316113169 0.999998290340541 2 8 "induced systemic resistance, jasmonic acid mediated signaling pathway" "BP"
"1974" "GO:0080123" 0.000272650316113169 0.999998290340541 2 8 "jasmonate-amino synthetase activity" "MF"
"618" "GO:0005975" 0.000286519959841167 0.999893640392205 21 269 "carbohydrate metabolic process" "BP"
"933" "GO:0008152" 0.000354651231080332 0.999837398332639 31 491 "metabolic process" "BP"
"357" "GO:0004553" 0.00053836731038656 0.999855200429792 12 133 "hydrolase activity, hydrolyzing O-glycosyl compounds" "MF"
"1850" "GO:0048476" 0.000871335870872414 1 1 1 "Holliday junction resolvase complex" "CC"
"1196" "GO:0010333" 0.00103934726937931 0.999866517096079 7 14 "terpene synthase activity" "MF"
"123" "GO:0003824" 0.00115924563992704 0.999363712789937 42 712 "catalytic activity" "MF"
"932" "GO:0008146" 0.00142910500301105 0.999839500613921 6 12 "sulfotransferase activity" "MF"
"858" "GO:0006857" 0.00154176036430669 0.999922702113068 3 24 "oligopeptide transport" "BP"
"1484" "GO:0022857" 0.00169657843518546 0.999636622549738 8 54 "transmembrane transporter activity" "MF"
"241" "GO:0004134" 0.00196687203229111 0.99999903342007 1 2 "4-alpha-glucanotransferase activity" "MF"
"1806" "GO:0046577" 0.00260992501255799 0.999997730358286 1 3 "long-chain-alcohol oxidase activity" "MF"
"850" "GO:0006817" 0.00297847827575279 0.999997782340584 1 2 "phosphate ion transport" "BP"
"1534" "GO:0030599" 0.00381328360757878 0.999466850661084 5 20 "pectinesterase activity" "MF"
"1688" "GO:0042545" 0.00381328360757878 0.999466850661084 5 20 "cell wall modification" "BP"
"1652" "GO:0035091" 0.0041155116739189 0.999767196612843 3 8 "phosphatidylinositol binding" "MF"
"1176" "GO:0009976" 0.00430790779355389 1 1 1 "tocopherol cyclase activity" "MF"
"24" "GO:0000165" 0.00444364187790751 0.999116152005047 8 17 "MAPK cascade" "BP"
"79" "GO:0000977" 0.00444364187790751 0.999116152005047 8 17 "RNA polymerase II regulatory region sequence-specific DNA binding" "MF"
"1369" "GO:0016829" 0.00444591605566037 0.999122357330723 7 21 "lyase activity" "MF"
"1785" "GO:0045944" 0.00491493871303102 0.998979175785277 8 18 "positive regulation of transcription from RNA polymerase II promoter" "BP"
"1732" "GO:0043531" 0.00592816483583714 0.998552424229661 7 94 "ADP binding" "MF"
"1485" "GO:0022891" 0.00670397795090245 0.999123828748446 4 29 "substrate-specific transmembrane transporter activity" "MF"
"1576" "GO:0031461" 0.00721443922971938 0.999977202860052 1 8 "cullin-RING ubiquitin ligase complex" "CC"
"260" "GO:0004190" 0.00755445498090836 0.997894946578723 8 67 "aspartic-type endopeptidase activity" "MF"
"1305" "GO:0016571" 0.00867064374378955 0.999966114052798 1 10 "histone methylation" "BP"
"259" "GO:0004185" 0.00991618602323274 0.997778278477782 6 36 "serine-type carboxypeptidase activity" "MF"
"413" "GO:0004655" 0.0135487180603367 1 1 1 "porphobilinogen synthase activity" "MF"
"1389" "GO:0016887" 0.0141806365219753 0.995916120990267 7 91 "ATPase activity" "MF"
"276" "GO:0004335" 0.0150876468358645 0.999942746705684 1 2 "galactokinase activity" "MF"
"1222" "GO:0015299" 0.0171421515539925 0.997170942032242 4 20 "solute:proton antiporter activity" "MF"
"515" "GO:0005249" 0.0193539100695538 0.99805082862845 3 8 "voltage-gated potassium channel activity" "MF"
"1511" "GO:0030170" 0.0195687726571985 0.995424770081566 5 71 "pyridoxal phosphate binding" "MF"
"1518" "GO:0030246" 0.026260337499166 0.992393525017301 6 66 "carbohydrate binding" "MF"
"1426" "GO:0019001" 0.0290983436437368 0.999643700349543 1 6 "guanyl nucleotide binding" "MF"
"1582" "GO:0031683" 0.0290983436437368 0.999643700349543 1 6 "G-protein beta/gamma-subunit complex binding" "MF"
"546" "GO:0005618" 0.0294614411170353 0.992692892720301 5 32 "cell wall" "CC"
"1257" "GO:0016020" 0.0306646049705716 0.979272848462362 44 673 "membrane" "CC"
"962" "GO:0008289" 0.0312861380845821 0.989826094599956 7 44 "lipid binding" "MF"
"596" "GO:0005819" 0.031579049478057 0.997642963262906 2 9 "spindle" "CC"
"1590" "GO:0032147" 0.031579049478057 0.997642963262906 2 9 "activation of protein kinase activity" "BP"
"1929" "GO:0060236" 0.031579049478057 0.997642963262906 2 9 "regulation of mitotic spindle organization" "BP"
"1437" "GO:0019239" 0.0323249666932371 0.999647145545628 1 3 "deaminase activity" "MF"
"334" "GO:0004479" 0.0327452790446263 1 1 1 "methionyl-tRNA formyltransferase activity" "MF"
