"ITAG","cluster"
"Solyc00g069887",3
"Solyc00g009145",5
"Solyc00g183555",5
"Solyc00g212265",5
"Solyc00g005092",5
"Solyc00g005098",5
"Solyc00g005445",5
"Solyc00g006490",5
"Solyc00g006568",5
"Solyc00g006655",5
"Solyc00g006687",5
"Solyc00g008165",5
"Solyc00g009040",6
"Solyc00g009110",5
"Solyc00g009146",5
"Solyc00g009148",5
"Solyc06g024330",6
"Solyc00g012640",5
"Solyc00g013181",5
"Solyc00g013183",5
"Solyc00g013184",5
"Solyc00g013186",5
"Solyc00g014290",5
"Solyc00g014830",5
"Solyc00g014980",5
"Solyc00g021655",5
"Solyc00g024695",5
"Solyc00g030105",5
"Solyc00g032945",5
"Solyc00g044750",5
"Solyc00g052430",5
"Solyc00g056680",5
"Solyc00g071180",5
"Solyc00g075035",5
"Solyc00g085070",2
"Solyc00g090115",5
"Solyc00g100885",5
"Solyc00g102400",5
"Solyc00g110375",5
"Solyc00g117657",5
"Solyc00g128875",5
"Solyc00g143777",5
"Solyc00g147573",5
"Solyc00g160785",5
"Solyc00g167805",5
"Solyc00g170515",5
"Solyc00g174345",5
"Solyc00g222067",5
"Solyc00g230080",5
"Solyc00g247305",5
"Solyc00g294233",5
"Solyc00g304030",5
"Solyc00g304035",5
"Solyc00g005040",5
"Solyc00g005890",5
"Solyc00g005907",5
"Solyc00g006595",5
"Solyc00g006680",3
"Solyc00g006867",2
"Solyc00g006903",5
"Solyc00g008000",5
"Solyc00g008055",5
"Solyc00g008570",3
"Solyc00g008580",3
"Solyc00g008800",6
"Solyc00g008910",6
"Solyc00g008915",5
"Solyc00g009030",6
"Solyc00g009050",2
"Solyc00g009060",3
"Solyc00g009070",2
"Solyc00g009090",3
"Solyc00g009141",5
"Solyc00g009142",5
"Solyc00g009143",5
"Solyc00g009144",5
"Solyc00g009650",5
"Solyc00g009760",6
"Solyc00g009765",3
"Solyc00g010410",3
"Solyc00g010420",3
"Solyc00g010520",3
"Solyc00g010525",6
"Solyc00g010530",6
"Solyc00g010750",6
"Solyc00g010755",3
"Solyc00g010780",3
"Solyc00g010930",3
"Solyc00g011150",3
"Solyc00g011160",3
"Solyc00g011170",6
"Solyc00g011175",5
"Solyc03g043580",6
"Solyc00g011670",6
"Solyc00g011673",6
"Solyc00g011677",6
"Solyc00g011870",6
"Solyc00g011880",2
"Solyc00g011895",5
"Solyc00g012430",6
"Solyc00g012435",5
"Solyc00g012440",6
"Solyc00g012540",5
"Solyc00g012650",5
"Solyc00g012660",5
"Solyc00g012670",5
"Solyc00g012680",5
"Solyc00g012690",5
"Solyc00g012700",5
"Solyc00g012702",5
"Solyc00g012704",5
"Solyc00g012706",5
"Solyc00g012708",5
"Solyc00g013110",5
"Solyc00g013120",5
"Solyc00g013130",5
"Solyc00g013133",5
"Solyc00g013137",5
"Solyc00g013150",5
"Solyc00g013155",5
"Solyc00g013160",5
"Solyc00g013170",5
"Solyc00g013180",5
"Solyc00g013182",5
"Solyc00g013185",5
"Solyc00g013188",5
"Solyc00g014170",5
"Solyc00g014180",5
"Solyc00g014190",5
"Solyc00g014390",5
"Solyc00g014395",5
"Solyc00g014990",5
"Solyc00g014995",5
"Solyc00g015000",5
"Solyc00g015600",5
"Solyc00g015720",5
"Solyc00g015730",5
"Solyc00g015733",5
"Solyc00g015735",5
"Solyc00g015737",5
"Solyc00g016915",5
"Solyc00g017235",5
"Solyc00g017933",5
"Solyc00g018970",3
"Solyc00g102000",6
"Solyc00g022107",5
"Solyc00g026160",3
"Solyc00g026165",5
"Solyc00g026907",5
"Solyc00g030000",5
"Solyc00g030215",5
"Solyc00g030520",5
"Solyc00g032943",5
"Solyc00g036964",5
"Solyc00g042852",5
"Solyc00g044350",6
"Solyc00g044755",2
"Solyc00g050430",1
"Solyc00g055985",5
"Solyc00g056180",4
"Solyc00g057280",4
"Solyc00g057885",4
"Solyc00g058480",5
"Solyc00g058900",4
"Solyc00g059500",4
"Solyc00g059503",4
"Solyc00g059505",4
"Solyc00g059507",4
"Solyc00g060700",4
"Solyc00g060710",4
"Solyc00g060810",4
"Solyc00g066155",6
"Solyc00g068980",3
"Solyc00g068985",5
"Solyc00g069680",5
"Solyc01g058600",5
"Solyc00g069880",5
"Solyc00g069883",5
"Solyc00g071580",5
"Solyc00g071590",5
"Solyc00g071600",5
"Solyc00g072100",2
"Solyc00g072400",5
"Solyc00g072405",5
"Solyc00g072800",5
"Solyc00g072805",5
"Solyc00g073900",3
"Solyc00g084650",2
"Solyc06g024210",6
"Solyc00g090110",6
"Solyc00g090130",6
"Solyc00g090430",5
"Solyc00g090640",5
"Solyc00g090650",5
"Solyc00g090660",5
"Solyc00g090860",5
"Solyc00g090870",5
"Solyc00g092870",5
"Solyc00g092880",5
"Solyc00g092890",5
"Solyc00g092900",5
"Solyc00g093000",5
"Solyc00g093100",5
"Solyc00g094010",5
"Solyc00g094020",5
"Solyc00g094520",5
"Solyc00g094530",5
"Solyc00g094540",5
"Solyc00g094550",5
"Solyc00g095450",5
"Solyc00g095460",5
"Solyc00g095465",5
"Solyc00g095860",5
"Solyc00g096060",5
"Solyc00g096460",5
"Solyc00g097960",5
"Solyc00g098560",5
"Solyc00g099580",3
"Solyc00g101700",5
"Solyc00g110870",2
"Solyc00g111175",5
"Solyc00g125275",5
"Solyc00g127870",5
"Solyc00g129685",5
"Solyc00g141565",5
"Solyc00g145170",3
"Solyc00g170200",5
"Solyc00g170210",5
"Solyc00g170510",5
"Solyc00g171710",5
"Solyc00g171810",5
"Solyc00g172410",5
"Solyc00g173430",5
"Solyc00g174340",5
"Solyc00g178340",5
"Solyc00g179240",5
"Solyc00g180440",5
"Solyc00g180840",5
"Solyc00g181240",5
"Solyc00g181250",5
"Solyc00g183050",5
"Solyc00g183055",5
"Solyc00g183550",5
"Solyc00g187050",5
"Solyc00g213960",5
"Solyc00g215560",5
"Solyc00g215565",5
"Solyc00g217560",5
"Solyc00g217960",5
"Solyc00g218560",5
"Solyc00g222060",5
"Solyc00g222063",5
"Solyc00g222065",5
"Solyc00g226760",5
"Solyc00g227860",5
"Solyc00g227960",5
"Solyc00g230060",5
"Solyc00g230070",5
"Solyc00g230280",5
"Solyc00g231680",5
"Solyc00g231780",5
"Solyc00g233480",5
"Solyc00g237680",5
"Solyc00g240580",5
"Solyc00g244280",5
"Solyc00g244290",5
"Solyc00g244300",5
"Solyc00g244305",5
"Solyc00g247300",5
"Solyc00g273110",1
"Solyc00g277510",5
"Solyc00g278110",2
"Solyc00g280110",1
"Solyc00g281110",5
"Solyc00g282510",3
"Solyc00g289230",5
"Solyc00g294237",5
"Solyc00g300730",5
"Solyc00g311230",6
"Solyc00g322635",1
"Solyc01g006440",5
