	genotype	gene	Ambr	Aother	Bmbr	Bother	Cmbr	Cother	Ambr	Aother	Bmbr	Bother	Cmbr	Cother	PC1	PC2	PC3	PC4	PC5	PC6	ssom$unit.classif	ssom$distances	ssom$unit.classif	ssom$distances
1	tf2	Solyc00g005040	31.61455756	9.196071067	64.50561027	27.0985526	44.26760022	23.42124861	-0.091145298	-1.268150932	1.635686454	-0.328242628	0.573159247	-0.521306844	1.620451781	0.179137411	-0.232280101	-1.031039628	-0.648570993	-1.67E-16	14	0.668303602	22	0.743352657
2	tf2	Solyc00g005092	139.605595	73.222848	342.1589582	120.2433103	247.5334191	89.2892908	-0.277375165	-0.910775273	1.655315599	-0.462123067	0.752433007	-0.7574751	1.794184167	0.193171708	0.064905724	-1.074628112	-0.263832832	4.44E-16	14	0.263048685	22	0.357549708
3	tf2	Solyc00g005098	6.786020957	9.833111423	777.4834624	5.696809465	2.922127409	1.860771617	-0.403897251	-0.394230285	2.041158602	-0.4073528	-0.416155545	-0.419522721	1.883497639	-0.338837563	-0.255563333	0.148808118	-0.108898018	-1.67E-16	13	0.015792773	6	0.040542445
4	tf2	Solyc00g005445	33.0440568	33.64883296	918.491065	34.411568	47.91158559	14.89016552	-0.407349361	-0.405677518	2.040379431	-0.403569014	-0.366249579	-0.457533959	1.904708921	-0.317710258	-0.22295209	0.102835235	-0.113376777	-2.78E-16	13	0.008113509	6	0.026150772
5	tf2	Solyc00g005890	10.72645985	19.32738617	285.0330091	6.253422793	13.95869793	2.25790501	-0.405702549	-0.329067665	2.038388915	-0.445557637	-0.376903071	-0.481157993	1.92078026	-0.296566944	-0.206685224	0.138573852	-0.03551027	-2.78E-16	7	0.02800641	12	0.032291323
6	tf2	Solyc00g005907	0.971875738	3.645093125	174.2054885	1.94488783	6.739567816	1.676003196	-0.437008734	-0.398779923	2.040348746	-0.423094005	-0.354526848	-0.426939236	1.892844914	-0.350351375	-0.234064296	0.085476104	-0.0859738	-3.89E-16	7	0.038854743	12	0.036905934
7	tf2	Solyc00g006490	372.7086985	301.1119382	966.8572445	295.5887364	288.4984984	328.8110414	-0.198114057	-0.466312986	2.02754536	-0.487002705	-0.513562485	-0.362553127	1.842020342	-0.197571976	-0.450913368	0.217333934	-0.156563074	-1.11E-16	31	0.544790212	4	0.676484476
8	tf2	Solyc00g006568	132.4236434	199.7635272	4427.719587	171.7393225	168.800115	69.30410072	-0.417258512	-0.378725756	2.040565596	-0.39476157	-0.396443423	-0.453376334	1.900378688	-0.332707837	-0.214533615	0.140362723	-0.102970667	-2.78E-16	13	0.015286688	6	0.035946708
9	tf2	Solyc00g006595	6.194691566	3.808515674	48.07513718	3.602756979	4.304419177	2.567244025	-0.290692554	-0.423300883	2.036753607	-0.43473563	-0.395741752	-0.492282788	1.91910617	-0.205926676	-0.275425399	0.135822331	-0.134274647	-1.11E-16	31	0.189919644	4	0.051862459
10	tf2	Solyc00g006655	0.180435307	1.284921129	40.98165164	0.644659104	2.546638915	0.991325526	-0.466027227	-0.398222071	2.038787947	-0.437528204	-0.320764335	-0.41624611	1.890439177	-0.370779451	-0.228149039	0.048368627	-0.064239779	-5.00E-16	13	0.017253238	6	0.011132317
