"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g007100"	2.1650978868771	2.57003565065735	1.04843791680588e-05	0.00119237070450976	"Serine/threonine protein kinase (AHRD V1 **** Q2U105_ASPOR); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "	"AT4G35500"	NA	"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT2G17530.1); similar to SRPK4 [Oryza sativa] (GB:AAL58968.1); similar to Os09g0552300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063873.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"	72.2	428	6e-179	623	94.65478842
"Solyc00g008580"	1.25423221015523	7.43101767841258	0.000742415338851459	0.0265000718681714	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009145"	-2.96299051204493	3.00376537927908	6.54943298885682e-12	1.03018214626059e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430"	1.21675128006913	7.16254212845356	0.001138427572223	0.034173104502582	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013120"	-2.65726340663753	2.74112634276998	1.57724768607562e-09	1.25123786986075e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160"	1.88119892549314	3.62425553298378	2.65305064790956e-05	0.00242620453437124	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g059500"	1.75783175117261	2.59957897264003	0.000149859752337921	0.00877367492967969	"CDP-alcohol phosphatidyltransferase (AHRD V1 **-- D3BS60_POLPA)"	"AT1G13560"	"AAPT1"	"Encodes aminoalcoholphosphotransferase AAPT1."	87.1	93	9e-44	171	94.84536082
"Solyc00g068980"	1.18464584821885	7.5606349208238	0.00113407769373875	0.034094879514593	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100"	1.85814654698609	2.9725558555212	0.000158691408395113	0.00915443787206428	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g075035"	1.74264432257319	2.80067116122999	2.31549569128425e-05	0.00220615523594769	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g117653"	1.51184386069534	4.34101426880306	0.000240762458587835	0.0122955615755874	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g117657"	1.66969531961784	5.29286382062155	6.36414133606948e-06	0.000802970859268574	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g145170"	2.25003734153781	3.56842570833936	4.11401818392268e-07	8.98760602143257e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g174345"	-1.26321968997017	3.98573278058418	0.000984690298960751	0.0311849435082953	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g183555"	-1.28865763666319	4.59063887134684	0.00055951325189726	0.0224378365289465	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g187050"	2.98785576062777	4.85145979923438	1.15318438371469e-12	2.72082323493643e-09	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g188857"	1.64492428770891	4.30479064050368	0.000179248151263298	0.0098485219783481	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g222067"	-1.153241731401	4.8955364060074	0.00162353436366972	0.0425660897431063	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g244305"	-1.4255334858774	4.67802705910177	0.000113622078039283	0.00713785060716558	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g247300"	-1.95987763956598	2.29548788344195	2.68554591158826e-05	0.00243702962453898	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g247305"	-1.55021960999266	4.46531449315969	3.34213037362608e-05	0.00286148753518897	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g268310"	-1.17472666510859	6.22726179189692	0.000889168317028563	0.0292076223021717	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g273110"	2.08769192326109	2.71636942220429	0.000127340937054834	0.00768409736284335	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g311230"	-1.33861371870225	3.71027779060884	0.000522474028944863	0.0213274260189016	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g322635"	2.05352714150025	3.8255429882032	6.09652969731951e-07	0.000120875228301308	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005000"	2.11671340031968	2.15486790241084	0.000116756936674798	0.00727225507445455	"Glutamate decarboxylase (AHRD V1 ***- Q1I1D8_CITSI); contains Interpro domain(s)  IPR010107  Glutamate decarboxylase "	"AT2G02010"	"GAD4"	"glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"	82.42	495	0	816	99.58762887
"Solyc01g005560"	-1.31178697098122	7.82633232235276	0.000170922735449216	0.00962359487092248	"Isocitrate dehydrogenase (AHRD V1 ***- D2D324_GOSHI); contains Interpro domain(s)  IPR004790  Isocitrate dehydrogenase NADP-dependent, eukaryotic "	"AT1G65930"	"cICDH"	"isocitrate dehydrogenase, putative / NADP+ isocitrate dehydrogenase, putative; similar to ICDH (ICDH), isocitrate dehydrogenase (NADP+) [Arabidopsis thaliana] (TAIR:AT1G54340.1); similar to isocitrate dehydrogenase, putative / NADP+ isocitrate dehydrogenase, putative [Arabidopsis thaliana] (TAIR:AT5G14590.1); similar to NADP specific isocitrate dehydrogenase [Daucus carota] (GB:BAA34112.1); similar to NADP-dependent isocitrate dehydrogenase [Prunus persica] (GB:AAL11503.1); similar to isocitrate dehydrogenase (NADP+) [Apium graveolens] (GB:CAA73139.1); contains InterPro domain Isocitrate dehydrogenase NADP-dependent, eukaryotic; (InterPro:IPR004790); contains InterPro domain Isocitrate/isopropylmalate dehydrogenase; (InterPro:IPR001804)"	88.64	405	0	758	97.11538462
"Solyc01g006540"	-1.44644832821402	3.20845257805541	0.000245742274219603	0.0124155101026495	"Lipoxygenase (AHRD V1 **** Q96573_SOLLC); contains Interpro domain(s)  IPR001246  Lipoxygenase, plant "	"AT3G45140"	"ATLOX2"	"Chloroplast lipoxygenase required for wound-induced jasmonic acid accumulation in Arabidopsis.Mutants are resistant to Staphylococcus aureus and accumulate salicylic acid upon infection."	60.33	799	0	996	88.51727982
"Solyc01g007140"	-1.16783550784581	4.87774657430591	0.00125757749085618	0.0362357948776056	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007870"	-1.51502096330161	4.46600236465071	3.69391818513102e-05	0.00303785272351167	"Cyclin B-like protein (AHRD V1 *-*- Q5U8T5_9SOLA)"	"AT3G11600"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06270.1); similar to H0913C04.5 [Oryza sativa (indica cultivar-group)] (GB:CAJ86164.1); similar to Os04g0415000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052757.1); similar to Os02g0536500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047044.1)"	56.52	115	4e-24	106	89.76377953
