"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g009145"	2.17271177673069	3.28364160868647	1.58441673863992e-05	0.011122957251254	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013120"	2.62827200811411	2.87816763528247	1.52973634209442e-06	0.00183729385929446	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g099580"	-1.64977321628862	5.91588163367404	0.000144388759529547	0.0477529201806414	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g117657"	-2.17678790824431	5.44060448028887	5.99629158305684e-07	0.000914446727885554	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005060"	2.306282082865	2.47633207841842	2.01014054810066e-05	0.0123976776507181	"Zinc finger protein (AHRD V1 *-*- Q764N7_MALDO); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type "	"AT2G01940"	"ATIDD15"	"May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells."	55.61	374	4e-109	391	88.52941176
"Solyc01g007260"	2.10232653262187	3.14477126890636	2.63057085347063e-05	0.0153922120195384	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g058100"	2.19406865041263	4.23163330229647	6.06006936895482e-06	0.00476864768963962	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g058400"	-1.94002091398925	3.95263504624405	6.87722672615876e-06	0.0052312771296981	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g065985"	-2.76645687746009	3.65259680857472	4.31057489027613e-09	2.45918297490253e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g080770"	2.34978331461644	3.9143233967477	2.13792718470326e-06	0.00243937491774642	"Receptor like kinase, RLK"	"AT4G20270"	"BAM3"	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."	62.56	967	0	1149	96.77419355
"Solyc01g098240"	1.91177851212299	6.16793130548495	3.70660211379978e-05	0.018796591163758	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g105897"	-2.20821388778932	8.52554985819504	3.29042603238952e-07	0.000682613836901171	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc02g005187"	-1.71651430862138	7.86010050396956	6.17547156323562e-05	0.0265894832213277	NA	NA	NA	NA	NA	NA	NA	NA	NA
