Solyc00g005000.3.1	GO:0004190|GO:0006508
Solyc00g005285.1.1	GO:0008168
Solyc00g005285.1.1	GO:0008171
Solyc00g005440.2.1	GO:0003723
Solyc00g005460.2.1	GO:0003723
Solyc00g005840.3.1	GO:0045454
Solyc00g005900.2.1	GO:0005509|GO:0009523|GO:0009654|GO:0015979|GO:0019898|GO:0042549
Solyc00g005900.2.1	GO:0016021
Solyc00g006480.1.1	GO:0008152|GO:0016758
Solyc00g006483.1.1	GO:0003677
Solyc00g006490.3.1	GO:0005488
Solyc00g006550.1.1	GO:0008152|GO:0016758
Solyc00g006560.1.1	GO:0008152|GO:0016758
Solyc00g006800.3.1	GO:0003824
Solyc00g006800.3.1	GO:0004801|GO:0005737|GO:0006098
Solyc00g006800.3.1	GO:0005975
Solyc00g006820.3.1	GO:0005215|GO:0006810|GO:0016020
Solyc00g006820.3.1	GO:0005215|GO:0006857|GO:0016020
Solyc00g007010.3.1	GO:0042578
Solyc00g007010.3.1	GO:0052866
Solyc00g007030.2.1	GO:0005515
Solyc00g007040.2.1	GO:0005515
Solyc00g007060.3.1	GO:0004672|GO:0005524|GO:0006468
Solyc00g007060.3.1	GO:0004672|GO:0006468
Solyc00g007060.3.1	GO:0005524
Solyc00g007070.3.1	GO:0000166
Solyc00g007070.3.1	GO:0003676
Solyc00g007080.3.1	GO:0071816
Solyc00g007090.3.1	GO:0017176
Solyc00g007100.3.1	GO:0004672|GO:0005524|GO:0006468
Solyc00g007100.3.1	GO:0004672|GO:0006468
Solyc00g007100.3.1	GO:0005524
Solyc00g007110.3.1	GO:0005509
Solyc00g007110.3.1	GO:0005515
Solyc00g007120.3.1	GO:0005509
Solyc00g007120.3.1	GO:0005515
Solyc00g007180.1.1	GO:0016491|GO:0055114
Solyc00g007190.3.1	GO:0004722|GO:0006470
Solyc00g007195.1.1	GO:0003824
Solyc00g007195.1.1	GO:0004722|GO:0006470
Solyc00g007200.3.1	GO:0006952|GO:0016021
Solyc00g007220.3.1	GO:0005515|GO:0008270
Solyc00g007225.1.1	GO:0003676
Solyc00g007225.1.1	GO:0003677
Solyc00g007225.1.1	GO:0046983
Solyc00g007260.3.1	GO:0006508|GO:0008234
Solyc00g007270.3.1	GO:0042256|GO:0043022
Solyc00g007300.3.1	GO:0005515
Solyc00g007305.1.1	GO:0006508|GO:0008234
Solyc00g007330.2.1	GO:0046872
Solyc00g007450.1.1	GO:0046872
Solyc00g007570.2.1	GO:0004650|GO:0005975
Solyc00g008680.3.1	GO:0005509
Solyc00g009020.3.1	GO:0009555
Solyc00g009030.2.1	GO:0005215|GO:0016021|GO:0055085
Solyc00g009030.2.1	GO:0016020|GO:0022891|GO:0055085
Solyc00g009030.2.1	GO:0016021|GO:0022857|GO:0055085
Solyc00g009040.3.1	GO:0000166
Solyc00g009040.3.1	GO:0003676
Solyc00g009040.3.1	GO:0003723
Solyc00g009060.3.1	GO:0004422|GO:0005737|GO:0006166
Solyc00g009060.3.1	GO:0009116
Solyc00g009090.3.1	GO:0004672|GO:0005524|GO:0006468
Solyc00g009090.3.1	GO:0004672|GO:0006468
Solyc00g009090.3.1	GO:0005515
Solyc00g009090.3.1	GO:0005524
Solyc00g009100.3.1	GO:0003676
Solyc00g009110.3.1	GO:0046856
Solyc00g009141.1.1	GO:0005787|GO:0006465|GO:0008233|GO:0016021
Solyc00g009540.1.1	GO:0000723|GO:0003678|GO:0006281
Solyc00g009540.1.1	GO:0004386|GO:0005524
Solyc00g010750.2.1	GO:0003924|GO:0005525
Solyc00g010755.1.1	GO:0005524
Solyc00g010760.1.1	GO:0000723|GO:0003678|GO:0006281
Solyc00g010760.1.1	GO:0004386|GO:0005524
Solyc00g011870.1.1	GO:0003824
Solyc00g011870.1.1	GO:0004722|GO:0006470
Solyc00g011870.1.1	GO:0043169
Solyc00g011890.3.1	GO:0005524
Solyc00g011890.3.1	GO:0005524|GO:0005737|GO:0008152|GO:0016301|GO:0016773
Solyc00g012540.1.1	GO:0046872
Solyc00g012640.1.1	GO:0006306
Solyc00g012660.1.1	GO:0005515
Solyc00g012690.1.1	GO:0006355
Solyc00g012700.2.1	GO:0006355
Solyc00g013140.2.1	GO:0008137|GO:0042773|GO:0055114
Solyc00g013180.1.1	GO:0008137|GO:0042773|GO:0055114
Solyc00g014800.1.1	GO:0046872
Solyc00g014830.3.1	GO:0016651|GO:0048038|GO:0051287|GO:0055114
Solyc00g014960.1.1	GO:0005515
Solyc00g014970.1.1	GO:0000723|GO:0003678|GO:0006281
Solyc00g014970.1.1	GO:0004386|GO:0005524
Solyc00g014980.1.1	GO:0005515
Solyc00g015000.1.1	GO:0006306
Solyc00g015730.2.1	GO:0003676
Solyc00g015730.2.1	GO:0046872
Solyc00g015733.1.1	GO:0016491|GO:0055114
Solyc00g016490.1.1	GO:0005515
Solyc00g017220.2.1	GO:0005634|GO:0006351|GO:0010338
Solyc00g017230.1.1	GO:0005576
Solyc00g017230.1.1	GO:0009664
Solyc00g017540.2.1	GO:0006614
Solyc00g017550.2.1	GO:0006614
Solyc00g017860.1.1	GO:0016491|GO:0055114
Solyc00g017870.1.1	GO:0006810
Solyc00g017880.1.1	GO:0005524|GO:0006298|GO:0030983
Solyc00g017900.1.1	GO:0003723|GO:0006396|GO:0008173
Solyc00g017910.1.1	GO:0003951|GO:0006741|GO:0008152
Solyc00g017910.1.1	GO:0003951|GO:0008152
Solyc00g017910.1.1	GO:0003951|GO:0008152|GO:0019674
Solyc00g017920.1.1	GO:0003824
Solyc00g017920.1.1	GO:0004332|GO:0006096
Solyc00g017920.1.1	GO:0005975|GO:0008270|GO:0016832
Solyc00g017930.1.1	GO:0003989|GO:0006633|GO:0009317
Solyc00g018770.1.1	GO:0005515
Solyc00g019620.2.1	GO:0005515
Solyc00g019730.2.1	GO:0004129|GO:0016020|GO:0022904
Solyc00g019730.2.1	GO:0015002|GO:0016020
Solyc00g019730.2.1	GO:0015002|GO:0016020|GO:0019646
Solyc00g019740.1.1	GO:0005739|GO:0016021|GO:0016820
Solyc00g019950.1.1	GO:0008137|GO:0055114
Solyc00g019950.1.1	GO:0016651|GO:0055114
Solyc00g020040.1.1	GO:0015232|GO:0015886|GO:0016020|GO:0017004
Solyc00g020970.1.1	GO:0005515|GO:0008270
Solyc00g020990.2.1	GO:0005525
Solyc00g021500.2.1	GO:0005488
Solyc00g021510.2.1	GO:0006812|GO:0015299|GO:0016021
Solyc00g021510.2.1	GO:0006812|GO:0015299|GO:0016021|GO:0055085
Solyc00g021520.1.1	GO:0005525
Solyc00g021530.2.1	GO:0016787
Solyc00g021630.1.1	GO:0008137|GO:0055114
Solyc00g021640.3.1	GO:0003723
Solyc00g022107.1.1	GO:0003735|GO:0005622|GO:0005840|GO:0006412
Solyc00g023020.2.1	GO:0005524
Solyc00g023020.2.1	GO:0006189
Solyc00g023040.1.1	GO:0005506|GO:0006633|GO:0016491|GO:0055114
