"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006568"	-3.99587450571338	6.69857395441925	2.19162745405321e-15	5.21607334064664e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	-4.89981409704538	10.6443445724379	3.86768147773345e-21	2.53837107408337e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007090"	1.68599546996345	3.43706562032314	0.0004639785837592	0.0147043877378702	"Multi-pass transmembrane protein (AHRD V1 *--- Q5CMR0_CRYHO); contains Interpro domain(s)  IPR019328  GPI-GlcNAc transferase complex, PIG-H component "	"AT4G35530"	NA	"phosphatidylinositolglycan-related; similar to Os05g0165400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054745.1); similar to Os01g0166400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042115.1); contains domain gb def: Hypothetical protein (PTHR15231:SF1); contains domain FAMILY NOT NAMED (PTHR15231)"	55.68	185	4e-51	197	96.75675676
"Solyc00g007160"	-1.61279991182849	3.45578187026159	0.00080954446200996	0.0235028337241444	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007260"	-1.46168091066328	4.82652353955208	0.00151535668405629	0.0397010729515898	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	-5.1548025276331	13.3550882822802	1.02501728977544e-22	9.24992685914851e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	-5.11845320407179	8.02515200668962	3.47631311142783e-22	2.89576882181939e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008800"	-5.04934334765537	4.96095159699667	5.14779590903936e-20	2.65454675709463e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008910"	-5.15120426301624	5.03407806313536	1.80076300381563e-20	1.02634013517471e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	-5.36002596991483	5.34844887027033	6.15472122694765e-22	4.76067686904401e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009050"	-2.75741344398326	4.21679798701566	2.2247759192978e-08	1.61749659012429e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009090"	-1.55760730029419	4.95223946429324	0.000761812577076564	0.0223568249245586	"Receptor like kinase, RLK"	"AT1G34110"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G24240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G48940.1); similar to ATP binding / protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G56040.2); similar to putative Receptor-like protein kinase precursor [Oryza sativa (japonica cultivar-group)] (GB:BAD46328.1); similar to receptor protein kinase [Pinus sylvestris] (GB:CAC20842.1); similar to CLAVATA-like kinase [Triticum aestivum] (GB:CAJ19346.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"	73.97	1064	0	1330	96.41873278
"Solyc00g009110"	-2.30589048198441	2.48427605056109	1.18339991304991e-05	0.000550001616241093	"Inositol-1 4 5-trisphosphate 5-Phosphatase-like protein (AHRD V1 *-*- Q9M1W5_ARATH); contains Interpro domain(s)  IPR000300  Inositol polyphosphate related phosphatase "	"AT1G71710"	NA	"inositol polyphosphate 5-phosphatase, putative; similar to IP5PI (INOSITOL POLYPHOSPHATE 5-PHOSPHATASE I), inositol-polyphosphate 5-phosphatase [Arabidopsis thaliana] (TAIR:AT1G34120.1); similar to Os01g0716800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044072.1); similar to putative inositol-1,4,5-trisphosphate 5-phosphatase [Oryza sativa (japonica cultivar-group)] (GB:AAS75232.1); similar to Os01g0183300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042225.1); contains InterPro domain Inositol polyphosphate related phosphatase; (InterPro:IPR000300); contains InterPro domain Endonuclease/exonuclease/phosphatase; (InterPro:IPR005135)"	54.19	657	0	669	96.32465544
"Solyc00g009146"	-3.94156293962402	3.90447735867724	1.65428551887741e-13	2.69387336600354e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760"	-4.94692212383925	11.9462561690478	1.95687079864036e-21	1.46144509506734e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009765"	-5.91545429194732	7.67587084767592	8.98851784177752e-27	1.65123639461869e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010410"	-5.92478052893711	7.66912594410486	8.26186215607848e-27	1.65123639461869e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010420"	-5.91811873704533	7.6698053447153	8.18193891129624e-27	1.65123639461869e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010520"	-5.94058339381761	7.78397130223116	5.38120744027933e-27	1.65123639461869e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010525"	-5.87917123739946	12.0547722032826	3.02456910194653e-27	1.09176862683263e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530"	-4.88775204960305	8.75285039376451	6.50377566213166e-21	4.02453637972707e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010750"	-3.71338199093439	7.30016803425064	5.82479163408042e-14	1.04258956372656e-11	"Guanylate binding protein 2 (AHRD V1 ***- B2XWS2_PIG); contains Interpro domain(s)  IPR015894  Guanylate-binding protein, N-terminal "	"AT5G46070"	NA	"GTP binding / GTPase; similar to guanylate-binding family protein [Arabidopsis thaliana] (TAIR:AT1G03830.1); similar to Guanylate-binding protein, N-terminal domain containing protein [Tetrahymena thermophila SB210] (GB:XP_001018996.1); similar to Os02g0307000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046641.1); contains InterPro domain Guanylate-binding protein; (InterPro:IPR003191)"	63.1	187	4e-64	241	83.78378378
"Solyc00g010755"	-4.86978902166222	6.61261350155958	2.72152031038713e-20	1.47356717205911e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010780"	-6.08557470886451	6.44013966182658	6.58207289174369e-27	1.65123639461869e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010930"	-6.07320932871756	6.4469813930189	9.14896885004353e-27	1.65123639461869e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	-5.17057152229411	8.14420329838421	1.69312134921725e-22	1.46678488725389e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160"	-5.62971873538966	11.6397614051858	1.1337335745363e-25	1.63696011715382e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170"	-4.50112864060401	6.52116325535781	3.5291068566944e-18	1.38969811458704e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
