"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005445"	-4.39163245416525	6.57048643197742	2.7275292099618e-08	2.54746793203586e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	-4.84670067380961	8.81656446612222	1.38020242516264e-09	2.80633016995901e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680"	2.58945255010449	7.67752215664636	0.00116981320323382	0.0212653217657634	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008570"	2.45776995713504	10.4089446945537	0.00194317148526421	0.0327318973940106	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	2.42882432372277	5.2066590699761	0.00243479038425777	0.0397313521794791	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	-3.46214021910408	5.30407639833555	6.36293186705216e-06	0.000238490575167032	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009146"	-3.41377326119004	5.20671131828041	8.39731005236728e-06	0.000306735446364373	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150"	2.36736096138744	5.38190039112723	0.00275168406453073	0.0438741797825524	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160"	2.43158092778578	8.11058179323825	0.00213250581592856	0.0353765008135557	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440"	2.74159777287327	8.27593153795945	0.000643307148806148	0.0128146150271717	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	-4.29493331589342	6.26348842507304	5.14090763368e-08	4.26512378122983e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026165"	-4.41992537562494	6.87002053239179	2.21592740913335e-08	2.16651694264884e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	-5.57429763831532	7.68683480277059	1.79866573564016e-11	1.20068929413546e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	-4.21767478266189	9.10997539798341	5.84386219160978e-08	4.73858638700444e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
