"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005040"	1.70044832726835	3.33248103513815	0.000285332262484115	0.00595698152294499	"Potassium channel (AHRD V1 ***- D0EM91_9ROSI); contains Interpro domain(s)  IPR000595  Cyclic nucleotide-binding "	"AT5G46240"	"KAT1"	"potassium channel protein (KAT1)"	66.02	103	2e-37	150	85.71428571
"Solyc00g005092"	1.58050629749601	5.78557274752382	0.000295655347268959	0.0061395215479182	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005445"	5.43753234824566	6.05450841732297	8.75903558552199e-28	1.96404528706128e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006568"	5.23166951758817	8.36670514016662	4.47885494140181e-28	1.07677213642773e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007160"	2.04176290829699	4.21348493642739	7.38013875907199e-06	0.000195796172766278	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580"	-2.17507973284312	7.30156733964214	8.94332787069606e-06	0.000235138311768944	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008915"	2.75820195104416	5.18034109328015	7.12980356450221e-10	2.65178658890258e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009146"	3.84416199219124	4.89276107973327	4.95195320522654e-16	2.87978924553324e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009148"	4.18177246579498	4.70218908859758	5.49443464885224e-18	3.6608633146067e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011175"	1.38836058784062	4.06357424201996	0.00211353542201149	0.0357156855371797	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430"	-2.06835440891887	7.03602433735532	2.25441698049411e-05	0.000559326428991706	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g015600"	1.9800034217329	2.22416351862029	0.000100529891523544	0.00225853282305303	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g022107"	4.52166181292454	5.69098862996751	2.12239918396861e-21	1.99573987782854e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026165"	5.48140728856427	6.87356350462938	4.35211465593495e-29	1.28470017438485e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030105"	5.34874221323368	6.70620392099165	5.00796822753666e-28	1.1916920312873e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g030215"	2.25025140988082	3.72793475546621	1.40642212970856e-06	4.00994255615758e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g032945"	2.33356757305469	7.06697345065639	8.11640893587822e-08	2.59821175217644e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042852"	5.95351347643569	5.65653362182333	3.16047462143764e-30	1.13388104879886e-27	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g044350"	2.45200670141156	4.46857279945016	8.07246146192863e-08	2.58940579494052e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430"	5.42666267232385	6.50645529491972	1.25274964639719e-28	3.43695550046854e-26	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g055985"	1.5835085049243	7.40419100771514	0.000231349536608089	0.00490461017609148	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g068985"	2.04305616611698	2.9741202799572	1.32561494237462e-05	0.000338220355100395	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069680"	2.09757129598296	4.32153466173255	3.15934781883492e-06	8.75011771202261e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069883"	2.48888628567942	7.26619620700349	1.11121608556742e-08	3.82205886658292e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180"	3.19449576088005	6.42741395838489	6.18591499594095e-13	2.91425328697663e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072405"	1.9222013956169	2.79397433554835	4.74014100464172e-05	0.00112681027755601	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072805"	3.80825075779656	6.3953374673612	7.44294525225187e-17	4.56761798111878e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g090115"	2.68500173068739	6.29739734694818	1.16846467029983e-09	4.26425604247138e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095465"	3.87360318839379	5.3194535271389	9.09867412513323e-17	5.53997599472864e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g100885"	4.33520100917159	9.09890089875476	2.5666976029794e-21	2.39421552405918e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g125275"	4.98090845744911	6.24477865531977	5.46346815187385e-25	7.86469612973446e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g128875"	4.4429630806377	8.78290906429083	3.8541455141367e-22	3.99460770620746e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g141565"	5.22347404113528	6.52882459128807	5.36694811020894e-27	1.08832373852237e-24	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g143777"	4.32280163530871	7.02182952001416	9.5147964465689e-21	8.31030161550513e-19	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g147573"	6.03090251621257	6.41735636420549	1.72547550941978e-32	1.86921050805269e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g167805"	4.7975839097244	9.02552211315702	7.94698206836635e-25	1.11640736044761e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170210"	2.74911080855023	5.25869854900106	8.62565225757795e-10	3.18780048568491e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g170510"	5.3977761595506	4.32383573187975	1.96198903189185e-24	2.6144905270696e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA
