"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g007100"	1.65060991632044	2.15297622830784	0.0012069135327929	0.041975163386051	"Serine/threonine protein kinase (AHRD V1 **** Q2U105_ASPOR); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "	"AT4G35500"	NA	"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT2G17530.1); similar to SRPK4 [Oryza sativa] (GB:AAL58968.1); similar to Os09g0552300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063873.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"	72.2	428	6e-179	623	94.65478842
"Solyc00g009145"	-1.68292674701834	3.34832366250301	6.96211880792113e-05	0.00564702515489548	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013120"	-2.3453699815083	2.8921843832164	1.63581685509243e-07	4.51119798826137e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g059500"	1.66831498957972	2.50452862717581	0.000301779082563547	0.015800126919232	"CDP-alcohol phosphatidyltransferase (AHRD V1 **-- D3BS60_POLPA)"	"AT1G13560"	"AAPT1"	"Encodes aminoalcoholphosphotransferase AAPT1."	87.1	93	9e-44	171	94.84536082
"Solyc00g117657"	1.66496096312124	5.2542331937162	8.34746108810142e-06	0.00104637879874965	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g188857"	1.98992439103563	4.52584726610405	5.51920906719554e-06	0.000761033998494886	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g322635"	2.88548112682583	4.46504359323957	3.67970144149283e-12	5.07387538176667e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005000"	2.07546809726538	2.06827919801928	0.000187043911770115	0.0110991415192576	"Glutamate decarboxylase (AHRD V1 ***- Q1I1D8_CITSI); contains Interpro domain(s)  IPR010107  Glutamate decarboxylase "	"AT2G02010"	"GAD4"	"glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"	82.42	495	0	816	99.58762887
"Solyc01g005120"	1.59010263356207	5.11751315880412	3.91170755981878e-05	0.00362428209129296	"Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase "	"AT1G14720"	"ATXTH28"	"member of Glycoside Hydrolase Family 16"	68.54	302	1e-127	452	89.28571429
"Solyc01g005560"	-1.56175669446281	7.8675431319844	2.24780062058497e-05	0.00240596777840786	"Isocitrate dehydrogenase (AHRD V1 ***- D2D324_GOSHI); contains Interpro domain(s)  IPR004790  Isocitrate dehydrogenase NADP-dependent, eukaryotic "	"AT1G65930"	"cICDH"	"isocitrate dehydrogenase, putative / NADP+ isocitrate dehydrogenase, putative; similar to ICDH (ICDH), isocitrate dehydrogenase (NADP+) [Arabidopsis thaliana] (TAIR:AT1G54340.1); similar to isocitrate dehydrogenase, putative / NADP+ isocitrate dehydrogenase, putative [Arabidopsis thaliana] (TAIR:AT5G14590.1); similar to NADP specific isocitrate dehydrogenase [Daucus carota] (GB:BAA34112.1); similar to NADP-dependent isocitrate dehydrogenase [Prunus persica] (GB:AAL11503.1); similar to isocitrate dehydrogenase (NADP+) [Apium graveolens] (GB:CAA73139.1); contains InterPro domain Isocitrate dehydrogenase NADP-dependent, eukaryotic; (InterPro:IPR004790); contains InterPro domain Isocitrate/isopropylmalate dehydrogenase; (InterPro:IPR001804)"	88.64	405	0	758	97.11538462
"Solyc01g006400"	-1.8199675278112	7.11645308530033	1.0250765309099e-06	0.000183426098939381	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006410"	-1.25835316555813	3.98994979065037	0.00126831217376867	0.043212944280976	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006420"	-1.27991955317305	3.86294628858119	0.00108680887338472	0.0394974989162964	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007140"	-1.20722547595225	4.95669539571344	0.00140663759019291	0.0457323047873954	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007870"	-1.61000909896165	4.54229195825249	3.2555730750846e-05	0.00311485258992074	"Cyclin B-like protein (AHRD V1 *-*- Q5U8T5_9SOLA)"	"AT3G11600"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06270.1); similar to H0913C04.5 [Oryza sativa (indica cultivar-group)] (GB:CAJ86164.1); similar to Os04g0415000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052757.1); similar to Os02g0536500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047044.1)"	56.52	115	4e-24	106	89.76377953
"Solyc01g009040"	-1.22718795823608	6.49463696731844	0.000870557661406923	0.0336744919819137	"Cyclin B1 (AHRD V1 **** Q9LD02_TOBAC); contains Interpro domain(s)  IPR014400  Cyclin, A/B/D/E "	"AT5G06150"	"CYC1BAT"	"Encodes a cyclin whose expression is reduced in response to high salt."	53.3	439	2e-122	435	95.87155963
